symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
HPE,2015-10-19 00:00:00+00:00,16.55,18.5,16.48,18.5,1581576,7.9723330062,8.9116713362,7.9386131687,8.9116713362,2029328,0.0,1.0
HPE,2015-10-20 00:00:00+00:00,16.87,16.93,16.25,16.25,709632,8.1264808347,8.1553835525,7.8278194169,7.8278194169,910532,0.0,1.0
HPE,2015-10-21 00:00:00+00:00,16.48,17.35,16.4,17.25,78598,7.9386131687,8.3577025775,7.9000762116,8.3095313811,100849,0.0,1.0
HPE,2015-10-22 00:00:00+00:00,16.95,17.05,16.24,16.71,110000,8.1650177918,8.2131889882,7.8230022973,8.0494069204,141141,0.0,1.0
HPE,2015-10-23 00:00:00+00:00,17.0,17.25,16.85,17.25,59910,8.18910339,8.3095313811,8.1168465954,8.3095313811,76870,0.0,1.0
HPE,2015-10-26 00:00:00+00:00,16.42,17.11,16.31,17.11,514799,7.9097104508,8.2420917061,7.8567221348,8.2420917061,660541,0.0,1.0
HPE,2015-10-27 00:00:00+00:00,15.73,16.75,15.6,16.56,636017,7.5773291956,8.068675399,7.5147066403,7.9771501258,816076,0.0,1.0
HPE,2015-10-28 00:00:00+00:00,16.28,16.35,15.845,15.9,296321,7.8422707759,7.8759906133,7.6327260715,7.6592202295,380211,0.0,1.0
HPE,2015-10-29 00:00:00+00:00,15.95,16.27,15.55,16.01,290446,7.6833058277,7.8374536562,7.490621042,7.7122085455,372672,0.0,1.0
HPE,2015-10-30 00:00:00+00:00,14.72,16.1,14.72,15.9,2449278,7.0908001118,7.7555626223,7.0908001118,7.6592202295,3142681,0.0,1.0
HPE,2015-11-02 00:00:00+00:00,14.49,15.17,13.86,14.99,40865891,6.9800063601,7.3075704957,6.6765278227,7.2208623421,52435236,0.0,1.0
HPE,2015-11-03 00:00:00+00:00,14.36,14.71,13.675,14.07,40205612,6.9173838047,7.0859829922,6.5874111093,6.7776873352,51588028,0.0,1.0
HPE,2015-11-04 00:00:00+00:00,13.66,14.51,13.61,14.39,31516491,6.5801854299,6.9896405994,6.5560998317,6.9318351637,40438972,0.0,1.0
HPE,2015-11-05 00:00:00+00:00,13.28,13.89,13.12,13.64,22189959,6.3971348835,6.6909791816,6.3200609692,6.5705511906,28472051,0.0,1.0
HPE,2015-11-06 00:00:00+00:00,14.4,14.48,13.15,13.18,30049669,6.9366522833,6.9751892404,6.3345123282,6.3489636871,38556885,0.0,1.0
HPE,2015-11-09 00:00:00+00:00,14.2,14.48,14.13,14.26,17528088,6.8403098905,6.9751892404,6.806590053,6.8692126083,22490380,0.0,1.0
HPE,2015-11-10 00:00:00+00:00,14.41,14.44,14.01,14.13,14777765,6.941469403,6.9559207619,6.7487846173,6.806590053,18961426,0.0,1.0
HPE,2015-11-11 00:00:00+00:00,14.11,14.31,14.09,14.2,11009387,6.7969558137,6.8932982065,6.7873215744,6.8403098905,14126201,0.0,1.0
HPE,2015-11-12 00:00:00+00:00,13.7,13.82,13.59,13.81,20371666,6.5994539084,6.6572593441,6.5464655924,6.6524422245,26138989,0.0,1.0
HPE,2015-11-13 00:00:00+00:00,13.39,13.76,13.15,13.61,14924533,6.4501231996,6.6283566263,6.3345123282,6.5560998317,19149745,0.0,1.0
HPE,2015-11-16 00:00:00+00:00,13.38,13.61,13.14,13.37,13781375,6.4453060799,6.5560998317,6.3296952085,6.4404889603,17682953,0.0,1.0
HPE,2015-11-17 00:00:00+00:00,13.22,13.49,13.12,13.38,12420759,6.3682321657,6.498294396,6.3200609692,6.4453060799,15937140,0.0,1.0
HPE,2015-11-18 00:00:00+00:00,13.64,13.73,13.1886,13.48,13020475,6.5705511906,6.6139052674,6.35310641,6.4934772763,16706638,0.0,1.0
HPE,2015-11-19 00:00:00+00:00,13.78,13.89,13.52,13.53,13171491,6.6379908656,6.6909791816,6.5127457549,6.5175628745,16900408,0.0,1.0
HPE,2015-11-20 00:00:00+00:00,14.21,14.63,13.68,13.78,18558586,6.8451270101,7.0474460351,6.5898196691,6.6379908656,23812617,0.0,1.0
HPE,2015-11-23 00:00:00+00:00,13.85,14.21,13.57,14.17,15317345,6.671710703,6.8451270101,6.5368313531,6.8258585316,19653764,0.0,1.0
HPE,2015-11-24 00:00:00+00:00,13.69,14.025,13.5,13.58,24108918,6.5946367888,6.7560102968,6.5031115156,6.5416484727,30934277,0.0,1.0
HPE,2015-11-25 00:00:00+00:00,14.12,14.86,13.84,13.91,22674894,6.8017729334,7.1582397868,6.6668935834,6.7006134209,29094273,0.0,1.0
HPE,2015-11-27 00:00:00+00:00,14.35,14.64,14.05,14.12,6041718,6.9125666851,7.0522631547,6.7680530959,6.8017729334,7752159,0.0,1.0
HPE,2015-11-30 00:00:00+00:00,14.86,15.0,14.18,14.23,29096030,7.1582397868,7.2256794618,6.8306756512,6.8547612494,37333266,0.0,1.0
HPE,2015-12-01 00:00:00+00:00,15.61,15.88,14.85,14.88,25106264,7.5195237599,7.6495859902,7.1534226672,7.1678740261,32213977,0.0,1.0
HPE,2015-12-02 00:00:00+00:00,14.95,15.54,14.87,15.37,12681067,7.2015938636,7.4858039224,7.1630569064,7.4039128885,16271142,0.0,1.0
HPE,2015-12-03 00:00:00+00:00,14.62,15.34,14.58,15.0,18905240,7.0426289154,7.3894615296,7.0233604369,7.2256794618,24257411,0.0,1.0
HPE,2015-12-04 00:00:00+00:00,15.22,15.295,14.24,14.39,12001085,7.3316560939,7.3677844912,6.8595783691,6.9318351637,15398654,0.0,1.0
HPE,2015-12-07 00:00:00+00:00,15.45,15.48,14.92,15.0,9545947,7.4689440037,7.4834468076,7.2127278016,7.2514019453,12248453,0.055,1.0
HPE,2015-12-08 00:00:00+00:00,15.17,15.29,14.62,15.09,11617601,7.3335845007,7.3915957162,7.0676997627,7.294910357,14906603,0.0,1.0
HPE,2015-12-09 00:00:00+00:00,14.85,15.39,14.68,14.99,14261925,7.1788879259,7.4399383959,7.0967053705,7.2465676773,18299549,0.0,1.0
HPE,2015-12-10 00:00:00+00:00,14.72,14.81,14.53,14.79,11350207,7.1160424423,7.159550854,7.024191351,7.1498823181,14563509,0.0,1.0
HPE,2015-12-11 00:00:00+00:00,14.18,15.4,14.14,14.99,10614763,6.8549919723,7.4447726638,6.8356549004,7.2465676773,13619857,0.0,1.0
HPE,2015-12-14 00:00:00+00:00,14.44,14.5,13.92,14.3,11527694,6.9806829393,7.0096885471,6.7293010052,6.9130031879,14791243,0.0,1.0
HPE,2015-12-15 00:00:00+00:00,14.56,14.98,14.485,14.51,12888739,7.0386941549,7.2417334094,7.0024371452,7.0145228151,16537607,0.0,1.0
HPE,2015-12-16 00:00:00+00:00,14.7,14.81,14.55,14.62,7840968,7.1063739064,7.159550854,7.0338598869,7.0676997627,10060786,0.0,1.0
HPE,2015-12-17 00:00:00+00:00,14.31,14.72,14.22,14.61,7625458,6.9178374558,7.1160424423,6.8743290441,7.0628654947,9784264,0.0,1.0
HPE,2015-12-18 00:00:00+00:00,14.16,14.385,14.0,14.27,19307237,6.8453234364,6.9540944655,6.767975149,6.898500384,24773215,0.0,1.0
HPE,2015-12-21 00:00:00+00:00,14.02,14.4,13.87,14.12,9863255,6.7776436849,6.9613458675,6.7051296654,6.8259863645,12655593,0.0,1.0
HPE,2015-12-22 00:00:00+00:00,14.06,14.14,13.9201,14.04,7292476,6.7969807567,6.8356549004,6.7293493479,6.7873122208,9357013,0.0,1.0
HPE,2015-12-23 00:00:00+00:00,14.91,14.97,14.05,14.19,11252128,7.2078935336,7.2368991414,6.7921464888,6.8598262403,14437663,0.0,1.0
HPE,2015-12-24 00:00:00+00:00,15.02,15.17,14.7901,14.81,2178459,7.2610704812,7.3335845007,7.1499306608,7.159550854,2795192,0.0,1.0
HPE,2015-12-28 00:00:00+00:00,15.23,15.28,14.82,14.89,5930636,7.3625901085,7.3867614483,7.164385122,7.1982249977,7609629,0.0,1.0
HPE,2015-12-29 00:00:00+00:00,15.2,15.4371,15.18,15.29,6275753,7.3480873046,7.462707798,7.3384187686,7.3915957162,8052451,0.0,1.0
HPE,2015-12-30 00:00:00+00:00,15.28,15.48,15.15,15.29,6275778,7.3867614483,7.4834468076,7.3239159648,7.3915957162,8052483,0.0,1.0
HPE,2015-12-31 00:00:00+00:00,15.2,15.31,15.1,15.23,6767773,7.3480873046,7.4012642522,7.2997446249,7.3625901085,8683764,0.0,1.0
HPE,2016-01-04 00:00:00+00:00,15.13,15.15,14.74,14.97,15076835,7.3142474288,7.3239159648,7.1257109783,7.2368991414,19345164,0.0,1.0
HPE,2016-01-05 00:00:00+00:00,15.03,15.25,14.94,15.13,10285834,7.2659047492,7.3722586444,7.2223963375,7.3142474288,13197806,0.0,1.0
HPE,2016-01-06 00:00:00+00:00,14.8,15.0,14.51,14.62,11315099,7.154716586,7.2514019453,7.0145228151,7.0676997627,14518462,0.0,1.0
HPE,2016-01-07 00:00:00+00:00,13.71,14.56,13.65,14.5,19844532,6.627781378,7.0386941549,6.5987757702,7.0096885471,25462621,0.0,1.0
HPE,2016-01-08 00:00:00+00:00,13.54,14.02,13.31,13.77,16431854,6.5455988226,6.7776436849,6.4344106595,6.6567869858,21083796,0.0,1.0
HPE,2016-01-11 00:00:00+00:00,13.26,13.71,13.07,13.43,15110838,6.4102393196,6.627781378,6.3183882283,6.492421875,19388794,0.0,1.0
HPE,2016-01-12 00:00:00+00:00,13.26,13.42,13.09,13.35,12458350,6.4102393196,6.4875876071,6.3280567643,6.4537477313,15985373,0.0,1.0
HPE,2016-01-13 00:00:00+00:00,12.75,13.35,12.53,13.35,17720765,6.1636916535,6.4537477313,6.0573377583,6.4537477313,22737605,0.0,1.0
HPE,2016-01-14 00:00:00+00:00,13.0,13.17,12.65,12.75,13352501,6.2845483526,6.366730908,6.1153489739,6.1636916535,17132663,0.0,1.0
HPE,2016-01-15 00:00:00+00:00,12.54,12.8,12.49,12.6,19729482,6.0621720263,6.1878629933,6.0380006865,6.0911776341,25315000,0.0,1.0
HPE,2016-01-19 00:00:00+00:00,12.32,12.78,12.2,12.68,12925129,5.9558181311,6.1781944574,5.8978069155,6.1298517778,16584299,0.0,1.0
HPE,2016-01-20 00:00:00+00:00,12.06,12.2,11.625,12.0,16640055,5.830127164,5.8978069155,5.6198365076,5.8011215562,21350940,0.0,1.0
HPE,2016-01-21 00:00:00+00:00,12.41,12.54,11.82,12.0,16728144,5.9993265427,6.0621720263,5.7141047329,5.8011215562,21463968,0.0,1.0
HPE,2016-01-22 00:00:00+00:00,13.35,13.43,12.65,12.7,15269821,6.4537477313,6.492421875,6.1153489739,6.1395203137,19592786,0.0,1.0
HPE,2016-01-25 00:00:00+00:00,13.34,13.55,13.12,13.29,11183427,6.4489134634,6.5504330906,6.3425595682,6.4247421235,14349513,0.0,1.0
HPE,2016-01-26 00:00:00+00:00,13.6,13.725,13.35,13.35,10726138,6.5746044304,6.63503278,6.4537477313,6.4537477313,13762763,0.0,1.0
HPE,2016-01-27 00:00:00+00:00,13.39,13.61,12.955,13.53,18484506,6.4730848032,6.5794386984,6.2627941468,6.5407645547,23717565,0.0,1.0
HPE,2016-01-28 00:00:00+00:00,13.19,13.7,13.07,13.45,9874424,6.3763994439,6.62294711,6.3183882283,6.502090411,12669924,0.0,1.0
HPE,2016-01-29 00:00:00+00:00,13.76,13.88,13.35,13.41,11361905,6.6519527178,6.7099639334,6.4537477313,6.4827533391,14578519,0.0,1.0
HPE,2016-02-01 00:00:00+00:00,13.79,13.88,13.53,13.67,9549644,6.6664555217,6.7099639334,6.5407645547,6.6084443062,12253197,0.0,1.0
HPE,2016-02-02 00:00:00+00:00,13.45,13.97,13.36,13.7,9677516,6.502090411,6.7534723451,6.4585819993,6.62294711,12417270,0.0,1.0
HPE,2016-02-03 00:00:00+00:00,13.37,13.77,13.11,13.66,7553022,6.4634162672,6.6567869858,6.3377253002,6.6036100382,9691321,0.0,1.0
HPE,2016-02-04 00:00:00+00:00,13.85,13.89,13.31,13.31,6499149,6.6954611295,6.7147982014,6.4344106595,6.4344106595,8339091,0.0,1.0
HPE,2016-02-05 00:00:00+00:00,13.2,13.75,13.035,13.69,13227678,6.3812337119,6.6471184499,6.3014682905,6.6181128421,16972502,0.0,1.0
HPE,2016-02-08 00:00:00+00:00,12.51,13.05,12.37,13.0,14815851,6.0476692224,6.3087196924,5.9799894709,6.2845483526,19010295,0.0,1.0
