symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
HSIC,2000-01-03 00:00:00+00:00,12.62,13.94,12.38,13.94,423400,2.4745098039,2.7333333333,2.4274509804,2.7333333333,2159339,0.0,1.0
HSIC,2000-01-04 00:00:00+00:00,12.0,12.56,12.0,12.56,182000,2.3529411765,2.462745098,2.3529411765,2.462745098,928199,0.0,1.0
HSIC,2000-01-05 00:00:00+00:00,12.81,12.88,12.31,12.56,588000,2.5117647059,2.5254901961,2.4137254902,2.462745098,2998799,0.0,1.0
HSIC,2000-01-06 00:00:00+00:00,12.69,13.0,12.5,12.75,212200,2.4882352941,2.5490196078,2.4509803922,2.5,1082219,0.0,1.0
HSIC,2000-01-07 00:00:00+00:00,13.13,13.25,12.5,12.63,800700,2.5745098039,2.5980392157,2.4509803922,2.4764705882,4083569,0.0,1.0
HSIC,2000-01-10 00:00:00+00:00,13.94,14.25,13.13,13.25,453100,2.7333333333,2.7941176471,2.5745098039,2.5980392157,2310809,0.0,1.0
HSIC,2000-01-11 00:00:00+00:00,13.63,14.0,13.38,14.0,291800,2.6725490196,2.7450980392,2.6235294118,2.7450980392,1488179,0.0,1.0
HSIC,2000-01-12 00:00:00+00:00,14.0,14.0,13.38,13.5,762200,2.7450980392,2.7450980392,2.6235294118,2.6470588235,3887219,0.0,1.0
HSIC,2000-01-13 00:00:00+00:00,15.94,16.19,14.0,14.06,953900,3.1254901961,3.1745098039,2.7450980392,2.7568627451,4864889,0.0,1.0
HSIC,2000-01-14 00:00:00+00:00,15.38,16.25,15.13,16.06,237100,3.0156862745,3.1862745098,2.9666666667,3.1490196078,1209209,0.0,1.0
HSIC,2000-01-18 00:00:00+00:00,15.56,16.0,15.38,15.38,328900,3.0509803922,3.137254902,3.0156862745,3.0156862745,1677389,0.0,1.0
HSIC,2000-01-19 00:00:00+00:00,14.38,15.63,14.13,15.63,197100,2.8196078431,3.0647058824,2.7705882353,3.0647058824,1005209,0.0,1.0
HSIC,2000-01-20 00:00:00+00:00,14.88,15.0,13.38,14.63,215000,2.9176470588,2.9411764706,2.6235294118,2.868627451,1096499,0.0,1.0
HSIC,2000-01-21 00:00:00+00:00,14.56,15.0,14.38,14.69,154200,2.8549019608,2.9411764706,2.8196078431,2.8803921569,786419,0.0,1.0
HSIC,2000-01-24 00:00:00+00:00,15.0,15.13,14.13,14.88,165400,2.9411764706,2.9666666667,2.7705882353,2.9176470588,843539,0.0,1.0
