symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
HST,2000-01-03 00:00:00+00:00,8.438,8.438,8.313,8.375,394700,3.9522431309,3.9522431309,3.8936948503,3.9227347975,394700,0.0,1.0
HST,2000-01-04 00:00:00+00:00,8.375,8.438,8.188,8.375,516400,3.9227347975,3.9522431309,3.8351465698,3.9227347975,516400,0.0,1.0
HST,2000-01-05 00:00:00+00:00,8.125,8.375,8.125,8.313,256600,3.8056382364,3.9227347975,3.8056382364,3.8936948503,256600,0.0,1.0
HST,2000-01-06 00:00:00+00:00,8.188,8.188,8.0,8.063,676400,3.8351465698,3.8351465698,3.7470899558,3.7765982892,676400,0.0,1.0
HST,2000-01-07 00:00:00+00:00,8.313,8.438,8.125,8.188,684000,3.8936948503,3.9522431309,3.8056382364,3.8351465698,684000,0.0,1.0
HST,2000-01-10 00:00:00+00:00,8.75,8.75,8.313,8.375,690800,4.0983796392,4.0983796392,3.8936948503,3.9227347975,690800,0.0,1.0
HST,2000-01-11 00:00:00+00:00,8.813,8.813,8.625,8.688,2059800,4.1278879726,4.1278879726,4.0398313586,4.069339692,2059800,0.0,1.0
HST,2000-01-12 00:00:00+00:00,8.875,8.875,8.688,8.813,504100,4.1569279197,4.1569279197,4.069339692,4.1278879726,504100,0.0,1.0
HST,2000-01-13 00:00:00+00:00,8.875,8.938,8.75,8.813,1741300,4.1569279197,4.1864362531,4.0983796392,4.1278879726,1741300,0.0,1.0
HST,2000-01-14 00:00:00+00:00,9.0,9.0,8.813,8.875,2214800,4.2154762003,4.2154762003,4.1278879726,4.1569279197,2214800,0.0,1.0
HST,2000-01-18 00:00:00+00:00,9.063,9.313,8.938,9.0,1099300,4.2449845337,4.3620810948,4.1864362531,4.2154762003,1099300,0.0,1.0
HST,2000-01-19 00:00:00+00:00,9.563,9.625,9.25,9.313,1435600,4.4791776559,4.5082176031,4.3325727614,4.3620810948,1435600,0.0,1.0
HST,2000-01-20 00:00:00+00:00,9.375,9.563,9.313,9.5,1133300,4.391121042,4.4791776559,4.3620810948,4.4496693225,1133300,0.0,1.0
HST,2000-01-21 00:00:00+00:00,9.188,9.438,9.125,9.375,524700,4.3035328143,4.4206293754,4.2740244809,4.391121042,524700,0.0,1.0
HST,2000-01-24 00:00:00+00:00,9.188,9.5,9.188,9.313,1226800,4.3035328143,4.4496693225,4.3035328143,4.3620810948,1226800,0.0,1.0
HST,2000-01-25 00:00:00+00:00,9.313,9.5,9.063,9.313,711400,4.3620810948,4.4496693225,4.2449845337,4.3620810948,711400,0.0,1.0
HST,2000-01-26 00:00:00+00:00,9.313,9.438,9.25,9.25,362100,4.3620810948,4.4206293754,4.3325727614,4.3325727614,362100,0.0,1.0
HST,2000-01-27 00:00:00+00:00,9.25,9.438,9.125,9.313,1224800,4.3325727614,4.4206293754,4.2740244809,4.3620810948,1224800,0.0,1.0
HST,2000-01-28 00:00:00+00:00,9.0,9.25,8.938,9.25,1186900,4.2154762003,4.3325727614,4.1864362531,4.3325727614,1186900,0.0,1.0
HST,2000-01-31 00:00:00+00:00,8.875,9.0,8.75,9.0,459600,4.1569279197,4.2154762003,4.0983796392,4.2154762003,459600,0.0,1.0
HST,2000-02-01 00:00:00+00:00,9.125,9.188,8.875,9.0,266800,4.2740244809,4.3035328143,4.1569279197,4.2154762003,266800,0.0,1.0
HST,2000-02-02 00:00:00+00:00,9.125,9.188,9.0,9.125,479500,4.2740244809,4.3035328143,4.2154762003,4.2740244809,479500,0.0,1.0
HST,2000-02-03 00:00:00+00:00,9.188,9.188,9.063,9.125,276200,4.3035328143,4.3035328143,4.2449845337,4.2740244809,276200,0.0,1.0
HST,2000-02-04 00:00:00+00:00,9.19,9.25,9.12,9.19,843900,4.3044695867,4.3325727614,4.2716825496,4.3044695867,843900,0.0,1.0
HST,2000-02-07 00:00:00+00:00,9.313,9.5,9.188,9.188,544400,4.3620810948,4.4496693225,4.3035328143,4.3035328143,544400,0.0,1.0
HST,2000-02-08 00:00:00+00:00,9.438,9.5,9.313,9.375,431400,4.4206293754,4.4496693225,4.3620810948,4.391121042,431400,0.0,1.0
HST,2000-02-09 00:00:00+00:00,9.438,9.5,9.375,9.375,678800,4.4206293754,4.4496693225,4.391121042,4.391121042,678800,0.0,1.0
HST,2000-02-10 00:00:00+00:00,9.375,9.563,9.313,9.375,366200,4.391121042,4.4791776559,4.3620810948,4.391121042,366200,0.0,1.0
HST,2000-02-11 00:00:00+00:00,9.125,9.375,9.063,9.313,372700,4.2740244809,4.391121042,4.2449845337,4.3620810948,372700,0.0,1.0
HST,2000-02-14 00:00:00+00:00,9.188,9.25,9.0,9.125,964700,4.3035328143,4.3325727614,4.2154762003,4.2740244809,964700,0.0,1.0
HST,2000-02-15 00:00:00+00:00,9.188,9.25,9.063,9.125,483400,4.3035328143,4.3325727614,4.2449845337,4.2740244809,483400,0.0,1.0
HST,2000-02-16 00:00:00+00:00,9.25,9.313,9.063,9.125,1242500,4.3325727614,4.3620810948,4.2449845337,4.2740244809,1242500,0.0,1.0
HST,2000-02-17 00:00:00+00:00,9.438,9.5,9.188,9.313,899100,4.4206293754,4.4496693225,4.3035328143,4.3620810948,899100,0.0,1.0
HST,2000-02-18 00:00:00+00:00,9.25,9.438,9.25,9.375,900200,4.3325727614,4.4206293754,4.3325727614,4.391121042,900200,0.0,1.0
HST,2000-02-22 00:00:00+00:00,9.063,9.25,9.0,9.125,607000,4.2449845337,4.3325727614,4.2154762003,4.2740244809,607000,0.0,1.0
HST,2000-02-23 00:00:00+00:00,9.125,9.125,9.0,9.063,336800,4.2740244809,4.2740244809,4.2154762003,4.2449845337,336800,0.0,1.0
HST,2000-02-24 00:00:00+00:00,9.0,9.125,8.875,9.125,711300,4.2154762003,4.2740244809,4.1569279197,4.2740244809,711300,0.0,1.0
HST,2000-02-25 00:00:00+00:00,8.938,9.0,8.75,9.0,420300,4.1864362531,4.2154762003,4.0983796392,4.2154762003,420300,0.0,1.0
HST,2000-02-28 00:00:00+00:00,8.875,8.938,8.813,8.813,317600,4.1569279197,4.1864362531,4.1278879726,4.1278879726,317600,0.0,1.0
HST,2000-02-29 00:00:00+00:00,8.875,9.0,8.75,8.875,469400,4.1569279197,4.2154762003,4.0983796392,4.1569279197,469400,0.0,1.0
HST,2000-03-01 00:00:00+00:00,8.688,8.938,8.688,8.875,459900,4.069339692,4.1864362531,4.069339692,4.1569279197,459900,0.0,1.0
HST,2000-03-02 00:00:00+00:00,8.688,8.813,8.5,8.75,2714100,4.069339692,4.1278879726,3.9812830781,4.0983796392,2714100,0.0,1.0
HST,2000-03-03 00:00:00+00:00,8.625,8.688,8.563,8.625,329500,4.0398313586,4.069339692,4.0107914115,4.0398313586,329500,0.0,1.0
HST,2000-03-06 00:00:00+00:00,8.875,8.875,8.563,8.625,1036200,4.1569279197,4.1569279197,4.0107914115,4.0398313586,1036200,0.0,1.0
HST,2000-03-07 00:00:00+00:00,8.75,8.938,8.625,8.813,537900,4.0983796392,4.1864362531,4.0398313586,4.1278879726,537900,0.0,1.0
HST,2000-03-08 00:00:00+00:00,8.813,8.813,8.625,8.688,333300,4.1278879726,4.1278879726,4.0398313586,4.069339692,333300,0.0,1.0
HST,2000-03-09 00:00:00+00:00,8.875,8.938,8.75,8.875,656000,4.1569279197,4.1864362531,4.0983796392,4.1569279197,656000,0.0,1.0
HST,2000-03-10 00:00:00+00:00,8.938,9.188,8.938,8.938,763000,4.1864362531,4.3035328143,4.1864362531,4.1864362531,763000,0.0,1.0
HST,2000-03-13 00:00:00+00:00,8.938,9.0,8.875,9.0,135300,4.1864362531,4.2154762003,4.1569279197,4.2154762003,135300,0.0,1.0
HST,2000-03-14 00:00:00+00:00,8.875,9.0,8.75,8.938,387200,4.1569279197,4.2154762003,4.0983796392,4.1864362531,387200,0.0,1.0
HST,2000-03-15 00:00:00+00:00,8.938,8.938,8.75,8.875,267000,4.1864362531,4.1864362531,4.0983796392,4.1569279197,267000,0.0,1.0
HST,2000-03-16 00:00:00+00:00,8.938,9.25,8.938,9.0,939500,4.1864362531,4.3325727614,4.1864362531,4.2154762003,939500,0.0,1.0
HST,2000-03-17 00:00:00+00:00,9.0,9.188,8.938,9.063,411300,4.2154762003,4.3035328143,4.1864362531,4.2449845337,411300,0.0,1.0
