symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
HSY,2000-01-03 00:00:00+00:00,46.38,47.5,46.19,47.0,453200,13.7888304239,14.1218077865,13.7323431928,13.9731571782,906400,0.0,1.0
HSY,2000-01-04 00:00:00+00:00,44.63,46.0,44.44,45.75,530000,13.268553295,13.6758559617,13.2120660638,13.6015306575,1060000,0.0,1.0
HSY,2000-01-05 00:00:00+00:00,45.06,46.5,44.38,44.75,543700,13.3963928181,13.8245065699,13.1942279908,13.304229441,1087400,0.0,1.0
HSY,2000-01-06 00:00:00+00:00,46.0,47.31,44.88,45.06,501200,13.6758559617,14.0653205553,13.3428785991,13.3963928181,1002400,0.0,1.0
HSY,2000-01-07 00:00:00+00:00,46.13,46.94,45.25,46.06,402900,13.7145051198,13.9553191052,13.4528800492,13.6936940347,805800,0.0,1.0
HSY,2000-01-10 00:00:00+00:00,46.25,46.81,45.69,46.0,329600,13.7501812658,13.9166699471,13.5836925845,13.6758559617,659200,0.0,1.0
HSY,2000-01-11 00:00:00+00:00,45.31,46.5,44.75,46.25,406600,13.4707181222,13.8245065699,13.304229441,13.7501812658,813200,0.0,1.0
HSY,2000-01-12 00:00:00+00:00,45.0,46.56,44.69,45.56,342000,13.3785547451,13.8423446429,13.286391368,13.5450434264,684000,0.0,1.0
HSY,2000-01-13 00:00:00+00:00,44.69,45.44,44.56,45.0,250300,13.286391368,13.5093672804,13.2477422098,13.3785547451,500600,0.0,1.0
HSY,2000-01-14 00:00:00+00:00,42.56,44.88,40.0,44.88,4758500,12.6531397767,13.3428785991,11.8920486623,13.3428785991,9517000,0.0,1.0
HSY,2000-01-18 00:00:00+00:00,43.0,43.0,41.63,42.56,501700,12.783952312,12.783952312,12.3766496453,12.6531397767,1003400,0.0,1.0
HSY,2000-01-19 00:00:00+00:00,43.13,43.38,42.13,42.5,515700,12.8226014701,12.8969267743,12.5253002536,12.6353017037,1031400,0.0,1.0
HSY,2000-01-20 00:00:00+00:00,42.19,43.13,42.0,43.06,543700,12.5431383266,12.8226014701,12.4866510954,12.801790385,1087400,0.0,1.0
HSY,2000-01-21 00:00:00+00:00,41.25,42.44,40.75,42.19,480100,12.263675183,12.6174636307,12.1150245747,12.5431383266,960200,0.0,1.0
HSY,2000-01-24 00:00:00+00:00,40.13,41.63,40.13,41.63,332900,11.9306978205,12.3766496453,11.9306978205,12.3766496453,665800,0.0,1.0
HSY,2000-01-25 00:00:00+00:00,39.81,41.19,39.31,40.38,320800,11.8355614312,12.24583711,11.6869108229,12.0050231246,641600,0.0,1.0
HSY,2000-01-26 00:00:00+00:00,40.19,40.44,39.25,40.0,499100,11.9485358935,12.0228611976,11.6690727499,11.8920486623,998200,0.0,1.0
HSY,2000-01-27 00:00:00+00:00,39.44,40.13,39.0,40.13,311800,11.725559981,11.9306978205,11.5947474458,11.9306978205,623600,0.0,1.0
HSY,2000-01-28 00:00:00+00:00,37.75,39.25,37.75,39.25,703800,11.2231209251,11.6690727499,11.2231209251,11.6690727499,1407600,0.0,1.0
HSY,2000-01-31 00:00:00+00:00,42.5,42.81,38.44,38.5,991200,12.6353017037,12.7274650808,11.4282587645,11.4460968375,1982400,0.0,1.0
HSY,2000-02-01 00:00:00+00:00,40.56,42.5,40.25,42.25,599200,12.0585373436,12.6353017037,11.9663739664,12.5609763996,1198400,0.0,1.0
HSY,2000-02-02 00:00:00+00:00,40.75,41.19,40.38,40.5,650000,12.1150245747,12.24583711,12.0050231246,12.0406992706,1300000,0.0,1.0
HSY,2000-02-03 00:00:00+00:00,41.38,41.81,40.94,40.94,487600,12.3023243412,12.4301638643,12.1715118059,12.1715118059,975200,0.0,1.0
HSY,2000-02-04 00:00:00+00:00,41.5,41.75,41.0,41.63,393400,12.3380004871,12.4123257913,12.1893498789,12.3766496453,786800,0.0,1.0
HSY,2000-02-07 00:00:00+00:00,41.0,41.5,40.88,41.13,313900,12.1893498789,12.3380004871,12.1536737329,12.227999037,627800,0.0,1.0
HSY,2000-02-08 00:00:00+00:00,42.19,42.19,41.0,41.0,443800,12.5431383266,12.5431383266,12.1893498789,12.1893498789,887600,0.0,1.0
HSY,2000-02-09 00:00:00+00:00,41.75,42.31,41.56,41.88,455600,12.4123257913,12.5788144726,12.3558385601,12.4509749494,911200,0.0,1.0
HSY,2000-02-10 00:00:00+00:00,42.0,42.13,41.19,41.5,538800,12.4866510954,12.5253002536,12.24583711,12.3380004871,1077600,0.0,1.0
HSY,2000-02-11 00:00:00+00:00,42.75,45.44,41.88,42.0,1104600,12.7096270078,13.5093672804,12.4509749494,12.4866510954,2209200,0.0,1.0
HSY,2000-02-14 00:00:00+00:00,42.44,43.0,41.56,42.75,442600,12.6174636307,12.783952312,12.3558385601,12.7096270078,885200,0.0,1.0
HSY,2000-02-15 00:00:00+00:00,43.81,44.13,42.25,42.25,605700,13.0247662974,13.1199026867,12.5609763996,12.5609763996,1211400,0.0,1.0
HSY,2000-02-16 00:00:00+00:00,44.19,45.19,43.25,44.25,825000,13.1377407597,13.4350419762,12.8582776161,13.1555788327,1650000,0.0,1.0
HSY,2000-02-17 00:00:00+00:00,44.56,45.06,44.0,44.06,419200,13.2477422098,13.3963928181,13.0812535285,13.0990916015,838400,0.0,1.0
HSY,2000-02-18 00:00:00+00:00,45.13,45.19,44.5,44.5,607700,13.4172039033,13.4350419762,13.2299041368,13.2299041368,1215400,0.0,1.0
HSY,2000-02-22 00:00:00+00:00,46.69,47.25,44.38,44.94,818000,13.8809938011,14.0474824824,13.1942279908,13.3607166721,1636000,0.0,1.0
HSY,2000-02-23 00:00:00+00:00,46.13,47.38,45.5,46.13,925100,13.7918034361,14.1655245351,13.6034480022,13.7918034361,1850200,0.26,1.0
HSY,2000-02-24 00:00:00+00:00,44.75,45.31,43.69,45.31,1386400,13.3792153429,13.5466423952,13.0622998509,13.5466423952,2772800,0.0,1.0
HSY,2000-02-25 00:00:00+00:00,45.13,45.31,44.19,44.81,813700,13.4928265569,13.5466423952,13.2117882905,13.3971539556,1627400,0.0,1.0
HSY,2000-02-28 00:00:00+00:00,44.13,45.06,43.94,45.0,523600,13.1938496778,13.4718981754,13.1370440707,13.4539595627,1047200,0.0,1.0
HSY,2000-02-29 00:00:00+00:00,43.94,43.94,41.88,43.0,1073900,13.1370440707,13.1370440707,12.5211516996,12.8560058043,2147800,0.0,1.0
HSY,2000-03-01 00:00:00+00:00,44.81,45.0,43.0,43.94,742900,13.3971539556,13.4539595627,12.8560058043,13.1370440707,1485800,0.0,1.0
HSY,2000-03-02 00:00:00+00:00,43.69,44.63,42.94,44.56,425100,13.0622998509,13.3433381174,12.8380671916,13.3224097358,850200,0.0,1.0
HSY,2000-03-03 00:00:00+00:00,43.13,43.44,42.88,43.44,414000,12.8948727986,12.9875556311,12.8201285788,12.9875556311,828000,0.0,1.0
HSY,2000-03-06 00:00:00+00:00,42.19,42.75,41.56,42.5,444600,12.6138345322,12.7812615845,12.4254790983,12.7065173647,889200,0.0,1.0
HSY,2000-03-07 00:00:00+00:00,40.0,41.25,39.63,41.19,654100,11.9590751668,12.3327962658,11.8484537215,12.314857653,1308200,0.0,1.0
HSY,2000-03-08 00:00:00+00:00,41.81,43.13,39.75,40.0,920800,12.5002233181,12.8948727986,11.884330947,11.9590751668,1841600,0.0,1.0
HSY,2000-03-09 00:00:00+00:00,41.13,41.63,40.31,40.44,826300,12.2969190403,12.4464074798,12.0517579993,12.0906249936,1652600,0.0,1.0
HSY,2000-03-10 00:00:00+00:00,40.0,41.0,39.75,40.69,511000,11.9590751668,12.258052046,11.884330947,12.1653692134,1022000,0.0,1.0
HSY,2000-03-13 00:00:00+00:00,40.0,40.0,39.19,39.38,412900,11.9590751668,11.9590751668,11.7169038947,11.7737095017,825800,0.0,1.0
HSY,2000-03-14 00:00:00+00:00,40.94,41.13,40.0,40.0,534900,12.2401134332,12.2969190403,11.9590751668,11.9590751668,1069800,0.0,1.0
HSY,2000-03-15 00:00:00+00:00,43.75,43.88,40.63,41.0,803300,13.0802384637,13.119105458,12.1474306007,12.258052046,1606600,0.0,1.0
HSY,2000-03-16 00:00:00+00:00,47.69,48.31,44.0,44.0,946100,14.2582073676,14.4435730327,13.1549826835,13.1549826835,1892200,0.0,1.0
HSY,2000-03-17 00:00:00+00:00,46.13,47.0,46.13,46.5,764700,13.7918034361,14.051913321,13.7918034361,13.9024248814,1529400,0.0,1.0
HSY,2000-03-20 00:00:00+00:00,47.0,48.0,46.13,46.13,729600,14.051913321,14.3508902002,13.7918034361,13.7918034361,1459200,0.0,1.0
HSY,2000-03-21 00:00:00+00:00,46.94,47.25,46.0,47.25,353900,14.0339747082,14.1266575408,13.7529364418,14.1266575408,707800,0.0,1.0
HSY,2000-03-22 00:00:00+00:00,45.06,46.5,44.25,46.25,525800,13.4718981754,13.9024248814,13.2297269033,13.8276806616,1051600,0.0,1.0
HSY,2000-03-23 00:00:00+00:00,45.31,45.44,43.81,44.63,373300,13.5466423952,13.5855093895,13.0981770764,13.3433381174,746600,0.0,1.0
HSY,2000-03-24 00:00:00+00:00,44.0,45.0,43.75,44.81,487000,13.1549826835,13.4539595627,13.0802384637,13.3971539556,974000,0.0,1.0
