symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
HUM,2000-01-03 00:00:00+00:00,7.563,8.375,7.5,8.313,1287300,6.8577941509,7.5940798643,6.8006685352,7.5378610045,1287300,0.0,1.0
HUM,2000-01-04 00:00:00+00:00,7.625,7.875,7.375,7.375,1238300,6.9140130108,7.140701962,6.6873240597,6.6873240597,1238300,0.0,1.0
HUM,2000-01-05 00:00:00+00:00,7.75,7.875,7.5,7.5,1096300,7.0273574864,7.140701962,6.8006685352,6.8006685352,1096300,0.0,1.0
HUM,2000-01-06 00:00:00+00:00,8.125,8.25,7.5,7.75,1026700,7.3673909132,7.4807353888,6.8006685352,7.0273574864,1026700,0.0,1.0
HUM,2000-01-07 00:00:00+00:00,8.75,9.125,8.063,8.188,2419300,7.9341132911,8.2741467179,7.3111720533,7.4245165289,2419300,0.0,1.0
HUM,2000-01-10 00:00:00+00:00,8.375,8.938,8.375,8.875,1276200,7.5940798643,8.1045833824,7.5940798643,8.0474577667,1276200,0.0,1.0
HUM,2000-01-11 00:00:00+00:00,8.25,8.75,8.25,8.375,693700,7.4807353888,7.9341132911,7.4807353888,7.5940798643,693700,0.0,1.0
HUM,2000-01-12 00:00:00+00:00,8.438,8.688,8.25,8.375,764000,7.65120548,7.8778944312,7.4807353888,7.5940798643,764000,0.0,1.0
HUM,2000-01-13 00:00:00+00:00,9.25,9.5,8.563,8.563,1760600,8.3874911935,8.6141801446,7.7645499556,7.7645499556,1760600,0.0,1.0
HUM,2000-01-14 00:00:00+00:00,8.25,9.625,8.25,9.375,1429000,7.4807353888,8.7275246202,7.4807353888,8.500835669,1429000,0.0,1.0
HUM,2000-01-18 00:00:00+00:00,8.625,9.0,8.375,9.0,776600,7.8207688155,8.1608022423,7.5940798643,8.1608022423,776600,0.0,1.0
HUM,2000-01-19 00:00:00+00:00,8.0,8.688,8.0,8.688,1220100,7.2540464376,7.8778944312,7.2540464376,7.8778944312,1220100,0.0,1.0
HUM,2000-01-20 00:00:00+00:00,7.75,8.063,7.688,8.0,1744500,7.0273574864,7.3111720533,6.9711386265,7.2540464376,1744500,0.0,1.0
HUM,2000-01-21 00:00:00+00:00,7.813,8.063,7.688,7.75,1670100,7.0844831021,7.3111720533,6.9711386265,7.0273574864,1670100,0.0,1.0
HUM,2000-01-24 00:00:00+00:00,7.938,8.125,7.625,7.938,1001400,7.1978275777,7.3673909132,6.9140130108,7.1978275777,1001400,0.0,1.0
HUM,2000-01-25 00:00:00+00:00,7.75,7.813,7.5,7.5,994500,7.0273574864,7.0844831021,6.8006685352,6.8006685352,994500,0.0,1.0
HUM,2000-01-26 00:00:00+00:00,7.875,8.063,7.75,7.75,821500,7.140701962,7.3111720533,7.0273574864,7.0273574864,821500,0.0,1.0
HUM,2000-01-27 00:00:00+00:00,7.625,8.063,7.625,8.0,421200,6.9140130108,7.3111720533,6.9140130108,7.2540464376,421200,0.0,1.0
HUM,2000-01-28 00:00:00+00:00,7.625,8.063,7.125,7.375,1775700,6.9140130108,7.3111720533,6.4606351085,6.6873240597,1775700,0.0,1.0
HUM,2000-01-31 00:00:00+00:00,8.0,8.188,7.625,7.625,858700,7.2540464376,7.4245165289,6.9140130108,6.9140130108,858700,0.0,1.0
HUM,2000-02-01 00:00:00+00:00,8.25,8.375,8.0,8.0,783600,7.4807353888,7.5940798643,7.2540464376,7.2540464376,783600,0.0,1.0
HUM,2000-02-02 00:00:00+00:00,8.313,8.625,8.25,8.313,597300,7.5378610045,7.8207688155,7.4807353888,7.5378610045,597300,0.0,1.0
HUM,2000-02-03 00:00:00+00:00,8.438,8.625,8.313,8.313,773500,7.65120548,7.8207688155,7.5378610045,7.5378610045,773500,0.0,1.0
HUM,2000-02-04 00:00:00+00:00,8.375,8.688,8.375,8.563,481200,7.5940798643,7.8778944312,7.5940798643,7.7645499556,481200,0.0,1.0
HUM,2000-02-07 00:00:00+00:00,8.438,8.625,8.313,8.5,574300,7.65120548,7.8207688155,7.5378610045,7.7074243399,574300,0.0,1.0
HUM,2000-02-08 00:00:00+00:00,8.188,8.563,8.063,8.438,713800,7.4245165289,7.7645499556,7.3111720533,7.65120548,713800,0.0,1.0
HUM,2000-02-09 00:00:00+00:00,7.563,8.125,7.438,7.813,1495000,6.8577941509,7.3673909132,6.7444496753,7.0844831021,1495000,0.0,1.0
HUM,2000-02-10 00:00:00+00:00,7.188,7.5,7.0,7.438,1307800,6.5177607242,6.8006685352,6.3472906329,6.7444496753,1307800,0.0,1.0
HUM,2000-02-11 00:00:00+00:00,6.875,7.125,6.688,7.125,983900,6.2339461573,6.4606351085,6.0643828218,6.4606351085,983900,0.0,1.0
HUM,2000-02-14 00:00:00+00:00,7.438,7.5,6.813,6.938,902200,6.7444496753,6.8006685352,6.1777272974,6.291071773,902200,0.0,1.0
HUM,2000-02-15 00:00:00+00:00,7.563,7.688,7.375,7.563,753600,6.8577941509,6.9711386265,6.6873240597,6.8577941509,753600,0.0,1.0
HUM,2000-02-16 00:00:00+00:00,7.375,7.688,7.188,7.563,535300,6.6873240597,6.9711386265,6.5177607242,6.8577941509,535300,0.0,1.0
HUM,2000-02-17 00:00:00+00:00,7.125,7.438,7.063,7.438,417200,6.4606351085,6.7444496753,6.4044162486,6.7444496753,417200,0.0,1.0
HUM,2000-02-18 00:00:00+00:00,7.063,7.25,7.0,7.125,357400,6.4044162486,6.5739795841,6.3472906329,6.4606351085,357400,0.0,1.0
HUM,2000-02-22 00:00:00+00:00,7.063,7.063,6.875,7.0,517200,6.4044162486,6.4044162486,6.2339461573,6.3472906329,517200,0.0,1.0
HUM,2000-02-23 00:00:00+00:00,7.125,7.25,6.813,7.0,628800,6.4606351085,6.5739795841,6.1777272974,6.3472906329,628800,0.0,1.0
HUM,2000-02-24 00:00:00+00:00,6.875,7.25,6.875,7.25,467600,6.2339461573,6.5739795841,6.2339461573,6.5739795841,467600,0.0,1.0
HUM,2000-02-25 00:00:00+00:00,6.625,7.063,6.625,6.875,457300,6.0072572061,6.4044162486,6.0072572061,6.2339461573,457300,0.0,1.0
