symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
IBM,2000-01-03 00:00:00+00:00,116.0,116.0,111.87,112.44,10347700,63.2190758473,63.2190758473,60.9682587504,61.2789042093,10823694,0.0,1.0
IBM,2000-01-04 00:00:00+00:00,112.06,114.5,110.87,114.0,8227800,61.0718072367,62.4015877976,60.4232667172,62.129091781,8606278,0.0,1.0
IBM,2000-01-05 00:00:00+00:00,116.0,119.75,112.12,112.94,12733200,63.2190758473,65.2627959717,61.1045067587,61.5514002258,13318927,0.0,1.0
IBM,2000-01-06 00:00:00+00:00,114.0,118.94,113.5,118.0,7971900,62.129091781,64.8213524248,61.8565957644,64.3090599137,8338607,0.0,1.0
IBM,2000-01-07 00:00:00+00:00,113.5,117.94,110.62,117.25,11856700,61.8565957644,64.2763603917,60.2870187089,63.9003158888,12402108,0.0,1.0
IBM,2000-01-10 00:00:00+00:00,118.0,119.37,115.37,117.25,8540500,64.3090599137,65.0556989991,62.8757308664,63.9003158888,8933363,0.0,1.0
IBM,2000-01-11 00:00:00+00:00,119.0,121.12,116.62,117.87,7873300,64.8540519468,66.0094350572,63.5569709079,64.2382109494,8235471,0.0,1.0
IBM,2000-01-12 00:00:00+00:00,119.5,122.0,118.25,119.62,6803800,65.1265479634,66.4890280463,64.445307922,65.1919470074,7116774,0.0,1.0
IBM,2000-01-13 00:00:00+00:00,118.25,121.0,115.75,119.94,8489700,64.445307922,65.9440360132,63.082827839,65.366344458,8880226,0.0,1.0
IBM,2000-01-14 00:00:00+00:00,119.62,123.31,117.5,120.94,10956600,65.1919470074,67.2029676098,64.0365638971,65.9113364912,11460603,0.0,1.0
IBM,2000-01-18 00:00:00+00:00,115.75,119.75,115.0,119.69,7643900,63.082827839,65.2627959717,62.6740838142,65.2300964497,7995519,0.0,1.0
IBM,2000-01-19 00:00:00+00:00,119.5,122.0,112.69,115.56,8634500,65.1265479634,66.4890280463,61.4151522176,62.9792793527,9031687,0.0,1.0
IBM,2000-01-20 00:00:00+00:00,119.0,124.75,119.0,123.0,17783400,64.8540519468,67.9877561375,64.8540519468,67.0340200795,18601436,0.0,1.0
IBM,2000-01-21 00:00:00+00:00,121.5,123.0,119.94,121.87,7868700,66.2165320298,67.0340200795,65.366344458,66.418179082,8230660,0.0,1.0
IBM,2000-01-24 00:00:00+00:00,121.5,122.87,116.56,121.87,6499200,66.2165320298,66.9631711152,63.5242713859,66.418179082,6798163,0.0,1.0
IBM,2000-01-25 00:00:00+00:00,119.12,119.5,116.0,116.75,6936900,64.9194509908,65.1265479634,63.2190758473,63.6278198722,7255997,0.0,1.0
IBM,2000-01-26 00:00:00+00:00,116.75,119.94,116.0,119.06,4895100,63.6278198722,65.366344458,63.2190758473,64.8867514688,5120274,0.0,1.0
IBM,2000-01-27 00:00:00+00:00,113.5,118.44,111.62,118.0,8324600,61.8565957644,64.5488564083,60.8320107421,64.3090599137,8707531,0.0,1.0
IBM,2000-01-28 00:00:00+00:00,111.56,114.19,110.06,112.75,6669400,60.7993112201,62.2326402673,59.9818231703,61.4478517395,6976192,0.0,1.0
IBM,2000-01-31 00:00:00+00:00,112.25,112.81,109.62,111.37,6202700,61.175355723,61.4805512615,59.7420266757,60.6957627338,6488024,0.0,1.0
IBM,2000-02-01 00:00:00+00:00,110.0,113.44,109.12,112.37,7304700,59.9491236483,61.8238962424,59.4695306592,61.2407547669,7640716,0.0,1.0
IBM,2000-02-02 00:00:00+00:00,113.5,115.81,110.37,112.0,7707700,61.8565957644,63.115527361,60.1507707006,61.0391077147,8062254,0.0,1.0
IBM,2000-02-03 00:00:00+00:00,117.12,117.5,114.06,115.0,6213800,63.8294669245,64.0365638971,62.161791303,62.6740838142,6499634,0.0,1.0
IBM,2000-02-04 00:00:00+00:00,115.62,118.44,114.81,118.19,5405300,63.0119788747,64.5488564083,62.5705353279,64.4126084,5653943,0.0,1.0
IBM,2000-02-07 00:00:00+00:00,114.12,116.87,113.12,116.0,5779500,62.194490825,63.6932189162,61.6494987918,63.2190758473,6045357,0.0,1.0
IBM,2000-02-08 00:00:00+00:00,118.81,119.0,116.19,116.94,5464300,64.8159025045,64.9195555764,63.3865811969,63.7957380597,5715657,0.12,1.0
IBM,2000-02-09 00:00:00+00:00,117.37,119.75,117.0,119.0,5374700,64.0303213278,65.3287124393,63.8284706088,64.9195555764,5621936,0.0,1.0
