symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
ICE,2005-11-16 00:00:00+00:00,39.25,44.21,38.56,39.0,19551800,6.9832034865,7.8656669079,6.8604414379,6.9387244834,97759000,0.0,1.0
ICE,2005-11-17 00:00:00+00:00,35.25,41.75,34.0,40.3,6861700,6.2715394369,7.4279935174,6.0491444214,7.1700152995,34308500,0.0,1.0
ICE,2005-11-18 00:00:00+00:00,35.0,36.95,34.56,36.2,2562000,6.2270604338,6.573996658,6.1487773883,6.4405596487,12810000,0.0,1.0
ICE,2005-11-21 00:00:00+00:00,35.9,35.96,34.82,35.25,1280800,6.3871848449,6.3978598057,6.1950355516,6.2715394369,6404000,0.0,1.0
ICE,2005-11-22 00:00:00+00:00,34.95,35.46,34.3,35.45,1306600,6.2181646332,6.3089017995,6.1025192251,6.3071226394,6533000,0.0,1.0
ICE,2005-11-23 00:00:00+00:00,33.95,34.95,31.55,34.7,2484200,6.0402486208,6.2181646332,5.613250191,6.1736856301,12421000,0.0,1.0
ICE,2005-11-25 00:00:00+00:00,34.15,34.45,33.65,33.75,263200,6.0758318233,6.129206627,5.9868738171,6.0046654183,1316000,0.0,1.0
ICE,2005-11-28 00:00:00+00:00,33.3,33.9,32.55,33.9,631000,5.9246032127,6.0313528202,5.7911662034,6.0313528202,3155000,0.0,1.0
ICE,2005-11-29 00:00:00+00:00,31.97,33.49,31.27,33.3,895500,5.6879749162,5.9584072551,5.5634337076,5.9246032127,4477500,0.0,1.0
ICE,2005-11-30 00:00:00+00:00,32.3,32.41,31.6,32.1,778900,5.7466872003,5.7662579617,5.6221459916,5.7111039978,3894500,0.0,1.0
ICE,2005-12-01 00:00:00+00:00,35.0,35.2,32.15,32.3,1137700,6.2270604338,6.2626436363,5.7199997985,5.7466872003,5688500,0.0,1.0
ICE,2005-12-02 00:00:00+00:00,36.1,36.3,34.9,35.0,1024000,6.4227680474,6.4583512499,6.2092688325,6.2270604338,5120000,0.0,1.0
ICE,2005-12-05 00:00:00+00:00,36.81,37.45,36.18,36.18,918500,6.5490884162,6.6629546642,6.4370013284,6.4370013284,4592500,0.0,1.0
ICE,2005-12-06 00:00:00+00:00,36.58,37.61,36.45,36.81,640500,6.5081677334,6.6914212261,6.4850386518,6.5490884162,3202500,0.0,1.0
