symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
IDXX,2000-01-03 00:00:00+00:00,16.06,16.25,16.0,16.03,305000,4.015,4.0625,4.0,4.0075,1220000,0.0,1.0
IDXX,2000-01-04 00:00:00+00:00,14.63,15.94,14.5,15.81,1051000,3.6575,3.985,3.625,3.9525,4204000,0.0,1.0
IDXX,2000-01-05 00:00:00+00:00,15.13,15.25,14.75,15.0,891300,3.7825,3.8125,3.6875,3.75,3565200,0.0,1.0
IDXX,2000-01-06 00:00:00+00:00,15.0,15.13,14.88,15.06,716300,3.75,3.7825,3.72,3.765,2865200,0.0,1.0
IDXX,2000-01-07 00:00:00+00:00,15.81,15.88,14.75,15.03,584000,3.9525,3.97,3.6875,3.7575,2336000,0.0,1.0
IDXX,2000-01-10 00:00:00+00:00,16.38,16.44,15.69,15.81,155100,4.095,4.11,3.9225,3.9525,620400,0.0,1.0
IDXX,2000-01-11 00:00:00+00:00,17.75,17.81,16.38,16.44,625200,4.4375,4.4525,4.095,4.11,2500800,0.0,1.0
IDXX,2000-01-12 00:00:00+00:00,17.5,17.75,17.19,17.38,392400,4.375,4.4375,4.2975,4.345,1569600,0.0,1.0
IDXX,2000-01-13 00:00:00+00:00,17.75,17.75,17.25,17.69,288100,4.4375,4.4375,4.3125,4.4225,1152400,0.0,1.0
IDXX,2000-01-14 00:00:00+00:00,17.69,18.19,17.25,17.56,254900,4.4225,4.5475,4.3125,4.39,1019600,0.0,1.0
IDXX,2000-01-18 00:00:00+00:00,17.13,17.63,17.13,17.56,917900,4.2825,4.4075,4.2825,4.39,3671600,0.0,1.0
IDXX,2000-01-19 00:00:00+00:00,16.88,17.19,16.75,17.16,526700,4.22,4.2975,4.1875,4.29,2106800,0.0,1.0
IDXX,2000-01-20 00:00:00+00:00,16.5,16.88,15.88,16.75,317600,4.125,4.22,3.97,4.1875,1270400,0.0,1.0
