symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
IEX,2000-01-03 00:00:00+00:00,30.19,30.5,30.0,30.5,66044,9.4292010776,9.5260229502,9.3698586396,9.5260229502,148598,0.0,1.0
IEX,2000-01-04 00:00:00+00:00,28.81,30.06,28.5,30.06,28178,8.9981875802,9.3885983568,8.9013657076,9.3885983568,63400,0.0,1.0
IEX,2000-01-05 00:00:00+00:00,28.88,28.88,28.13,28.63,37600,9.0200505837,9.0200505837,8.7858041177,8.9419684283,84599,0.0,1.0
IEX,2000-01-06 00:00:00+00:00,28.69,29.13,28.31,28.56,27200,8.9607081456,9.098132739,8.8420232695,8.9201054249,61199,0.0,1.0
IEX,2000-01-07 00:00:00+00:00,29.5,29.63,28.56,28.56,17778,9.2136943289,9.2542970497,8.9201054249,8.9201054249,40000,0.0,1.0
IEX,2000-01-10 00:00:00+00:00,29.81,29.81,29.13,29.69,27600,9.3105162015,9.3105162015,9.098132739,9.2730367669,62099,0.0,1.0
IEX,2000-01-11 00:00:00+00:00,29.81,29.94,29.63,29.69,15778,9.3105162015,9.3511189223,9.2542970497,9.2730367669,35500,0.0,1.0
IEX,2000-01-12 00:00:00+00:00,29.88,29.88,29.69,29.69,16800,9.332379205,9.332379205,9.2730367669,9.2730367669,37799,0.0,1.0
IEX,2000-01-13 00:00:00+00:00,30.38,30.75,29.56,29.56,34667,9.5322695226,9.6483636544,9.2749798252,9.2749798252,78000,0.14,1.0
IEX,2000-01-14 00:00:00+00:00,30.81,31.0,30.38,30.38,19644,9.6671897298,9.7268056353,9.5322695226,9.5322695226,44198,0.0,1.0
IEX,2000-01-18 00:00:00+00:00,30.44,30.81,29.81,30.44,34178,9.5510955981,9.6671897298,9.3534218061,9.5510955981,76900,0.0,1.0
IEX,2000-01-19 00:00:00+00:00,30.81,30.88,30.13,30.44,30044,9.6671897298,9.6891534845,9.4538275417,9.5510955981,67598,0.0,1.0
IEX,2000-01-20 00:00:00+00:00,31.38,31.38,30.69,30.69,20444,9.8460374464,9.8460374464,9.629537579,9.629537579,45998,0.0,1.0
IEX,2000-01-21 00:00:00+00:00,30.75,31.0,30.63,31.0,24667,9.6483636544,9.7268056353,9.6107115036,9.7268056353,55500,0.0,1.0
IEX,2000-01-24 00:00:00+00:00,29.5,31.19,29.5,31.19,24044,9.2561537498,9.7864215409,9.2561537498,9.7864215409,54098,0.0,1.0
IEX,2000-01-25 00:00:00+00:00,28.13,29.56,27.81,29.56,42578,8.8262916943,9.2749798252,8.7258859587,9.2749798252,95800,0.0,1.0
IEX,2000-01-26 00:00:00+00:00,27.88,28.31,27.88,28.13,29600,8.7478497133,8.8827699205,8.7478497133,8.8262916943,66599,0.0,1.0
IEX,2000-01-27 00:00:00+00:00,27.06,27.69,27.06,27.63,53644,8.4905600159,8.6882338078,8.4905600159,8.6694077324,120698,0.0,1.0
IEX,2000-01-28 00:00:00+00:00,27.25,27.38,27.0,27.06,114444,8.5501759214,8.5909657515,8.4717339405,8.4905600159,257498,0.0,1.0
IEX,2000-01-31 00:00:00+00:00,26.88,27.38,26.88,27.25,50978,8.4340817896,8.5909657515,8.4340817896,8.5501759214,114700,0.0,1.0
IEX,2000-02-01 00:00:00+00:00,26.56,26.94,26.44,26.94,25378,8.333676054,8.452907865,8.2960239032,8.452907865,57100,0.0,1.0
IEX,2000-02-02 00:00:00+00:00,25.0,26.56,25.0,26.56,54667,7.844198093,8.333676054,7.844198093,8.333676054,123000,0.0,1.0
IEX,2000-02-03 00:00:00+00:00,24.81,25.25,24.5,25.25,65644,7.7845821875,7.922640074,7.6873141312,7.922640074,147698,0.0,1.0
IEX,2000-02-04 00:00:00+00:00,25.19,25.25,24.37,24.37,143378,7.9038139985,7.922640074,7.6465243011,7.6465243011,322600,0.0,1.0
IEX,2000-02-07 00:00:00+00:00,26.5,26.5,25.19,25.19,57200,8.3148499786,8.3148499786,7.9038139985,7.9038139985,128699,0.0,1.0
IEX,2000-02-08 00:00:00+00:00,26.88,27.13,26.13,26.75,68578,8.4340817896,8.5125237705,8.1987558468,8.3932919595,154300,0.0,1.0
IEX,2000-02-09 00:00:00+00:00,26.75,27.19,26.63,27.0,44044,8.3932919595,8.531349846,8.3556398087,8.4717339405,99098,0.0,1.0
IEX,2000-02-10 00:00:00+00:00,26.25,26.75,26.0,26.75,25200,8.2364079977,8.3932919595,8.1579660167,8.3932919595,56699,0.0,1.0
IEX,2000-02-11 00:00:00+00:00,25.63,26.13,25.63,26.13,23778,8.041871885,8.1987558468,8.041871885,8.1987558468,53500,0.0,1.0
IEX,2000-02-14 00:00:00+00:00,24.19,25.13,24.0,25.13,86844,7.5900460748,7.8849879231,7.5304301693,7.8849879231,195398,0.0,1.0
IEX,2000-02-15 00:00:00+00:00,23.13,24.06,22.75,24.0,179467,7.2574520757,7.5492562447,7.1382202647,7.5304301693,403800,0.0,1.0
IEX,2000-02-16 00:00:00+00:00,24.0,24.0,23.0,23.25,36400,7.5304301693,7.5304301693,7.2166622456,7.2951042265,81899,0.0,1.0
IEX,2000-02-17 00:00:00+00:00,23.94,24.25,23.56,24.13,74000,7.5116040939,7.6088721502,7.3923722829,7.5712199994,166499,0.0,1.0
IEX,2000-02-18 00:00:00+00:00,23.88,24.25,23.88,24.13,32667,7.4927780185,7.6088721502,7.4927780185,7.5712199994,73500,0.0,1.0
IEX,2000-02-22 00:00:00+00:00,24.0,24.06,23.38,23.88,35244,7.5304301693,7.5492562447,7.3358940566,7.4927780185,79298,0.0,1.0
IEX,2000-02-23 00:00:00+00:00,24.63,24.75,23.75,23.81,29600,7.7281039612,7.7657561121,7.4519881884,7.4708142638,66599,0.0,1.0
IEX,2000-02-24 00:00:00+00:00,23.13,24.5,23.13,24.5,35467,7.2574520757,7.6873141312,7.2574520757,7.6873141312,79800,0.0,1.0
