symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
IFF,2000-01-03 00:00:00+00:00,35.56,37.94,35.0,37.62,312300,33.792310436,36.0540005045,33.2601480669,35.7499077222,312300,0.0,1.0
IFF,2000-01-04 00:00:00+00:00,35.13,35.5,34.56,35.0,318300,33.3836857597,33.7352930393,32.8420204912,33.2601480669,318300,0.0,1.0
IFF,2000-01-05 00:00:00+00:00,35.31,35.44,34.56,35.38,255400,33.5547379498,33.6782756426,32.8420204912,33.6212582459,255400,0.0,1.0
IFF,2000-01-06 00:00:00+00:00,36.25,37.13,35.0,35.13,212700,34.4480104979,35.2842656493,33.2601480669,33.3836857597,212700,0.0,1.0
IFF,2000-01-07 00:00:00+00:00,37.31,37.63,36.38,36.5,153000,35.4553178393,35.7594106216,34.5715481907,34.6855829841,153000,0.0,1.0
IFF,2000-01-10 00:00:00+00:00,36.38,36.88,35.75,36.75,185400,34.5715481907,35.0466931631,33.9728655255,34.9231554703,185400,0.0,1.0
IFF,2000-01-11 00:00:00+00:00,36.44,36.81,35.81,36.25,140500,34.6285655874,34.9801728669,34.0298829222,34.4480104979,140500,0.0,1.0
IFF,2000-01-12 00:00:00+00:00,36.31,37.25,36.0,36.69,183400,34.5050278946,35.3983004426,34.2104380117,34.8661380736,183400,0.0,1.0
IFF,2000-01-13 00:00:00+00:00,36.94,37.56,36.25,36.25,209400,35.1037105598,35.6928903255,34.4480104979,34.4480104979,209400,0.0,1.0
IFF,2000-01-14 00:00:00+00:00,36.94,37.25,36.06,36.38,406000,35.1037105598,35.3983004426,34.2674554084,34.5715481907,406000,0.0,1.0
IFF,2000-01-18 00:00:00+00:00,36.44,36.75,35.75,36.0,185100,34.6285655874,34.9231554703,33.9728655255,34.2104380117,185100,0.0,1.0
IFF,2000-01-19 00:00:00+00:00,36.69,37.06,36.22,36.31,248300,34.8661380736,35.2177453531,34.4195017995,34.5050278946,248300,0.0,1.0
IFF,2000-01-20 00:00:00+00:00,36.81,37.06,36.56,36.69,236200,34.9801728669,35.2177453531,34.7426003807,34.8661380736,236200,0.0,1.0
IFF,2000-01-21 00:00:00+00:00,36.63,37.5,36.56,37.5,246300,34.8091206769,35.6358729288,34.7426003807,35.6358729288,246300,0.0,1.0
IFF,2000-01-24 00:00:00+00:00,35.81,36.56,35.81,36.38,283600,34.0298829222,34.7426003807,34.0298829222,34.5715481907,283600,0.0,1.0
IFF,2000-01-25 00:00:00+00:00,35.63,36.19,34.88,35.56,404600,33.8588307321,34.3909931012,33.1461132735,33.792310436,404600,0.0,1.0
IFF,2000-01-26 00:00:00+00:00,36.19,36.25,34.75,35.63,245600,34.3909931012,34.4480104979,33.0225755807,33.8588307321,245600,0.0,1.0
IFF,2000-01-27 00:00:00+00:00,36.06,36.38,35.38,35.75,154900,34.2674554084,34.5715481907,33.6212582459,33.9728655255,154900,0.0,1.0
IFF,2000-01-28 00:00:00+00:00,35.88,36.19,34.69,36.06,425100,34.0964032183,34.3909931012,32.965558184,34.2674554084,425100,0.0,1.0
IFF,2000-01-31 00:00:00+00:00,35.69,36.13,35.5,35.88,206000,33.9158481288,34.3339757045,33.7352930393,34.0964032183,206000,0.0,1.0
IFF,2000-02-01 00:00:00+00:00,35.44,35.63,35.0,35.44,169500,33.6782756426,33.8588307321,33.2601480669,33.6782756426,169500,0.0,1.0
IFF,2000-02-02 00:00:00+00:00,35.31,35.63,35.0,35.38,269300,33.5547379498,33.8588307321,33.2601480669,33.6212582459,269300,0.0,1.0
IFF,2000-02-03 00:00:00+00:00,36.19,36.31,35.0,35.0,320200,34.3909931012,34.5050278946,33.2601480669,33.2601480669,320200,0.0,1.0
IFF,2000-02-04 00:00:00+00:00,35.5,36.19,35.44,36.19,224700,33.7352930393,34.3909931012,33.6782756426,34.3909931012,224700,0.0,1.0
IFF,2000-02-07 00:00:00+00:00,35.0,35.5,34.88,35.25,317700,33.2601480669,33.7352930393,33.1461132735,33.4977205531,317700,0.0,1.0
IFF,2000-02-08 00:00:00+00:00,34.56,34.56,33.5,34.0,326900,32.8420204912,32.8420204912,31.8347131498,32.3098581221,326900,0.0,1.0
IFF,2000-02-09 00:00:00+00:00,33.31,33.88,32.25,33.88,510600,31.6541580602,32.1958233288,30.6468507188,32.1958233288,510600,0.0,1.0
IFF,2000-02-10 00:00:00+00:00,33.5,33.75,32.75,33.31,274700,31.8347131498,32.0722856359,31.1219956912,31.6541580602,274700,0.0,1.0
IFF,2000-02-11 00:00:00+00:00,32.56,33.75,31.56,33.0,374900,30.9414406017,32.0722856359,29.9911506569,31.3595681774,374900,0.0,1.0
IFF,2000-02-14 00:00:00+00:00,32.44,32.44,31.31,32.0,274300,30.8274058083,30.8274058083,29.7535781707,30.4092782326,274300,0.0,1.0
IFF,2000-02-15 00:00:00+00:00,33.5,33.88,32.13,32.25,276800,31.8347131498,32.1958233288,30.5328159254,30.6468507188,276800,0.0,1.0
IFF,2000-02-16 00:00:00+00:00,33.13,33.5,32.19,33.5,204100,31.4831058702,31.8347131498,30.5898333221,31.8347131498,204100,0.0,1.0
IFF,2000-02-17 00:00:00+00:00,32.38,33.5,31.75,33.38,257600,30.7703884116,31.8347131498,30.1717057464,31.7206783564,257600,0.0,1.0
