symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
INTC,2000-01-03 00:00:00+00:00,87.0,87.38,83.25,83.27,28855100,25.3152100564,25.4257822383,24.2240372092,24.2298567977,57710200,0.0,1.0
INTC,2000-01-04 00:00:00+00:00,82.94,87.88,82.25,85.44,25509800,24.1338335871,25.5712719513,23.9330577833,24.861282152,51019600,0.0,1.0
INTC,2000-01-05 00:00:00+00:00,84.63,85.25,80.5,83.0,26194500,24.625588817,24.8059960611,23.4238437879,24.1512923527,52389000,0.0,1.0
INTC,2000-01-06 00:00:00+00:00,78.75,83.38,78.19,81.75,27585600,22.9146297925,24.2618645346,22.751681314,23.7875680703,55171200,0.0,1.0
INTC,2000-01-07 00:00:00+00:00,82.0,82.0,77.38,77.5,20548200,23.8603129268,23.8603129268,22.5159879789,22.5509055101,41096400,0.0,1.0
INTC,2000-01-10 00:00:00+00:00,85.75,87.25,84.13,85.75,26809900,24.951485774,25.3879549129,24.480099104,24.951485774,53619800,0.0,1.0
INTC,2000-01-11 00:00:00+00:00,89.69,92.38,88.28,88.56,52740900,26.0979447122,26.880679368,25.6876637216,25.7691379609,105481800,0.0,1.0
INTC,2000-01-12 00:00:00+00:00,91.25,94.75,89.25,90.88,48663300,26.5518726167,27.5703006075,25.9699137648,26.4442102291,97326600,0.0,1.0
INTC,2000-01-13 00:00:00+00:00,91.06,93.0,89.31,92.69,38052100,26.4965865257,27.0610866121,25.9873725304,26.97088299,76104200,0.0,1.0
INTC,2000-01-14 00:00:00+00:00,103.1,106.6,98.25,98.44,92202600,29.999978814,31.0184068048,28.5887285982,28.6440146892,184405200,0.0,1.0
INTC,2000-01-18 00:00:00+00:00,102.1,105.8,100.3,100.3,51050300,29.7089993881,30.785623264,29.1852364214,29.1852364214,102100600,0.0,1.0
INTC,2000-01-19 00:00:00+00:00,100.1,102.1,99.88,101.0,22784000,29.1270405362,29.7089993881,29.0630250625,29.3889220196,45568000,0.0,1.0
INTC,2000-01-20 00:00:00+00:00,95.63,100.8,95.44,99.75,35001000,27.8263625023,29.3307261344,27.7710764113,29.0251977371,70002000,0.0,1.0
