symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
INTU,2000-01-03 00:00:00+00:00,60.38,60.38,58.13,59.61,2535300,27.1327932468,27.1327932468,26.121716983,26.786780481,5070600,0.0,1.0
INTU,2000-01-04 00:00:00+00:00,60.88,62.13,56.69,57.13,3383200,27.357476861,27.9191858964,25.4746281742,25.6723497547,6766400,0.0,1.0
INTU,2000-01-05 00:00:00+00:00,73.31,75.0,61.5,61.94,11276500,32.9431115091,33.702542125,27.6360845425,27.833806123,22553000,0.0,1.0
INTU,2000-01-06 00:00:00+00:00,70.0,75.94,70.0,73.38,4367000,31.4557059834,34.1249473197,31.4557059834,32.9745672151,8734000,0.0,1.0
INTU,2000-01-07 00:00:00+00:00,73.56,74.75,63.69,69.63,4268900,33.0554533162,33.5902003179,28.6201987726,31.2894401089,8537800,0.0,1.0
INTU,2000-01-10 00:00:00+00:00,85.13,90.0,73.25,75.0,4198700,38.2546321481,40.44305055,32.9161494754,33.702542125,8397400,0.0,1.0
INTU,2000-01-11 00:00:00+00:00,82.38,84.38,79.25,82.94,2847100,37.0188722701,37.9176067268,35.6123528455,37.270517918,5694200,0.0,1.0
INTU,2000-01-12 00:00:00+00:00,71.13,81.81,66.38,81.75,4172000,31.9634909514,36.76273295,29.8289966168,36.7357709163,8344000,0.0,1.0
INTU,2000-01-13 00:00:00+00:00,80.0,81.75,73.63,73.63,3891100,35.9493782667,36.7357709163,33.0869090222,33.0869090222,7782200,0.0,1.0
INTU,2000-01-14 00:00:00+00:00,81.38,85.88,77.63,82.81,2940400,36.5695050418,38.5916575693,34.8843779356,37.2121001783,5880800,0.0,1.0
INTU,2000-01-18 00:00:00+00:00,76.75,81.31,75.5,81.31,1760200,34.4889347746,36.5380493358,33.9272257392,36.5380493358,3520400,0.0,1.0
INTU,2000-01-19 00:00:00+00:00,74.5,78.13,73.94,77.0,1776800,33.4778585109,35.1090615497,33.226212863,34.6012765817,3553600,0.0,1.0
INTU,2000-01-20 00:00:00+00:00,76.38,78.31,74.0,75.5,2210400,34.3226689001,35.1899476508,33.2531748967,33.9272257392,4420800,0.0,1.0
INTU,2000-01-21 00:00:00+00:00,75.63,79.25,74.13,79.0,3187200,33.9856434789,35.6123528455,33.3115926364,35.5000110384,6374400,0.0,1.0
INTU,2000-01-24 00:00:00+00:00,67.56,75.63,67.38,75.56,2228700,30.3592499462,33.9856434789,30.2783638451,33.9541877729,4457400,0.0,1.0
INTU,2000-01-25 00:00:00+00:00,70.31,72.25,68.13,70.0,2531700,31.5950098241,32.4667822471,30.6153892664,31.4557059834,5063400,0.0,1.0
INTU,2000-01-26 00:00:00+00:00,65.75,73.0,65.56,71.25,1467800,29.5458952629,32.8038076684,29.4605154896,32.0174150188,2935600,0.0,1.0
INTU,2000-01-27 00:00:00+00:00,64.0,70.94,60.44,67.06,3066100,28.7595026134,31.878111178,27.1597552805,30.1345663321,6132200,0.0,1.0
INTU,2000-01-28 00:00:00+00:00,57.75,65.38,56.63,63.06,3572300,25.9509574363,29.3796293885,25.4476661405,28.3370974187,7144600,0.0,1.0
INTU,2000-01-31 00:00:00+00:00,60.31,61.06,55.5,56.88,3046200,27.1013375408,27.4383629621,24.9398811725,25.5600079476,6092400,0.0,1.0
INTU,2000-02-01 00:00:00+00:00,64.81,64.88,59.25,62.19,2240700,29.1234900683,29.1549457743,26.6250082788,27.9461479301,4481400,0.0,1.0
INTU,2000-02-02 00:00:00+00:00,67.75,71.0,65.5,65.69,3150100,30.4446297196,31.9050732117,29.4335534559,29.5189332292,6300200,0.0,1.0
INTU,2000-02-03 00:00:00+00:00,69.63,70.31,65.5,69.19,2576500,31.2894401089,31.5950098241,29.4335534559,31.0917185284,5153000,0.0,1.0
INTU,2000-02-04 00:00:00+00:00,69.25,72.25,68.25,70.98,1921500,31.1186805621,32.4667822471,30.6693133338,31.8960858671,3843000,0.0,1.0
INTU,2000-02-07 00:00:00+00:00,67.56,69.38,66.81,69.38,1439400,30.3592499462,31.1770983018,30.022224525,31.1770983018,2878800,0.0,1.0
INTU,2000-02-08 00:00:00+00:00,69.0,72.0,68.63,69.94,2210100,31.006338755,32.35444044,30.8400728805,31.4287439497,4420200,0.0,1.0
INTU,2000-02-09 00:00:00+00:00,65.25,70.3,64.94,69.31,2581500,29.3212116488,31.5905161519,29.181907808,31.1456425958,5163000,0.0,1.0
INTU,2000-02-10 00:00:00+00:00,63.75,64.69,61.0,64.38,3131100,28.6471608063,29.0695660009,27.4114009284,28.9302621601,6262200,0.0,1.0
INTU,2000-02-11 00:00:00+00:00,61.0,63.88,59.88,63.06,2728900,27.4114009284,28.705578546,26.9081096326,28.3370974187,5457800,0.0,1.0
INTU,2000-02-14 00:00:00+00:00,59.75,61.38,59.0,61.38,1583100,26.8496918929,27.5821604751,26.5126664717,27.5821604751,3166200,0.0,1.0
INTU,2000-02-15 00:00:00+00:00,57.44,61.0,55.0,59.38,4472500,25.8116535955,27.4114009284,24.7151975584,26.6834260185,8945000,0.0,1.0
INTU,2000-02-16 00:00:00+00:00,61.06,63.0,58.25,59.0,3966400,27.4383629621,28.310135385,26.1756410504,26.5126664717,7932800,0.0,1.0
