symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
INVH,2017-02-01 00:00:00+00:00,20.0,20.42,19.8,20.1,30832753,17.8344218534,18.2089447123,17.6560776348,17.9235939626,30832753,0.0,1.0
INVH,2017-02-02 00:00:00+00:00,20.23,20.41,20.04,20.04,4901231,18.0395177047,18.2000275014,17.8700906971,17.8700906971,4901231,0.0,1.0
INVH,2017-02-03 00:00:00+00:00,20.63,20.8,20.3,20.35,2631545,18.3962061417,18.5477987275,18.1019381812,18.1465242358,2631545,0.0,1.0
INVH,2017-02-06 00:00:00+00:00,20.73,21.14,20.55,21.14,1836800,18.485378251,18.850983899,18.3248684543,18.850983899,1836800,0.0,1.0
INVH,2017-02-07 00:00:00+00:00,20.8,20.86,20.62,20.75,3521570,18.5477987275,18.6013019931,18.3872889308,18.5032126729,3521570,0.0,1.0
INVH,2017-02-08 00:00:00+00:00,20.84,20.92,20.73,20.8,973618,18.5834675712,18.6548052586,18.485378251,18.5477987275,973618,0.0,1.0
INVH,2017-02-09 00:00:00+00:00,20.88,20.97,20.83,20.89,1798591,18.6191364149,18.6993913133,18.5745503603,18.6280536258,1798591,0.0,1.0
INVH,2017-02-10 00:00:00+00:00,21.02,21.87,20.78,20.92,1560824,18.7439773679,19.5019402967,18.5299643056,18.6548052586,1560824,0.0,1.0
INVH,2017-02-13 00:00:00+00:00,21.0,21.19,20.955,21.14,896041,18.726142946,18.8955699536,18.6860154969,18.850983899,896041,0.0,1.0
INVH,2017-02-14 00:00:00+00:00,21.03,21.05,20.75,20.89,1143094,18.7528945788,18.7707290007,18.5032126729,18.6280536258,1143094,0.0,1.0
INVH,2017-02-15 00:00:00+00:00,20.91,21.16,20.86,21.16,1065698,18.6458880477,18.8688183209,18.6013019931,18.8688183209,1065698,0.0,1.0
INVH,2017-02-16 00:00:00+00:00,20.96,21.05,20.78,20.8,740470,18.6904741023,18.7707290007,18.5299643056,18.5477987275,740470,0.0,1.0
INVH,2017-02-17 00:00:00+00:00,21.15,21.215,20.76,20.93,664029,18.8599011099,18.917862981,18.5121298838,18.6637224695,664029,0.0,1.0
INVH,2017-02-21 00:00:00+00:00,21.47,21.5,21.28,21.3,793309,19.1452518596,19.1720034924,18.975824852,18.9936592738,793309,0.0,1.0
INVH,2017-02-22 00:00:00+00:00,21.57,21.65,21.4,21.45,675062,19.2344239689,19.3057616563,19.0828313831,19.1274174377,675062,0.0,1.0
INVH,2017-02-23 00:00:00+00:00,21.58,21.81,21.37,21.68,641434,19.2433411798,19.4484370311,19.0560797503,19.332513289,641434,0.0,1.0
INVH,2017-02-24 00:00:00+00:00,21.6,21.71,21.5,21.52,763716,19.2611756016,19.3592649218,19.1720034924,19.1898379142,763716,0.0,1.0
INVH,2017-02-27 00:00:00+00:00,21.81,21.99,21.55,21.58,1159288,19.4484370311,19.6089468278,19.216589547,19.2433411798,1159288,0.0,1.0
INVH,2017-02-28 00:00:00+00:00,21.79,22.15,21.765,21.91,1583632,19.4306026092,19.7516222026,19.4083095819,19.5376091404,1583632,0.0,1.0
INVH,2017-03-01 00:00:00+00:00,21.53,22.146,21.17,22.14,1415061,19.1987551251,19.7480553182,18.8777355318,19.7427049917,1415061,0.0,1.0
INVH,2017-03-02 00:00:00+00:00,21.72,21.78,21.33,21.6,1123486,19.3681821328,19.4216853983,19.0204109066,19.2611756016,1123486,0.0,1.0
INVH,2017-03-03 00:00:00+00:00,21.81,21.95,21.26,21.56,1077753,19.4484370311,19.5732779841,18.9579904301,19.2255067579,1077753,0.0,1.0
INVH,2017-03-06 00:00:00+00:00,21.92,22.0,21.62,21.78,1333155,19.5465263513,19.6178640387,19.2790100235,19.4216853983,1333155,0.0,1.0
INVH,2017-03-07 00:00:00+00:00,21.81,21.98,21.5,21.8,709011,19.4484370311,19.6000296168,19.1720034924,19.4395198202,709011,0.0,1.0
INVH,2017-03-08 00:00:00+00:00,21.55,21.82,21.52,21.78,797640,19.216589547,19.457354242,19.1898379142,19.4216853983,797640,0.0,1.0
INVH,2017-03-09 00:00:00+00:00,21.24,21.74,21.04,21.6,1303081,18.9401560083,19.3860165546,18.7618117897,19.2611756016,1303081,0.0,1.0
INVH,2017-03-10 00:00:00+00:00,21.4,21.54,21.28,21.28,1193724,19.0828313831,19.2076723361,18.975824852,18.975824852,1193724,0.0,1.0
INVH,2017-03-13 00:00:00+00:00,21.38,21.84,21.06,21.39,1841007,19.0649969612,19.4751886639,18.7796462116,19.0739141722,1841007,0.0,1.0
INVH,2017-03-14 00:00:00+00:00,21.25,21.45,21.05,21.38,778245,18.9490732192,19.1274174377,18.7707290007,19.0649969612,778245,0.0,1.0
INVH,2017-03-15 00:00:00+00:00,21.52,21.6,21.245,21.39,1520784,19.1898379142,19.2611756016,18.9446146137,19.0739141722,1520784,0.0,1.0
INVH,2017-03-16 00:00:00+00:00,21.48,21.68,21.25,21.6,1181759,19.1541690705,19.332513289,18.9490732192,19.2611756016,1181759,0.0,1.0
INVH,2017-03-17 00:00:00+00:00,21.6,21.79,21.47,21.55,8630179,19.2611756016,19.4306026092,19.1452518596,19.216589547,8630179,0.0,1.0
INVH,2017-03-20 00:00:00+00:00,21.54,21.65,21.35,21.5,1357769,19.2076723361,19.3057616563,19.0382453285,19.1720034924,1357769,0.0,1.0
INVH,2017-03-21 00:00:00+00:00,21.39,21.58,21.315,21.58,1762859,19.0739141722,19.2433411798,19.0070350902,19.2433411798,1762859,0.0,1.0
INVH,2017-03-22 00:00:00+00:00,21.5,21.53,21.251,21.41,1419148,19.1720034924,19.1987551251,18.9499649403,19.091748594,1419148,0.0,1.0
INVH,2017-03-23 00:00:00+00:00,21.49,21.55,21.27,21.35,1571324,19.1630862814,19.216589547,18.9669076411,19.0382453285,1571324,0.0,1.0
INVH,2017-03-24 00:00:00+00:00,21.58,21.7,21.5,21.53,1069116,19.2433411798,19.3503477109,19.1720034924,19.1987551251,1069116,0.0,1.0
INVH,2017-03-27 00:00:00+00:00,21.53,21.6,21.4,21.46,894619,19.1987551251,19.2611756016,19.0828313831,19.1363346487,894619,0.0,1.0
INVH,2017-03-28 00:00:00+00:00,21.64,21.68,21.45,21.45,988367,19.2968444453,19.332513289,19.1274174377,19.1274174377,988367,0.0,1.0
INVH,2017-03-29 00:00:00+00:00,21.69,21.79,21.62,21.71,878483,19.3414305,19.4306026092,19.2790100235,19.3592649218,878483,0.0,1.0
INVH,2017-03-30 00:00:00+00:00,21.75,21.86,21.59,21.78,551682,19.3949337655,19.4930230857,19.2522583907,19.4216853983,551682,0.0,1.0
INVH,2017-03-31 00:00:00+00:00,21.83,21.98,21.52,21.78,5648435,19.4662714529,19.6000296168,19.1898379142,19.4216853983,5648435,0.0,1.0
INVH,2017-04-03 00:00:00+00:00,21.63,21.89,21.56,21.85,1013715,19.2879272344,19.5197747185,19.2255067579,19.4841058748,1013715,0.0,1.0
INVH,2017-04-04 00:00:00+00:00,21.54,21.8599,21.45,21.46,1355775,19.2076723361,19.4929339136,19.1274174377,19.1363346487,1355775,0.0,1.0
INVH,2017-04-05 00:00:00+00:00,21.58,21.6675,21.45,21.66,766778,19.2433411798,19.3213667754,19.1274174377,19.3146788672,766778,0.0,1.0
INVH,2017-04-06 00:00:00+00:00,21.7,21.82,21.46,21.49,924919,19.3503477109,19.457354242,19.1363346487,19.1630862814,924919,0.0,1.0
INVH,2017-04-07 00:00:00+00:00,21.61,21.84,21.58,21.76,394134,19.2700928126,19.4751886639,19.2433411798,19.4038509765,394134,0.0,1.0
INVH,2017-04-10 00:00:00+00:00,21.64,21.765,21.6,21.6,400707,19.2968444453,19.4083095819,19.2611756016,19.2611756016,400707,0.0,1.0
INVH,2017-04-11 00:00:00+00:00,21.55,21.69,21.43,21.69,1138763,19.216589547,19.3414305,19.1095830159,19.3414305,1138763,0.0,1.0
INVH,2017-04-12 00:00:00+00:00,21.55,21.66,21.42,21.48,652518,19.216589547,19.3146788672,19.100665805,19.1541690705,652518,0.0,1.0
INVH,2017-04-13 00:00:00+00:00,21.29,21.67,21.19,21.62,962875,18.9847420629,19.3235960781,18.8955699536,19.2790100235,962875,0.0,1.0
