symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
IP,2000-01-03 00:00:00+00:00,55.500006,57.250009,55.500006,57.000006,1902600,24.1324923754,24.8934280419,24.1324923754,24.7847218286,2009145,0.0,1.0
IP,2000-01-04 00:00:00+00:00,54.124999,56.187507,53.500003,55.000003,1930000,23.534612333,24.4314313096,23.2628518001,23.9150812532,2038080,0.0,1.0
IP,2000-01-05 00:00:00+00:00,56.000001,56.437499,53.625008,54.062499,2566800,24.349900019,24.5401327399,23.3172064286,23.5074361057,2710540,0.0,1.0
IP,2000-01-06 00:00:00+00:00,57.125,57.499997,55.187502,55.687504,5554400,24.8390716741,25.0021277329,23.9966095001,24.2140201874,5865446,0.0,1.0
IP,2000-01-07 00:00:00+00:00,58.625,60.000006,57.625006,58.000003,6140000,25.4913011272,26.0891807349,25.0564841007,25.2195401595,6483840,0.0,1.0
IP,2000-01-10 00:00:00+00:00,58.500006,59.500004,57.875006,59.500004,2858700,25.4369512817,25.8717700475,25.1651890096,25.8717700475,3018787,0.0,1.0
IP,2000-01-11 00:00:00+00:00,55.812498,58.625,55.687504,58.500006,2164000,24.2683700329,25.4913011272,24.2140201874,25.4369512817,2285184,0.0,1.0
IP,2000-01-12 00:00:00+00:00,54.875005,56.750003,54.812505,55.812498,2787100,23.8607296684,24.6760156152,23.8335534412,24.2683700329,2943177,0.0,1.0
IP,2000-01-13 00:00:00+00:00,54.875005,56.000001,54.187504,54.625006,1939600,23.8607296684,24.349900019,23.5617907343,23.7520251944,2048217,0.0,1.0
IP,2000-01-14 00:00:00+00:00,55.875003,56.437499,55.000003,55.000003,2207900,24.2955484342,24.5401327399,23.9150812532,23.9150812532,2331542,0.0,1.0
IP,2000-01-18 00:00:00+00:00,52.187501,55.250002,52.062504,55.000003,3180500,22.6921501589,24.0237857273,22.637799009,23.9150812532,3358608,0.0,1.0
IP,2000-01-19 00:00:00+00:00,52.500005,53.812507,51.625006,52.687504,3271100,22.8280330343,23.3987346754,22.4475662881,22.9095612811,3454281,0.0,1.0
IP,2000-01-20 00:00:00+00:00,50.687501,53.375005,50.312504,52.750009,2801900,22.0399207058,23.2085002153,21.876864647,22.9367396824,2958806,0.0,1.0
IP,2000-01-21 00:00:00+00:00,50.125005,51.437507,49.500005,51.000005,3185800,21.7953364001,22.3660380413,21.523574128,22.1758035811,3364204,0.0,1.0
IP,2000-01-24 00:00:00+00:00,48.5,50.687501,47.249999,50.437498,3285800,21.0887523185,22.0399207058,20.5452273394,21.9312144925,3469804,0.0,1.0
IP,2000-01-25 00:00:00+00:00,47.750002,49.187501,46.250002,48.875005,3237500,20.7626384615,21.3876912526,20.1104090084,21.2518118559,3418800,0.0,1.0
IP,2000-01-26 00:00:00+00:00,48.250008,49.500005,47.500002,47.750002,3280700,20.9800508882,21.523574128,20.6539335527,20.7626384615,3464419,0.0,1.0
IP,2000-01-27 00:00:00+00:00,47.812506,49.4375,46.750008,48.312497,1801700,20.789816428,21.4963957267,20.327821435,21.0072223324,1902595,0.0,1.0
IP,2000-01-28 00:00:00+00:00,47.874999,49.062503,47.562503,48.375002,1595000,20.8169896115,21.3333396679,20.6811102147,21.0344007337,1684320,0.0,1.0
IP,2000-01-31 00:00:00+00:00,47.625008,47.812506,46.374999,46.750008,2242700,20.708288616,20.789816428,20.1647601584,20.327821435,2368291,0.0,1.0
