symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
IRM,2000-01-03 00:00:00+00:00,35.69,39.31,35.56,39.31,197363,4.2997384625,4.7358565134,4.2840767646,4.7358565134,666099,0.0,1.0
IRM,2000-01-04 00:00:00+00:00,34.56,36.38,33.5,35.69,105037,4.1636021649,4.3828659363,4.0358990892,4.2997384625,354499,0.0,1.0
IRM,2000-01-05 00:00:00+00:00,33.69,34.56,33.5,34.38,198400,4.0587892632,4.1636021649,4.0358990892,4.1419167369,669599,0.0,1.0
IRM,2000-01-06 00:00:00+00:00,33.13,33.69,32.81,33.69,196326,3.9913234873,4.0587892632,3.9527716154,4.0587892632,662599,0.0,1.0
IRM,2000-01-07 00:00:00+00:00,33.0,33.5,32.75,33.25,185541,3.9756617894,4.0358990892,3.9455431395,4.0057804393,626200,0.0,1.0
IRM,2000-01-10 00:00:00+00:00,34.69,35.0,33.0,33.06,482341,4.1792638628,4.2166109887,3.9756617894,3.9828902654,1627899,0.0,1.0
IRM,2000-01-11 00:00:00+00:00,35.06,35.5,35.0,35.0,72267,4.2238394647,4.2768482886,4.2166109887,4.2166109887,243900,0.0,1.0
IRM,2000-01-12 00:00:00+00:00,33.69,35.0,33.25,35.0,94844,4.0587892632,4.2166109887,4.0057804393,4.2166109887,320098,0.0,1.0
IRM,2000-01-13 00:00:00+00:00,34.0,34.0,32.94,33.94,137363,4.0961363891,4.0961363891,3.9684333134,4.0889079131,463599,0.0,1.0
IRM,2000-01-14 00:00:00+00:00,33.94,34.25,33.88,34.0,46489,4.0889079131,4.126255039,4.0816794371,4.0961363891,156900,0.0,1.0
IRM,2000-01-18 00:00:00+00:00,32.69,33.69,32.5,33.69,130459,3.9383146635,4.0587892632,3.9154244895,4.0587892632,440298,0.0,1.0
IRM,2000-01-19 00:00:00+00:00,32.69,33.06,32.63,32.88,34815,3.9383146635,3.9828902654,3.9310861875,3.9612048374,117500,0.0,1.0
IRM,2000-01-20 00:00:00+00:00,33.5,33.63,32.63,32.63,61481,4.0358990892,4.0515607872,3.9310861875,3.9310861875,207498,0.0,1.0
IRM,2000-01-21 00:00:00+00:00,34.5,35.0,33.25,33.5,222015,4.1563736889,4.2166109887,4.0057804393,4.0358990892,749299,0.0,1.0
IRM,2000-01-24 00:00:00+00:00,34.88,35.69,34.56,34.56,448415,4.2021540368,4.2997384625,4.1636021649,4.1636021649,1513399,0.0,1.0
IRM,2000-01-25 00:00:00+00:00,33.63,34.88,33.63,34.88,130696,4.0515607872,4.2021540368,4.0515607872,4.2021540368,441098,0.0,1.0
IRM,2000-01-26 00:00:00+00:00,33.5,34.94,33.5,33.63,139644,4.0358990892,4.2093825128,4.0358990892,4.0515607872,471298,0.0,1.0
IRM,2000-01-27 00:00:00+00:00,33.5,34.25,33.5,33.63,270933,4.0358990892,4.126255039,4.0358990892,4.0515607872,914397,0.0,1.0
IRM,2000-01-28 00:00:00+00:00,34.0,34.38,33.0,33.63,108919,4.0961363891,4.1419167369,3.9756617894,4.0515607872,367601,0.0,1.0
IRM,2000-01-31 00:00:00+00:00,33.0,34.75,32.88,34.25,138341,3.9756617894,4.1864923388,3.9612048374,4.126255039,466900,0.0,1.0
IRM,2000-02-01 00:00:00+00:00,32.63,32.88,32.06,32.88,149185,3.9310861875,3.9612048374,3.8624156657,3.9612048374,503498,0.0,1.0
IRM,2000-02-02 00:00:00+00:00,33.38,33.5,31.88,32.38,84148,4.0214421373,4.0358990892,3.8407302377,3.9009675376,283999,0.0,1.0
IRM,2000-02-03 00:00:00+00:00,33.63,34.25,33.13,33.13,118193,4.0515607872,4.126255039,3.9913234873,3.9913234873,398900,0.0,1.0
IRM,2000-02-04 00:00:00+00:00,34.81,34.87,33.25,33.25,48030,4.1937208148,4.2009492908,4.0057804393,4.0057804393,162101,0.0,1.0
IRM,2000-02-07 00:00:00+00:00,33.0,34.63,32.75,34.63,176326,3.9756617894,4.1720353869,3.9455431395,4.1720353869,595099,0.0,1.0
IRM,2000-02-08 00:00:00+00:00,34.13,34.38,33.0,33.25,154104,4.111798087,4.1419167369,3.9756617894,4.0057804393,520100,0.0,1.0
