symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
ITW,2000-01-03 00:00:00+00:00,63.88,64.81,60.38,60.5,3125100,19.5246992943,19.808950552,18.4549364964,18.491614078,6250200,0.0,1.0
ITW,2000-01-04 00:00:00+00:00,61.0,63.69,60.5,63.62,1399800,18.6444373349,19.4666264567,18.491614078,19.4452312007,2799600,0.0,1.0
ITW,2000-01-05 00:00:00+00:00,61.75,62.25,60.06,61.0,1175400,18.8736722201,19.026495477,18.357129612,18.6444373349,2350800,0.0,1.0
ITW,2000-01-06 00:00:00+00:00,61.31,61.75,60.5,60.88,1019400,18.7391877541,18.8736722201,18.491614078,18.6077597532,2038800,0.0,1.0
ITW,2000-01-07 00:00:00+00:00,65.25,65.38,62.25,62.38,1606900,19.943435018,19.9831690648,19.026495477,19.0662295238,3213800,0.0,1.0
ITW,2000-01-10 00:00:00+00:00,66.5,66.62,65.31,65.38,928400,20.3254931601,20.3621707418,19.9617738089,19.9831690648,1856800,0.0,1.0
ITW,2000-01-11 00:00:00+00:00,65.81,67.69,65.19,66.44,849100,20.1145970657,20.6892125114,19.9250962272,20.3071543693,1698200,0.0,1.0
ITW,2000-01-12 00:00:00+00:00,65.0,66.38,64.81,65.81,676500,19.8670233896,20.2888155785,19.808950552,20.1145970657,1353000,0.0,1.0
ITW,2000-01-13 00:00:00+00:00,68.31,69.0,65.0,65.0,1335800,20.8787133499,21.0896094444,19.8670233896,19.8670233896,2671600,0.0,1.0
ITW,2000-01-14 00:00:00+00:00,67.5,68.69,67.31,68.56,615100,20.6311396738,20.9948590251,20.5730668362,20.9551249783,1230200,0.0,1.0
ITW,2000-01-18 00:00:00+00:00,64.56,66.44,64.5,66.25,707600,19.7325389236,20.3071543693,19.7142001328,20.2490815317,1415200,0.0,1.0
ITW,2000-01-19 00:00:00+00:00,64.37,64.88,63.5,64.12,624600,19.674466086,19.830345808,19.4085536191,19.5980544576,1249200,0.0,1.0
ITW,2000-01-20 00:00:00+00:00,62.94,65.12,62.5,65.0,442300,19.2373915714,19.9037009713,19.1029071054,19.8670233896,884600,0.0,1.0
ITW,2000-01-21 00:00:00+00:00,62.44,64.37,62.12,64.25,1160400,19.0845683146,19.674466086,18.9867614302,19.6377885044,2320800,0.0,1.0
ITW,2000-01-24 00:00:00+00:00,61.31,62.75,61.0,62.75,546000,18.7391877541,19.1793187338,18.6444373349,19.1793187338,1092000,0.0,1.0
ITW,2000-01-25 00:00:00+00:00,59.62,61.37,58.56,61.31,1175400,18.222645146,18.7575265449,17.8986598415,18.7391877541,2350800,0.0,1.0
ITW,2000-01-26 00:00:00+00:00,60.31,60.38,58.63,59.87,914600,18.4335412404,18.4549364964,17.9200550974,18.2990567744,1829200,0.0,1.0
ITW,2000-01-27 00:00:00+00:00,59.75,61.56,59.5,60.38,691000,18.2623791928,18.8155993825,18.1859675643,18.4549364964,1382000,0.0,1.0
ITW,2000-01-28 00:00:00+00:00,57.5,59.75,57.5,59.5,554600,17.574674537,18.2623791928,17.574674537,18.1859675643,1109200,0.0,1.0
ITW,2000-01-31 00:00:00+00:00,58.5,59.62,56.94,58.0,822000,17.8803210507,18.222645146,17.4035124893,17.7274977938,1644000,0.0,1.0
ITW,2000-02-01 00:00:00+00:00,59.31,59.69,58.31,58.75,617900,18.1278947267,18.2440404019,17.8222482131,17.9567326791,1235800,0.0,1.0
ITW,2000-02-02 00:00:00+00:00,59.31,59.94,58.69,59.31,752700,18.1278947267,18.3204520304,17.9383938883,18.1278947267,1505400,0.0,1.0
ITW,2000-02-03 00:00:00+00:00,60.38,61.75,59.56,60.0,771300,18.4549364964,18.8736722201,18.2043063552,18.3387908212,1542600,0.0,1.0
ITW,2000-02-04 00:00:00+00:00,60.31,60.62,59.94,60.62,628600,18.4335412404,18.5282916597,18.3204520304,18.5282916597,1257200,0.0,1.0
ITW,2000-02-07 00:00:00+00:00,60.56,60.88,60.06,60.19,510200,18.5099528689,18.6077597532,18.357129612,18.3968636588,1020400,0.0,1.0
ITW,2000-02-08 00:00:00+00:00,59.69,61.31,59.44,60.81,758100,18.2440404019,18.7391877541,18.1676287735,18.5863644973,1516200,0.0,1.0
ITW,2000-02-09 00:00:00+00:00,59.25,59.87,59.19,59.62,617200,18.1095559359,18.2990567744,18.0912171451,18.222645146,1234400,0.0,1.0
ITW,2000-02-10 00:00:00+00:00,57.0,59.62,56.0,59.44,554100,17.4218512801,18.222645146,17.1162047664,18.1676287735,1108200,0.0,1.0
ITW,2000-02-11 00:00:00+00:00,55.69,57.25,54.75,57.25,649600,17.0214543472,17.4982629085,16.7341466243,17.4982629085,1299200,0.0,1.0
ITW,2000-02-14 00:00:00+00:00,54.69,55.88,54.25,55.69,840200,16.7158078335,17.0795271848,16.5813233675,17.0214543472,1680400,0.0,1.0
ITW,2000-02-15 00:00:00+00:00,58.5,59.69,54.5,54.62,893700,17.8803210507,18.2440404019,16.6577349959,16.6944125776,1787400,0.0,1.0
ITW,2000-02-16 00:00:00+00:00,57.81,59.62,56.69,58.44,677900,17.6694249562,18.222645146,17.3271008609,17.8619822598,1355800,0.0,1.0
ITW,2000-02-17 00:00:00+00:00,57.56,58.31,57.38,57.81,612300,17.5930133278,17.8222482131,17.5379969553,17.6694249562,1224600,0.0,1.0
ITW,2000-02-18 00:00:00+00:00,56.31,58.25,56.0,56.0,989000,17.2109551857,17.8039094222,17.1162047664,17.1162047664,1978000,0.0,1.0
ITW,2000-02-22 00:00:00+00:00,57.88,58.31,56.06,57.38,532600,17.6908202122,17.8222482131,17.1345435573,17.5379969553,1065200,0.0,1.0
ITW,2000-02-23 00:00:00+00:00,59.25,59.56,56.5,56.75,652700,18.1095559359,18.2043063552,17.2690280233,17.3454396517,1305400,0.0,1.0
ITW,2000-02-24 00:00:00+00:00,56.56,58.06,54.69,58.0,983100,17.2873668141,17.7458365846,16.7158078335,17.7274977938,1966200,0.0,1.0
ITW,2000-02-25 00:00:00+00:00,52.75,56.0,51.88,56.0,1001300,16.122853597,17.1162047664,15.8569411301,17.1162047664,2002600,0.0,1.0
ITW,2000-02-28 00:00:00+00:00,52.25,52.94,51.13,51.13,1242800,15.9700303401,16.1809264346,15.6277062448,15.6277062448,2485600,0.0,1.0
ITW,2000-02-29 00:00:00+00:00,51.69,52.75,51.06,52.25,1072500,15.7988682925,16.122853597,15.6063109888,15.9700303401,2145000,0.0,1.0
ITW,2000-03-01 00:00:00+00:00,53.0,53.5,51.62,51.94,791200,16.1992652254,16.3520884822,15.7774730365,15.8752799209,1582400,0.0,1.0
ITW,2000-03-02 00:00:00+00:00,53.0,53.44,52.37,53.0,590600,16.1992652254,16.3337496914,16.0067079218,16.1992652254,1181200,0.0,1.0
ITW,2000-03-03 00:00:00+00:00,55.12,56.0,53.0,53.0,509800,16.8472358344,17.1162047664,16.1992652254,16.1992652254,1019600,0.0,1.0
ITW,2000-03-06 00:00:00+00:00,53.94,56.38,53.19,55.88,588100,16.4865729482,17.2323504416,16.257338063,17.0795271848,1176200,0.0,1.0
ITW,2000-03-07 00:00:00+00:00,52.5,54.44,52.12,53.94,844600,16.0464419685,16.6393962051,15.9302962933,16.4865729482,1689200,0.0,1.0
ITW,2000-03-08 00:00:00+00:00,54.06,54.81,52.5,52.69,828100,16.5232505299,16.7524854152,16.0464419685,16.1045148061,1656200,0.0,1.0
ITW,2000-03-09 00:00:00+00:00,54.88,54.94,53.5,53.81,740800,16.7738806711,16.7922194619,16.3520884822,16.4468389015,1481600,0.0,1.0
ITW,2000-03-10 00:00:00+00:00,54.38,54.88,53.56,54.62,502900,16.6210574143,16.7738806711,16.370427273,16.6944125776,1005800,0.0,1.0
ITW,2000-03-13 00:00:00+00:00,54.19,54.5,52.0,53.0,782800,16.5629845767,16.6577349959,15.8936187117,16.1992652254,1565600,0.0,1.0
ITW,2000-03-14 00:00:00+00:00,54.0,54.94,53.62,54.31,580500,16.5049117391,16.7922194619,16.3887660639,16.5996621583,1161000,0.0,1.0
ITW,2000-03-15 00:00:00+00:00,58.5,59.25,53.87,54.25,1249600,17.8803210507,18.1095559359,16.4651776923,16.5813233675,2499200,0.0,1.0
ITW,2000-03-16 00:00:00+00:00,64.37,64.75,58.31,58.69,1193100,19.674466086,19.7906117612,17.8222482131,17.9383938883,2386200,0.0,1.0
ITW,2000-03-17 00:00:00+00:00,64.81,65.62,63.0,64.37,1194900,19.808950552,20.0565242281,19.2557303622,19.674466086,2389800,0.0,1.0
ITW,2000-03-20 00:00:00+00:00,62.25,64.63,62.06,64.56,871700,19.026495477,19.7539341796,18.9684226394,19.7325389236,1743400,0.0,1.0
ITW,2000-03-21 00:00:00+00:00,62.06,62.56,60.62,62.31,542300,18.9684226394,19.1212458962,18.5282916597,19.0448342678,1084600,0.0,1.0
ITW,2000-03-22 00:00:00+00:00,61.19,62.19,60.75,62.0,543300,18.7025101725,19.0081566862,18.5680257065,18.9500838486,1086600,0.0,1.0
ITW,2000-03-23 00:00:00+00:00,60.25,61.06,58.56,61.0,819500,18.4152024496,18.6627761257,17.8986598415,18.6444373349,1639000,0.0,1.0
ITW,2000-03-24 00:00:00+00:00,59.56,60.75,58.63,60.25,996600,18.2043063552,18.5680257065,17.9200550974,18.4152024496,1993200,0.0,1.0
ITW,2000-03-27 00:00:00+00:00,58.39,59.56,57.62,59.0,651900,17.8466999342,18.2043063552,17.6113521186,18.0331443075,1303800,0.0,1.0
