symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
J,2000-01-03 00:00:00+00:00,31.94,32.56,31.94,32.56,105600,7.5879231894,7.735215374,7.5879231894,7.735215374,422400,0.0,1.0
J,2000-01-04 00:00:00+00:00,31.75,32.13,31.63,31.94,63000,7.5427852619,7.633061117,7.5142770971,7.5879231894,252000,0.0,1.0
J,2000-01-05 00:00:00+00:00,32.13,32.25,31.63,31.63,102300,7.633061117,7.6615692817,7.5142770971,7.5142770971,409200,0.0,1.0
J,2000-01-06 00:00:00+00:00,32.09,32.25,31.75,31.88,125700,7.6235583954,7.6615692817,7.5427852619,7.573669107,502800,0.0,1.0
J,2000-01-07 00:00:00+00:00,32.81,32.88,32.25,32.25,64400,7.794607384,7.8112371468,7.6615692817,7.6615692817,257600,0.0,1.0
J,2000-01-10 00:00:00+00:00,33.0,33.13,32.25,33.0,50000,7.8397453115,7.8706291567,7.6615692817,7.8397453115,200000,0.0,1.0
J,2000-01-11 00:00:00+00:00,32.88,32.88,32.69,32.88,28600,7.8112371468,7.8112371468,7.7660992192,7.8112371468,114400,0.0,1.0
J,2000-01-12 00:00:00+00:00,32.19,32.94,32.0,32.94,15800,7.6473151993,7.8254912291,7.6021772718,7.8254912291,63200,0.0,1.0
J,2000-01-13 00:00:00+00:00,32.38,32.81,32.06,32.19,44100,7.6924531269,7.794607384,7.6164313542,7.6473151993,176400,0.0,1.0
J,2000-01-14 00:00:00+00:00,32.44,32.56,32.31,32.38,43200,7.7067072093,7.735215374,7.6758233641,7.6924531269,172800,0.0,1.0
J,2000-01-18 00:00:00+00:00,31.63,32.63,31.44,32.63,107700,7.5142770971,7.7518451368,7.4691391695,7.7518451368,430800,0.0,1.0
J,2000-01-19 00:00:00+00:00,31.75,32.31,31.5,31.5,57800,7.5427852619,7.6758233641,7.4833932519,7.4833932519,231200,0.0,1.0
J,2000-01-20 00:00:00+00:00,31.13,31.94,31.0,31.75,108600,7.3954930772,7.5879231894,7.364609232,7.5427852619,434400,0.0,1.0
J,2000-01-21 00:00:00+00:00,30.0,30.94,29.81,30.88,112500,7.1270411923,7.3503551497,7.0819032647,7.3361010673,450000,0.0,1.0
J,2000-01-24 00:00:00+00:00,29.88,30.56,29.81,30.0,86200,7.0985330275,7.2600792946,7.0819032647,7.1270411923,344800,0.0,1.0
J,2000-01-25 00:00:00+00:00,29.44,29.63,29.19,29.38,87400,6.99400309,7.0391410176,6.9346110801,6.9797490077,349600,0.0,1.0
J,2000-01-26 00:00:00+00:00,29.63,30.0,29.44,29.44,109300,7.0391410176,7.1270411923,6.99400309,6.99400309,437200,0.0,1.0
J,2000-01-27 00:00:00+00:00,29.75,30.06,29.5,29.63,122600,7.0676491824,7.1412952747,7.0082571724,7.0391410176,490400,0.0,1.0
J,2000-01-28 00:00:00+00:00,29.75,30.0,29.75,29.88,155100,7.0676491824,7.1270411923,7.0676491824,7.0985330275,620400,0.0,1.0
J,2000-01-31 00:00:00+00:00,29.5,30.0,29.5,29.88,118700,7.0082571724,7.1270411923,7.0082571724,7.0985330275,474800,0.0,1.0
J,2000-02-01 00:00:00+00:00,30.31,30.38,29.06,29.5,171600,7.2006872846,7.2173170474,6.9037272349,7.0082571724,686400,0.0,1.0
J,2000-02-02 00:00:00+00:00,31.0,31.19,30.31,30.31,146700,7.364609232,7.4097471596,7.2006872846,7.2006872846,586800,0.0,1.0
J,2000-02-03 00:00:00+00:00,30.94,31.5,30.81,30.94,118300,7.3503551497,7.4833932519,7.3194713045,7.3503551497,473200,0.0,1.0
J,2000-02-04 00:00:00+00:00,30.94,31.31,30.63,30.88,59000,7.3503551497,7.4382553244,7.2767090573,7.3361010673,236000,0.0,1.0
J,2000-02-07 00:00:00+00:00,30.94,31.19,30.88,31.19,84000,7.3503551497,7.4097471596,7.3361010673,7.4097471596,336000,0.0,1.0
J,2000-02-08 00:00:00+00:00,30.19,30.94,30.06,30.88,78700,7.1721791199,7.3503551497,7.1412952747,7.3361010673,314800,0.0,1.0
J,2000-02-09 00:00:00+00:00,29.94,30.44,29.94,30.44,128200,7.1127871099,7.2315711298,7.1127871099,7.2315711298,512800,0.0,1.0
J,2000-02-10 00:00:00+00:00,29.13,29.94,29.06,29.69,120200,6.9203569977,7.1127871099,6.9037272349,7.0533951,480800,0.0,1.0
J,2000-02-11 00:00:00+00:00,28.69,29.69,28.69,29.13,111900,6.8158270602,7.0533951,6.8158270602,6.9203569977,447600,0.0,1.0
J,2000-02-14 00:00:00+00:00,28.31,28.75,28.0,28.75,97700,6.7255512051,6.8300811426,6.6519051128,6.8300811426,390800,0.0,1.0
J,2000-02-15 00:00:00+00:00,28.5,28.56,27.88,28.44,73200,6.7706891327,6.7849432151,6.623396948,6.7564350503,292800,0.0,1.0
J,2000-02-16 00:00:00+00:00,28.56,28.88,28.0,28.5,81700,6.7849432151,6.8609649878,6.6519051128,6.7706891327,326800,0.0,1.0
J,2000-02-17 00:00:00+00:00,28.56,29.0,28.38,28.5,98800,6.7849432151,6.8894731526,6.7421809679,6.7706891327,395200,0.0,1.0
J,2000-02-18 00:00:00+00:00,28.0,28.31,27.75,28.31,42100,6.6519051128,6.7255512051,6.5925131029,6.7255512051,168400,0.0,1.0
J,2000-02-22 00:00:00+00:00,28.81,28.88,27.94,28.25,96500,6.844335225,6.8609649878,6.6376510304,6.7112971227,386000,0.0,1.0
J,2000-02-23 00:00:00+00:00,27.69,28.81,27.5,28.81,65200,6.5782590205,6.844335225,6.5331210929,6.844335225,260800,0.0,1.0
J,2000-02-24 00:00:00+00:00,27.69,28.19,27.5,27.94,38000,6.5782590205,6.6970430404,6.5331210929,6.6376510304,152000,0.0,1.0
J,2000-02-25 00:00:00+00:00,27.44,27.75,27.31,27.69,23700,6.5188670106,6.5925131029,6.4879831654,6.5782590205,94800,0.0,1.0
J,2000-02-28 00:00:00+00:00,27.38,27.38,27.0,27.31,42400,6.5046129282,6.5046129282,6.4143370731,6.4879831654,169600,0.0,1.0
J,2000-02-29 00:00:00+00:00,28.06,28.25,27.56,27.88,113000,6.6661591952,6.7112971227,6.5473751753,6.623396948,452000,0.0,1.0
J,2000-03-01 00:00:00+00:00,28.44,28.63,28.0,28.06,59200,6.7564350503,6.8015729779,6.6519051128,6.6661591952,236800,0.0,1.0
J,2000-03-02 00:00:00+00:00,28.5,28.56,28.25,28.56,62100,6.7706891327,6.7849432151,6.7112971227,6.7849432151,248400,0.0,1.0
J,2000-03-03 00:00:00+00:00,27.94,28.56,27.5,28.56,81500,6.6376510304,6.7849432151,6.5331210929,6.7849432151,326000,0.0,1.0
J,2000-03-06 00:00:00+00:00,28.0,28.06,27.69,27.81,172200,6.6519051128,6.6661591952,6.5782590205,6.6067671853,688800,0.0,1.0
J,2000-03-07 00:00:00+00:00,27.13,28.19,27.13,28.06,32600,6.4452209182,6.6970430404,6.4452209182,6.6661591952,130400,0.0,1.0
J,2000-03-08 00:00:00+00:00,27.38,27.44,27.19,27.25,79500,6.5046129282,6.5188670106,6.4594750006,6.473729083,318000,0.0,1.0
J,2000-03-09 00:00:00+00:00,28.0,28.19,27.63,27.63,82400,6.6519051128,6.6970430404,6.5640049381,6.5640049381,329600,0.0,1.0
J,2000-03-10 00:00:00+00:00,27.81,28.0,27.75,27.88,94600,6.6067671853,6.6519051128,6.5925131029,6.623396948,378400,0.0,1.0
J,2000-03-13 00:00:00+00:00,27.25,27.81,27.25,27.63,59700,6.473729083,6.6067671853,6.473729083,6.5640049381,238800,0.0,1.0
J,2000-03-14 00:00:00+00:00,26.94,27.25,26.75,27.25,93900,6.4000829907,6.473729083,6.3549450631,6.473729083,375600,0.0,1.0
J,2000-03-15 00:00:00+00:00,27.63,27.75,26.19,26.69,106500,6.5640049381,6.5925131029,6.2219069609,6.3406909807,426000,0.0,1.0
J,2000-03-16 00:00:00+00:00,30.06,30.5,27.75,27.75,176600,7.1412952747,7.2458252122,6.5925131029,6.5925131029,706400,0.0,1.0
J,2000-03-17 00:00:00+00:00,29.94,30.63,29.75,30.06,90300,7.1127871099,7.2767090573,7.0676491824,7.1412952747,361200,0.0,1.0
J,2000-03-20 00:00:00+00:00,30.13,31.69,30.13,30.19,191400,7.1579250375,7.5285311795,7.1579250375,7.1721791199,765600,0.0,1.0
J,2000-03-21 00:00:00+00:00,29.31,29.94,28.81,29.94,80800,6.9631192449,7.1127871099,6.844335225,7.1127871099,323200,0.0,1.0
J,2000-03-22 00:00:00+00:00,29.25,29.38,28.75,29.38,125700,6.9488651625,6.9797490077,6.8300811426,6.9797490077,502800,0.0,1.0
J,2000-03-23 00:00:00+00:00,30.56,30.69,29.06,29.13,102400,7.2600792946,7.2909631397,6.9037272349,6.9203569977,409600,0.0,1.0
J,2000-03-24 00:00:00+00:00,30.63,30.75,29.94,30.31,86600,7.2767090573,7.3052172221,7.1127871099,7.2006872846,346400,0.0,1.0
J,2000-03-27 00:00:00+00:00,30.5,30.88,29.88,30.5,63500,7.2458252122,7.3361010673,7.0985330275,7.2458252122,254000,0.0,1.0
J,2000-03-28 00:00:00+00:00,30.06,30.44,29.69,30.25,40400,7.1412952747,7.2315711298,7.0533951,7.1864332022,161600,0.0,1.0
J,2000-03-29 00:00:00+00:00,30.06,30.38,29.63,30.0,64200,7.1412952747,7.2173170474,7.0391410176,7.1270411923,256800,0.0,1.0
J,2000-03-30 00:00:00+00:00,30.5,30.88,30.19,30.19,71400,7.2458252122,7.3361010673,7.1721791199,7.1721791199,285600,0.0,1.0
J,2000-03-31 00:00:00+00:00,31.88,32.25,30.13,30.56,181300,7.573669107,7.6615692817,7.1579250375,7.2600792946,725200,0.0,1.0
J,2000-04-03 00:00:00+00:00,31.88,32.31,31.5,32.0,56500,7.573669107,7.6758233641,7.4833932519,7.6021772718,226000,0.0,1.0
J,2000-04-04 00:00:00+00:00,30.38,31.63,29.75,31.63,76300,7.2173170474,7.5142770971,7.0676491824,7.5142770971,305200,0.0,1.0
J,2000-04-05 00:00:00+00:00,30.44,30.5,30.0,30.38,85500,7.2315711298,7.2458252122,7.1270411923,7.2173170474,342000,0.0,1.0
J,2000-04-06 00:00:00+00:00,30.5,30.63,29.97,30.44,121800,7.2458252122,7.2767090573,7.1199141511,7.2315711298,487200,0.0,1.0
J,2000-04-07 00:00:00+00:00,30.44,30.63,30.13,30.63,41700,7.2315711298,7.2767090573,7.1579250375,7.2767090573,166800,0.0,1.0
J,2000-04-10 00:00:00+00:00,31.06,31.38,30.38,30.44,156900,7.3788633144,7.4548850871,7.2173170474,7.2315711298,627600,0.0,1.0
J,2000-04-11 00:00:00+00:00,30.94,31.06,30.88,30.94,63500,7.3503551497,7.3788633144,7.3361010673,7.3503551497,254000,0.0,1.0
J,2000-04-12 00:00:00+00:00,30.94,31.19,30.88,30.94,46700,7.3503551497,7.4097471596,7.3361010673,7.3503551497,186800,0.0,1.0
J,2000-04-13 00:00:00+00:00,30.94,31.06,30.81,30.94,48100,7.3503551497,7.3788633144,7.3194713045,7.3503551497,192400,0.0,1.0
J,2000-04-14 00:00:00+00:00,30.19,30.69,29.81,30.69,63200,7.1721791199,7.2909631397,7.0819032647,7.2909631397,252800,0.0,1.0
J,2000-04-17 00:00:00+00:00,29.88,30.44,29.69,30.19,70700,7.0985330275,7.2315711298,7.0533951,7.1721791199,282800,0.0,1.0
J,2000-04-18 00:00:00+00:00,30.0,30.13,29.56,29.75,25000,7.1270411923,7.1579250375,7.0225112548,7.0676491824,100000,0.0,1.0
J,2000-04-19 00:00:00+00:00,30.81,30.81,30.06,30.13,41300,7.3194713045,7.3194713045,7.1412952747,7.1579250375,165200,0.0,1.0
J,2000-04-20 00:00:00+00:00,30.75,30.81,30.06,30.81,29500,7.3052172221,7.3194713045,7.1412952747,7.3194713045,118000,0.0,1.0
J,2000-04-24 00:00:00+00:00,29.81,30.69,29.81,30.63,21000,7.0819032647,7.2909631397,7.0819032647,7.2767090573,84000,0.0,1.0
