symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
JBHT,2000-01-03 00:00:00+00:00,13.44,14.44,13.06,14.25,61500,2.7335129934,2.9368993768,2.6562261677,2.898255964,246000,0.0,1.0
JBHT,2000-01-04 00:00:00+00:00,12.75,13.25,12.75,13.06,69900,2.5931763888,2.6948695805,2.5931763888,2.6562261677,279600,0.0,1.0
JBHT,2000-01-05 00:00:00+00:00,12.88,13.06,12.63,13.0,36400,2.6196166186,2.6562261677,2.5687700228,2.6440229847,145600,0.0,1.0
JBHT,2000-01-06 00:00:00+00:00,13.25,13.38,13.0,13.0,55900,2.6948695805,2.7213098104,2.6440229847,2.6440229847,223600,0.0,1.0
JBHT,2000-01-07 00:00:00+00:00,13.25,13.94,13.06,13.38,41400,2.6948695805,2.8352061851,2.6562261677,2.7213098104,165600,0.0,1.0
JBHT,2000-01-10 00:00:00+00:00,12.88,13.63,12.75,13.38,68100,2.6196166186,2.7721564062,2.5931763888,2.7213098104,272400,0.0,1.0
JBHT,2000-01-11 00:00:00+00:00,13.06,13.25,12.88,13.13,33600,2.6562261677,2.6948695805,2.6196166186,2.6704632145,134400,0.0,1.0
JBHT,2000-01-12 00:00:00+00:00,12.94,13.06,12.69,12.75,57300,2.6318198017,2.6562261677,2.5809732058,2.5931763888,229200,0.0,1.0
JBHT,2000-01-13 00:00:00+00:00,13.0,13.13,12.88,12.88,75200,2.6440229847,2.6704632145,2.6196166186,2.6196166186,300800,0.0,1.0
JBHT,2000-01-14 00:00:00+00:00,13.0,13.06,12.69,12.88,43000,2.6440229847,2.6562261677,2.5809732058,2.6196166186,172000,0.0,1.0
JBHT,2000-01-18 00:00:00+00:00,12.88,13.13,12.69,12.88,64900,2.6196166186,2.6704632145,2.5809732058,2.6196166186,259600,0.0,1.0
JBHT,2000-01-19 00:00:00+00:00,12.44,12.75,12.44,12.63,44900,2.5301266099,2.5931763888,2.5301266099,2.5687700228,179600,0.0,1.0
JBHT,2000-01-20 00:00:00+00:00,12.88,12.94,12.44,12.44,66900,2.6196166186,2.6318198017,2.5301266099,2.5301266099,267600,0.0,1.0
JBHT,2000-01-21 00:00:00+00:00,12.31,12.88,12.31,12.88,48200,2.5036863801,2.6196166186,2.5036863801,2.6196166186,192800,0.0,1.0
JBHT,2000-01-24 00:00:00+00:00,12.13,12.56,12.0,12.47,52900,2.4670768311,2.5545329759,2.4406366012,2.5362282014,211600,0.0,1.0
JBHT,2000-01-25 00:00:00+00:00,12.0,12.63,12.0,12.38,55600,2.4406366012,2.5687700228,2.4406366012,2.5179234269,222400,0.0,1.0
JBHT,2000-01-26 00:00:00+00:00,12.88,13.0,12.13,12.13,61200,2.6196166186,2.6440229847,2.4670768311,2.4670768311,244800,0.0,1.0
JBHT,2000-01-27 00:00:00+00:00,12.41,13.19,12.25,12.88,95500,2.5240250184,2.6826663975,2.4914831971,2.6196166186,382000,0.0,1.0
JBHT,2000-01-28 00:00:00+00:00,12.69,12.69,12.13,12.44,53500,2.5809732058,2.5809732058,2.4670768311,2.5301266099,214000,0.0,1.0
JBHT,2000-01-31 00:00:00+00:00,12.63,12.75,11.75,12.0,244200,2.5687700228,2.5931763888,2.3897900054,2.4406366012,976800,0.0,1.0
JBHT,2000-02-01 00:00:00+00:00,12.44,12.56,12.25,12.53,41700,2.5402959291,2.5648003914,2.5014971971,2.5586742759,166800,0.05,1.0
JBHT,2000-02-02 00:00:00+00:00,12.69,12.72,12.38,12.44,64000,2.5913468923,2.5974730079,2.5280436979,2.5402959291,256000,0.0,1.0
JBHT,2000-02-03 00:00:00+00:00,12.56,12.75,12.5,12.63,63600,2.5648003914,2.6035991235,2.5525481603,2.5790946611,254400,0.0,1.0
JBHT,2000-02-04 00:00:00+00:00,12.5,12.75,12.44,12.44,25800,2.5525481603,2.6035991235,2.5402959291,2.5402959291,103200,0.0,1.0
JBHT,2000-02-07 00:00:00+00:00,12.31,12.56,12.25,12.53,74600,2.5137494282,2.5648003914,2.5014971971,2.5586742759,298400,0.0,1.0
JBHT,2000-02-08 00:00:00+00:00,12.31,12.63,12.13,12.13,69600,2.5137494282,2.5790946611,2.4769927347,2.4769927347,278400,0.0,1.0
JBHT,2000-02-09 00:00:00+00:00,12.25,12.5,12.13,12.13,178400,2.5014971971,2.5525481603,2.4769927347,2.4769927347,713600,0.0,1.0
JBHT,2000-02-10 00:00:00+00:00,12.06,12.38,12.0,12.25,37400,2.462698465,2.5280436979,2.4504462339,2.5014971971,149600,0.0,1.0
JBHT,2000-02-11 00:00:00+00:00,12.19,12.31,11.88,12.0,29500,2.4892449659,2.5137494282,2.4259417715,2.4504462339,118000,0.0,1.0
JBHT,2000-02-14 00:00:00+00:00,12.31,12.38,11.81,12.0,56000,2.5137494282,2.5280436979,2.4116475018,2.4504462339,224000,0.0,1.0
JBHT,2000-02-15 00:00:00+00:00,11.66,12.31,11.25,12.25,132400,2.3810169239,2.5137494282,2.2972933443,2.5014971971,529600,0.0,1.0
JBHT,2000-02-16 00:00:00+00:00,11.47,11.75,11.38,11.69,128200,2.3422181919,2.3993952707,2.3238398451,2.3871430395,512800,0.0,1.0
JBHT,2000-02-17 00:00:00+00:00,10.88,11.75,10.69,11.75,142600,2.2217379187,2.3993952707,2.1829391867,2.3993952707,570400,0.0,1.0
JBHT,2000-02-18 00:00:00+00:00,10.88,11.25,10.75,11.13,124600,2.2217379187,2.2972933443,2.1951914178,2.2727888819,498400,0.0,1.0
JBHT,2000-02-22 00:00:00+00:00,10.94,11.0,10.75,10.94,85600,2.2339901499,2.246242381,2.1951914178,2.2339901499,342400,0.0,1.0
JBHT,2000-02-23 00:00:00+00:00,11.19,11.47,11.0,11.47,132700,2.2850411131,2.3422181919,2.246242381,2.3422181919,530800,0.0,1.0
JBHT,2000-02-24 00:00:00+00:00,11.06,11.25,10.81,11.06,242700,2.2584946122,2.2972933443,2.207443649,2.2584946122,970800,0.0,1.0
JBHT,2000-02-25 00:00:00+00:00,11.28,11.31,10.88,11.06,189100,2.3034194598,2.3095455754,2.2217379187,2.2584946122,756400,0.0,1.0
JBHT,2000-02-28 00:00:00+00:00,10.88,11.06,10.5,11.0,73400,2.2217379187,2.2584946122,2.1441404546,2.246242381,293600,0.0,1.0
JBHT,2000-02-29 00:00:00+00:00,11.5,11.5,10.5,10.94,64400,2.3483443075,2.3483443075,2.1441404546,2.2339901499,257600,0.0,1.0
JBHT,2000-03-01 00:00:00+00:00,11.75,12.0,11.13,11.19,64200,2.3993952707,2.4504462339,2.2727888819,2.2850411131,256800,0.0,1.0
JBHT,2000-03-02 00:00:00+00:00,11.31,11.75,11.25,11.63,95500,2.3095455754,2.3993952707,2.2972933443,2.3748908083,382000,0.0,1.0
JBHT,2000-03-03 00:00:00+00:00,11.5,11.75,11.25,11.25,41200,2.3483443075,2.3993952707,2.2972933443,2.2972933443,164800,0.0,1.0
JBHT,2000-03-06 00:00:00+00:00,11.44,11.75,11.25,11.31,81700,2.3360920763,2.3993952707,2.2972933443,2.3095455754,326800,0.0,1.0
JBHT,2000-03-07 00:00:00+00:00,11.31,11.44,11.0,11.38,107400,2.3095455754,2.3360920763,2.246242381,2.3238398451,429600,0.0,1.0
JBHT,2000-03-08 00:00:00+00:00,11.5,11.88,11.0,11.06,92400,2.3483443075,2.4259417715,2.246242381,2.2584946122,369600,0.0,1.0
JBHT,2000-03-09 00:00:00+00:00,12.25,12.25,11.5,11.75,132000,2.5014971971,2.5014971971,2.3483443075,2.3993952707,528000,0.0,1.0
JBHT,2000-03-10 00:00:00+00:00,12.88,12.88,12.06,12.31,70100,2.6301456244,2.6301456244,2.462698465,2.5137494282,280400,0.0,1.0
JBHT,2000-03-13 00:00:00+00:00,13.59,14.0,12.63,12.94,149100,2.7751303599,2.8588539395,2.5790946611,2.6423978555,596400,0.0,1.0
JBHT,2000-03-14 00:00:00+00:00,14.38,15.88,14.25,15.38,417000,2.9364514036,3.2427571828,2.9099049027,3.1406552564,1668000,0.0,1.0
JBHT,2000-03-15 00:00:00+00:00,15.0,15.5,14.5,14.94,398100,3.0630577923,3.1651597187,2.9609558659,3.0508055612,1592400,0.0,1.0
JBHT,2000-03-16 00:00:00+00:00,15.5,15.63,14.63,15.13,344900,3.1651597187,3.1917062196,2.9875023668,3.0896042932,1379600,0.0,1.0
JBHT,2000-03-17 00:00:00+00:00,15.25,15.75,14.75,15.06,216900,3.1141087555,3.216210682,3.0120068291,3.0753100235,867600,0.0,1.0
JBHT,2000-03-20 00:00:00+00:00,15.31,15.63,15.0,15.25,95500,3.1263609867,3.1917062196,3.0630577923,3.1141087555,382000,0.0,1.0
