symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
JCI,2000-01-03 00:00:00+00:00,37.38,39.94,37.13,39.75,27718000,4.5558319129,4.8678418031,4.525362197,4.8446848191,26470700,0.0,1.0
JCI,2000-01-04 00:00:00+00:00,36.06,37.75,35.75,36.88,21152800,4.3949518132,4.6009270923,4.3571693656,4.4948924812,20200932,0.0,1.0
JCI,2000-01-05 00:00:00+00:00,35.31,36.25,34.5,36.19,25592400,4.3035426657,4.4181087973,4.2048207864,4.4107960655,24440751,0.0,1.0
JCI,2000-01-06 00:00:00+00:00,35.13,36.0,34.81,35.13,21321200,4.2816044703,4.3876390814,4.242603234,4.2816044703,20361754,0.0,1.0
JCI,2000-01-07 00:00:00+00:00,35.63,35.75,34.06,35.0,15770400,4.342543902,4.3571693656,4.1511940865,4.265760218,15060738,0.0,1.0
JCI,2000-01-10 00:00:00+00:00,36.75,36.88,35.88,36.25,12923600,4.4790482289,4.4948924812,4.3730136178,4.4181087973,12342042,0.0,1.0
JCI,2000-01-11 00:00:00+00:00,34.31,36.94,34.13,36.94,22435600,4.1816638023,4.502205213,4.1597256069,4.502205213,21426006,0.0,1.0
JCI,2000-01-12 00:00:00+00:00,32.25,33.75,32.0,33.25,19673200,3.9305933438,4.1134116388,3.9001236279,4.0524722071,18787913,0.0,1.0
JCI,2000-01-13 00:00:00+00:00,34.38,34.38,32.56,33.25,18454000,4.1901953228,4.1901953228,3.9683757914,4.0524722071,17623577,0.0,1.0
JCI,2000-01-14 00:00:00+00:00,34.88,36.0,33.44,35.69,22944000,4.2511347544,4.3876390814,4.0756291912,4.3498566338,21911528,0.0,1.0
JCI,2000-01-18 00:00:00+00:00,40.0,40.13,35.75,36.25,44281600,4.8751545349,4.8909987871,4.3571693656,4.4181087973,42288944,0.0,1.0
JCI,2000-01-19 00:00:00+00:00,38.0,39.38,37.44,38.94,36460000,4.6313968082,4.7995896396,4.5631446447,4.7459629397,34819313,0.0,1.0
JCI,2000-01-20 00:00:00+00:00,37.88,38.38,37.0,38.25,16452000,4.6167713446,4.6777107762,4.5095179448,4.661866524,15711666,0.0,1.0
JCI,2000-01-21 00:00:00+00:00,39.0,39.38,38.0,38.19,23904800,4.7532756715,4.7995896396,4.6313968082,4.6545537922,22829093,0.0,1.0
JCI,2000-01-24 00:00:00+00:00,37.88,39.44,37.88,39.38,20022400,4.6167713446,4.8069023714,4.6167713446,4.7995896396,19121399,0.0,1.0
JCI,2000-01-25 00:00:00+00:00,36.0,39.0,36.0,37.13,15426800,4.3876390814,4.7532756715,4.3876390814,4.525362197,14732599,0.0,1.0
JCI,2000-01-26 00:00:00+00:00,39.38,39.5,37.38,37.94,31323200,4.7995896396,4.8142151032,4.5558319129,4.6240840764,29913667,0.0,1.0
JCI,2000-01-27 00:00:00+00:00,42.75,43.13,39.38,39.69,56377200,5.2103214092,5.2566353773,4.7995896396,4.8373720873,53840247,0.0,1.0
JCI,2000-01-28 00:00:00+00:00,42.0,43.88,41.25,42.75,40062400,5.1189122617,5.3480445248,5.0275031141,5.2103214092,38259607,0.0,1.0
JCI,2000-01-31 00:00:00+00:00,43.06,43.44,41.06,42.13,19953200,5.2481038568,5.2944178249,5.0043461301,5.1347565139,19055313,0.0,1.0
JCI,2000-02-01 00:00:00+00:00,41.69,42.5,41.0,42.38,24152800,5.081129814,5.1798516933,4.9970333983,5.1652262297,23065933,0.0,1.0
JCI,2000-02-02 00:00:00+00:00,40.5,42.13,40.0,42.13,22174000,4.9360939666,5.1347565139,4.8751545349,5.1347565139,21176178,0.0,1.0
JCI,2000-02-03 00:00:00+00:00,40.88,41.56,40.31,41.06,13805600,4.9824079347,5.0652855618,4.9129369826,5.0043461301,13184353,0.0,1.0
JCI,2000-02-04 00:00:00+00:00,40.0,41.5,40.0,41.5,11888000,4.8751545349,5.05797283,4.8751545349,5.05797283,11353044,0.0,1.0
JCI,2000-02-07 00:00:00+00:00,39.13,40.0,38.25,39.94,17326000,4.7691199238,4.8751545349,4.661866524,4.8678418031,16546336,0.0,1.0
JCI,2000-02-08 00:00:00+00:00,41.25,41.25,39.88,40.25,16819600,5.0275031141,5.0275031141,4.8605290713,4.9056242508,16062724,0.0,1.0
JCI,2000-02-09 00:00:00+00:00,41.06,41.75,40.63,41.0,17911600,5.0043461301,5.0884425458,4.9519382188,4.9970333983,17105584,0.0,1.0
JCI,2000-02-10 00:00:00+00:00,40.5,41.69,40.38,41.25,11180000,4.9360939666,5.081129814,4.921468503,5.0275031141,10676904,0.0,1.0
JCI,2000-02-11 00:00:00+00:00,39.63,40.63,38.94,40.63,9944000,4.8300593555,4.9519382188,4.7459629397,4.9519382188,9496523,0.0,1.0
JCI,2000-02-14 00:00:00+00:00,38.94,39.88,38.56,39.06,10647200,4.7459629397,4.8605290713,4.6996489717,4.7605884033,10168080,0.0,1.0
JCI,2000-02-15 00:00:00+00:00,38.63,39.0,37.94,38.75,15599200,4.7081804921,4.7532756715,4.6240840764,4.7228059557,14897241,0.0,1.0
JCI,2000-02-16 00:00:00+00:00,38.31,38.5,37.44,38.25,11429200,4.6691792558,4.6923362398,4.5631446447,4.661866524,10914890,0.0,1.0
JCI,2000-02-17 00:00:00+00:00,39.69,40.0,37.56,38.38,36786000,4.8373720873,4.8751545349,4.5777701083,4.6777107762,35130644,0.0,1.0
JCI,2000-02-18 00:00:00+00:00,37.63,39.56,37.44,39.25,17070800,4.5863016287,4.821527835,4.5631446447,4.7837453874,16302620,0.0,1.0
JCI,2000-02-22 00:00:00+00:00,38.25,38.44,37.63,38.0,9111200,4.661866524,4.685023508,4.5863016287,4.6313968082,8701199,0.0,1.0
JCI,2000-02-23 00:00:00+00:00,37.44,38.25,36.25,38.25,10110400,4.5631446447,4.661866524,4.4181087973,4.661866524,9655435,0.0,1.0
JCI,2000-02-24 00:00:00+00:00,37.75,38.0,35.63,37.31,17411200,4.6009270923,4.6313968082,4.342543902,4.5473003924,16627702,0.0,1.0
JCI,2000-02-25 00:00:00+00:00,39.0,39.56,36.19,36.25,18385600,4.7532756715,4.821527835,4.4107960655,4.4181087973,17558255,0.0,1.0
JCI,2000-02-28 00:00:00+00:00,39.19,39.44,37.5,39.0,13353200,4.7764326556,4.8069023714,4.5704573765,4.7532756715,12752311,0.0,1.0
JCI,2000-02-29 00:00:00+00:00,37.0,39.75,37.0,39.19,18341200,4.5095179448,4.8446848191,4.5095179448,4.7764326556,17515853,0.0,1.0
JCI,2000-03-01 00:00:00+00:00,37.0,40.5,37.0,38.5,30730800,4.5095179448,4.9360939666,4.5095179448,4.6923362398,29347925,0.0,1.0
JCI,2000-03-02 00:00:00+00:00,37.25,39.38,37.25,38.63,21835200,4.5399876606,4.7995896396,4.5399876606,4.7081804921,20852624,0.0,1.0
JCI,2000-03-03 00:00:00+00:00,40.25,40.75,38.63,39.0,39311200,4.9056242508,4.9665636824,4.7081804921,4.7532756715,37542211,0.0,1.0
JCI,2000-03-06 00:00:00+00:00,40.69,42.06,40.38,40.88,27140400,4.9592509506,5.1262249935,4.921468503,4.9824079347,25919092,0.0,1.0
JCI,2000-03-07 00:00:00+00:00,39.25,41.25,38.75,40.94,27131600,4.7837453874,5.0275031141,4.7228059557,4.9897206665,25910688,0.0,1.0
JCI,2000-03-08 00:00:00+00:00,42.0,42.0,39.69,39.75,23225600,5.1189122617,5.1189122617,4.8373720873,4.8446848191,22180456,0.0,1.0
JCI,2000-03-09 00:00:00+00:00,44.63,45.81,41.5,41.5,46496800,5.4394536723,5.5832707311,5.05797283,5.05797283,44404461,0.0,1.0
JCI,2000-03-10 00:00:00+00:00,48.5,48.75,45.63,46.38,50430000,5.9111248736,5.9415945894,5.5613325357,5.6527416832,48160669,0.0,1.0
JCI,2000-03-13 00:00:00+00:00,46.0,48.0,45.31,45.38,26442800,5.6064277151,5.8501854419,5.5223312994,5.5308628199,25252884,0.0,1.0
JCI,2000-03-14 00:00:00+00:00,44.38,47.19,44.06,45.88,19106000,5.4089839565,5.7514635626,5.3699827202,5.5918022515,18246237,0.0,1.0
JCI,2000-03-15 00:00:00+00:00,46.44,46.44,43.38,44.56,18033200,5.660054415,5.660054415,5.2871050931,5.4309221519,17221712,0.0,1.0
JCI,2000-03-16 00:00:00+00:00,47.5,47.75,45.75,46.25,20424800,5.7892460102,5.819715726,5.5759579993,5.636897431,19505691,0.0,1.0
JCI,2000-03-17 00:00:00+00:00,47.25,48.44,46.81,46.88,17688800,5.7587762944,5.9038121418,5.7051495945,5.7136811149,16892810,0.0,1.0
JCI,2000-03-20 00:00:00+00:00,47.88,48.94,47.63,47.75,13528000,5.8355599783,5.9647515735,5.8050902624,5.819715726,12919245,0.0,1.0
JCI,2000-03-21 00:00:00+00:00,48.0,48.19,46.75,48.0,13119200,5.8501854419,5.8733424259,5.6978368627,5.8501854419,12528841,0.0,1.0
JCI,2000-03-22 00:00:00+00:00,48.5,48.94,47.06,47.75,19777600,5.9111248736,5.9647515735,5.7356193103,5.819715726,18887615,0.0,1.0
JCI,2000-03-23 00:00:00+00:00,49.38,50.25,48.94,49.25,19928000,6.0183782733,6.1244128845,5.9647515735,6.0025340211,19031247,0.0,1.0
JCI,2000-03-24 00:00:00+00:00,52.0,53.25,49.69,50.0,27358400,6.3377008954,6.4900494746,6.056160721,6.0939431686,26127282,0.0,1.0
JCI,2000-03-27 00:00:00+00:00,50.56,51.56,50.5,51.5,16654800,6.1621953321,6.2840741955,6.1548826003,6.2767614637,15905340,0.0,1.0
JCI,2000-03-28 00:00:00+00:00,50.5,51.19,49.63,49.75,11349600,6.1548826003,6.238979016,6.0488479892,6.0634734528,10838872,0.0,1.0
JCI,2000-03-29 00:00:00+00:00,49.88,51.06,49.25,50.56,14317200,6.079317705,6.2231347638,6.0025340211,6.1621953321,13672931,0.0,1.0
JCI,2000-03-30 00:00:00+00:00,49.88,52.5,49.0,49.94,19978000,6.0809021303,6.4003079759,5.9736207775,6.0882167679,19078997,0.013,1.0
JCI,2000-03-31 00:00:00+00:00,50.13,51.44,49.88,51.0,10455600,6.1113797873,6.2710827101,6.0809021303,6.2174420337,9985101,0.0,1.0
JCI,2000-04-03 00:00:00+00:00,50.5,50.88,49.88,50.88,9589200,6.1564867197,6.2028127584,6.0809021303,6.2028127584,9157689,0.0,1.0
JCI,2000-04-04 00:00:00+00:00,47.31,50.44,43.38,50.25,29471600,5.767591816,6.149172082,5.2884830475,6.1260090627,28145389,0.0,1.0
JCI,2000-04-05 00:00:00+00:00,46.75,47.81,46.56,46.75,10089600,5.6993218643,5.8285471301,5.6761588449,5.6993218643,9635571,0.0,1.0
JCI,2000-04-06 00:00:00+00:00,47.75,48.88,47.13,47.19,8770800,5.8212324924,5.9589915021,5.7456479029,5.7529625406,8376117,0.0,1.0
JCI,2000-04-07 00:00:00+00:00,49.88,50.19,48.0,48.13,10924800,6.0809021303,6.118694425,5.8517101494,5.8675585311,10433188,0.0,1.0
JCI,2000-04-10 00:00:00+00:00,49.63,50.25,48.69,49.88,11693200,6.0504244732,6.1260090627,5.9358284828,6.0809021303,11167010,0.0,1.0
JCI,2000-04-11 00:00:00+00:00,49.5,49.75,48.13,49.0,7208800,6.0345760916,6.0650537486,5.8675585311,5.9736207775,6884406,0.0,1.0
JCI,2000-04-12 00:00:00+00:00,46.56,49.88,46.0,49.0,14384800,5.6761588449,6.0809021303,5.6078888932,5.9736207775,13737489,0.0,1.0
JCI,2000-04-13 00:00:00+00:00,46.0,47.13,46.0,46.81,12630000,5.6078888932,5.7456479029,5.6078888932,5.7066365019,12061654,0.0,1.0
JCI,2000-04-14 00:00:00+00:00,43.5,45.13,42.75,45.0,17027200,5.3031123229,5.5018266467,5.2116793518,5.4859782651,16260982,0.0,1.0
JCI,2000-04-17 00:00:00+00:00,45.88,46.0,42.25,42.63,15468000,5.5932596178,5.6078888932,5.1507240378,5.1970500764,14771945,0.0,1.0
JCI,2000-04-18 00:00:00+00:00,43.75,45.63,42.06,45.5,28873600,5.3335899799,5.5627819608,5.1275610184,5.5469335791,27574299,0.0,1.0
JCI,2000-04-19 00:00:00+00:00,44.13,45.19,43.81,43.94,13858400,5.3799160186,5.5091412844,5.3409046176,5.3567529993,13234777,0.0,1.0
JCI,2000-04-20 00:00:00+00:00,44.88,46.06,44.31,44.38,11728000,5.4713489897,5.6152035309,5.4018599317,5.4103936756,11200244,0.0,1.0
JCI,2000-04-24 00:00:00+00:00,44.38,45.69,44.38,44.94,10722800,5.4103936756,5.5700965985,5.4103936756,5.4786636274,10240278,0.0,1.0
