symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
JKHY,2000-01-03 00:00:00+00:00,53.75,53.75,52.0,53.0,62100,10.3236360196,10.3236360196,9.9875176376,10.1795852845,248400,0.0,1.0
JKHY,2000-01-04 00:00:00+00:00,49.38,53.5,49.13,52.25,140800,9.4843004028,10.2756191079,9.4362834911,10.0355345493,563200,0.0,1.0
JKHY,2000-01-05 00:00:00+00:00,49.25,49.5,48.25,49.5,215000,9.4593316087,9.5073485204,9.2672639618,9.5073485204,860000,0.0,1.0
JKHY,2000-01-06 00:00:00+00:00,49.88,52.25,49.0,51.19,204800,9.5803342262,10.0355345493,9.411314697,9.8319428436,819200,0.0,1.0
JKHY,2000-01-07 00:00:00+00:00,49.88,50.13,49.0,49.69,83900,9.5803342262,9.6283511379,9.411314697,9.5438413733,335600,0.0,1.0
JKHY,2000-01-10 00:00:00+00:00,51.72,52.0,48.94,49.63,241600,9.9337386965,9.9875176376,9.3997906382,9.5323173145,966400,0.0,1.0
JKHY,2000-01-11 00:00:00+00:00,51.94,52.31,50.13,50.13,77700,9.9759935788,10.0470586081,9.6283511379,9.6283511379,310800,0.0,1.0
JKHY,2000-01-12 00:00:00+00:00,51.69,52.25,51.38,51.88,96400,9.9279766671,10.0355345493,9.8684356965,9.96446952,385600,0.0,1.0
JKHY,2000-01-13 00:00:00+00:00,52.0,52.0,50.0,51.56,92600,9.9875176376,9.9875176376,9.6033823438,9.903007873,370400,0.0,1.0
JKHY,2000-01-14 00:00:00+00:00,52.75,53.06,50.31,50.31,61800,10.1315683728,10.1911093433,9.6629233144,9.6629233144,247200,0.0,1.0
JKHY,2000-01-18 00:00:00+00:00,55.25,55.88,52.06,52.47,130600,10.6117374899,10.7327401075,9.9990416964,10.0777894316,522400,0.0,1.0
JKHY,2000-01-19 00:00:00+00:00,56.31,57.92,54.88,55.0,109400,10.8153291956,11.1245581071,10.5406724606,10.5637205782,437600,0.0,1.0
JKHY,2000-01-20 00:00:00+00:00,56.88,57.0,55.0,55.75,55600,10.9248077544,10.947855872,10.5637205782,10.7077713134,222400,0.0,1.0
JKHY,2000-01-21 00:00:00+00:00,58.13,58.25,56.5,57.13,107400,11.164892313,11.1879404306,10.8518220485,10.9728246661,429600,0.0,1.0
JKHY,2000-01-24 00:00:00+00:00,58.25,58.38,57.25,58.0,184800,11.1879404306,11.2129092247,10.9958727837,11.1399235189,739200,0.0,1.0
JKHY,2000-01-25 00:00:00+00:00,58.06,58.38,57.75,58.0,85600,11.1514475777,11.2129092247,11.0919066071,11.1399235189,342400,0.0,1.0
JKHY,2000-01-26 00:00:00+00:00,58.0,59.0,57.75,57.88,91000,11.1399235189,11.3319911657,11.0919066071,11.1168754012,364000,0.0,1.0
JKHY,2000-01-27 00:00:00+00:00,58.13,59.0,57.5,58.88,96100,11.164892313,11.3319911657,11.0438896954,11.3089430481,384400,0.0,1.0
