symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
JNPR,2000-01-03 00:00:00+00:00,344.0,350.0,333.0,349.12,937700,46.846893243,47.6639902181,45.3488821218,47.5441493284,5626200,0.0,1.0
JNPR,2000-01-04 00:00:00+00:00,328.9,353.0,321.0,333.4,1064500,44.7905325221,48.0725387057,43.7146881715,45.4033552535,6387000,0.0,1.0
JNPR,2000-01-05 00:00:00+00:00,327.2,340.0,314.0,323.1,1260400,44.5590217125,46.3021619262,42.7614083671,44.0006721128,7562400,0.0,1.0
JNPR,2000-01-06 00:00:00+00:00,312.0,339.0,308.1,327.0,510600,42.4890427087,46.165979097,41.9579296749,44.5317851467,3063600,0.0,1.0
JNPR,2000-01-07 00:00:00+00:00,324.9,325.0,300.0,303.8,826200,44.2458012053,44.2594194883,40.8548487584,41.3723435093,4957200,0.0,1.0
JNPR,2000-01-10 00:00:00+00:00,325.5,339.0,317.6,338.9,3007900,44.3275109029,46.165979097,43.2516665522,46.1523608141,18047400,0.0,1.0
JNPR,2000-01-11 00:00:00+00:00,323.9,346.0,323.8,328.8,1356500,44.1096183761,47.1192589013,44.0960000932,44.7769142392,8139000,0.0,1.0
JNPR,2000-01-12 00:00:00+00:00,307.8,329.0,293.0,329.0,1896000,41.9170748261,44.804150805,39.901568954,44.804150805,11376000,0.0,1.0
JNPR,2000-01-13 00:00:00+00:00,314.4,318.0,306.0,317.9,1080800,42.8158814988,43.3061396839,41.6719457336,43.292521401,6484800,0.0,1.0
JNPR,2000-01-14 00:00:00+00:00,340.1,343.0,330.0,333.0,1750100,46.3157802091,46.7107104138,44.9403336342,45.3488821218,10500600,0.0,1.0
JNPR,2000-01-18 00:00:00+00:00,118.8,120.0,110.3,110.3,1408000,48.535560325,49.0258185101,45.0628981805,45.0628981805,2816000,0.0,3.0
JNPR,2000-01-19 00:00:00+00:00,119.0,122.5,113.6,121.8,4525500,48.6172700225,50.047189729,46.4111081895,49.7612057877,9051000,0.0,1.0
JNPR,2000-01-20 00:00:00+00:00,116.9,120.6,114.9,120.5,3049700,47.7593181986,49.2709476026,46.9422212234,49.2300927539,6099400,0.0,1.0
JNPR,2000-01-21 00:00:00+00:00,149.9,150.2,116.5,118.1,7553000,61.2414182888,61.3639828351,47.5958988035,48.2495763837,15106000,0.0,1.0
JNPR,2000-01-24 00:00:00+00:00,141.4,149.8,138.8,148.6,3978600,57.7687561444,61.2005634401,56.7065300767,60.710305255,7957200,0.0,1.0
JNPR,2000-01-25 00:00:00+00:00,142.9,145.9,134.0,143.0,2501900,58.3815788757,59.6072243385,54.7454973362,58.4224337245,5003800,0.0,1.0
JNPR,2000-01-26 00:00:00+00:00,143.8,149.1,141.3,145.0,1849900,58.7492725146,60.9145794988,57.7279012956,59.2395306997,3699800,0.0,1.0
JNPR,2000-01-27 00:00:00+00:00,142.4,148.0,141.1,145.3,1776600,58.177304632,60.4651761624,57.6461915981,59.3620952459,3553200,0.0,1.0
JNPR,2000-01-28 00:00:00+00:00,140.8,145.9,138.4,139.0,1907900,57.5236270518,59.6072243385,56.5431106816,56.7882397742,3815800,0.0,1.0
JNPR,2000-01-31 00:00:00+00:00,135.3,138.6,125.1,138.0,1478100,55.2766103701,56.6248203791,51.1094157968,56.3796912866,2956200,0.0,1.0
JNPR,2000-02-01 00:00:00+00:00,138.5,143.4,134.2,136.4,1242400,56.5839655304,58.5858531195,54.8272070338,55.7260137065,2484800,0.0,1.0
JNPR,2000-02-02 00:00:00+00:00,137.1,144.8,137.0,141.0,1054600,56.0119976478,59.1578210022,55.971142799,57.6053367493,2109200,0.0,1.0
JNPR,2000-02-03 00:00:00+00:00,154.9,156.3,140.5,141.1,4414100,63.2841607268,63.8561286094,57.4010625055,57.6461915981,8828200,0.0,1.0
JNPR,2000-02-04 00:00:00+00:00,170.0,171.5,156.0,156.0,4200300,69.4532428893,70.0660656206,63.7335640631,63.7335640631,8400600,0.0,1.0
JNPR,2000-02-07 00:00:00+00:00,173.0,181.9,168.8,181.1,2383100,70.678888352,74.3149698915,68.9629847042,73.9881311015,4766200,0.0,1.0
JNPR,2000-02-08 00:00:00+00:00,169.6,174.1,169.5,172.0,3017700,69.2898234942,71.1282916884,69.2489686455,70.2703398644,6035400,0.0,1.0
JNPR,2000-02-09 00:00:00+00:00,185.9,204.7,171.5,172.5,5052100,75.9491638419,83.6298754084,70.0660656206,70.4746141082,10104200,0.0,1.0
