symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
K,2000-01-03 00:00:00+00:00,29.88,30.5,29.5,30.12,768600,14.7596258343,15.0658831307,14.5719197494,14.8781770458,768600,0.0,1.0
K,2000-01-04 00:00:00+00:00,28.81,29.75,28.69,29.63,694100,14.2310850163,14.6954105947,14.1718094105,14.636134989,694100,0.0,1.0
K,2000-01-05 00:00:00+00:00,28.56,29.13,28.5,28.75,862900,14.1075941709,14.3891532983,14.077956368,14.2014472134,862900,0.0,1.0
K,2000-01-06 00:00:00+00:00,28.81,29.13,28.0,28.0,1092200,14.2310850163,14.3891532983,13.8309746774,13.8309746774,1092200,0.0,1.0
K,2000-01-07 00:00:00+00:00,29.25,29.38,28.81,29.13,1008900,14.448428904,14.5126441436,14.2310850163,14.3891532983,1008900,0.0,1.0
K,2000-01-10 00:00:00+00:00,28.31,29.25,27.88,29.19,753000,13.9841033256,14.448428904,13.7716990716,14.4187911012,753000,0.0,1.0
K,2000-01-11 00:00:00+00:00,28.94,29.0,28.0,28.13,825400,14.2953002558,14.3249380587,13.8309746774,13.895189917,825400,0.0,1.0
K,2000-01-12 00:00:00+00:00,28.19,29.19,28.06,29.13,984200,13.9248277198,14.4187911012,13.8606124803,14.3891532983,984200,0.0,1.0
K,2000-01-13 00:00:00+00:00,27.44,28.19,27.44,28.19,682400,13.5543551838,13.9248277198,13.5543551838,13.9248277198,682400,0.0,1.0
K,2000-01-14 00:00:00+00:00,26.56,27.25,26.44,27.19,838000,13.1196674083,13.4605021414,13.0603918025,13.4308643385,838000,0.0,1.0
K,2000-01-18 00:00:00+00:00,27.63,27.75,26.13,26.31,1148000,13.6482082263,13.707483832,12.9072631543,12.9961765629,1148000,0.0,1.0
K,2000-01-19 00:00:00+00:00,26.81,27.56,26.63,27.0,1211600,13.2431582536,13.6136307896,13.1542448449,13.337011296,1211600,0.0,1.0
K,2000-01-20 00:00:00+00:00,25.81,26.69,25.25,26.69,882500,12.7491948723,13.1838826478,12.4725753787,13.1838826478,882500,0.0,1.0
K,2000-01-21 00:00:00+00:00,25.0,26.5,24.88,26.5,1115800,12.3490845334,13.0900296054,12.2898089276,13.0900296054,1115800,0.0,1.0
K,2000-01-24 00:00:00+00:00,24.13,25.25,23.88,24.75,1127400,11.9193363916,12.4725753787,11.7958455463,12.225593688,1127400,0.0,1.0
K,2000-01-25 00:00:00+00:00,23.94,24.16,23.75,24.0,1027100,11.8254833492,11.9341552931,11.7316303067,11.855121152,1027100,0.0,1.0
K,2000-01-26 00:00:00+00:00,24.81,24.88,23.38,23.5,1018400,12.2552314909,12.2898089276,11.5488638556,11.6081394614,1018400,0.0,1.0
K,2000-01-27 00:00:00+00:00,24.5,26.25,24.13,26.25,1061800,12.1021028427,12.96653876,11.9193363916,12.96653876,1061800,0.0,1.0
K,2000-01-28 00:00:00+00:00,23.94,24.63,23.63,24.5,865200,11.8254833492,12.1663180823,11.6723547009,12.1021028427,865200,0.0,1.0
K,2000-01-31 00:00:00+00:00,24.25,24.75,23.69,24.25,887000,11.9786119974,12.225593688,11.7019925038,11.9786119974,887000,0.0,1.0
K,2000-02-01 00:00:00+00:00,24.56,25.0,24.19,24.5,827300,12.1317406456,12.3490845334,11.9489741945,12.1021028427,827300,0.0,1.0
K,2000-02-02 00:00:00+00:00,23.94,24.38,23.81,24.31,543000,11.8254833492,12.0428272369,11.7612681096,12.0082498003,543000,0.0,1.0
K,2000-02-03 00:00:00+00:00,24.0,24.13,23.38,23.94,716700,11.855121152,11.9193363916,11.5488638556,11.8254833492,716700,0.0,1.0
K,2000-02-04 00:00:00+00:00,23.38,24.12,23.06,24.12,554900,11.5488638556,11.9143967578,11.3907955736,11.9143967578,554900,0.0,1.0
K,2000-02-07 00:00:00+00:00,22.81,23.63,22.56,23.63,765100,11.2673047282,11.6723547009,11.1438138829,11.6723547009,765100,0.0,1.0
K,2000-02-08 00:00:00+00:00,23.44,23.44,22.75,23.06,804600,11.5785016585,11.5785016585,11.2376669254,11.3907955736,804600,0.0,1.0
K,2000-02-09 00:00:00+00:00,22.81,23.75,22.38,23.25,640000,11.2673047282,11.7316303067,11.0549004743,11.484648616,640000,0.0,1.0
K,2000-02-10 00:00:00+00:00,21.88,22.75,21.81,22.56,625300,10.8079187836,11.2376669254,10.7733413469,11.1438138829,625300,0.0,1.0
K,2000-02-11 00:00:00+00:00,21.06,21.88,20.75,21.88,1430200,10.4028688109,10.8079187836,10.2497401627,10.8079187836,1430200,0.0,1.0
K,2000-02-14 00:00:00+00:00,21.25,21.31,20.75,21.06,1030300,10.4967218534,10.5263596562,10.2497401627,10.4028688109,1030300,0.0,1.0
K,2000-02-15 00:00:00+00:00,23.06,23.25,21.06,21.25,1340900,11.3907955736,11.484648616,10.4028688109,10.4967218534,1340900,0.0,1.0
K,2000-02-16 00:00:00+00:00,22.63,23.25,22.44,23.06,969000,11.1783913196,11.484648616,11.0845382772,11.3907955736,969000,0.0,1.0
K,2000-02-17 00:00:00+00:00,22.94,23.13,22.0,22.38,880100,11.3315199678,11.4253730103,10.8671943894,11.0549004743,880100,0.0,1.0
K,2000-02-18 00:00:00+00:00,22.19,22.88,22.0,22.75,576500,10.9610474318,11.3018821649,10.8671943894,11.2376669254,576500,0.0,1.0
K,2000-02-22 00:00:00+00:00,24.0,24.0,22.06,22.31,1052800,11.855121152,11.855121152,10.8968321922,11.0203230376,1052800,0.0,1.0
K,2000-02-23 00:00:00+00:00,23.63,23.81,22.81,23.75,1442100,11.6723547009,11.7612681096,11.2673047282,11.7316303067,1442100,0.0,1.0
K,2000-02-24 00:00:00+00:00,22.31,23.81,21.94,23.81,1436300,11.0203230376,11.7612681096,10.8375565865,11.7612681096,1436300,0.0,1.0
K,2000-02-25 00:00:00+00:00,21.0,22.38,20.81,22.13,1993600,10.4942520365,11.1838743131,10.3993040418,11.0589427413,1993600,0.245,1.0
K,2000-02-28 00:00:00+00:00,23.19,23.25,20.81,21.0,2223900,11.588652606,11.6186361832,10.3993040418,10.4942520365,2223900,0.0,1.0
K,2000-02-29 00:00:00+00:00,25.31,25.63,23.25,23.25,2185100,12.6480723354,12.8079847474,11.6186361832,11.6186361832,2185100,0.0,1.0
K,2000-03-01 00:00:00+00:00,23.75,25.0,23.25,24.63,1096900,11.8684993269,12.4931571863,11.6186361832,12.3082584599,1096900,0.0,1.0
K,2000-03-02 00:00:00+00:00,22.81,23.81,22.44,23.75,694700,11.3987566167,11.8984829042,11.2138578904,11.8684993269,694700,0.0,1.0
K,2000-03-03 00:00:00+00:00,23.81,24.25,22.69,23.0,741700,11.8984829042,12.1183624707,11.3387894623,11.4937046114,741700,0.0,1.0
K,2000-03-06 00:00:00+00:00,22.94,23.94,22.38,23.94,812200,11.4637210341,11.9634473216,11.1838743131,11.9634473216,812200,0.0,1.0
K,2000-03-07 00:00:00+00:00,22.69,23.13,22.38,22.75,1076500,11.3387894623,11.5586690287,11.1838743131,11.3687730395,1076500,0.0,1.0
K,2000-03-08 00:00:00+00:00,23.81,24.06,22.25,22.75,1266300,11.8984829042,12.0234144761,11.1189098958,11.3687730395,1266300,0.0,1.0
