symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
KEY,2000-01-03 00:00:00+00:00,20.75,21.62,20.56,21.5,1291100,9.470751363,9.8678382876,9.3840312301,9.8130676773,1291100,0.0,1.0
KEY,2000-01-04 00:00:00+00:00,20.5,20.63,19.94,20.5,1921900,9.3566459249,9.4159807527,9.1010497435,9.3566459249,1921900,0.0,1.0
KEY,2000-01-05 00:00:00+00:00,20.19,20.94,20.06,20.81,1671500,9.2151551817,9.557471496,9.1558203538,9.4981366682,1671500,0.0,1.0
KEY,2000-01-06 00:00:00+00:00,20.88,21.0,19.94,20.13,1127500,9.5300861908,9.5848568011,9.1010497435,9.1877698765,1127500,0.0,1.0
KEY,2000-01-07 00:00:00+00:00,21.44,21.44,20.81,21.25,909300,9.7856823722,9.7856823722,9.4981366682,9.6989622392,909300,0.0,1.0
KEY,2000-01-10 00:00:00+00:00,20.75,21.69,20.56,21.69,873000,9.470751363,9.8997878103,9.3840312301,9.8997878103,873000,0.0,1.0
KEY,2000-01-11 00:00:00+00:00,20.75,20.94,20.25,20.25,1049500,9.470751363,9.557471496,9.2425404868,9.2425404868,1049500,0.0,1.0
KEY,2000-01-12 00:00:00+00:00,21.0,21.19,20.63,20.69,846900,9.5848568011,9.6715769341,9.4159807527,9.4433660579,846900,0.0,1.0
KEY,2000-01-13 00:00:00+00:00,21.56,21.69,21.13,21.25,757100,9.8404529825,9.8997878103,9.6441916289,9.6989622392,757100,0.0,1.0
KEY,2000-01-14 00:00:00+00:00,22.0,22.13,21.63,21.94,920300,10.0412785536,10.1006133814,9.8724025052,10.0138932484,920300,0.0,1.0
KEY,2000-01-18 00:00:00+00:00,21.13,21.56,20.94,21.44,861500,9.6441916289,9.8404529825,9.557471496,9.7856823722,861500,0.0,1.0
KEY,2000-01-19 00:00:00+00:00,20.63,21.81,20.5,21.25,1410600,9.4159807527,9.9545584206,9.3566459249,9.6989622392,1410600,0.0,1.0
KEY,2000-01-20 00:00:00+00:00,20.5,20.88,20.25,20.88,999700,9.3566459249,9.5300861908,9.2425404868,9.5300861908,999700,0.0,1.0
KEY,2000-01-21 00:00:00+00:00,21.38,21.44,20.31,20.56,2572600,9.7582970671,9.7856823722,9.269925792,9.3840312301,2572600,0.0,1.0
KEY,2000-01-24 00:00:00+00:00,20.44,21.56,20.38,21.5,1335700,9.3292606198,9.8404529825,9.3018753146,9.8130676773,1335700,0.0,1.0
KEY,2000-01-25 00:00:00+00:00,20.13,20.69,19.81,20.5,1966900,9.1877698765,9.4433660579,9.0417149157,9.3566459249,1966900,0.0,1.0
KEY,2000-01-26 00:00:00+00:00,21.56,21.63,20.25,20.38,1775500,9.8404529825,9.8724025052,9.2425404868,9.3018753146,1775500,0.0,1.0
KEY,2000-01-27 00:00:00+00:00,21.06,21.63,20.69,21.5,1158700,9.6122421063,9.8724025052,9.4433660579,9.8130676773,1158700,0.0,1.0
KEY,2000-01-28 00:00:00+00:00,20.5,21.0,20.38,21.0,1075600,9.3566459249,9.5848568011,9.3018753146,9.5848568011,1075600,0.0,1.0
KEY,2000-01-31 00:00:00+00:00,21.0,21.0,20.19,20.63,1499400,9.5848568011,9.5848568011,9.2151551817,9.4159807527,1499400,0.0,1.0
KEY,2000-02-01 00:00:00+00:00,20.75,21.06,20.56,20.94,1311300,9.470751363,9.6122421063,9.3840312301,9.557471496,1311300,0.0,1.0
KEY,2000-02-02 00:00:00+00:00,20.5,20.75,20.44,20.75,1037700,9.3566459249,9.470751363,9.3292606198,9.470751363,1037700,0.0,1.0
KEY,2000-02-03 00:00:00+00:00,20.44,20.75,20.38,20.56,1351500,9.3292606198,9.470751363,9.3018753146,9.3840312301,1351500,0.0,1.0
KEY,2000-02-04 00:00:00+00:00,20.13,20.56,20.06,20.13,1255600,9.1877698765,9.3840312301,9.1558203538,9.1877698765,1255600,0.0,1.0
KEY,2000-02-07 00:00:00+00:00,20.0,20.31,19.94,20.13,1078400,9.1284350487,9.269925792,9.1010497435,9.1877698765,1078400,0.0,1.0
KEY,2000-02-08 00:00:00+00:00,20.38,20.38,19.94,20.0,1166700,9.3018753146,9.3018753146,9.1010497435,9.1284350487,1166700,0.0,1.0
KEY,2000-02-09 00:00:00+00:00,19.5,20.06,19.44,20.06,1393500,8.9002241725,9.1558203538,8.8728388673,9.1558203538,1393500,0.0,1.0
KEY,2000-02-10 00:00:00+00:00,18.75,19.5,18.38,19.31,2713700,8.5579078582,8.9002241725,8.3890318098,8.8135040395,2713700,0.0,1.0
KEY,2000-02-11 00:00:00+00:00,18.69,18.94,18.19,18.5,2172900,8.530522553,8.6446279911,8.3023116768,8.44380242,2172900,0.0,1.0
KEY,2000-02-14 00:00:00+00:00,18.19,18.5,18.0,18.44,1438000,8.3023116768,8.44380242,8.2155915438,8.4164171149,1438000,0.0,1.0
KEY,2000-02-15 00:00:00+00:00,18.56,18.75,17.88,18.38,2061300,8.4711877252,8.5579078582,8.1608209335,8.3890318098,2061300,0.0,1.0
KEY,2000-02-16 00:00:00+00:00,17.88,18.44,17.81,18.25,1970700,8.1608209335,8.4164171149,8.1288714109,8.3296969819,1970700,0.0,1.0
KEY,2000-02-17 00:00:00+00:00,17.94,18.44,17.75,18.31,993600,8.1882062387,8.4164171149,8.1014861057,8.3570822871,993600,0.0,1.0
KEY,2000-02-18 00:00:00+00:00,17.25,17.81,17.0,17.69,2011700,7.8732752295,8.1288714109,7.7591697914,8.0741008006,2011700,0.0,1.0
KEY,2000-02-22 00:00:00+00:00,17.44,17.69,17.31,17.44,1760900,7.9599953625,8.0741008006,7.9006605346,7.9599953625,1760900,0.0,1.0
KEY,2000-02-23 00:00:00+00:00,17.19,17.5,17.19,17.44,1511500,7.8458899244,7.9873806676,7.8458899244,7.9599953625,1511500,0.0,1.0
KEY,2000-02-24 00:00:00+00:00,17.44,17.5,16.81,17.38,1818600,7.9599953625,7.9873806676,7.6724496584,7.9326100573,1818600,0.0,1.0
KEY,2000-02-25 00:00:00+00:00,17.0,17.56,16.81,17.44,1988400,7.8869678821,8.1467738829,7.7988194175,8.0911011684,1988400,0.28,1.0
KEY,2000-02-28 00:00:00+00:00,17.0,17.25,16.81,17.0,2103200,7.8869678821,8.0029527039,7.7988194175,7.8869678821,2103200,0.0,1.0
KEY,2000-02-29 00:00:00+00:00,16.94,17.13,16.56,17.0,1340600,7.8591315248,7.9472799894,7.6828345957,7.8869678821,1340600,0.0,1.0
KEY,2000-03-01 00:00:00+00:00,17.13,17.13,16.56,17.0,1556100,7.9472799894,7.9472799894,7.6828345957,7.8869678821,1556100,0.0,1.0
KEY,2000-03-02 00:00:00+00:00,16.94,17.06,16.63,17.0,1080600,7.8591315248,7.9148042393,7.7153103458,7.8869678821,1080600,0.0,1.0
KEY,2000-03-03 00:00:00+00:00,17.44,17.69,16.94,17.5,1646600,8.0911011684,8.2070859902,7.8591315248,8.1189375257,1646600,0.0,1.0
KEY,2000-03-06 00:00:00+00:00,17.38,17.63,17.0,17.44,1088500,8.0632648112,8.179249633,7.8869678821,8.0911011684,1088500,0.0,1.0
KEY,2000-03-07 00:00:00+00:00,16.0,17.25,15.94,17.25,2859400,7.4230285949,8.0029527039,7.3951922377,8.0029527039,2859400,0.0,1.0
KEY,2000-03-08 00:00:00+00:00,15.69,16.31,15.56,16.25,2702700,7.2792074159,7.5668497739,7.2188953085,7.5390134167,2702700,0.0,1.0
KEY,2000-03-09 00:00:00+00:00,15.81,15.81,15.56,15.69,2084900,7.3348801303,7.3348801303,7.2188953085,7.2792074159,2084900,0.0,1.0
KEY,2000-03-10 00:00:00+00:00,16.06,16.19,15.88,16.0,1970900,7.4508649521,7.5111770595,7.3673558804,7.4230285949,1970900,0.0,1.0
KEY,2000-03-13 00:00:00+00:00,16.25,16.31,15.81,16.25,1596800,7.5390134167,7.5668497739,7.3348801303,7.5390134167,1596800,0.0,1.0
