symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
KHC,2015-07-06 00:00:00+00:00,72.96,74.29,71.0,71.0,3809713,53.0985930201,54.066536122,51.6721505541,51.6721505541,3809713,16.5,1.0
KHC,2015-07-07 00:00:00+00:00,74.63,74.71,72.96,73.73,5794811,54.3139802232,54.3722023647,53.0985930201,53.6589811317,5794811,0.0,1.0
KHC,2015-07-08 00:00:00+00:00,75.4,75.5,74.04,74.3,4277461,54.8743683349,54.9471460117,53.8845919299,54.0738138897,4277461,0.0,1.0
KHC,2015-07-09 00:00:00+00:00,74.8,77.066,74.5,76.47,4267057,54.4377022739,56.086844431,54.2193692434,55.653089477,4267057,0.0,1.0
KHC,2015-07-10 00:00:00+00:00,77.31,77.8,75.0,75.05,4982979,56.2644219625,56.621032579,54.5832576275,54.619646466,4982979,0.0,1.0
KHC,2015-07-13 00:00:00+00:00,78.83,79.7,77.91,79.5,9078901,57.3706426504,58.0038084389,56.7010880235,57.8582530852,9078901,0.0,1.0
KHC,2015-07-14 00:00:00+00:00,78.0,79.5,77.65,79.45,18746119,56.7665879326,57.8582530852,56.5118660637,57.8218642468,18746119,0.0,1.0
KHC,2015-07-15 00:00:00+00:00,76.71,78.17,76.4,77.65,6330496,55.8277559014,56.8903099833,55.6021451033,56.5118660637,6330496,0.0,1.0
KHC,2015-07-16 00:00:00+00:00,78.75,78.84,76.9501,76.97,5634050,57.3124205089,57.3779204181,56.0024951035,56.0169778612,5634050,0.0,1.0
KHC,2015-07-17 00:00:00+00:00,79.63,79.69,77.26,79.43,6100876,57.9528640651,57.9965306712,56.228033124,57.8073087114,6100876,0.0,1.0
KHC,2015-07-20 00:00:00+00:00,80.11,81.2,79.13,79.95,10284545,58.3021969139,59.0954735914,57.5889756809,58.185752631,10284545,0.0,1.0
KHC,2015-07-21 00:00:00+00:00,80.22,80.68,79.4,79.97,6123210,58.3822523584,58.7170296719,57.7854754084,58.2003081663,6123210,0.0,1.0
KHC,2015-07-22 00:00:00+00:00,78.64,80.9,78.58,80.83,5201248,57.2323650644,58.8771405609,57.1886984583,58.8261961871,5201248,0.0,1.0
KHC,2015-07-23 00:00:00+00:00,76.74,78.57,76.64,78.42,2975649,56.2498664271,57.5912432262,56.1765671485,57.4812943082,2975649,0.55,1.0
