symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
KIM,2000-01-03 00:00:00+00:00,33.88,34.06,33.75,34.06,53600,3.6333994169,3.6527031918,3.6194578016,3.6527031918,160800,0.0,1.0
KIM,2000-01-04 00:00:00+00:00,33.56,33.88,33.25,33.88,119000,3.5990815947,3.6333994169,3.5658362046,3.6333994169,357000,0.0,1.0
KIM,2000-01-05 00:00:00+00:00,33.94,34.0,33.25,33.5,112600,3.6398340085,3.6462686001,3.5658362046,3.5926470031,337800,0.0,1.0
KIM,2000-01-06 00:00:00+00:00,34.75,35.0,33.63,33.63,159267,3.7267009957,3.7535117943,3.6065886183,3.6065886183,477801,0.0,1.0
KIM,2000-01-07 00:00:00+00:00,35.31,35.5,34.94,34.94,177467,3.7867571844,3.8071333913,3.7470772026,3.7470772026,532401,0.0,1.0
KIM,2000-01-10 00:00:00+00:00,35.88,35.88,35.44,35.5,149400,3.8478858051,3.8478858051,3.8006987997,3.8071333913,448200,0.0,1.0
KIM,2000-01-11 00:00:00+00:00,35.44,35.81,35.38,35.75,50467,3.8006987997,3.8403787815,3.794264208,3.8339441899,151401,0.0,1.0
KIM,2000-01-12 00:00:00+00:00,35.13,35.94,35.0,35.94,347267,3.7674534095,3.8543203967,3.7535117943,3.8543203967,1041801,0.0,1.0
KIM,2000-01-13 00:00:00+00:00,35.5,35.5,35.06,35.25,143667,3.8071333913,3.8071333913,3.7599463859,3.7803225928,431001,0.0,1.0
KIM,2000-01-14 00:00:00+00:00,35.63,35.88,35.63,35.63,62667,3.8210750066,3.8478858051,3.8210750066,3.8210750066,188001,0.0,1.0
KIM,2000-01-18 00:00:00+00:00,35.63,35.75,34.63,35.69,121467,3.8210750066,3.8339441899,3.7138318124,3.8275095982,364401,0.0,1.0
KIM,2000-01-19 00:00:00+00:00,35.69,35.75,35.19,35.75,160400,3.8275095982,3.8339441899,3.7738880012,3.8339441899,481200,0.0,1.0
KIM,2000-01-20 00:00:00+00:00,35.56,36.0,35.56,35.75,87867,3.813567983,3.8607549884,3.813567983,3.8339441899,263601,0.0,1.0
KIM,2000-01-21 00:00:00+00:00,35.38,35.88,35.25,35.63,68000,3.794264208,3.8478858051,3.7803225928,3.8210750066,204000,0.0,1.0
KIM,2000-01-24 00:00:00+00:00,35.25,36.0,35.25,35.63,45467,3.7803225928,3.8607549884,3.7803225928,3.8210750066,136401,0.0,1.0
KIM,2000-01-25 00:00:00+00:00,35.19,35.5,34.81,35.31,89667,3.7738880012,3.8071333913,3.7331355874,3.7867571844,269001,0.0,1.0
KIM,2000-01-26 00:00:00+00:00,35.56,35.94,35.19,35.19,155200,3.813567983,3.8543203967,3.7738880012,3.7738880012,465600,0.0,1.0
KIM,2000-01-27 00:00:00+00:00,35.56,35.75,35.44,35.5,173267,3.813567983,3.8339441899,3.8006987997,3.8071333913,519801,0.0,1.0
KIM,2000-01-28 00:00:00+00:00,35.56,35.63,35.5,35.63,45867,3.813567983,3.8210750066,3.8071333913,3.8210750066,137601,0.0,1.0
KIM,2000-01-31 00:00:00+00:00,35.25,35.56,35.13,35.5,67800,3.7803225928,3.813567983,3.7674534095,3.8071333913,203400,0.0,1.0
KIM,2000-02-01 00:00:00+00:00,34.94,35.56,34.94,35.25,55600,3.7470772026,3.813567983,3.7470772026,3.7803225928,166800,0.0,1.0
KIM,2000-02-02 00:00:00+00:00,35.13,35.13,34.75,34.94,98400,3.7674534095,3.7674534095,3.7267009957,3.7470772026,295200,0.0,1.0
KIM,2000-02-03 00:00:00+00:00,35.5,35.69,35.0,35.13,90000,3.8071333913,3.8275095982,3.7535117943,3.7674534095,270000,0.0,1.0
KIM,2000-02-04 00:00:00+00:00,35.19,35.69,35.0,35.38,88867,3.7738880012,3.8275095982,3.7535117943,3.794264208,266601,0.0,1.0
KIM,2000-02-07 00:00:00+00:00,35.13,35.13,34.88,34.94,135067,3.7674534095,3.7674534095,3.740642611,3.7470772026,405201,0.0,1.0
KIM,2000-02-08 00:00:00+00:00,35.13,35.19,34.69,34.94,87600,3.7674534095,3.7738880012,3.7202664041,3.7470772026,262800,0.0,1.0
KIM,2000-02-09 00:00:00+00:00,34.81,35.13,34.25,35.13,222400,3.7331355874,3.7674534095,3.6730793987,3.7674534095,667200,0.0,1.0
KIM,2000-02-10 00:00:00+00:00,34.31,34.94,34.13,34.81,134400,3.6795139903,3.7470772026,3.6602102154,3.7331355874,403200,0.0,1.0
KIM,2000-02-11 00:00:00+00:00,34.38,34.63,34.06,34.19,105067,3.6870210139,3.7138318124,3.6527031918,3.666644807,315201,0.0,1.0
KIM,2000-02-14 00:00:00+00:00,33.75,34.13,33.5,34.06,118467,3.6194578016,3.6602102154,3.5926470031,3.6527031918,355401,0.0,1.0
KIM,2000-02-15 00:00:00+00:00,33.88,34.38,33.38,33.63,85600,3.6333994169,3.6870210139,3.5797778198,3.6065886183,256800,0.0,1.0
KIM,2000-02-16 00:00:00+00:00,34.06,34.38,33.69,33.75,59467,3.6527031918,3.6870210139,3.61302321,3.6194578016,178401,0.0,1.0
KIM,2000-02-17 00:00:00+00:00,34.38,34.5,34.0,34.0,103667,3.6870210139,3.6998901972,3.6462686001,3.6462686001,311001,0.0,1.0
KIM,2000-02-18 00:00:00+00:00,33.94,34.75,33.81,34.5,159067,3.6398340085,3.7267009957,3.6258923933,3.6998901972,477201,0.0,1.0
KIM,2000-02-22 00:00:00+00:00,33.69,33.94,33.56,33.75,93467,3.61302321,3.6398340085,3.5990815947,3.6194578016,280401,0.0,1.0
KIM,2000-02-23 00:00:00+00:00,33.44,34.19,33.06,33.94,65800,3.5862124114,3.666644807,3.5454599977,3.6398340085,197400,0.0,1.0
KIM,2000-02-24 00:00:00+00:00,33.56,34.0,33.44,33.63,52867,3.5990815947,3.6462686001,3.5862124114,3.6065886183,158601,0.0,1.0
