symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
KMB,2000-01-03 00:00:00+00:00,63.94,64.56,63.88,64.5,1120200,29.2786559418,29.5625590804,29.2511814445,29.5350845831,1120200,0.0,1.0
KMB,2000-01-04 00:00:00+00:00,63.38,63.81,62.31,63.44,1285300,29.0222273005,29.2191278643,28.5322654322,29.0497017977,1285300,0.0,1.0
KMB,2000-01-05 00:00:00+00:00,62.81,63.88,62.06,63.63,1681000,28.7612195762,29.2511814445,28.4177883602,29.1367043725,1681000,0.0,1.0
KMB,2000-01-06 00:00:00+00:00,64.0,64.31,62.38,63.06,1985500,29.3061304391,29.4480820084,28.5643190123,28.8756966483,1985500,0.0,1.0
KMB,2000-01-07 00:00:00+00:00,65.88,65.94,64.38,65.0,1780200,30.1669980207,30.194472518,29.4801355886,29.7640387272,1780200,0.0,1.0
KMB,2000-01-10 00:00:00+00:00,67.38,68.0,65.56,66.5,1913200,30.8538604529,31.1377635915,30.0204673685,30.4509011594,1913200,0.0,1.0
KMB,2000-01-11 00:00:00+00:00,65.88,68.0,65.0,68.0,1293700,30.1669980207,31.1377635915,29.7640387272,31.1377635915,1293700,0.0,1.0
KMB,2000-01-12 00:00:00+00:00,65.38,66.0,64.75,65.81,1269000,29.9380438767,30.2219470153,29.6495616552,30.1349444406,1269000,0.0,1.0
KMB,2000-01-13 00:00:00+00:00,65.94,66.5,64.44,65.63,1589300,30.194472518,30.4509011594,29.5076100859,30.0525209487,1589300,0.0,1.0
KMB,2000-01-14 00:00:00+00:00,65.44,66.0,64.69,66.0,1083600,29.965518374,30.2219470153,29.6220871579,30.2219470153,1083600,0.0,1.0
KMB,2000-01-18 00:00:00+00:00,64.06,65.31,63.81,65.31,1879100,29.3336049364,29.9059902965,29.2191278643,29.9059902965,1879100,0.0,1.0
KMB,2000-01-19 00:00:00+00:00,64.19,65.38,63.13,65.25,1351200,29.3931330138,29.9380438767,28.9077502284,29.8785157992,1351200,0.0,1.0
KMB,2000-01-20 00:00:00+00:00,64.25,66.0,64.06,64.25,1713300,29.4206075111,30.2219470153,29.3336049364,29.4206075111,1713300,0.0,1.0
KMB,2000-01-21 00:00:00+00:00,64.69,66.13,63.94,66.13,2090800,29.6220871579,30.2814750928,29.2786559418,30.2814750928,2090800,0.0,1.0
KMB,2000-01-24 00:00:00+00:00,63.06,64.38,61.25,64.25,1819500,28.8756966483,29.4801355886,28.0468826468,29.4206075111,1819500,0.0,1.0
KMB,2000-01-25 00:00:00+00:00,62.25,64.25,60.88,64.25,1748000,28.5047909349,29.4206075111,27.8774565802,29.4206075111,1748000,0.0,1.0
KMB,2000-01-26 00:00:00+00:00,64.94,65.56,63.19,63.19,2641400,29.7365642299,30.0204673685,28.9352247257,28.9352247257,2641400,0.0,1.0
