symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
KR,2000-01-03 00:00:00+00:00,18.94,19.25,18.75,19.12,5669600,7.13173369,7.2484621717,7.060190427,7.1995115181,11339200,0.0,1.0
KR,2000-01-04 00:00:00+00:00,19.56,19.69,18.75,18.81,8995300,7.3651906535,7.4141413071,7.060190427,7.0827830364,17990600,0.0,1.0
KR,2000-01-05 00:00:00+00:00,19.87,20.19,19.37,19.44,7645500,7.4819191352,7.6024130518,7.2936473905,7.3200054347,15291000,0.0,1.0
KR,2000-01-06 00:00:00+00:00,19.12,19.87,18.56,19.87,8843200,7.1995115181,7.4819191352,6.988647164,7.4819191352,17686400,0.0,1.0
KR,2000-01-07 00:00:00+00:00,18.94,19.25,18.69,19.0,6679100,7.13173369,7.2484621717,7.0375978176,7.1543262994,13358200,0.0,1.0
KR,2000-01-10 00:00:00+00:00,18.44,18.94,18.44,18.94,4412000,6.9434619453,7.13173369,6.9434619453,7.13173369,8824000,0.0,1.0
KR,2000-01-11 00:00:00+00:00,18.31,18.5,17.81,17.94,4896300,6.8945112917,6.9660545547,6.7062395469,6.7551902006,9792600,0.0,1.0
KR,2000-01-12 00:00:00+00:00,18.56,19.06,18.25,18.25,3317900,6.988647164,7.1769189087,6.8719186823,6.8719186823,6635800,0.0,1.0
KR,2000-01-13 00:00:00+00:00,19.0,19.19,18.31,18.62,5589900,7.1543262994,7.2258695624,6.8945112917,7.0112397734,11179800,0.0,1.0
KR,2000-01-14 00:00:00+00:00,18.44,19.12,18.25,19.06,3428400,6.9434619453,7.1995115181,6.8719186823,7.1769189087,6856800,0.0,1.0
KR,2000-01-18 00:00:00+00:00,18.0,18.62,17.62,18.62,4726100,6.7777828099,7.0112397734,6.6346962839,7.0112397734,9452200,0.0,1.0
KR,2000-01-19 00:00:00+00:00,18.0,18.19,17.75,18.0,2838100,6.7777828099,6.8493260729,6.6836469376,6.7777828099,5676200,0.0,1.0
KR,2000-01-20 00:00:00+00:00,17.37,18.06,17.19,18.06,3568900,6.5405604116,6.8003754193,6.4727825835,6.8003754193,7137800,0.0,1.0
KR,2000-01-21 00:00:00+00:00,16.81,17.44,16.69,17.44,4075500,6.3296960575,6.5669184558,6.2845108388,6.5669184558,8151000,0.0,1.0
KR,2000-01-24 00:00:00+00:00,16.31,17.12,16.06,17.0,5800100,6.1414243128,6.4464245392,6.0472884404,6.4012393205,11600200,0.0,1.0
KR,2000-01-25 00:00:00+00:00,16.12,16.25,15.81,16.19,3858300,6.0698810498,6.1188317034,5.9531525681,6.096239094,7716600,0.0,1.0
KR,2000-01-26 00:00:00+00:00,16.5,16.81,16.06,16.06,6618500,6.2129675758,6.3296960575,6.0472884404,6.0472884404,13237000,0.0,1.0
KR,2000-01-27 00:00:00+00:00,16.94,17.69,16.81,16.87,7468500,6.3786467111,6.6610543282,6.3296960575,6.3522886669,14937000,0.0,1.0
KR,2000-01-28 00:00:00+00:00,16.56,17.12,16.56,16.81,4410600,6.2355601851,6.4464245392,6.2355601851,6.3296960575,8821200,0.0,1.0
KR,2000-01-31 00:00:00+00:00,17.37,17.62,16.81,16.94,4368800,6.5405604116,6.6346962839,6.3296960575,6.3786467111,8737600,0.0,1.0
KR,2000-02-01 00:00:00+00:00,17.75,17.75,17.19,17.44,3251000,6.6836469376,6.6836469376,6.4727825835,6.5669184558,6502000,0.0,1.0
KR,2000-02-02 00:00:00+00:00,18.19,18.25,17.31,17.69,3867100,6.8493260729,6.8719186823,6.5179678022,6.6610543282,7734200,0.0,1.0
KR,2000-02-03 00:00:00+00:00,18.0,18.5,17.62,18.25,5885800,6.7777828099,6.9660545547,6.6346962839,6.8719186823,11771600,0.0,1.0
KR,2000-02-04 00:00:00+00:00,17.62,17.81,16.94,17.75,4261500,6.6346962839,6.7062395469,6.3786467111,6.6836469376,8523000,0.0,1.0
KR,2000-02-07 00:00:00+00:00,16.94,17.5,16.87,16.94,2595100,6.3786467111,6.5895110652,6.3522886669,6.3786467111,5190200,0.0,1.0
KR,2000-02-08 00:00:00+00:00,17.81,17.81,17.0,17.12,3445700,6.7062395469,6.7062395469,6.4012393205,6.4464245392,6891400,0.0,1.0
KR,2000-02-09 00:00:00+00:00,17.0,17.62,16.94,17.62,2611800,6.4012393205,6.6346962839,6.3786467111,6.6346962839,5223600,0.0,1.0
KR,2000-02-10 00:00:00+00:00,16.19,17.37,15.94,17.0,5093700,6.096239094,6.5405604116,6.0021032217,6.4012393205,10187400,0.0,1.0
KR,2000-02-11 00:00:00+00:00,16.75,16.94,16.25,16.44,4162600,6.3071034481,6.3786467111,6.1188317034,6.1903749664,8325200,0.0,1.0
KR,2000-02-14 00:00:00+00:00,16.37,16.5,15.88,16.44,3797100,6.1640169221,6.2129675758,5.9795106123,6.1903749664,7594200,0.0,1.0
KR,2000-02-15 00:00:00+00:00,17.0,17.25,16.12,16.31,3790000,6.4012393205,6.4953751929,6.0698810498,6.1414243128,7580000,0.0,1.0
KR,2000-02-16 00:00:00+00:00,16.81,17.0,16.19,16.81,2622200,6.3296960575,6.4012393205,6.096239094,6.3296960575,5244400,0.0,1.0
KR,2000-02-17 00:00:00+00:00,15.94,16.62,15.81,16.5,3847500,6.0021032217,6.2581527945,5.9531525681,6.2129675758,7695000,0.0,1.0
KR,2000-02-18 00:00:00+00:00,15.0,15.94,15.0,15.88,4376200,5.6481523416,6.0021032217,5.6481523416,5.9795106123,8752400,0.0,1.0
KR,2000-02-22 00:00:00+00:00,15.19,15.5,15.0,15.06,3720900,5.7196956046,5.8364240863,5.6481523416,5.670744951,7441800,0.0,1.0
KR,2000-02-23 00:00:00+00:00,15.06,15.38,14.88,15.06,4577900,5.670744951,5.7912388676,5.6029671229,5.670744951,9155800,0.0,1.0
KR,2000-02-24 00:00:00+00:00,14.75,15.25,14.38,15.19,4180200,5.5540164692,5.742288214,5.4146953782,5.7196956046,8360400,0.0,1.0
KR,2000-02-25 00:00:00+00:00,14.19,14.63,14.06,14.38,6883100,5.3431521152,5.5088312505,5.2942014615,5.4146953782,13766200,0.0,1.0
KR,2000-02-28 00:00:00+00:00,15.13,15.38,14.56,15.0,4526400,5.6971029952,5.7912388676,5.4824732063,5.6481523416,9052800,0.0,1.0
KR,2000-02-29 00:00:00+00:00,14.94,15.31,14.75,15.13,4905800,5.6255597322,5.7648808233,5.5540164692,5.6971029952,9811600,0.0,1.0
KR,2000-03-01 00:00:00+00:00,14.81,15.06,14.63,14.94,3048500,5.5766090786,5.670744951,5.5088312505,5.6255597322,6097000,0.0,1.0
KR,2000-03-02 00:00:00+00:00,14.56,14.94,14.5,14.94,3289900,5.4824732063,5.6255597322,5.4598805969,5.6255597322,6579800,0.0,1.0
