symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
LIN,2018-10-01 00:00:00+00:00,168.87,169.1,165.29,165.58,2329700,157.2886674425,157.502893732,153.9541886751,154.2243000837,2329700,0.0,1.0
LIN,2018-10-02 00:00:00+00:00,169.03,169.26,165.43,166.26,1652300,157.4376944265,157.651920716,154.0845872861,154.8576647657,1652300,0.0,1.0
LIN,2018-10-03 00:00:00+00:00,167.57,169.75,167.18,169.75,950500,156.0778231974,158.1083158546,155.7145699238,158.1083158546,950500,0.0,1.0
LIN,2018-10-04 00:00:00+00:00,165.83,167.0,163.38,166.82,1720100,154.4571547462,155.5469145668,152.1751790534,155.3792592098,1720100,0.0,1.0
LIN,2018-10-05 00:00:00+00:00,164.24,165.74,163.65,164.15,1538700,152.9761990925,154.3733270677,152.426662089,152.892371414,1538700,0.0,1.0
LIN,2018-10-08 00:00:00+00:00,164.31,164.91,162.87,163.49,1109000,153.041398398,153.6002495881,151.7001555419,152.277635105,1109000,0.0,1.0
LIN,2018-10-09 00:00:00+00:00,161.18,163.74,161.0,162.9,1510400,150.1260580232,152.5104897675,149.9584026662,151.7280981014,1510400,0.0,1.0
LIN,2018-10-10 00:00:00+00:00,158.01,161.6,157.94,161.21,2222200,147.1734609024,150.5172538563,147.1082615969,150.1540005827,2222200,0.0,1.0
LIN,2018-10-11 00:00:00+00:00,154.26,158.21,153.77,157.93,1977000,143.6806409645,147.3597446324,143.224245826,147.0989474104,1977000,0.0,1.0
LIN,2018-10-12 00:00:00+00:00,156.24,157.78,155.33,156.82,1840700,145.5248498917,146.9592346129,144.6772589201,146.0650727088,1840700,0.0,1.0
LIN,2018-10-15 00:00:00+00:00,156.79,159.29,155.99,156.61,2161500,146.0371301493,148.3656767745,145.2919952292,145.8694747923,2161500,0.0,1.0
LIN,2018-10-16 00:00:00+00:00,160.67,160.84,157.22,157.72,1297500,149.6510345117,149.8093756822,146.4376401688,146.9033494939,1297500,0.0,1.0
LIN,2018-10-17 00:00:00+00:00,159.79,162.25,159.09,161.7,1540700,148.8313860996,151.1226759788,148.1793930445,150.6103957213,1540700,0.0,1.0
LIN,2018-10-18 00:00:00+00:00,161.36,167.52,159.48,167.08,3739600,150.2937133802,156.0312522649,148.542646318,155.6214280588,3739600,0.0,1.0
LIN,2018-10-19 00:00:00+00:00,159.85,163.06,159.29,161.46,3012000,148.8872712186,151.8771250854,148.3656767745,150.3868552452,3012000,0.0,1.0
LIN,2018-10-22 00:00:00+00:00,166.88,168.95,160.52,165.23,7591100,155.4351443288,157.3631809345,149.5113217142,153.8983035561,7591100,0.0,1.0
LIN,2018-10-23 00:00:00+00:00,164.17,165.94,161.6,164.84,4959200,152.910999787,154.5596107977,150.5172538563,153.5350502826,4959200,0.0,1.0
LIN,2018-10-24 00:00:00+00:00,161.23,164.0,160.78,161.74,5610900,150.1726289557,152.7526586165,149.7534905632,150.6476524673,5610900,0.0,1.0
LIN,2018-10-25 00:00:00+00:00,165.0,166.36,162.43,162.76,5105400,153.6840772666,154.9508066307,151.2903313358,151.5976994904,5105400,0.0,1.0
LIN,2018-10-26 00:00:00+00:00,164.94,167.11,163.44,163.71,35352000,153.6281921476,155.6493706183,152.2310641724,152.482547208,35352000,0.0,1.0
LIN,2018-10-29 00:00:00+00:00,165.49,169.16,164.59,166.22,14032500,154.1404724052,157.558778851,153.3021956201,154.8204080197,14032500,0.0,1.0
LIN,2018-10-30 00:00:00+00:00,164.5,167.67,162.74,166.11,57375600,153.2183679416,156.1709650624,151.5790711174,154.7179519682,57375600,0.0,1.0
LIN,2018-10-31 00:00:00+00:00,165.47,165.6,161.31,161.74,18032219,154.1218440321,154.2429284567,150.2471424477,150.6476524673,18032219,0.0,1.0
