symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
LLY,2000-01-03 00:00:00+00:00,65.56,67.0,65.0,65.0,2645000,33.3638333524,34.0966570258,33.0788463683,33.0788463683,2645000,0.0,1.0
LLY,2000-01-04 00:00:00+00:00,63.5,65.44,62.75,64.25,3701000,32.3154883752,33.302764713,31.9338093786,32.6971673717,3701000,0.0,1.0
LLY,2000-01-05 00:00:00+00:00,64.44,65.31,63.0,63.13,3411000,32.7938593842,33.2366070202,32.0610357108,32.1271934036,3411000,0.0,1.0
LLY,2000-01-06 00:00:00+00:00,66.19,66.19,64.31,65.0,2460100,33.6844437095,33.6844437095,32.7277016915,33.0788463683,2460100,0.0,1.0
LLY,2000-01-07 00:00:00+00:00,71.06,71.06,67.5,68.0,5863300,36.1628126605,36.1628126605,34.3511096902,34.6055623545,5863300,0.0,1.0
LLY,2000-01-10 00:00:00+00:00,68.13,71.06,67.94,71.06,2830500,34.6717200473,36.1628126605,34.5750280348,36.1628126605,2830500,0.0,1.0
LLY,2000-01-11 00:00:00+00:00,68.5,69.38,67.0,67.0,3309700,34.8600150189,35.3078517082,34.0966570258,34.0966570258,3309700,0.0,1.0
LLY,2000-01-12 00:00:00+00:00,67.5,68.31,66.94,67.63,3573600,34.3511096902,34.7633230064,34.0661227061,34.4172673829,3573600,0.0,1.0
LLY,2000-01-13 00:00:00+00:00,66.69,68.38,65.63,65.75,3639400,33.9388963739,34.7989463795,33.3994567254,33.4605253649,3639400,0.0,1.0
LLY,2000-01-14 00:00:00+00:00,68.31,69.25,68.0,68.94,3750300,34.7633230064,35.2416940155,34.6055623545,35.0839333636,3750300,0.0,1.0
LLY,2000-01-18 00:00:00+00:00,67.31,69.38,66.5,69.38,2082900,34.2544176777,35.3078517082,33.8422043614,35.3078517082,2082900,0.0,1.0
LLY,2000-01-19 00:00:00+00:00,67.75,68.0,65.75,66.0,2193700,34.4783360223,34.6055623545,33.4605253649,33.587751697,2193700,0.0,1.0
LLY,2000-01-20 00:00:00+00:00,66.78,68.25,65.56,67.69,2136400,33.9846978535,34.7327886867,33.3638333524,34.4478017026,2136400,0.0,1.0
LLY,2000-01-21 00:00:00+00:00,64.75,65.63,64.13,65.13,4051000,32.9516200361,33.3994567254,32.6360987323,33.145004061,4051000,0.0,1.0
LLY,2000-01-24 00:00:00+00:00,62.13,64.81,61.56,64.63,4206900,31.6182880748,32.9821543558,31.3282120374,32.8905513967,4206900,0.0,1.0
LLY,2000-01-25 00:00:00+00:00,62.31,63.25,61.75,62.38,3148700,31.709891034,32.188262043,31.4249040499,31.745514407,3148700,0.0,1.0
LLY,2000-01-26 00:00:00+00:00,62.75,63.38,62.13,62.94,2233100,31.9338093786,32.2544197357,31.6182880748,32.0305013911,2233100,0.0,1.0
LLY,2000-01-27 00:00:00+00:00,64.25,64.38,61.5,62.0,3052200,32.6971673717,32.7633250645,31.2976777177,31.5521303821,3052200,0.0,1.0
