symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
LMT,2000-01-03 00:00:00+00:00,20.25,22.31,20.25,22.0,3011300,11.370992456,12.5277452688,11.370992456,12.3536708164,3011300,0.0,1.0
LMT,2000-01-04 00:00:00+00:00,20.94,21.31,20.0,20.0,3593500,11.7584484952,11.9662147772,11.2306098331,11.2306098331,3593500,0.0,1.0
LMT,2000-01-05 00:00:00+00:00,21.06,21.63,20.5,21.25,1721200,11.8258321542,12.1459045345,11.5113750789,11.9325229477,1721200,0.0,1.0
LMT,2000-01-06 00:00:00+00:00,21.38,21.75,21.0,21.0,1750700,12.0055219116,12.2132881935,11.7921403247,11.7921403247,1750700,0.0,1.0
LMT,2000-01-07 00:00:00+00:00,21.44,22.06,21.19,21.75,2203200,12.0392137411,12.3873626459,11.8988311182,12.2132881935,2203200,0.0,1.0
LMT,2000-01-10 00:00:00+00:00,20.63,21.5,20.56,21.38,1361000,11.5843740428,12.0729055706,11.5450669084,12.0055219116,1361000,0.0,1.0
LMT,2000-01-11 00:00:00+00:00,19.88,20.75,19.75,20.5,2236100,11.1632261741,11.6517577018,11.0902272102,11.5113750789,2236100,0.0,1.0
LMT,2000-01-12 00:00:00+00:00,21.19,21.25,20.0,20.0,3562400,11.8988311182,11.9325229477,11.2306098331,11.2306098331,3562400,0.0,1.0
LMT,2000-01-13 00:00:00+00:00,20.75,21.44,20.56,21.44,2871700,11.6517577018,12.0392137411,11.5450669084,12.0392137411,2871700,0.0,1.0
LMT,2000-01-14 00:00:00+00:00,20.5,20.94,20.5,20.75,1609300,11.5113750789,11.7584484952,11.5113750789,11.6517577018,1609300,0.0,1.0
LMT,2000-01-18 00:00:00+00:00,20.0,21.25,19.75,21.0,3763800,11.2306098331,11.9325229477,11.0902272102,11.7921403247,3763800,0.0,1.0
LMT,2000-01-19 00:00:00+00:00,20.69,20.75,20.0,20.06,2270500,11.6180658723,11.6517577018,11.2306098331,11.2643016626,2270500,0.0,1.0
LMT,2000-01-20 00:00:00+00:00,20.56,20.69,20.38,20.5,2321600,11.5450669084,11.6180658723,11.4439914199,11.5113750789,2321600,0.0,1.0
LMT,2000-01-21 00:00:00+00:00,21.0,21.19,20.63,20.75,2340600,11.7921403247,11.8988311182,11.5843740428,11.6517577018,2340600,0.0,1.0
LMT,2000-01-24 00:00:00+00:00,19.56,21.06,19.56,20.94,1917000,10.9835364168,11.8258321542,10.9835364168,11.7584484952,1917000,0.0,1.0
LMT,2000-01-25 00:00:00+00:00,19.25,19.94,19.13,19.56,2022500,10.8094619643,11.1969180036,10.7420783054,10.9835364168,2022500,0.0,1.0
LMT,2000-01-26 00:00:00+00:00,20.06,20.06,19.25,19.44,2020300,11.2643016626,11.2643016626,10.8094619643,10.9161527578,2020300,0.0,1.0
