symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
LNT,2000-01-03 00:00:00+00:00,26.81,27.5,26.62,27.5,114700,5.044774207,5.1746098729,5.009022357,5.1746098729,229400,0.0,1.0
LNT,2000-01-04 00:00:00+00:00,26.81,26.94,26.44,26.56,119800,5.044774207,5.0692359991,4.9751521832,4.997732299,239600,0.0,1.0
LNT,2000-01-05 00:00:00+00:00,28.12,28.38,26.75,26.75,142100,5.2912738046,5.3401973888,5.0334841491,5.0334841491,284200,0.0,1.0
LNT,2000-01-06 00:00:00+00:00,28.12,28.5,27.69,28.0,71400,5.2912738046,5.3627775046,5.2103617229,5.2686936888,142800,0.0,1.0
LNT,2000-01-07 00:00:00+00:00,28.5,28.62,28.0,28.12,65200,5.3627775046,5.3853576204,5.2686936888,5.2912738046,130400,0.0,1.0
LNT,2000-01-10 00:00:00+00:00,28.56,28.69,28.25,28.44,102900,5.3740675625,5.3985293547,5.3157355967,5.3514874467,205800,0.0,1.0
LNT,2000-01-11 00:00:00+00:00,28.5,28.69,28.38,28.44,96700,5.3627775046,5.3985293547,5.3401973888,5.3514874467,193400,0.0,1.0
LNT,2000-01-12 00:00:00+00:00,28.81,28.88,28.19,28.25,75100,5.4211094705,5.4342812047,5.3044455388,5.3157355967,150200,0.0,1.0
LNT,2000-01-13 00:00:00+00:00,29.06,29.25,28.81,28.81,88500,5.4681513784,5.5039032284,5.4211094705,5.4211094705,177000,0.0,1.0
LNT,2000-01-14 00:00:00+00:00,28.69,29.25,28.44,29.25,113200,5.3985293547,5.5039032284,5.3514874467,5.5039032284,226400,0.0,1.0
LNT,2000-01-18 00:00:00+00:00,28.5,28.75,28.06,28.5,109900,5.3627775046,5.4098194126,5.2799837467,5.3627775046,219800,0.0,1.0
LNT,2000-01-19 00:00:00+00:00,28.75,28.94,28.25,28.44,123900,5.4098194126,5.4455712626,5.3157355967,5.3514874467,247800,0.0,1.0
LNT,2000-01-20 00:00:00+00:00,29.88,29.88,28.25,28.62,202600,5.6224488364,5.6224488364,5.3157355967,5.3853576204,405200,0.0,1.0
LNT,2000-01-21 00:00:00+00:00,33.44,34.75,30.0,30.06,756600,6.2923256054,6.538825203,5.6450289522,5.6563190101,1513200,0.0,1.0
LNT,2000-01-24 00:00:00+00:00,34.62,37.75,33.44,33.44,910600,6.5143634109,7.1033280982,6.2923256054,6.2923256054,1821200,0.0,1.0
LNT,2000-01-25 00:00:00+00:00,31.25,35.25,30.62,34.62,292200,5.8802384919,6.6329090189,5.7616928839,6.5143634109,584400,0.0,1.0
LNT,2000-01-26 00:00:00+00:00,30.56,31.25,30.19,31.25,783400,5.750402826,5.8802384919,5.6807808023,5.8802384919,1566800,0.0,1.0
LNT,2000-01-27 00:00:00+00:00,29.88,30.19,29.69,30.19,441300,5.7165326523,5.775840722,5.6801825451,5.775840722,882600,0.5,1.0
LNT,2000-01-28 00:00:00+00:00,29.69,29.88,29.38,29.88,159500,5.6801825451,5.7165326523,5.6208744754,5.7165326523,319000,0.0,1.0
LNT,2000-01-31 00:00:00+00:00,29.81,29.81,29.38,29.5,157800,5.7031405075,5.7031405075,5.6208744754,5.6438324378,315600,0.0,1.0
LNT,2000-02-01 00:00:00+00:00,29.81,29.81,29.5,29.81,315500,5.7031405075,5.7031405075,5.6438324378,5.7031405075,631000,0.0,1.0
LNT,2000-02-02 00:00:00+00:00,28.88,29.81,28.88,29.81,178100,5.5252162985,5.7031405075,5.5252162985,5.7031405075,356200,0.0,1.0
LNT,2000-02-03 00:00:00+00:00,29.5,29.5,29.12,29.12,319100,5.6438324378,5.6438324378,5.5711322234,5.5711322234,638200,0.0,1.0
LNT,2000-02-04 00:00:00+00:00,29.06,29.5,28.75,29.5,118700,5.5596532422,5.6438324378,5.5003451725,5.6438324378,237400,0.0,1.0
