symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
LRCX,2000-01-03 00:00:00+00:00,112.4,113.0,109.3,113.0,1061300,32.8926828625,33.0682665788,31.985500328,33.0682665788,3183900,0.0,1.0
LRCX,2000-01-04 00:00:00+00:00,107.5,111.5,106.1,109.2,1098600,31.458749179,32.629307288,31.0490538408,31.9562363753,3295800,0.0,1.0
LRCX,2000-01-05 00:00:00+00:00,105.1,109.0,102.8,107.0,1031600,30.7564143136,31.8977084698,30.0833434009,31.3124294153,3094800,0.0,1.0
LRCX,2000-01-06 00:00:00+00:00,105.2,109.0,103.0,104.8,880700,30.7856782663,31.8977084698,30.1418713064,30.6686224554,2642100,0.0,1.0
LRCX,2000-01-07 00:00:00+00:00,106.8,107.3,99.5,105.5,1228200,31.2539015099,31.4002212735,29.117632961,30.8734701245,3684600,0.0,1.0
LRCX,2000-01-10 00:00:00+00:00,112.3,115.0,107.1,107.1,1879100,32.8634189097,33.6535456333,31.3416933681,31.3416933681,5637300,0.0,1.0
LRCX,2000-01-11 00:00:00+00:00,110.9,118.9,110.0,110.8,1430100,32.4537235716,34.7948397896,32.1903479971,32.4244596189,4290300,0.0,1.0
LRCX,2000-01-12 00:00:00+00:00,114.0,116.3,107.9,111.8,1712700,33.3609061061,34.0339770187,31.5758049899,32.7170991461,5138100,0.0,1.0
LRCX,2000-01-13 00:00:00+00:00,113.8,115.3,110.9,114.7,909700,33.3023782006,33.7413374915,32.4537235716,33.5657537751,2729100,0.0,1.0
LRCX,2000-01-14 00:00:00+00:00,129.8,131.6,116.0,116.1,2852400,37.9846106366,38.5113617856,33.9461851606,33.9754491133,8557200,0.0,1.0
LRCX,2000-01-18 00:00:00+00:00,129.7,131.8,125.3,127.8,1901600,37.9553466838,38.5698896911,36.6677327639,37.3993315821,5704800,0.0,1.0
LRCX,2000-01-19 00:00:00+00:00,136.4,138.8,125.4,130.3,1776600,39.9160315164,40.6183663818,36.6969967167,38.1309304002,5329800,0.0,1.0
LRCX,2000-01-20 00:00:00+00:00,143.1,144.6,133.9,138.3,2080300,41.8767163489,42.3156756398,39.1844326983,40.4720466182,6240900,0.0,1.0
LRCX,2000-01-21 00:00:00+00:00,138.9,149.6,134.9,149.5,2503000,40.6476303345,43.778873276,39.4770722255,43.7496093233,7509000,0.0,1.0
LRCX,2000-01-24 00:00:00+00:00,134.5,145.1,133.8,144.9,1503900,39.3600164146,42.4619954034,39.1551687455,42.403467498,4511700,0.0,1.0
LRCX,2000-01-25 00:00:00+00:00,137.9,140.0,130.5,135.9,1198400,40.3549908073,40.9695338145,38.1894583056,39.7697117528,3595200,0.0,1.0
LRCX,2000-01-26 00:00:00+00:00,129.0,139.5,128.8,136.3,1786600,37.7504990148,40.8232140508,37.6919711093,39.8867675637,5359800,0.0,1.0
LRCX,2000-01-27 00:00:00+00:00,129.5,136.7,129.0,131.5,1050000,37.8968187784,40.0038233746,37.7504990148,38.4820978329,3150000,0.0,1.0
LRCX,2000-01-28 00:00:00+00:00,123.9,131.0,120.0,129.4,1047900,36.2580374258,38.3357780693,35.1167432695,37.8675548257,3143700,0.0,1.0
LRCX,2000-01-31 00:00:00+00:00,124.9,125.5,116.9,122.4,1457900,36.5506769531,36.7262606694,34.2095607351,35.8190781349,4373700,0.0,1.0
LRCX,2000-02-01 00:00:00+00:00,131.4,131.8,122.5,124.9,1225000,38.4528338802,38.5698896911,35.8483420877,36.5506769531,3675000,0.0,1.0
LRCX,2000-02-02 00:00:00+00:00,137.3,137.6,129.4,131.4,1008400,40.1794070909,40.2671989491,37.8675548257,38.4528338802,3025200,0.0,1.0
LRCX,2000-02-03 00:00:00+00:00,140.2,141.1,133.7,137.7,1085400,41.0280617199,41.2914372944,39.1259047928,40.2964629018,3256200,0.0,1.0
LRCX,2000-02-04 00:00:00+00:00,137.1,143.6,134.3,140.8,1114400,40.1208791855,42.0230361126,39.3014885092,41.2036454363,3343200,0.0,1.0
LRCX,2000-02-07 00:00:00+00:00,139.0,141.9,135.9,138.3,999600,40.6768942872,41.5255489162,39.7697117528,40.4720466182,2998800,0.0,1.0
LRCX,2000-02-08 00:00:00+00:00,138.9,141.4,136.0,140.5,939100,40.6476303345,41.3792291526,39.7989757055,41.1158535781,2817300,0.0,1.0
LRCX,2000-02-09 00:00:00+00:00,136.8,143.1,134.3,136.8,956100,40.0330873273,41.8767163489,39.3014885092,40.0330873273,2868300,0.0,1.0
LRCX,2000-02-10 00:00:00+00:00,143.9,144.8,133.6,136.7,880100,42.1108279707,42.3742035453,39.0966408401,40.0038233746,2640300,0.0,1.0
