symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
LW,2016-11-10 00:00:00+00:00,30.33,32.35,29.82,32.04,35019076,27.8807615987,29.7376405446,27.4119456272,29.4526739737,35019076,0.0,1.0
LW,2016-11-11 00:00:00+00:00,29.89,30.09,28.85,29.8,6020148,27.4762929174,27.660142318,26.5202760344,27.3935606872,6020148,0.0,1.0
LW,2016-11-14 00:00:00+00:00,30.19,30.43,28.75,29.34,4481917,27.7520670183,27.972686299,26.4283513341,26.9707070658,4481917,0.0,1.0
LW,2016-11-15 00:00:00+00:00,30.43,30.6995,29.62,29.64,3667256,27.972686299,28.2204233663,27.2280962266,27.2464811667,3667256,0.0,1.0
LW,2016-11-16 00:00:00+00:00,31.7,32.04,30.61,30.77,4342310,29.1401299927,29.4526739737,28.1381507595,28.28523028,4342310,0.0,1.0
LW,2016-11-17 00:00:00+00:00,32.51,33.065,30.635,31.4,5252133,29.8847200651,30.3949021517,28.1611319346,28.8643558918,5252133,0.0,1.0
LW,2016-11-18 00:00:00+00:00,32.68,33.1,31.79,32.14,4253380,30.0409920556,30.4270757968,29.222862223,29.544598674,4253380,0.0,1.0
LW,2016-11-21 00:00:00+00:00,31.74,32.5,31.29,32.26,5036677,29.1768998728,29.8755275951,28.7632387215,29.6549083144,5036677,0.0,1.0
LW,2016-11-22 00:00:00+00:00,32.7,33.15,30.43,31.52,5601830,30.0593769956,30.473038147,27.972686299,28.9746655322,5601830,0.0,1.0
LW,2016-11-23 00:00:00+00:00,33.02,33.47,32.5,32.7,3620409,30.3535360366,30.7671971879,29.8755275951,30.0593769956,3620409,0.0,1.0
LW,2016-11-25 00:00:00+00:00,32.59,32.78,32.27,32.76,827809,29.9582598253,30.1329167559,29.6641007844,30.1145318158,827809,0.0,1.0
LW,2016-11-28 00:00:00+00:00,32.74,33.5,32.17,32.27,1929250,30.0961468758,30.794774598,29.5721760841,29.6641007844,1929250,0.0,1.0
LW,2016-11-29 00:00:00+00:00,33.19,33.36,32.72,33.05,2139479,30.5098080271,30.6660800176,30.0777619357,30.3811134467,2139479,0.0,1.0
LW,2016-11-30 00:00:00+00:00,33.48,34.3,33.0,33.26,2764920,30.7763896579,31.5301722003,30.3351510965,30.5741553173,2764920,0.0,1.0
LW,2016-12-01 00:00:00+00:00,32.51,33.26,32.185,33.04,2914939,29.8847200651,30.5741553173,29.5859647891,30.3719209766,2914939,0.0,1.0
LW,2016-12-02 00:00:00+00:00,32.99,33.21,32.01,32.16,1213120,30.3259586265,30.5281929671,29.4250965636,29.5629836141,1213120,0.0,1.0
LW,2016-12-05 00:00:00+00:00,33.65,33.7595,32.7501,32.87,2004735,30.9326616484,31.0333191952,30.1054312705,30.2156489861,2004735,0.0,1.0
LW,2016-12-06 00:00:00+00:00,33.82,33.86,33.21,33.45,1622915,31.0889336389,31.125703519,30.5281929671,30.7488122478,1622915,0.0,1.0
LW,2016-12-07 00:00:00+00:00,34.75,34.98,34.0,34.07,3809431,31.9438333516,32.1552601623,31.2543980994,31.3187453896,3809431,0.0,1.0
LW,2016-12-08 00:00:00+00:00,35.93,36.0,34.61,34.91,2602986,33.0285448151,33.0928921053,31.8151387712,32.0909128721,2602986,0.0,1.0
LW,2016-12-09 00:00:00+00:00,36.38,36.51,35.6,35.82,1993074,33.4422059664,33.5617080768,32.7251933041,32.9274276448,1993074,0.0,1.0
LW,2016-12-12 00:00:00+00:00,36.73,37.215,36.31,36.38,1258339,33.7639424174,34.2097772138,33.3778586762,33.4422059664,1258339,0.0,1.0
LW,2016-12-13 00:00:00+00:00,36.58,37.09,35.67,36.97,1814756,33.626055367,34.0948713385,32.7895405943,33.9845616981,1814756,0.0,1.0
LW,2016-12-14 00:00:00+00:00,35.15,37.0,34.97,36.62,3886277,32.3115321528,34.0121391082,32.1460676923,33.6628252471,3886277,0.0,1.0
LW,2016-12-15 00:00:00+00:00,34.38,35.264,34.15,35.06,1555074,31.6037119606,32.4163263111,31.3922851499,32.2287999225,1555074,0.0,1.0
LW,2016-12-16 00:00:00+00:00,35.26,35.47,34.28,34.34,3783968,32.4126493231,32.6056911937,31.5117872603,31.5669420804,3783968,0.0,1.0
LW,2016-12-19 00:00:00+00:00,34.48,35.84,34.27,35.31,1983266,31.6956366608,32.9458125848,31.5025947902,32.4586116733,1983266,0.0,1.0
LW,2016-12-20 00:00:00+00:00,34.95,35.11,34.2,34.22,944998,32.1276827522,32.2747622727,31.4382475,31.4566324401,944998,0.0,1.0
LW,2016-12-21 00:00:00+00:00,35.02,35.22,34.46,34.64,703934,32.1920300424,32.375879443,31.6772517208,31.8427161813,703934,0.0,1.0
LW,2016-12-22 00:00:00+00:00,36.33,36.62,34.8,35.0,1438479,33.3962436163,33.6628252471,31.9897957018,32.1736451024,1438479,0.0,1.0
LW,2016-12-23 00:00:00+00:00,36.85,37.07,35.97,36.41,888289,33.8742520578,34.0764863984,33.0653146952,33.4697833765,888289,0.0,1.0
LW,2016-12-27 00:00:00+00:00,37.34,37.49,36.61,36.65,822236,34.3246830892,34.4625701396,33.6536327771,33.6904026572,822236,0.0,1.0
LW,2016-12-28 00:00:00+00:00,37.23,37.66,37.01,37.25,534220,34.2235659189,34.6188421301,34.0213315782,34.2419508589,534220,0.0,1.0
LW,2016-12-29 00:00:00+00:00,37.77,37.96,37.143,37.37,658516,34.7199593005,34.894616231,34.1435914296,34.3522604993,658516,0.0,1.0
LW,2016-12-30 00:00:00+00:00,37.85,38.52,37.675,37.74,773230,34.7934990607,35.4093945527,34.6326308352,34.6923818904,773230,0.0,1.0
LW,2017-01-03 00:00:00+00:00,37.49,38.6,37.36,37.71,2006963,34.4625701396,35.4829343129,34.3430680293,34.6648044803,2006963,0.0,1.0
LW,2017-01-04 00:00:00+00:00,36.98,38.41,36.4248,37.67,1712669,33.9937541682,35.3082773823,33.4833882321,34.6280346002,1712669,0.0,1.0
LW,2017-01-05 00:00:00+00:00,36.62,37.71,36.48,36.98,1099591,33.6628252471,34.6648044803,33.5341306667,33.9937541682,1099591,0.0,1.0
LW,2017-01-06 00:00:00+00:00,36.83,36.96,36.06,36.42,1367990,33.8558671177,33.9753692281,33.1480469255,33.4789758465,1367990,0.0,1.0
LW,2017-01-09 00:00:00+00:00,36.89,37.09,36.1,36.81,1333756,33.9110219379,34.0948713385,33.1848168056,33.8374821777,1333756,0.0,1.0
LW,2017-01-10 00:00:00+00:00,36.84,38.96,36.19,38.79,3712586,33.8650595877,35.8138632339,33.2675490358,35.6575912434,3712586,0.0,1.0
LW,2017-01-11 00:00:00+00:00,36.89,37.2,36.02,36.7,2185874,33.9110219379,34.1959885088,33.1112770453,33.7363650073,2185874,0.0,1.0
LW,2017-01-12 00:00:00+00:00,36.96,37.01,36.1201,36.69,1235201,33.9753692281,34.0213315782,33.2032936703,33.7271725373,1235201,0.0,1.0
LW,2017-01-13 00:00:00+00:00,37.22,37.3,36.55,36.89,1010164,34.2143734489,34.2879132091,33.5984779569,33.9110219379,1010164,0.0,1.0
LW,2017-01-17 00:00:00+00:00,36.89,37.22,36.75,37.14,1907181,33.9110219379,34.2143734489,33.7823273575,34.1408336886,1907181,0.0,1.0
LW,2017-01-18 00:00:00+00:00,36.64,36.88,36.41,36.75,1214200,33.6812101872,33.9018294679,33.4697833765,33.7823273575,1214200,0.0,1.0
LW,2017-01-19 00:00:00+00:00,36.96,37.0,36.33,36.79,890406,33.9753692281,34.0121391082,33.3962436163,33.8190972376,890406,0.0,1.0
LW,2017-01-20 00:00:00+00:00,37.11,37.56,36.77,36.95,1337042,34.1132562785,34.5269174299,33.8007122975,33.9661767581,1337042,0.0,1.0
LW,2017-01-23 00:00:00+00:00,36.77,37.42,36.466,36.98,2035285,33.8007122975,34.3982228494,33.5212612087,33.9937541682,2035285,0.0,1.0
LW,2017-01-24 00:00:00+00:00,37.49,37.67,36.59,36.66,1199629,34.4625701396,34.6280346002,33.635247837,33.6995951272,1199629,0.0,1.0
LW,2017-01-25 00:00:00+00:00,36.67,37.7999,36.44,37.45,1183305,33.7087875972,34.7474447859,33.4973607866,34.4258002595,1183305,0.0,1.0
LW,2017-01-26 00:00:00+00:00,36.33,36.87,36.25,36.39,1015269,33.5686024293,34.067557709,33.4946831286,33.6240419048,1015269,0.1875,1.0
LW,2017-01-27 00:00:00+00:00,36.44,36.54,35.81,36.4,1088390,33.6702414678,33.7626405936,33.0881269748,33.6332818174,1088390,0.0,1.0
LW,2017-01-30 00:00:00+00:00,36.78,36.93,36.2,36.2,912896,33.9843984957,34.1229971845,33.4484835657,33.4484835657,912896,0.0,1.0
LW,2017-01-31 00:00:00+00:00,37.36,37.55,36.68,36.68,1625296,34.5203134258,34.6958717649,33.8919993699,33.8919993699,1625296,0.0,1.0
LW,2017-02-01 00:00:00+00:00,37.77,37.97,37.16,37.58,2212174,34.8991498419,35.0839480936,34.335515174,34.7235915027,2212174,0.0,1.0
LW,2017-02-02 00:00:00+00:00,38.42,38.81,37.61,37.7,2496332,35.49974416,35.8601007509,34.7513112405,34.8344704538,2496332,0.0,1.0
LW,2017-02-03 00:00:00+00:00,38.9,39.47,38.4601,38.49,1495201,35.9432599642,36.4699349817,35.5367962095,35.5644235481,1495201,0.0,1.0
LW,2017-02-06 00:00:00+00:00,39.24,39.35,38.721,39.13,1097753,36.2574169922,36.3590560306,35.7778655289,36.1557779537,1097753,0.0,1.0
LW,2017-02-07 00:00:00+00:00,39.41,39.8,38.98,39.25,1362245,36.4144955062,36.7748520971,36.0171792649,36.2666569048,1362245,0.0,1.0
LW,2017-02-08 00:00:00+00:00,39.16,39.69,38.58,39.28,1575213,36.1834976915,36.6732130586,35.6475827614,36.2943766425,1575213,0.0,1.0
LW,2017-02-09 00:00:00+00:00,39.08,39.52,38.69,39.06,1138886,36.1095783908,36.5161345446,35.7492217999,36.0910985656,1138886,0.0,1.0
LW,2017-02-10 00:00:00+00:00,39.27,39.57,38.6,39.0,868909,36.2851367299,36.5623341076,35.6660625866,36.0356590901,868909,0.0,1.0
LW,2017-02-13 00:00:00+00:00,39.43,39.71,38.83,39.24,1128260,36.4329753313,36.6916928838,35.8785805761,36.2574169922,1128260,0.0,1.0
LW,2017-02-14 00:00:00+00:00,39.65,39.74,39.25,39.33,1098381,36.6362534083,36.7194126215,36.2666569048,36.3405762055,1098381,0.0,1.0
LW,2017-02-15 00:00:00+00:00,39.63,39.75,39.2,39.5,1387718,36.6177735831,36.7286525341,36.2204573418,36.4976547194,1387718,0.0,1.0
LW,2017-02-16 00:00:00+00:00,39.9,40.16,39.5599,39.57,1034842,36.8672512229,37.1074889502,36.5530017958,36.5623341076,1034842,0.0,1.0
LW,2017-02-17 00:00:00+00:00,39.62,39.95,39.3,39.77,1487957,36.6085336705,36.9134507859,36.3128564677,36.7471323593,1487957,0.0,1.0
LW,2017-02-21 00:00:00+00:00,39.62,40.13,39.3,39.56,1295408,36.6085336705,37.0797692124,36.3128564677,36.553094195,1295408,0.0,1.0
LW,2017-02-22 00:00:00+00:00,39.85,40.0,39.41,39.41,800763,36.82105166,36.9596503488,36.4144955062,36.4144955062,800763,0.0,1.0
LW,2017-02-23 00:00:00+00:00,39.5,39.95,39.27,39.95,564214,36.4976547194,36.9134507859,36.2851367299,36.9134507859,564214,0.0,1.0
LW,2017-02-24 00:00:00+00:00,39.58,39.66,39.3215,39.5,374959,36.5715740201,36.6454933208,36.3327222798,36.4976547194,374959,0.0,1.0
LW,2017-02-27 00:00:00+00:00,39.48,39.7,39.08,39.7,603491,36.4791748943,36.6824529712,36.1095783908,36.6824529712,603491,0.0,1.0
LW,2017-02-28 00:00:00+00:00,39.19,39.79,39.19,39.44,653900,36.2112174292,36.7656121845,36.2112174292,36.4422152439,653900,0.0,1.0
LW,2017-03-01 00:00:00+00:00,39.95,40.04,39.07,39.1,734412,36.9134507859,36.9966099992,36.1003384782,36.128058216,734412,0.0,1.0
LW,2017-03-02 00:00:00+00:00,40.22,40.39,39.557,39.7,818892,37.1629284257,37.3200069397,36.5503222212,36.6824529712,818892,0.0,1.0
LW,2017-03-03 00:00:00+00:00,40.4,40.467,39.53,40.08,1254144,37.3292468523,37.3911542666,36.5253744572,37.0335696495,1254144,0.0,1.0
LW,2017-03-06 00:00:00+00:00,40.42,40.61,40.06,40.37,1784398,37.3477266775,37.5232850166,37.0150898243,37.3015271145,1784398,0.0,1.0
LW,2017-03-07 00:00:00+00:00,40.74,41.05,40.045,40.26,1684017,37.6434038803,37.9298411705,37.0012299554,37.1998880761,1684017,0.0,1.0
LW,2017-03-08 00:00:00+00:00,40.72,41.08,40.42,40.65,1926522,37.6249240551,37.9575609082,37.3477266775,37.560244667,1926522,0.0,1.0
LW,2017-03-09 00:00:00+00:00,40.98,41.1,40.54,40.79,1533904,37.8651617824,37.9760407334,37.4586056285,37.6896034432,1533904,0.0,1.0
LW,2017-03-10 00:00:00+00:00,41.4,41.6,40.8644,41.02,1544140,38.253238111,38.4380363628,37.7583483928,37.9021214327,1544140,0.0,1.0
LW,2017-03-13 00:00:00+00:00,41.53,41.61,41.31,41.39,1383880,38.3733569746,38.4472762753,38.1700788977,38.2439981984,1383880,0.0,1.0
LW,2017-03-14 00:00:00+00:00,42.21,42.25,41.3232,41.5,992609,39.0016710306,39.0386306809,38.1822755823,38.3456372369,992609,0.0,1.0
LW,2017-03-15 00:00:00+00:00,42.36,43.47,42.28,42.44,2309856,39.1402697194,40.1659000166,39.0663504187,39.2141890201,2309856,0.0,1.0
LW,2017-03-16 00:00:00+00:00,41.99,42.5,41.75,42.28,1065257,38.7983929537,39.2696284956,38.5766350516,39.0663504187,1065257,0.0,1.0
LW,2017-03-17 00:00:00+00:00,42.25,42.39,41.6695,41.94,1608966,39.0386306809,39.1679894571,38.5022537552,38.7521933907,1608966,0.0,1.0
LW,2017-03-20 00:00:00+00:00,42.48,42.63,42.091,42.31,1693155,39.2511486704,39.3897473592,38.8917160708,39.0940701565,1693155,0.0,1.0
LW,2017-03-21 00:00:00+00:00,42.87,43.125,42.54,42.59,1640736,39.6115052613,39.8471230323,39.306588146,39.3527877089,1640736,0.0,1.0
LW,2017-03-22 00:00:00+00:00,42.44,43.48,42.43,43.02,1391719,39.2141890201,40.1751399292,39.2049491075,39.7501039501,1391719,0.0,1.0
LW,2017-03-23 00:00:00+00:00,43.01,43.28,42.22,42.4,1135576,39.7408640376,39.9903416774,39.0109109432,39.1772293697,1135576,0.0,1.0
LW,2017-03-24 00:00:00+00:00,42.67,43.235,42.67,43.0,1338311,39.4267070096,39.9487620708,39.4267070096,39.731624125,1338311,0.0,1.0
LW,2017-03-27 00:00:00+00:00,42.96,43.02,42.22,42.53,812738,39.6946644746,39.7501039501,39.0109109432,39.2973482334,812738,0.0,1.0
LW,2017-03-28 00:00:00+00:00,42.92,43.2,42.66,42.86,901945,39.6577048243,39.9164223767,39.417467097,39.6022653487,901945,0.0,1.0
LW,2017-03-29 00:00:00+00:00,42.64,42.95,42.52,42.88,704039,39.3989872718,39.685424562,39.2881083208,39.6207451739,704039,0.0,1.0
LW,2017-03-30 00:00:00+00:00,42.09,42.7,42.06,42.7,641004,38.8907920795,39.4544267474,38.8630723418,39.4544267474,641004,0.0,1.0
LW,2017-03-31 00:00:00+00:00,42.06,42.145,41.81,42.07,1003812,38.8630723418,38.9416115988,38.6320745271,38.8723122544,1003812,0.0,1.0
LW,2017-04-03 00:00:00+00:00,42.0,42.25,41.75,42.01,914679,38.8076328662,39.0386306809,38.5766350516,38.8168727788,914679,0.0,1.0
LW,2017-04-04 00:00:00+00:00,42.19,42.22,41.54,42.08,1297662,38.9831912054,39.0109109432,38.3825968872,38.8815521669,1297662,0.0,1.0
LW,2017-04-05 00:00:00+00:00,41.74,42.5,41.7,42.13,816318,38.567395139,39.2696284956,38.5304354886,38.9277517299,816318,0.0,1.0
LW,2017-04-06 00:00:00+00:00,43.14,43.4,40.61,43.12,2956532,39.8609829012,40.1012206285,37.5232850166,39.842503076,2956532,0.0,1.0
