symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
LYB,2010-04-28 00:00:00+00:00,22.0,22.25,21.7,22.25,5244400,9.2718521602,9.3772141166,9.1454178126,9.3772141166,5244400,0.0,1.0
LYB,2010-04-29 00:00:00+00:00,23.0,23.25,21.9,22.0,8773600,9.6932999857,9.798661942,9.2297073777,9.2718521602,8773600,0.0,1.0
LYB,2010-04-30 00:00:00+00:00,22.3,23.0,22.25,22.95,1644400,9.3982865079,9.6932999857,9.3772141166,9.6722275944,1644400,0.0,1.0
LYB,2010-05-03 00:00:00+00:00,22.8,22.95,22.65,22.75,3302700,9.6090104206,9.6722275944,9.5457932468,9.5879380293,3302700,0.0,1.0
LYB,2010-05-04 00:00:00+00:00,21.5,22.8,21.5,22.8,2276500,9.0611282475,9.6090104206,9.0611282475,9.6090104206,2276500,0.0,1.0
LYB,2010-05-05 00:00:00+00:00,20.59,22.0,20.0,22.0,6999200,8.6776107263,9.2718521602,8.4289565093,9.2718521602,6999200,0.0,1.0
LYB,2010-05-06 00:00:00+00:00,19.45,20.55,18.45,20.5,8029400,8.1971602053,8.6607528133,7.7757123798,8.639680422,8029400,0.0,1.0
LYB,2010-05-07 00:00:00+00:00,18.6,19.55,17.9,19.5,3881500,7.8389295536,8.2393049878,7.5439160758,8.2182325966,3881500,0.0,1.0
LYB,2010-05-10 00:00:00+00:00,19.01,19.85,18.7,19.75,3861100,8.0117231621,8.3657393355,7.8810743362,8.3235945529,3861100,0.0,1.0
LYB,2010-05-11 00:00:00+00:00,18.9,19.28,18.75,18.75,2626900,7.9653639013,8.125514075,7.9021467275,7.9021467275,2626900,0.0,1.0
LYB,2010-05-12 00:00:00+00:00,19.8,20.04,19.2,19.2,5714300,8.3446669442,8.4458144223,8.0917982489,8.0917982489,5714300,0.0,1.0
LYB,2010-05-13 00:00:00+00:00,19.65,20.1,19.6,19.85,2475900,8.2814497704,8.4711012918,8.2603773791,8.3657393355,2475900,0.0,1.0
LYB,2010-05-14 00:00:00+00:00,18.75,19.4,18.75,19.3,3133400,7.9021467275,8.176087814,7.9021467275,8.1339430315,3133400,0.0,1.0
LYB,2010-05-17 00:00:00+00:00,18.85,19.2,18.7,19.0,10117000,7.94429151,8.0917982489,7.8810743362,8.0075086838,10117000,0.0,1.0
LYB,2010-05-18 00:00:00+00:00,18.79,19.32,18.25,19.05,6219800,7.9190046405,8.142371988,7.6914228147,8.0285810751,6219800,0.0,1.0
LYB,2010-05-19 00:00:00+00:00,17.7,18.93,17.55,18.9,6227700,7.4596265107,7.978007336,7.3964093369,7.9653639013,6227700,0.0,1.0
LYB,2010-05-20 00:00:00+00:00,16.9,17.14,16.2,17.14,10248400,7.1224682503,7.2236157285,6.8274547725,7.2236157285,10248400,0.0,1.0
LYB,2010-05-21 00:00:00+00:00,16.55,17.12,16.25,16.35,4560800,6.9749615114,7.215186772,6.8485271638,6.8906719463,4560800,0.0,1.0
LYB,2010-05-24 00:00:00+00:00,16.9,17.15,16.68,16.7,1761300,7.1224682503,7.2278302067,7.0297497287,7.0381786853,1761300,0.0,1.0
LYB,2010-05-25 00:00:00+00:00,16.57,16.79,16.2,16.79,4649600,6.9833904679,7.0761089895,6.8274547725,7.0761089895,4649600,0.0,1.0
LYB,2010-05-26 00:00:00+00:00,17.15,17.4,16.8,16.99,2079300,7.2278302067,7.3331921631,7.0803234678,7.1603985546,2079300,0.0,1.0
LYB,2010-05-27 00:00:00+00:00,17.9,18.0,17.65,17.65,3156100,7.5439160758,7.5860608584,7.4385541194,7.4385541194,3156100,0.0,1.0
LYB,2010-05-28 00:00:00+00:00,17.77,17.9,16.25,17.9,222200,7.4891278585,7.5439160758,6.8485271638,7.5439160758,222200,0.0,1.0
LYB,2010-06-01 00:00:00+00:00,17.5,17.8,17.2,17.65,900800,7.3753369456,7.5017712933,7.248902598,7.4385541194,900800,0.0,1.0
LYB,2010-06-02 00:00:00+00:00,17.33,17.66,17.22,17.61,829900,7.3036908153,7.4427685977,7.2573315545,7.4216962064,829900,0.0,1.0
LYB,2010-06-03 00:00:00+00:00,17.33,17.5,17.15,17.45,2173600,7.3036908153,7.3753369456,7.2278302067,7.3542645544,2173600,0.0,1.0
LYB,2010-06-04 00:00:00+00:00,17.05,17.1,16.75,17.05,3147200,7.1856854242,7.2067578154,7.0592510765,7.1856854242,3147200,0.0,1.0
LYB,2010-06-07 00:00:00+00:00,16.89,17.2,16.74,17.15,2826800,7.1182537721,7.248902598,7.0550365983,7.2278302067,2826800,0.0,1.0
LYB,2010-06-08 00:00:00+00:00,16.75,17.03,16.5,17.03,2037700,7.0592510765,7.1772564677,6.9538891202,7.1772564677,2037700,0.0,1.0
LYB,2010-06-09 00:00:00+00:00,16.79,17.1,16.7,16.79,1410200,7.0761089895,7.2067578154,7.0381786853,7.0761089895,1410200,0.0,1.0
LYB,2010-06-10 00:00:00+00:00,16.97,17.07,16.85,16.97,1401000,7.1519695981,7.1941143807,7.1013958591,7.1519695981,1401000,0.0,1.0
LYB,2010-06-11 00:00:00+00:00,17.14,17.19,16.94,16.94,452500,7.2236157285,7.2446881197,7.1393261634,7.1393261634,452500,0.0,1.0
LYB,2010-06-14 00:00:00+00:00,17.49,17.58,17.19,17.19,1008500,7.3711224674,7.4090527717,7.2446881197,7.2446881197,1008500,0.0,1.0
LYB,2010-06-15 00:00:00+00:00,17.97,18.0,17.35,17.48,1974300,7.5734174236,7.5860608584,7.3121197718,7.3669079891,1974300,0.0,1.0
LYB,2010-06-16 00:00:00+00:00,17.64,17.97,17.63,17.93,1041500,7.4343396412,7.5734174236,7.4301251629,7.5565595106,1041500,0.0,1.0
LYB,2010-06-17 00:00:00+00:00,17.3,17.75,17.14,17.68,1090600,7.2910473805,7.480698902,7.2236157285,7.4511975542,1090600,0.0,1.0
LYB,2010-06-18 00:00:00+00:00,17.21,17.35,17.15,17.3299,1373700,7.2531170762,7.3121197718,7.2278302067,7.3036486705,1373700,0.0,1.0
LYB,2010-06-21 00:00:00+00:00,17.1,17.53,17.09,17.45,514100,7.2067578154,7.3879803804,7.2025433372,7.3542645544,514100,0.0,1.0
LYB,2010-06-22 00:00:00+00:00,16.84,17.1,16.8,17.09,1502900,7.0971813808,7.2067578154,7.0803234678,7.2025433372,1502900,0.0,1.0
LYB,2010-06-23 00:00:00+00:00,16.65,16.95,16.6,16.9,1125700,7.017106294,7.1435406416,6.9960339027,7.1224682503,1125700,0.0,1.0
LYB,2010-06-24 00:00:00+00:00,16.8,16.92,16.35,16.69,2151600,7.0803234678,7.1308972069,6.8906719463,7.033964207,2151600,0.0,1.0
