symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
LYV,2005-12-21 00:00:00+00:00,10.85,11.05,10.55,11.0,5796900,10.85,11.05,10.55,11.0,5796900,0.0,1.0
LYV,2005-12-22 00:00:00+00:00,10.6,11.12,10.59,10.6,4152500,10.6,11.12,10.59,10.6,4152500,0.0,1.0
LYV,2005-12-23 00:00:00+00:00,11.95,12.78,10.9,10.9,8844700,11.95,12.78,10.9,10.9,8844700,0.0,1.0
LYV,2005-12-27 00:00:00+00:00,12.5,12.79,12.13,12.2,3324100,12.5,12.79,12.13,12.2,3324100,0.0,1.0
LYV,2005-12-28 00:00:00+00:00,13.3,14.0,12.25,12.25,3187700,13.3,14.0,12.25,12.25,3187700,0.0,1.0
LYV,2005-12-29 00:00:00+00:00,13.21,13.83,13.21,13.8,1092100,13.21,13.83,13.21,13.8,1092100,0.0,1.0
LYV,2005-12-30 00:00:00+00:00,13.1,13.65,12.66,13.65,1208400,13.1,13.65,12.66,13.65,1208400,0.0,1.0
LYV,2006-01-03 00:00:00+00:00,13.5,13.5,12.81,12.9,1875500,13.5,13.5,12.81,12.9,1875500,0.0,1.0
LYV,2006-01-04 00:00:00+00:00,13.0,13.85,13.0,13.47,2342000,13.0,13.85,13.0,13.47,2342000,0.0,1.0
LYV,2006-01-05 00:00:00+00:00,13.0,13.31,12.95,13.3,2880600,13.0,13.31,12.95,13.3,2880600,0.0,1.0
LYV,2006-01-06 00:00:00+00:00,12.93,13.08,12.77,13.0,1627700,12.93,13.08,12.77,13.0,1627700,0.0,1.0
LYV,2006-01-09 00:00:00+00:00,13.75,13.75,12.82,12.83,1133300,13.75,13.75,12.82,12.83,1133300,0.0,1.0
LYV,2006-01-10 00:00:00+00:00,13.65,13.85,13.45,13.85,1382200,13.65,13.85,13.45,13.85,1382200,0.0,1.0
LYV,2006-01-11 00:00:00+00:00,14.32,14.6,13.48,13.6,2884200,14.32,14.6,13.48,13.6,2884200,0.0,1.0
LYV,2006-01-12 00:00:00+00:00,14.4,14.65,13.9,14.0,2363900,14.4,14.65,13.9,14.0,2363900,0.0,1.0
LYV,2006-01-13 00:00:00+00:00,14.77,14.77,14.37,14.4,2023000,14.77,14.77,14.37,14.4,2023000,0.0,1.0
LYV,2006-01-17 00:00:00+00:00,14.87,15.14,14.4,14.45,1754300,14.87,15.14,14.4,14.45,1754300,0.0,1.0
LYV,2006-01-18 00:00:00+00:00,14.49,14.65,14.31,14.4,1714500,14.49,14.65,14.31,14.4,1714500,0.0,1.0
LYV,2006-01-19 00:00:00+00:00,15.22,15.22,14.295,14.4,4355100,15.22,15.22,14.295,14.4,4355100,0.0,1.0
LYV,2006-01-20 00:00:00+00:00,16.56,16.75,15.3,15.4,3528300,16.56,16.75,15.3,15.4,3528300,0.0,1.0
LYV,2006-01-23 00:00:00+00:00,17.59,18.4999,16.57,16.57,3088500,17.59,18.4999,16.57,16.57,3088500,0.0,1.0
LYV,2006-01-24 00:00:00+00:00,17.59,17.8,17.3,17.39,1375600,17.59,17.8,17.3,17.39,1375600,0.0,1.0
LYV,2006-01-25 00:00:00+00:00,16.73,17.65,16.36,17.65,1517700,16.73,17.65,16.36,17.65,1517700,0.0,1.0
LYV,2006-01-26 00:00:00+00:00,16.57,17.45,16.45,16.8,811900,16.57,17.45,16.45,16.8,811900,0.0,1.0
LYV,2006-01-27 00:00:00+00:00,17.05,17.4,16.57,16.57,1063900,17.05,17.4,16.57,16.57,1063900,0.0,1.0
LYV,2006-01-30 00:00:00+00:00,17.24,17.3,16.78,17.06,941200,17.24,17.3,16.78,17.06,941200,0.0,1.0
LYV,2006-01-31 00:00:00+00:00,17.75,18.0,17.2,17.2,1478000,17.75,18.0,17.2,17.2,1478000,0.0,1.0
LYV,2006-02-01 00:00:00+00:00,17.51,17.85,17.26,17.76,403700,17.51,17.85,17.26,17.76,403700,0.0,1.0
LYV,2006-02-02 00:00:00+00:00,17.4,17.58,17.25,17.5,804400,17.4,17.58,17.25,17.5,804400,0.0,1.0
LYV,2006-02-03 00:00:00+00:00,17.65,17.74,17.25,17.28,243700,17.65,17.74,17.25,17.28,243700,0.0,1.0
LYV,2006-02-06 00:00:00+00:00,17.64,17.75,17.49,17.7,338300,17.64,17.75,17.49,17.7,338300,0.0,1.0
LYV,2006-02-07 00:00:00+00:00,17.76,18.15,17.54,17.75,322000,17.76,18.15,17.54,17.75,322000,0.0,1.0
LYV,2006-02-08 00:00:00+00:00,17.87,17.87,17.511,17.76,210600,17.87,17.87,17.511,17.76,210600,0.0,1.0
LYV,2006-02-09 00:00:00+00:00,18.95,19.0,17.9,18.19,836800,18.95,19.0,17.9,18.19,836800,0.0,1.0
LYV,2006-02-10 00:00:00+00:00,19.07,19.3,18.98,19.0,456100,19.07,19.3,18.98,19.0,456100,0.0,1.0
LYV,2006-02-13 00:00:00+00:00,19.4,19.56,19.0,19.0,718000,19.4,19.56,19.0,19.0,718000,0.0,1.0
LYV,2006-02-14 00:00:00+00:00,19.02,19.4,18.92,19.4,436300,19.02,19.4,18.92,19.4,436300,0.0,1.0
LYV,2006-02-15 00:00:00+00:00,19.07,19.12,18.97,19.0,674500,19.07,19.12,18.97,19.0,674500,0.0,1.0
LYV,2006-02-16 00:00:00+00:00,18.5,19.08,18.45,19.08,1359700,18.5,19.08,18.45,19.08,1359700,0.0,1.0
LYV,2006-02-17 00:00:00+00:00,17.94,18.47,17.9,18.4,257000,17.94,18.47,17.9,18.4,257000,0.0,1.0
LYV,2006-02-21 00:00:00+00:00,18.93,19.2,17.46,17.55,861700,18.93,19.2,17.46,17.55,861700,0.0,1.0
LYV,2006-02-22 00:00:00+00:00,18.94,19.0,18.57,18.68,117900,18.94,19.0,18.57,18.68,117900,0.0,1.0
LYV,2006-02-23 00:00:00+00:00,18.71,18.93,18.3,18.51,131000,18.71,18.93,18.3,18.51,131000,0.0,1.0
LYV,2006-02-24 00:00:00+00:00,18.49,18.7,17.78,18.6,670600,18.49,18.7,17.78,18.6,670600,0.0,1.0
LYV,2006-02-27 00:00:00+00:00,17.91,18.58,17.84,18.1501,270300,17.91,18.58,17.84,18.1501,270300,0.0,1.0
LYV,2006-02-28 00:00:00+00:00,17.85,17.98,17.72,17.85,174200,17.85,17.98,17.72,17.85,174200,0.0,1.0
LYV,2006-03-01 00:00:00+00:00,17.79,17.88,17.65,17.75,146900,17.79,17.88,17.65,17.75,146900,0.0,1.0
LYV,2006-03-02 00:00:00+00:00,17.72,17.81,17.59,17.75,181000,17.72,17.81,17.59,17.75,181000,0.0,1.0
LYV,2006-03-03 00:00:00+00:00,17.55,17.67,17.5,17.65,188000,17.55,17.67,17.5,17.65,188000,0.0,1.0
LYV,2006-03-06 00:00:00+00:00,18.22,18.34,17.55,17.55,112700,18.22,18.34,17.55,17.55,112700,0.0,1.0
LYV,2006-03-07 00:00:00+00:00,17.95,18.15,17.67,18.15,142100,17.95,18.15,17.67,18.15,142100,0.0,1.0
LYV,2006-03-08 00:00:00+00:00,17.95,18.13,17.9,17.91,66400,17.95,18.13,17.9,17.91,66400,0.0,1.0
LYV,2006-03-09 00:00:00+00:00,18.11,18.11,17.9,17.9,198000,18.11,18.11,17.9,17.9,198000,0.0,1.0
LYV,2006-03-10 00:00:00+00:00,18.08,18.49,18.0,18.06,1187800,18.08,18.49,18.0,18.06,1187800,0.0,1.0
LYV,2006-03-13 00:00:00+00:00,17.98,18.03,17.93,17.98,90200,17.98,18.03,17.93,17.98,90200,0.0,1.0
LYV,2006-03-14 00:00:00+00:00,18.21,18.23,17.83,17.9,141100,18.21,18.23,17.83,17.9,141100,0.0,1.0
LYV,2006-03-15 00:00:00+00:00,18.0,18.12,17.94,18.12,143700,18.0,18.12,17.94,18.12,143700,0.0,1.0
LYV,2006-03-16 00:00:00+00:00,18.5,18.7,18.0,18.0,263100,18.5,18.7,18.0,18.0,263100,0.0,1.0
LYV,2006-03-17 00:00:00+00:00,18.51,18.6,18.23,18.5,556600,18.51,18.6,18.23,18.5,556600,0.0,1.0
LYV,2006-03-20 00:00:00+00:00,18.61,18.88,18.39,18.45,171600,18.61,18.88,18.39,18.45,171600,0.0,1.0
LYV,2006-03-21 00:00:00+00:00,18.85,18.95,18.55,18.55,254900,18.85,18.95,18.55,18.55,254900,0.0,1.0
LYV,2006-03-22 00:00:00+00:00,19.0,19.0,18.6,18.85,116100,19.0,19.0,18.6,18.85,116100,0.0,1.0
LYV,2006-03-23 00:00:00+00:00,18.85,19.02,18.82,19.0,258200,18.85,19.02,18.82,19.0,258200,0.0,1.0
LYV,2006-03-24 00:00:00+00:00,18.85,19.11,18.51,18.82,271200,18.85,19.11,18.51,18.82,271200,0.0,1.0
LYV,2006-03-27 00:00:00+00:00,18.72,18.85,18.47,18.83,120100,18.72,18.85,18.47,18.83,120100,0.0,1.0
LYV,2006-03-28 00:00:00+00:00,18.93,19.09,18.61,18.62,123400,18.93,19.09,18.61,18.62,123400,0.0,1.0
LYV,2006-03-29 00:00:00+00:00,18.99,19.03,18.65,18.98,114500,18.99,19.03,18.65,18.98,114500,0.0,1.0
LYV,2006-03-30 00:00:00+00:00,19.02,19.1,18.9,18.92,237200,19.02,19.1,18.9,18.92,237200,0.0,1.0
LYV,2006-03-31 00:00:00+00:00,19.84,19.99,19.09,19.09,238000,19.84,19.99,19.09,19.09,238000,0.0,1.0
LYV,2006-04-03 00:00:00+00:00,19.17,19.9,19.15,19.86,150000,19.17,19.9,19.15,19.86,150000,0.0,1.0
LYV,2006-04-04 00:00:00+00:00,19.02,19.28,18.92,19.1,156900,19.02,19.28,18.92,19.1,156900,0.0,1.0
LYV,2006-04-05 00:00:00+00:00,19.0,19.1,18.95,19.06,119000,19.0,19.1,18.95,19.06,119000,0.0,1.0
LYV,2006-04-06 00:00:00+00:00,19.19,19.25,18.97,18.98,810600,19.19,19.25,18.97,18.98,810600,0.0,1.0
LYV,2006-04-07 00:00:00+00:00,19.2,19.25,19.05,19.1,57600,19.2,19.25,19.05,19.1,57600,0.0,1.0
LYV,2006-04-10 00:00:00+00:00,19.06,19.21,19.0,19.2,98600,19.06,19.21,19.0,19.2,98600,0.0,1.0
LYV,2006-04-11 00:00:00+00:00,19.0,19.15,18.96,19.06,135900,19.0,19.15,18.96,19.06,135900,0.0,1.0
LYV,2006-04-12 00:00:00+00:00,19.17,19.25,18.87,18.93,256000,19.17,19.25,18.87,18.93,256000,0.0,1.0
LYV,2006-04-13 00:00:00+00:00,19.2,19.25,19.1,19.1,216800,19.2,19.25,19.1,19.1,216800,0.0,1.0
LYV,2006-04-17 00:00:00+00:00,19.39,19.44,19.16,19.16,128900,19.39,19.44,19.16,19.16,128900,0.0,1.0
LYV,2006-04-18 00:00:00+00:00,19.3,19.55,19.26,19.38,86600,19.3,19.55,19.26,19.38,86600,0.0,1.0
LYV,2006-04-19 00:00:00+00:00,19.24,19.44,19.18,19.35,179400,19.24,19.44,19.18,19.35,179400,0.0,1.0
LYV,2006-04-20 00:00:00+00:00,19.23,19.25,19.151,19.24,77400,19.23,19.25,19.151,19.24,77400,0.0,1.0
LYV,2006-04-21 00:00:00+00:00,19.16,19.43,19.1101,19.23,223400,19.16,19.43,19.1101,19.23,223400,0.0,1.0
LYV,2006-04-24 00:00:00+00:00,19.25,19.35,19.15,19.15,228500,19.25,19.35,19.15,19.15,228500,0.0,1.0
LYV,2006-04-25 00:00:00+00:00,19.21,19.44,19.16,19.25,136100,19.21,19.44,19.16,19.25,136100,0.0,1.0
LYV,2006-04-26 00:00:00+00:00,19.36,19.56,19.21,19.21,144500,19.36,19.56,19.21,19.21,144500,0.0,1.0
LYV,2006-04-27 00:00:00+00:00,19.15,19.38,19.01,19.25,116800,19.15,19.38,19.01,19.25,116800,0.0,1.0
