symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
MA,2006-05-25 00:00:00+00:00,46.0,47.2,40.2,40.3,39534300,4.2482988582,4.3591240458,3.7126437848,3.7218792171,395343000,0.0,1.0
MA,2006-05-26 00:00:00+00:00,44.93,46.74,44.11,46.31,10304400,4.1494797326,4.3166410572,4.0737491877,4.2769286984,103044000,0.0,1.0
MA,2006-05-30 00:00:00+00:00,44.0,44.98,42.85,44.97,4989800,4.0635902122,4.1540974488,3.9573827408,4.1531739055,49898000,0.0,1.0
MA,2006-05-31 00:00:00+00:00,44.94,45.36,44.35,44.35,3000200,4.1504032758,4.1891920915,4.0959142253,4.0959142253,30002000,0.0,1.0
MA,2006-06-01 00:00:00+00:00,47.51,48.1,44.9,44.93,6234400,4.387753886,4.4422429365,4.1467091029,4.1494797326,62344000,0.0,1.0
MA,2006-06-02 00:00:00+00:00,46.99,48.7,46.79,47.51,3725300,4.339729638,4.4976555303,4.3212587734,4.387753886,37253000,0.0,1.0
MA,2006-06-05 00:00:00+00:00,49.15,49.75,47.0,47.05,3718800,4.5392149757,4.5946275695,4.3406531812,4.3452708974,37188000,0.0,1.0
MA,2006-06-06 00:00:00+00:00,48.3,50.63,47.8,49.61,4904500,4.4607138011,4.6758993737,4.4145366396,4.5816979643,49045000,0.0,1.0
MA,2006-06-07 00:00:00+00:00,47.6,48.4,46.75,48.33,2501300,4.396065775,4.4699492334,4.3175646005,4.4634844308,25013000,0.0,1.0
MA,2006-06-08 00:00:00+00:00,47.72,47.72,45.5,47.25,3443900,4.4071482938,4.4071482938,4.2021216967,4.363741762,34439000,0.0,1.0
MA,2006-06-09 00:00:00+00:00,47.91,48.8,47.68,48.8,1337200,4.4246956152,4.5068909626,4.4034541209,4.5068909626,13372000,0.0,1.0
MA,2006-06-12 00:00:00+00:00,46.95,48.25,46.3,47.94,1454600,4.3360354651,4.456096085,4.2760051551,4.4274662449,14546000,0.0,1.0
MA,2006-06-13 00:00:00+00:00,45.5,47.35,45.3,46.75,1671600,4.2021216967,4.3729771943,4.1836508321,4.3175646005,16716000,0.0,1.0
