symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
MAA,2000-01-03 00:00:00+00:00,22.5,22.88,22.44,22.62,28800,6.516322427,6.6263758724,6.4989455672,6.5510761466,28800,0.0,1.0
MAA,2000-01-04 00:00:00+00:00,22.63,22.63,22.38,22.44,38800,6.5539722899,6.5539722899,6.4815687074,6.4989455672,38800,0.0,1.0
MAA,2000-01-05 00:00:00+00:00,22.5,22.88,22.38,22.44,62900,6.516322427,6.6263758724,6.4815687074,6.4989455672,62900,0.0,1.0
MAA,2000-01-06 00:00:00+00:00,22.75,23.0,22.38,22.38,29000,6.5887260095,6.661129592,6.4815687074,6.4815687074,29000,0.0,1.0
MAA,2000-01-07 00:00:00+00:00,22.94,23.0,22.63,22.63,17700,6.6437527322,6.661129592,6.5539722899,6.5539722899,17700,0.0,1.0
MAA,2000-01-10 00:00:00+00:00,22.75,22.94,22.69,22.94,20400,6.5887260095,6.6437527322,6.5713491497,6.6437527322,20400,0.0,1.0
MAA,2000-01-11 00:00:00+00:00,22.5,22.75,22.44,22.75,35000,6.516322427,6.5887260095,6.4989455672,6.5887260095,35000,0.0,1.0
MAA,2000-01-12 00:00:00+00:00,22.5,22.56,22.44,22.44,18400,6.516322427,6.5336992868,6.4989455672,6.4989455672,18400,0.0,1.0
MAA,2000-01-13 00:00:00+00:00,22.5,22.56,22.44,22.44,17500,6.516322427,6.5336992868,6.4989455672,6.4989455672,17500,0.0,1.0
MAA,2000-01-14 00:00:00+00:00,22.44,22.75,22.31,22.44,36600,6.4989455672,6.5887260095,6.4612957043,6.4989455672,36600,0.0,1.0
MAA,2000-01-18 00:00:00+00:00,23.0,23.0,22.56,22.56,33900,6.661129592,6.661129592,6.5336992868,6.5336992868,33900,0.0,1.0
MAA,2000-01-19 00:00:00+00:00,23.25,23.38,23.0,23.13,56800,6.7335331745,6.7711830374,6.661129592,6.6987794549,56800,0.0,1.0
MAA,2000-01-20 00:00:00+00:00,22.25,22.75,22.25,22.5,64300,6.6118951559,6.7604770695,6.6118951559,6.6861861127,64300,0.58,1.0
MAA,2000-01-21 00:00:00+00:00,22.44,22.44,22.13,22.38,10600,6.6683562831,6.6683562831,6.5762354966,6.6505264534,10600,0.0,1.0
MAA,2000-01-24 00:00:00+00:00,22.13,22.38,22.06,22.25,24100,6.5762354966,6.6505264534,6.5554340287,6.6118951559,24100,0.0,1.0
MAA,2000-01-25 00:00:00+00:00,22.25,22.38,22.06,22.06,15100,6.6118951559,6.6505264534,6.5554340287,6.5554340287,15100,0.0,1.0
MAA,2000-01-26 00:00:00+00:00,22.06,22.44,22.06,22.13,17200,6.5554340287,6.6683562831,6.5554340287,6.5762354966,17200,0.0,1.0
MAA,2000-01-27 00:00:00+00:00,22.06,22.25,22.0,22.25,24000,6.5554340287,6.6118951559,6.5376041991,6.6118951559,24000,0.0,1.0
MAA,2000-01-28 00:00:00+00:00,22.06,22.38,22.0,22.19,20400,6.5554340287,6.6505264534,6.5376041991,6.5940653263,20400,0.0,1.0
MAA,2000-01-31 00:00:00+00:00,22.13,22.38,22.13,22.25,13800,6.5762354966,6.6505264534,6.5762354966,6.6118951559,13800,0.0,1.0
MAA,2000-02-01 00:00:00+00:00,22.19,22.38,22.0,22.38,47700,6.5940653263,6.6505264534,6.5376041991,6.6505264534,47700,0.0,1.0
MAA,2000-02-02 00:00:00+00:00,22.13,22.25,22.0,22.25,26400,6.5762354966,6.6118951559,6.5376041991,6.6118951559,26400,0.0,1.0
MAA,2000-02-03 00:00:00+00:00,22.19,22.31,22.0,22.19,26400,6.5940653263,6.6297249855,6.5376041991,6.5940653263,26400,0.0,1.0
MAA,2000-02-04 00:00:00+00:00,22.06,22.19,22.0,22.06,28600,6.5554340287,6.5940653263,6.5376041991,6.5554340287,28600,0.0,1.0
MAA,2000-02-07 00:00:00+00:00,22.25,22.31,22.06,22.06,27100,6.6118951559,6.6297249855,6.5554340287,6.5554340287,27100,0.0,1.0
MAA,2000-02-08 00:00:00+00:00,22.25,22.44,22.13,22.38,22400,6.6118951559,6.6683562831,6.5762354966,6.6505264534,22400,0.0,1.0
MAA,2000-02-09 00:00:00+00:00,22.25,22.25,22.13,22.25,20500,6.6118951559,6.6118951559,6.5762354966,6.6118951559,20500,0.0,1.0
MAA,2000-02-10 00:00:00+00:00,22.31,22.44,22.19,22.19,21300,6.6297249855,6.6683562831,6.5940653263,6.5940653263,21300,0.0,1.0
MAA,2000-02-11 00:00:00+00:00,22.38,22.38,22.25,22.31,24900,6.6505264534,6.6505264534,6.6118951559,6.6297249855,24900,0.0,1.0
MAA,2000-02-14 00:00:00+00:00,22.31,22.38,22.19,22.25,24500,6.6297249855,6.6505264534,6.5940653263,6.6118951559,24500,0.0,1.0
MAA,2000-02-15 00:00:00+00:00,22.5,22.5,22.25,22.31,76600,6.6861861127,6.6861861127,6.6118951559,6.6297249855,76600,0.0,1.0
MAA,2000-02-16 00:00:00+00:00,22.38,22.56,22.06,22.5,85300,6.6505264534,6.7040159423,6.5554340287,6.6861861127,85300,0.0,1.0
MAA,2000-02-17 00:00:00+00:00,22.44,22.44,22.38,22.44,17000,6.6683562831,6.6683562831,6.6505264534,6.6683562831,17000,0.0,1.0
MAA,2000-02-18 00:00:00+00:00,22.38,22.44,22.38,22.44,20100,6.6505264534,6.6683562831,6.6505264534,6.6683562831,20100,0.0,1.0
MAA,2000-02-22 00:00:00+00:00,22.19,22.25,22.06,22.19,21200,6.5940653263,6.6118951559,6.5554340287,6.5940653263,21200,0.0,1.0
MAA,2000-02-23 00:00:00+00:00,22.38,22.38,22.13,22.19,10800,6.6505264534,6.6505264534,6.5762354966,6.5940653263,10800,0.0,1.0
MAA,2000-02-24 00:00:00+00:00,22.25,22.38,22.25,22.31,42500,6.6118951559,6.6505264534,6.6118951559,6.6297249855,42500,0.0,1.0
MAA,2000-02-25 00:00:00+00:00,22.19,22.38,22.0,22.31,30900,6.5940653263,6.6505264534,6.5376041991,6.6297249855,30900,0.0,1.0
MAA,2000-02-28 00:00:00+00:00,22.38,22.44,22.25,22.31,18200,6.6505264534,6.6683562831,6.6118951559,6.6297249855,18200,0.0,1.0
MAA,2000-02-29 00:00:00+00:00,22.81,22.88,22.31,22.31,39400,6.7783068992,6.7991083671,6.6297249855,6.6297249855,39400,0.0,1.0
MAA,2000-03-01 00:00:00+00:00,22.5,22.63,22.25,22.5,20400,6.6861861127,6.7248174102,6.6118951559,6.6861861127,20400,0.0,1.0
MAA,2000-03-02 00:00:00+00:00,22.5,22.88,22.31,22.38,44100,6.6861861127,6.7991083671,6.6297249855,6.6505264534,44100,0.0,1.0
MAA,2000-03-03 00:00:00+00:00,22.5,22.63,22.38,22.5,27600,6.6861861127,6.7248174102,6.6505264534,6.6861861127,27600,0.0,1.0
MAA,2000-03-06 00:00:00+00:00,22.63,22.63,22.5,22.5,42500,6.7248174102,6.7248174102,6.6861861127,6.6861861127,42500,0.0,1.0
MAA,2000-03-07 00:00:00+00:00,22.13,22.63,22.0,22.5,98400,6.5762354966,6.7248174102,6.5376041991,6.6861861127,98400,0.0,1.0
MAA,2000-03-08 00:00:00+00:00,22.5,22.5,22.13,22.25,20800,6.6861861127,6.6861861127,6.5762354966,6.6118951559,20800,0.0,1.0
MAA,2000-03-09 00:00:00+00:00,22.25,22.38,22.19,22.25,20600,6.6118951559,6.6505264534,6.5940653263,6.6118951559,20600,0.0,1.0
MAA,2000-03-10 00:00:00+00:00,22.25,22.25,22.13,22.13,27400,6.6118951559,6.6118951559,6.5762354966,6.5762354966,27400,0.0,1.0
MAA,2000-03-13 00:00:00+00:00,22.19,22.25,22.0,22.13,15200,6.5940653263,6.6118951559,6.5376041991,6.5762354966,15200,0.0,1.0
MAA,2000-03-14 00:00:00+00:00,22.44,22.44,22.13,22.19,25200,6.6683562831,6.6683562831,6.5762354966,6.5940653263,25200,0.0,1.0
MAA,2000-03-15 00:00:00+00:00,22.25,22.44,22.25,22.38,18500,6.6118951559,6.6683562831,6.6118951559,6.6505264534,18500,0.0,1.0
MAA,2000-03-16 00:00:00+00:00,22.5,22.75,22.38,22.38,42600,6.6861861127,6.7604770695,6.6505264534,6.6505264534,42600,0.0,1.0
MAA,2000-03-17 00:00:00+00:00,22.63,22.63,22.38,22.38,20200,6.7248174102,6.7248174102,6.6505264534,6.6505264534,20200,0.0,1.0
MAA,2000-03-20 00:00:00+00:00,22.44,22.5,22.31,22.44,18200,6.6683562831,6.6861861127,6.6297249855,6.6683562831,18200,0.0,1.0
MAA,2000-03-21 00:00:00+00:00,22.38,22.56,22.25,22.31,32800,6.6505264534,6.7040159423,6.6118951559,6.6297249855,32800,0.0,1.0
MAA,2000-03-22 00:00:00+00:00,22.38,22.38,22.25,22.31,12000,6.6505264534,6.6505264534,6.6118951559,6.6297249855,12000,0.0,1.0
MAA,2000-03-23 00:00:00+00:00,22.38,22.5,22.38,22.38,63000,6.6505264534,6.6861861127,6.6505264534,6.6505264534,63000,0.0,1.0
MAA,2000-03-24 00:00:00+00:00,22.56,22.56,22.38,22.5,77100,6.7040159423,6.7040159423,6.6505264534,6.6861861127,77100,0.0,1.0
MAA,2000-03-27 00:00:00+00:00,22.44,22.5,22.38,22.5,62100,6.6683562831,6.6861861127,6.6505264534,6.6861861127,62100,0.0,1.0
MAA,2000-03-28 00:00:00+00:00,22.5,22.56,22.38,22.44,38000,6.6861861127,6.7040159423,6.6505264534,6.6683562831,38000,0.0,1.0
MAA,2000-03-29 00:00:00+00:00,22.5,22.56,22.44,22.5,95400,6.6861861127,6.7040159423,6.6683562831,6.6861861127,95400,0.0,1.0
MAA,2000-03-30 00:00:00+00:00,22.94,22.94,22.5,22.5,58600,6.8169381967,6.8169381967,6.6861861127,6.6861861127,58600,0.0,1.0
MAA,2000-03-31 00:00:00+00:00,22.75,22.75,22.5,22.75,79100,6.7604770695,6.7604770695,6.6861861127,6.7604770695,79100,0.0,1.0
MAA,2000-04-03 00:00:00+00:00,22.63,22.63,22.5,22.63,28500,6.7248174102,6.7248174102,6.6861861127,6.7248174102,28500,0.0,1.0
MAA,2000-04-04 00:00:00+00:00,22.63,22.63,22.38,22.44,13500,6.7248174102,6.7248174102,6.6505264534,6.6683562831,13500,0.0,1.0
MAA,2000-04-05 00:00:00+00:00,22.75,22.81,22.5,22.56,28600,6.7604770695,6.7783068992,6.6861861127,6.7040159423,28600,0.0,1.0
MAA,2000-04-06 00:00:00+00:00,22.81,22.81,22.56,22.63,25400,6.7783068992,6.7783068992,6.7040159423,6.7248174102,25400,0.0,1.0
MAA,2000-04-07 00:00:00+00:00,23.0,23.0,22.63,22.69,7100,6.8347680263,6.8347680263,6.7248174102,6.7426472399,7100,0.0,1.0
MAA,2000-04-10 00:00:00+00:00,23.0,23.0,22.75,22.75,24800,6.8347680263,6.8347680263,6.7604770695,6.7604770695,24800,0.0,1.0
MAA,2000-04-11 00:00:00+00:00,23.25,23.25,22.88,22.88,39200,6.9090589831,6.9090589831,6.7991083671,6.7991083671,39200,0.0,1.0
MAA,2000-04-12 00:00:00+00:00,23.94,23.94,22.94,22.94,37300,7.1141020239,7.1141020239,6.8169381967,6.8169381967,37300,0.0,1.0
MAA,2000-04-13 00:00:00+00:00,24.13,24.13,23.56,23.69,8400,7.1705631511,7.1705631511,7.0011797696,7.0398110671,8400,0.0,1.0
MAA,2000-04-14 00:00:00+00:00,24.5,24.5,23.94,23.94,62500,7.2805137672,7.2805137672,7.1141020239,7.1141020239,62500,0.0,1.0
MAA,2000-04-17 00:00:00+00:00,24.5,24.5,23.75,24.06,40100,7.2805137672,7.2805137672,7.0576408967,7.1497616832,40100,0.0,1.0
MAA,2000-04-18 00:00:00+00:00,23.31,23.5,23.25,23.5,24400,7.0992438326,7.1571098269,7.0809703607,7.1571098269,24400,0.58,1.0
MAA,2000-04-19 00:00:00+00:00,23.56,23.56,23.44,23.44,11200,7.1753832988,7.1753832988,7.138836355,7.138836355,11200,0.0,1.0
MAA,2000-04-20 00:00:00+00:00,23.75,23.75,23.44,23.56,16700,7.2332492931,7.2332492931,7.138836355,7.1753832988,16700,0.0,1.0
MAA,2000-04-24 00:00:00+00:00,23.5,23.63,23.38,23.63,23600,7.1571098269,7.1967023494,7.1205628831,7.1967023494,23600,0.0,1.0
MAA,2000-04-25 00:00:00+00:00,23.44,23.56,23.25,23.56,18400,7.138836355,7.1753832988,7.0809703607,7.1753832988,18400,0.0,1.0
MAA,2000-04-26 00:00:00+00:00,23.5,23.56,23.25,23.44,28100,7.1571098269,7.1753832988,7.0809703607,7.138836355,28100,0.0,1.0
MAA,2000-04-27 00:00:00+00:00,23.69,23.69,23.38,23.63,13300,7.2149758213,7.2149758213,7.1205628831,7.1967023494,13300,0.0,1.0
