symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
MAS,2000-01-03 00:00:00+00:00,25.19,25.31,25.13,25.25,1650100,13.2307245585,13.2937530201,13.1992103277,13.2622387893,1873784,0.0,1.0
MAS,2000-01-04 00:00:00+00:00,24.56,25.06,23.25,24.38,1631800,12.8998251353,13.1624437252,12.2117644298,12.8052824429,1853004,0.0,1.0
MAS,2000-01-05 00:00:00+00:00,23.56,24.63,23.5,24.5,1023800,12.4376164171,13.0024826975,12.4059416724,12.933854084,1162584,0.12,1.0
MAS,2000-01-06 00:00:00+00:00,23.69,23.88,22.94,23.69,1542500,12.5062450306,12.6065483888,12.1103107219,12.5062450306,1751598,0.0,1.0
MAS,2000-01-07 00:00:00+00:00,24.56,25.19,23.75,24.0,1420200,12.9655288287,13.298113648,12.5379197753,12.6698978782,1612719,0.0,1.0
MAS,2000-01-10 00:00:00+00:00,23.88,24.5,23.5,24.44,1086800,12.6065483888,12.933854084,12.4059416724,12.9021793393,1234124,0.0,1.0
MAS,2000-01-11 00:00:00+00:00,23.38,24.13,23.38,23.63,578200,12.342592183,12.7385264917,12.342592183,12.4745702859,656579,0.0,1.0
MAS,2000-01-12 00:00:00+00:00,23.0,23.88,22.88,23.5,1136500,12.1419854666,12.6065483888,12.0786359772,12.4059416724,1290562,0.0,1.0
MAS,2000-01-13 00:00:00+00:00,22.94,23.75,22.81,23.38,1361700,12.1103107219,12.5379197753,12.0416821084,12.342592183,1546289,0.0,1.0
MAS,2000-01-14 00:00:00+00:00,23.13,23.25,21.88,22.81,1089800,12.2106140801,12.2739635695,11.5507235656,12.0416821084,1237531,0.0,1.0
MAS,2000-01-18 00:00:00+00:00,23.25,23.25,22.25,22.63,1270500,12.2739635695,12.2739635695,11.7460511579,11.9466578743,1442726,0.0,1.0
MAS,2000-01-19 00:00:00+00:00,23.44,24.25,23.25,24.25,1635400,12.3742669277,12.8018759811,12.2739635695,12.8018759811,1857092,0.0,1.0
MAS,2000-01-20 00:00:00+00:00,22.63,23.75,22.38,23.44,925000,11.9466578743,12.5379197753,11.8146797714,12.3742669277,1050391,0.0,1.0
MAS,2000-01-21 00:00:00+00:00,22.56,22.63,21.38,22.63,2043700,11.9097040055,11.9466578743,11.2867673598,11.9466578743,2320740,0.0,1.0
MAS,2000-01-24 00:00:00+00:00,19.94,22.25,19.94,22.13,2242300,10.5265734871,11.7460511579,10.5265734871,11.6827016685,2546262,0.0,1.0
MAS,2000-01-25 00:00:00+00:00,19.63,20.75,19.38,20.75,2097700,10.3629206395,10.9541825405,10.2309425366,10.9541825405,2382060,0.0,1.0
MAS,2000-01-26 00:00:00+00:00,19.69,20.0,19.5,19.94,2221500,10.3945953842,10.5582482318,10.294292026,10.5265734871,2522642,0.0,1.0
MAS,2000-01-27 00:00:00+00:00,20.56,20.69,19.88,20.25,1659000,10.8538791823,10.9225077958,10.4948987424,10.6902263347,1883891,0.0,1.0
MAS,2000-01-28 00:00:00+00:00,19.63,20.5,19.5,20.13,964300,10.3629206395,10.8222044376,10.294292026,10.6268768453,1095018,0.0,1.0
MAS,2000-01-31 00:00:00+00:00,19.94,20.25,19.44,19.63,777600,10.5265734871,10.6902263347,10.2626172813,10.3629206395,883010,0.0,1.0
MAS,2000-02-01 00:00:00+00:00,20.25,20.31,19.63,19.88,1074400,10.6902263347,10.7219010794,10.3629206395,10.4948987424,1220043,0.0,1.0
MAS,2000-02-02 00:00:00+00:00,20.0,20.25,19.5,20.25,967500,10.5582482318,10.6902263347,10.294292026,10.6902263347,1098652,0.0,1.0
MAS,2000-02-03 00:00:00+00:00,19.25,20.63,19.06,20.06,1616600,10.1623139231,10.8908330511,10.0620105649,10.5899229765,1835743,0.0,1.0
MAS,2000-02-04 00:00:00+00:00,18.5,19.5,18.13,18.5,2023000,9.7663796144,10.294292026,9.5710520221,9.7663796144,2297234,0.0,1.0
MAS,2000-02-07 00:00:00+00:00,18.75,18.81,18.0,18.5,1264000,9.8983577173,9.930032462,9.5024234086,9.7663796144,1435345,0.0,1.0
MAS,2000-02-08 00:00:00+00:00,18.31,19.25,18.0,18.69,1339900,9.6660762562,10.1623139231,9.5024234086,9.8666829726,1521534,0.0,1.0
MAS,2000-02-09 00:00:00+00:00,17.88,18.06,17.69,17.81,1942500,9.4390739192,9.5340981533,9.338770561,9.4021200504,2205822,0.0,1.0
MAS,2000-02-10 00:00:00+00:00,17.31,17.94,17.31,17.94,1924600,9.1381638446,9.4707486639,9.1381638446,9.4707486639,2185495,0.0,1.0
MAS,2000-02-11 00:00:00+00:00,17.25,17.56,17.06,17.5,2423500,9.1064890999,9.2701419475,9.0061857417,9.2384672028,2752025,0.0,1.0
MAS,2000-02-14 00:00:00+00:00,18.63,18.75,17.31,17.75,1572600,9.8350082279,9.8983577173,9.1381638446,9.3704453057,1785779,0.0,1.0
MAS,2000-02-15 00:00:00+00:00,19.63,19.81,18.44,19.0,1555800,10.3629206395,10.4579448736,9.7347048697,10.0303358202,1766701,0.0,1.0
MAS,2000-02-16 00:00:00+00:00,20.0,20.31,19.5,19.63,1779100,10.5582482318,10.7219010794,10.294292026,10.3629206395,2020271,0.0,1.0
MAS,2000-02-17 00:00:00+00:00,20.69,21.06,19.63,19.75,2279600,10.9225077958,11.1178353881,10.3629206395,10.4262701289,2588618,0.0,1.0
MAS,2000-02-18 00:00:00+00:00,19.81,20.5,19.56,20.5,1592700,10.4579448736,10.8222044376,10.3259667707,10.8222044376,1808603,0.0,1.0
MAS,2000-02-22 00:00:00+00:00,18.94,19.56,18.88,18.88,1798700,9.9986610755,10.3259667707,9.9669863308,9.9669863308,2042528,0.0,1.0
MAS,2000-02-23 00:00:00+00:00,18.75,19.19,18.69,18.88,1673100,9.8983577173,10.1306391784,9.8666829726,9.9669863308,1899902,0.0,1.0
MAS,2000-02-24 00:00:00+00:00,18.69,18.94,18.25,18.94,947200,9.8666829726,9.9986610755,9.6344015115,9.9986610755,1075600,0.0,1.0
MAS,2000-02-25 00:00:00+00:00,18.44,18.75,18.06,18.44,1273000,9.7347048697,9.8983577173,9.5340981533,9.7347048697,1445565,0.0,1.0
MAS,2000-02-28 00:00:00+00:00,18.06,18.75,18.06,18.75,1256300,9.5340981533,9.8983577173,9.5340981533,9.8983577173,1426601,0.0,1.0
MAS,2000-02-29 00:00:00+00:00,17.88,18.69,17.88,18.13,2491400,9.4390739192,9.8666829726,9.4390739192,9.5710520221,2829130,0.0,1.0
MAS,2000-03-01 00:00:00+00:00,18.19,18.63,17.75,17.75,2196100,9.6027267668,9.8350082279,9.3704453057,9.3704453057,2493799,0.0,1.0
MAS,2000-03-02 00:00:00+00:00,18.13,18.31,17.94,18.19,1904500,9.5710520221,9.6660762562,9.4707486639,9.6027267668,2162670,0.0,1.0
MAS,2000-03-03 00:00:00+00:00,17.63,18.19,17.56,17.56,1148700,9.3070958163,9.6027267668,9.2701419475,9.2701419475,1304415,0.0,1.0
MAS,2000-03-06 00:00:00+00:00,17.44,17.88,17.19,17.75,1001500,9.2067924581,9.4390739192,9.0748143552,9.3704453057,1137261,0.0,1.0
MAS,2000-03-07 00:00:00+00:00,18.13,18.38,17.56,17.75,1276500,9.5710520221,9.703030125,9.2701419475,9.3704453057,1449540,0.0,1.0
MAS,2000-03-08 00:00:00+00:00,19.0,19.5,17.38,17.5,1541000,10.0303358202,10.294292026,9.1751177134,9.2384672028,1749895,0.0,1.0
MAS,2000-03-09 00:00:00+00:00,18.25,18.88,18.0,18.25,1526700,9.6344015115,9.9669863308,9.5024234086,9.6344015115,1733656,0.0,1.0
MAS,2000-03-10 00:00:00+00:00,18.38,18.94,17.88,18.25,809900,9.703030125,9.9986610755,9.4390739192,9.6344015115,919688,0.0,1.0
MAS,2000-03-13 00:00:00+00:00,18.88,19.25,18.13,18.13,1008400,9.9669863308,10.1623139231,9.5710520221,9.5710520221,1145097,0.0,1.0
MAS,2000-03-14 00:00:00+00:00,18.5,18.75,17.56,18.5,1568800,9.7663796144,9.8983577173,9.2701419475,9.7663796144,1781463,0.0,1.0
MAS,2000-03-15 00:00:00+00:00,19.31,19.75,17.69,18.56,1368300,10.1939886678,10.4262701289,9.338770561,9.7980543591,1553784,0.0,1.0
MAS,2000-03-16 00:00:00+00:00,21.63,22.13,19.69,19.81,3209300,11.4187454627,11.6827016685,10.3945953842,10.4579448736,3644347,0.0,1.0
MAS,2000-03-17 00:00:00+00:00,22.0,22.25,20.69,21.75,2220000,11.614073055,11.7460511579,10.9225077958,11.4820949521,2520939,0.0,1.0
MAS,2000-03-20 00:00:00+00:00,22.44,22.69,21.69,22.0,1588100,11.8463545161,11.978332619,11.4504202074,11.614073055,1803380,0.0,1.0
MAS,2000-03-21 00:00:00+00:00,22.31,22.88,21.63,22.19,1375600,11.7777259026,12.0786359772,11.4187454627,11.7143764132,1562074,0.0,1.0
MAS,2000-03-22 00:00:00+00:00,21.75,22.56,21.38,22.31,1200800,11.4820949521,11.9097040055,11.2867673598,11.7777259026,1363578,0.0,1.0
MAS,2000-03-23 00:00:00+00:00,22.75,23.5,21.56,21.75,980300,12.0100073637,12.4059416724,11.3817915939,11.4820949521,1113187,0.0,1.0
MAS,2000-03-24 00:00:00+00:00,23.19,23.75,22.69,22.81,1105600,12.2422888248,12.5379197753,11.978332619,12.0416821084,1255473,0.0,1.0
MAS,2000-03-27 00:00:00+00:00,22.53,23.06,22.13,23.0,760900,11.8938666331,12.1736602113,11.6827016685,12.1419854666,864046,0.0,1.0
MAS,2000-03-28 00:00:00+00:00,22.0,22.94,21.63,22.5,1002800,11.614073055,12.1103107219,11.4187454627,11.8780292608,1138737,0.0,1.0
MAS,2000-03-29 00:00:00+00:00,21.69,22.5,21.63,22.25,921000,11.4504202074,11.8780292608,11.4187454627,11.7460511579,1045849,0.0,1.0
MAS,2000-03-30 00:00:00+00:00,21.75,22.38,21.63,21.75,748500,11.4820949521,11.8146797714,11.4187454627,11.4820949521,849965,0.0,1.0
