symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
MCHP,2000-01-03 00:00:00+00:00,68.13,69.38,64.88,68.53,866252,5.9091597737,6.0175767665,5.6272755926,5.9438532114,5847201,0.0,1.0
MCHP,2000-01-04 00:00:00+00:00,63.06,69.38,63.0,69.19,914785,5.4694204511,6.0175767665,5.4642164354,6.0010973836,6174798,0.0,1.0
MCHP,2000-01-05 00:00:00+00:00,63.25,64.63,61.0,63.75,637185,5.485899834,5.605592194,5.290749247,5.5292666311,4300998,0.0,1.0
MCHP,2000-01-06 00:00:00+00:00,61.88,63.63,60.38,62.56,729452,5.3670748099,5.5188585998,5.2369744186,5.426053654,4923801,0.0,1.0
MCHP,2000-01-07 00:00:00+00:00,60.25,62.31,58.75,62.31,1020830,5.2256990513,5.4043702554,5.09559866,5.4043702554,6890602,0.0,1.0
MCHP,2000-01-10 00:00:00+00:00,64.63,65.5,61.5,61.88,1223852,5.605592194,5.681050421,5.3341160441,5.3670748099,8261001,0.0,1.0
MCHP,2000-01-11 00:00:00+00:00,62.31,65.69,61.56,64.13,783052,5.4043702554,5.6975298039,5.3393200598,5.5622253969,5285601,0.0,1.0
MCHP,2000-01-12 00:00:00+00:00,67.31,68.5,62.5,63.13,1358844,5.8380382265,5.9412512036,5.4208496383,5.4754918027,9172197,0.0,1.0
MCHP,2000-01-13 00:00:00+00:00,71.25,71.5,67.25,69.38,1111763,6.1797685877,6.2014519862,5.8328342108,6.0175767665,7504400,0.0,1.0
MCHP,2000-01-14 00:00:00+00:00,66.69,72.75,66.5,72.25,2857363,5.7842633981,6.309868979,5.7677840152,6.2665021819,19287200,0.0,1.0
MCHP,2000-01-18 00:00:00+00:00,65.94,68.31,65.5,67.5,950163,5.7192132024,5.9247718207,5.681050421,5.8545176094,6413600,0.0,1.0
MCHP,2000-01-19 00:00:00+00:00,67.44,69.0,66.0,66.88,577363,5.8493135937,5.9846180007,5.7244172181,5.800742781,3897200,0.0,1.0
MCHP,2000-01-20 00:00:00+00:00,70.19,70.25,68.0,68.75,609867,6.0878309778,6.0930349935,5.8978844065,5.9629346022,4116602,0.0,1.0
MCHP,2000-01-21 00:00:00+00:00,66.25,70.31,65.88,70.31,914578,5.7461006166,6.0982390091,5.7140091868,6.0982390091,6173401,0.0,1.0
MCHP,2000-01-24 00:00:00+00:00,64.75,69.75,64.0,66.19,385600,5.6160002253,6.0496681964,5.5509500296,5.740896601,2602800,0.0,1.0
MCHP,2000-01-25 00:00:00+00:00,67.5,67.5,63.31,65.06,486252,5.8545176094,5.8545176094,5.4911038496,5.6428876395,3282201,0.0,1.0
MCHP,2000-01-26 00:00:00+00:00,64.38,68.63,63.5,67.56,428000,5.5839087954,5.9525265709,5.5075832325,5.859721625,2889000,0.0,1.0
MCHP,2000-01-27 00:00:00+00:00,62.13,67.69,61.13,64.81,811585,5.3887582085,5.8709969923,5.3020246143,5.621204241,5478198,0.0,1.0
MCHP,2000-01-28 00:00:00+00:00,58.19,62.13,56.5,62.0,858785,5.0470278473,5.3887582085,4.900448073,5.3774828412,5796798,0.0,1.0
MCHP,2000-01-31 00:00:00+00:00,62.88,62.88,56.25,58.13,886578,5.4538084041,5.4538084041,4.8787646745,5.0418238316,5984401,0.0,1.0
MCHP,2000-02-01 00:00:00+00:00,62.94,64.23,60.0,62.19,539585,5.4590124198,5.5708987563,5.2040156528,5.3939622241,3642198,0.0,1.0
MCHP,2000-02-02 00:00:00+00:00,64.25,65.5,61.56,63.25,365452,5.5726334282,5.681050421,5.3393200598,5.485899834,2466801,0.0,1.0
MCHP,2000-02-03 00:00:00+00:00,69.5,70.0,65.25,65.25,854963,6.0279847978,6.0713515949,5.6593670224,5.6593670224,5771000,0.0,1.0
