symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
MCK,2000-01-03 00:00:00+00:00,23.44,23.44,22.88,23.0,1810300,19.5073077372,19.5073077372,19.0412628424,19.1411296056,1810300,0.0,1.0
MCK,2000-01-04 00:00:00+00:00,21.94,23.13,21.75,23.13,1153400,18.2589731977,19.249318599,18.1008508227,19.249318599,1153400,0.0,1.0
MCK,2000-01-05 00:00:00+00:00,21.81,22.25,21.5,22.06,1309500,18.1507842043,18.5169623358,17.8927950661,18.3588399608,1309500,0.0,1.0
MCK,2000-01-06 00:00:00+00:00,23.75,24.25,22.06,22.13,2030600,19.7652968753,20.1814083885,18.3588399608,18.4170955727,2030600,0.0,1.0
MCK,2000-01-07 00:00:00+00:00,23.5,24.25,23.25,23.94,1195700,19.5572411188,20.1814083885,19.3491853622,19.9234192503,1195700,0.0,1.0
MCK,2000-01-10 00:00:00+00:00,24.0,25.88,24.0,25.5,2476300,19.9733526319,21.5379319214,19.9733526319,21.2216871714,2476300,0.0,1.0
MCK,2000-01-11 00:00:00+00:00,26.94,28.0,25.0,25.25,5369300,22.4200883293,23.3022447372,20.8055756582,21.0136314148,5369300,0.0,1.0
MCK,2000-01-12 00:00:00+00:00,25.94,27.44,25.5,27.44,2052200,21.587865303,22.8361998425,21.2216871714,22.8361998425,2052200,0.0,1.0
MCK,2000-01-13 00:00:00+00:00,26.38,26.69,25.63,26.0,1131500,21.9540434346,22.2120325727,21.3298761648,21.6377986846,1131500,0.0,1.0
MCK,2000-01-14 00:00:00+00:00,26.38,27.0,26.06,27.0,1055400,21.9540434346,22.4700217109,21.6877320662,22.4700217109,1055400,0.0,1.0
MCK,2000-01-18 00:00:00+00:00,26.81,27.0,25.94,26.31,1328700,22.3118993359,22.4700217109,21.587865303,21.8957878227,1328700,0.0,1.0
MCK,2000-01-19 00:00:00+00:00,26.19,26.88,26.0,26.63,889100,21.7959210596,22.3701549478,21.6377986846,22.1620991912,889100,0.0,1.0
MCK,2000-01-20 00:00:00+00:00,25.25,26.13,25.25,26.06,1538800,21.0136314148,21.745987678,21.0136314148,21.6877320662,1538800,0.0,1.0
MCK,2000-01-21 00:00:00+00:00,25.13,25.94,25.0,25.94,1622000,20.9137646517,21.587865303,20.8055756582,21.587865303,1622000,0.0,1.0
MCK,2000-01-24 00:00:00+00:00,24.88,25.38,24.81,25.13,799200,20.7057088951,21.1218204083,20.6474532832,20.9137646517,799200,0.0,1.0
MCK,2000-01-25 00:00:00+00:00,22.0,22.75,21.25,22.0,4931900,18.3089065793,18.933073849,17.6847393095,18.3089065793,4931900,0.0,1.0
MCK,2000-01-26 00:00:00+00:00,21.69,22.0,21.38,21.94,1739800,18.0509174411,18.3089065793,17.7929283029,18.2589731977,1739800,0.0,1.0
MCK,2000-01-27 00:00:00+00:00,20.88,21.94,20.13,21.88,3096400,17.3768167898,18.2589731977,16.75264952,18.2090398161,3096400,0.0,1.0
MCK,2000-01-28 00:00:00+00:00,20.13,20.94,20.13,20.94,1084000,16.75264952,17.4267501714,16.75264952,17.4267501714,1084000,0.0,1.0
MCK,2000-01-31 00:00:00+00:00,20.56,20.94,20.0,20.06,952200,17.1105054213,17.4267501714,16.6444605266,16.6943939082,952200,0.0,1.0
MCK,2000-02-01 00:00:00+00:00,20.88,21.06,20.5,20.88,1244000,17.3768167898,17.5266169345,17.0605720398,17.3768167898,1244000,0.0,1.0
MCK,2000-02-02 00:00:00+00:00,20.38,21.19,20.38,20.88,1533300,16.9607052766,17.6348059279,16.9607052766,17.3768167898,1533300,0.0,1.0
MCK,2000-02-03 00:00:00+00:00,20.56,20.94,20.38,20.75,1375500,17.1105054213,17.4267501714,16.9607052766,17.2686277963,1375500,0.0,1.0
MCK,2000-02-04 00:00:00+00:00,20.5,20.88,20.44,20.5,550300,17.0605720398,17.3768167898,17.0106386582,17.0605720398,550300,0.0,1.0
MCK,2000-02-07 00:00:00+00:00,20.31,20.69,20.25,20.5,574200,16.9024496648,17.2186944148,16.8525162832,17.0605720398,574200,0.0,1.0
MCK,2000-02-08 00:00:00+00:00,20.38,21.19,20.38,20.69,973700,16.9607052766,17.6348059279,16.9607052766,17.2186944148,973700,0.0,1.0
MCK,2000-02-09 00:00:00+00:00,20.38,20.56,20.25,20.44,918900,16.9607052766,17.1105054213,16.8525162832,17.0106386582,918900,0.0,1.0
