symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
MCO,2000-01-03 00:00:00+00:00,21.62,22.12,21.62,22.12,678400,6.3013927103,6.4471233466,6.3013927103,6.4471233466,1356800,0.0,1.0
MCO,2000-01-04 00:00:00+00:00,21.0,21.75,20.88,21.62,563300,6.1206867214,6.3392826757,6.0857113687,6.3013927103,1126600,0.0,1.0
MCO,2000-01-05 00:00:00+00:00,20.62,21.0,20.38,21.0,639400,6.0099314379,6.1206867214,5.9399807325,6.1206867214,1278800,0.0,1.0
MCO,2000-01-06 00:00:00+00:00,20.62,20.88,20.62,20.62,1071400,6.0099314379,6.0857113687,6.0099314379,6.0099314379,2142800,0.0,1.0
MCO,2000-01-07 00:00:00+00:00,21.12,21.25,21.0,21.0,1392100,6.1556620741,6.1935520395,6.1206867214,6.1206867214,2784200,0.0,1.0
MCO,2000-01-10 00:00:00+00:00,21.12,21.25,21.0,21.12,482100,6.1556620741,6.1935520395,6.1206867214,6.1556620741,964200,0.0,1.0
MCO,2000-01-11 00:00:00+00:00,21.38,21.5,21.12,21.12,828200,6.2314420049,6.2664173576,6.1556620741,6.1556620741,1656400,0.0,1.0
MCO,2000-01-12 00:00:00+00:00,21.25,21.5,21.25,21.38,859700,6.1935520395,6.2664173576,6.1935520395,6.2314420049,1719400,0.0,1.0
MCO,2000-01-13 00:00:00+00:00,21.62,21.88,21.38,21.38,473900,6.3013927103,6.3771726412,6.2314420049,6.2314420049,947800,0.0,1.0
MCO,2000-01-14 00:00:00+00:00,21.38,21.75,21.38,21.62,369700,6.2314420049,6.3392826757,6.2314420049,6.3013927103,739400,0.0,1.0
MCO,2000-01-18 00:00:00+00:00,20.88,21.25,20.88,21.25,401400,6.0857113687,6.1935520395,6.0857113687,6.1935520395,802800,0.0,1.0
MCO,2000-01-19 00:00:00+00:00,21.25,21.88,20.88,20.88,573000,6.1935520395,6.3771726412,6.0857113687,6.0857113687,1146000,0.0,1.0
MCO,2000-01-20 00:00:00+00:00,21.0,21.25,21.0,21.25,516400,6.1206867214,6.1935520395,6.1206867214,6.1935520395,1032800,0.0,1.0
MCO,2000-01-21 00:00:00+00:00,21.12,21.38,21.0,21.0,980700,6.1556620741,6.2314420049,6.1206867214,6.1206867214,1961400,0.0,1.0
MCO,2000-01-24 00:00:00+00:00,20.88,21.25,20.88,21.12,830500,6.0857113687,6.1935520395,6.0857113687,6.1556620741,1661000,0.0,1.0
MCO,2000-01-25 00:00:00+00:00,20.38,21.0,20.25,20.88,1289300,5.9399807325,6.1206867214,5.9020907671,6.0857113687,2578600,0.0,1.0
