symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
MDLZ,2001-06-13 00:00:00+00:00,31.25,32.0,31.09,31.5,69567200,12.0095460529,12.2977751582,11.9480571771,12.1056224213,69567200,0.0,1.0
MDLZ,2001-06-14 00:00:00+00:00,30.15,31.0,29.5,30.5,31979800,11.5868100318,11.9134696845,11.3370114739,11.7213169476,31979800,0.0,1.0
MDLZ,2001-06-15 00:00:00+00:00,30.6,30.75,29.95,30.0,14369300,11.759747495,11.8173933161,11.5099489371,11.5291642108,14369300,0.0,1.0
MDLZ,2001-06-18 00:00:00+00:00,30.32,30.6,30.06,30.5,4019800,11.6521419624,11.759747495,11.5522225392,11.7213169476,4019800,0.0,1.0
MDLZ,2001-06-19 00:00:00+00:00,30.4,30.71,30.21,30.6,5690300,11.6828864003,11.8020210971,11.6098683603,11.759747495,5690300,0.0,1.0
MDLZ,2001-06-20 00:00:00+00:00,30.3,30.59,30.18,30.4,3791600,11.6444558529,11.7559044403,11.5983391961,11.6828864003,3791600,0.0,1.0
MDLZ,2001-06-21 00:00:00+00:00,30.0,30.35,30.0,30.35,6027200,11.5291642108,11.6636711266,11.5291642108,11.6636711266,6027200,0.0,1.0
MDLZ,2001-06-22 00:00:00+00:00,30.0,30.02,29.76,30.0,4847700,11.5291642108,11.5368503203,11.4369308971,11.5291642108,4847700,0.0,1.0
MDLZ,2001-06-25 00:00:00+00:00,30.15,30.15,29.85,30.0,2420300,11.5868100318,11.5868100318,11.4715183897,11.5291642108,2420300,0.0,1.0
MDLZ,2001-06-26 00:00:00+00:00,30.04,30.08,29.81,30.0,3333300,11.5445364297,11.5599086487,11.4561461708,11.5291642108,3333300,0.0,1.0
MDLZ,2001-06-27 00:00:00+00:00,29.94,30.0,29.81,29.95,3182300,11.5061058824,11.5291642108,11.4561461708,11.5099489371,3182300,0.0,1.0
MDLZ,2001-06-28 00:00:00+00:00,30.41,30.44,29.97,29.98,2778100,11.686729455,11.6982586192,11.5176350466,11.5214781013,2778100,0.0,1.0
MDLZ,2001-06-29 00:00:00+00:00,31.0,31.0,30.33,30.5,5777800,11.9134696845,11.9134696845,11.6559850171,11.7213169476,5777800,0.0,1.0
MDLZ,2001-07-02 00:00:00+00:00,30.47,30.7,30.42,30.7,3167600,11.7097877834,11.7981780424,11.6905725097,11.7981780424,3167600,0.0,1.0
MDLZ,2001-07-03 00:00:00+00:00,30.56,30.64,30.42,30.46,608700,11.7443752761,11.775119714,11.6905725097,11.7059447287,608700,0.0,1.0
MDLZ,2001-07-05 00:00:00+00:00,30.93,31.03,30.63,30.75,2085500,11.8865683013,11.9249988487,11.7712766592,11.8173933161,2085500,0.0,1.0
MDLZ,2001-07-06 00:00:00+00:00,30.65,30.98,30.5,30.98,945300,11.7789627687,11.905783575,11.7213169476,11.905783575,945300,0.0,1.0
MDLZ,2001-07-09 00:00:00+00:00,30.38,30.74,30.25,30.6,2295300,11.6752002908,11.8135502613,11.6252405792,11.759747495,2295300,0.0,1.0
MDLZ,2001-07-10 00:00:00+00:00,30.35,30.85,30.28,30.45,3301300,11.6636711266,11.8558238634,11.6367697434,11.702101674,3301300,0.0,1.0
MDLZ,2001-07-11 00:00:00+00:00,30.3,30.36,30.0,30.36,2023000,11.6444558529,11.6675141813,11.5291642108,11.6675141813,2023000,0.0,1.0
MDLZ,2001-07-12 00:00:00+00:00,30.9,30.9,30.2,30.65,1912500,11.8750391371,11.8750391371,11.6060253055,11.7789627687,1912500,0.0,1.0
MDLZ,2001-07-13 00:00:00+00:00,30.73,30.98,30.46,30.9,995400,11.8097072066,11.905783575,11.7059447287,11.8750391371,995400,0.0,1.0
MDLZ,2001-07-16 00:00:00+00:00,30.71,31.01,30.65,30.73,1198100,11.8020210971,11.9173127392,11.7789627687,11.8097072066,1198100,0.0,1.0
MDLZ,2001-07-17 00:00:00+00:00,31.45,31.45,30.85,30.89,3792700,12.0864071476,12.0864071476,11.8558238634,11.8711960824,3792700,0.0,1.0
MDLZ,2001-07-18 00:00:00+00:00,31.49,31.5,30.8,31.45,5645100,12.1017793666,12.1056224213,11.8366085897,12.0864071476,5645100,0.0,1.0
MDLZ,2001-07-19 00:00:00+00:00,31.32,31.74,30.19,31.74,3326000,12.0364474361,12.197855735,11.6021822508,12.197855735,3326000,0.0,1.0
MDLZ,2001-07-20 00:00:00+00:00,31.2,31.34,31.01,31.25,1390900,11.9903307792,12.0441335455,11.9173127392,12.0095460529,1390900,0.0,1.0
MDLZ,2001-07-23 00:00:00+00:00,31.0,31.19,30.92,31.1,1756000,11.9134696845,11.9864877245,11.8827252466,11.9519002319,1756000,0.0,1.0
