symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
META,2012-05-18 00:00:00+00:00,38.2318,45.0,38.0,42.05,573576400,38.2318,45.0,38.0,42.05,573576400,0.0,1.0
META,2012-05-21 00:00:00+00:00,34.03,36.66,33.0,36.53,168192700,34.03,36.66,33.0,36.53,168192700,0.0,1.0
META,2012-05-22 00:00:00+00:00,31.0,33.59,30.94,32.61,101786600,31.0,33.59,30.94,32.61,101786600,0.0,1.0
META,2012-05-23 00:00:00+00:00,32.0,32.5,31.36,31.37,73600000,32.0,32.5,31.36,31.37,73600000,0.0,1.0
META,2012-05-24 00:00:00+00:00,33.03,33.21,31.77,32.95,50237200,33.03,33.21,31.77,32.95,50237200,0.0,1.0
META,2012-05-25 00:00:00+00:00,31.91,32.95,31.11,32.9,37149800,31.91,32.95,31.11,32.9,37149800,0.0,1.0
META,2012-05-29 00:00:00+00:00,28.84,31.69,28.65,31.48,78063400,28.84,31.69,28.65,31.48,78063400,0.0,1.0
META,2012-05-30 00:00:00+00:00,28.19,29.55,27.86,28.695,57267900,28.19,29.55,27.86,28.695,57267900,0.0,1.0
META,2012-05-31 00:00:00+00:00,29.6,29.67,26.83,28.545,111639200,29.6,29.67,26.83,28.545,111639200,0.0,1.0
META,2012-06-01 00:00:00+00:00,27.72,29.15,27.39,28.892,41855500,27.72,29.15,27.39,28.892,41855500,0.0,1.0
META,2012-06-04 00:00:00+00:00,26.9,27.65,26.44,27.2,35230300,26.9,27.65,26.44,27.2,35230300,0.0,1.0
META,2012-06-05 00:00:00+00:00,25.869,27.76,25.75,26.7,42473400,25.869,27.76,25.75,26.7,42473400,0.0,1.0
META,2012-06-06 00:00:00+00:00,26.81,27.17,25.52,26.07,61489200,26.81,27.17,25.52,26.07,61489200,0.0,1.0
META,2012-06-07 00:00:00+00:00,26.31,27.35,26.15,27.0,26159500,26.31,27.35,26.15,27.0,26159500,0.0,1.0
META,2012-06-08 00:00:00+00:00,27.1,27.76,26.44,26.55,38034000,27.1,27.76,26.44,26.55,38034000,0.0,1.0
META,2012-06-11 00:00:00+00:00,27.005,28.07,26.835,27.18,28219600,27.005,28.07,26.835,27.18,28219600,0.0,1.0
META,2012-06-12 00:00:00+00:00,27.4,27.77,26.96,27.48,15816800,27.4,27.77,26.96,27.48,15816800,0.0,1.0
META,2012-06-13 00:00:00+00:00,27.27,28.1,27.1,27.66,17102800,27.27,28.1,27.1,27.66,17102800,0.0,1.0
META,2012-06-14 00:00:00+00:00,28.29,28.32,27.38,27.65,16855000,28.29,28.32,27.38,27.65,16855000,0.0,1.0
META,2012-06-15 00:00:00+00:00,30.014,30.1,28.35,28.505,43563800,30.014,30.1,28.35,28.505,43563800,0.0,1.0
META,2012-06-18 00:00:00+00:00,31.41,32.08,29.41,29.955,42978900,31.41,32.08,29.41,29.955,42978900,0.0,1.0
META,2012-06-19 00:00:00+00:00,31.911,32.18,30.7,31.535,30849000,31.911,32.18,30.7,31.535,30849000,0.0,1.0
META,2012-06-20 00:00:00+00:00,31.6,31.9288,31.15,31.92,15553600,31.6,31.9288,31.15,31.92,15553600,0.0,1.0
META,2012-06-21 00:00:00+00:00,31.84,32.5,31.51,31.67,21875300,31.84,32.5,31.51,31.67,21875300,0.0,1.0
META,2012-06-22 00:00:00+00:00,33.05,33.45,32.06,32.41,74834000,33.05,33.45,32.06,32.41,74834000,0.0,1.0
META,2012-06-25 00:00:00+00:00,32.06,33.02,31.55,32.86,24352900,32.06,33.02,31.55,32.86,24352900,0.0,1.0
META,2012-06-26 00:00:00+00:00,33.1,33.44,32.5,32.69,24858700,33.1,33.44,32.5,32.69,24858700,0.0,1.0
META,2012-06-27 00:00:00+00:00,32.23,32.9,31.9,32.46,28568000,32.23,32.9,31.9,32.46,28568000,0.0,1.0
META,2012-06-28 00:00:00+00:00,31.36,32.19,30.9,31.96,17713300,31.36,32.19,30.9,31.96,17713300,0.0,1.0
META,2012-06-29 00:00:00+00:00,31.095,31.99,30.76,31.92,19526900,31.095,31.99,30.76,31.92,19526900,0.0,1.0
META,2012-07-02 00:00:00+00:00,30.771,31.73,30.55,31.25,14122000,30.771,31.73,30.55,31.25,14122000,0.0,1.0
META,2012-07-03 00:00:00+00:00,31.2,31.44,30.8,30.91,8763600,31.2,31.44,30.8,30.91,8763600,0.0,1.0
META,2012-07-05 00:00:00+00:00,31.47,31.625,31.02,31.32,10032100,31.47,31.625,31.02,31.32,10032100,0.0,1.0
META,2012-07-06 00:00:00+00:00,31.73,31.9,31.26,31.44,10945600,31.73,31.9,31.26,31.44,10945600,0.0,1.0
META,2012-07-09 00:00:00+00:00,32.17,32.88,31.99,32.1,17785200,32.17,32.88,31.99,32.1,17785200,0.0,1.0
META,2012-07-10 00:00:00+00:00,31.47,32.48,31.1599,32.43,14269500,31.47,32.48,31.1599,32.43,14269500,0.0,1.0
META,2012-07-11 00:00:00+00:00,30.97,31.56,30.55,31.48,13030300,30.97,31.56,30.55,31.48,13030300,0.0,1.0
META,2012-07-12 00:00:00+00:00,30.81,31.4,30.6,30.7,11300700,30.81,31.4,30.6,30.7,11300700,0.0,1.0
META,2012-07-13 00:00:00+00:00,30.72,31.07,30.56,31.04,8108300,30.72,31.07,30.56,31.04,8108300,0.0,1.0
META,2012-07-16 00:00:00+00:00,28.245,30.5,28.21,30.5,24672100,28.245,30.5,28.21,30.5,24672100,0.0,1.0
META,2012-07-17 00:00:00+00:00,28.09,28.59,27.15,28.48,30438600,28.09,28.59,27.15,28.48,30438600,0.0,1.0
META,2012-07-18 00:00:00+00:00,29.11,29.29,28.15,28.31,16841800,29.11,29.29,28.15,28.31,16841800,0.0,1.0
META,2012-07-19 00:00:00+00:00,29.0,29.5,28.63,29.41,13685100,29.0,29.5,28.63,29.41,13685100,0.0,1.0
META,2012-07-20 00:00:00+00:00,28.76,29.47,28.72,29.0,11869100,28.76,29.47,28.72,29.0,11869100,0.0,1.0
META,2012-07-23 00:00:00+00:00,28.75,29.0,28.01,28.12,12390700,28.75,29.0,28.01,28.12,12390700,0.0,1.0
META,2012-07-24 00:00:00+00:00,28.45,29.45,28.1,28.82,11539800,28.45,29.45,28.1,28.82,11539800,0.0,1.0
META,2012-07-25 00:00:00+00:00,29.34,29.49,28.08,28.39,17230200,29.34,29.49,28.08,28.39,17230200,0.0,1.0
META,2012-07-26 00:00:00+00:00,26.845,28.23,26.73,27.75,64597400,26.845,28.23,26.73,27.75,64597400,0.0,1.0
