symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
MGM,2000-01-03 00:00:00+00:00,47.25,50.31,47.19,50.31,255500,9.3887755096,9.996810495,9.376853255,9.996810495,1022000,0.0,1.0
MGM,2000-01-04 00:00:00+00:00,46.81,47.69,46.25,47.25,102000,9.3013456424,9.4762053768,9.190071266,9.3887755096,408000,0.0,1.0
MGM,2000-01-05 00:00:00+00:00,46.06,46.75,45.75,46.75,125400,9.1523174597,9.2894233878,9.0907191442,9.2894233878,501600,0.0,1.0
MGM,2000-01-06 00:00:00+00:00,47.75,48.0,44.81,45.25,335300,9.4881276314,9.5378036923,8.9039371552,8.9913670224,1341200,0.0,1.0
MGM,2000-01-07 00:00:00+00:00,47.25,48.38,47.25,47.75,115600,9.3887755096,9.6133113049,9.3887755096,9.4881276314,462400,0.0,1.0
MGM,2000-01-10 00:00:00+00:00,48.31,48.75,46.0,47.38,157100,9.5994020078,9.686831875,9.1403952051,9.4146070613,628400,0.0,1.0
MGM,2000-01-11 00:00:00+00:00,45.88,48.38,45.88,48.38,147300,9.1165506959,9.6133113049,9.1165506959,9.6133113049,589200,0.0,1.0
MGM,2000-01-12 00:00:00+00:00,46.75,47.25,44.75,45.94,343100,9.2894233878,9.3887755096,8.8920149006,9.1284729505,1372400,0.0,1.0
MGM,2000-01-13 00:00:00+00:00,45.63,46.94,45.56,46.88,154300,9.066874635,9.3271771941,9.0529653379,9.3152549395,617200,0.0,1.0
MGM,2000-01-14 00:00:00+00:00,46.13,46.63,45.5,45.88,84000,9.1662267568,9.2655788786,9.0410430833,9.1165506959,336000,0.0,1.0
MGM,2000-01-18 00:00:00+00:00,46.13,46.75,45.63,46.38,97300,9.1662267568,9.2894233878,9.066874635,9.2159028177,389200,0.0,1.0
MGM,2000-01-19 00:00:00+00:00,47.56,47.63,45.75,45.88,277900,9.4503738251,9.4642831222,9.0907191442,9.1165506959,1111600,0.0,1.0
MGM,2000-01-20 00:00:00+00:00,47.44,49.56,47.38,48.75,549000,9.4265293159,9.8477823123,9.4146070613,9.686831875,2196000,0.0,1.0
MGM,2000-01-21 00:00:00+00:00,46.06,46.5,44.75,46.5,483600,9.1523174597,9.2397473269,8.8920149006,9.2397473269,1934400,0.0,1.0
MGM,2000-01-24 00:00:00+00:00,43.81,46.56,43.63,46.25,186800,8.7052329117,9.2516695815,8.6694661478,9.190071266,747200,0.0,1.0
MGM,2000-01-25 00:00:00+00:00,43.5,43.81,42.94,43.81,360400,8.6436345961,8.7052329117,8.5323602197,8.7052329117,1441600,0.0,1.0
MGM,2000-01-26 00:00:00+00:00,43.13,43.94,43.0,43.94,193600,8.570114026,8.7310644633,8.5442824743,8.7310644633,774400,0.0,1.0
MGM,2000-01-27 00:00:00+00:00,41.94,43.31,41.38,43.06,509400,8.3336559761,8.6058807899,8.2223815997,8.556204729,2037600,0.0,1.0
MGM,2000-01-28 00:00:00+00:00,41.56,42.63,41.38,41.88,424500,8.2581483636,8.4707619042,8.2223815997,8.3217337215,1698000,0.0,1.0
MGM,2000-01-31 00:00:00+00:00,41.38,42.06,41.25,41.69,273100,8.2223815997,8.3575004854,8.1965500481,8.2839799152,1092400,0.0,1.0
MGM,2000-02-01 00:00:00+00:00,42.88,43.44,42.13,42.25,414600,8.5204379651,8.6317123415,8.3714097824,8.3952542917,1658400,0.0,1.0
MGM,2000-02-02 00:00:00+00:00,42.5,43.44,42.38,42.63,289600,8.4449303526,8.6317123415,8.4210858433,8.4707619042,1158400,0.0,1.0
MGM,2000-02-03 00:00:00+00:00,42.13,42.94,42.06,42.75,83500,8.3714097824,8.5323602197,8.3575004854,8.4946064135,334000,0.0,1.0
MGM,2000-02-04 00:00:00+00:00,44.31,44.31,42.56,42.56,282600,8.8045850335,8.8045850335,8.4568526072,8.4568526072,1130400,0.0,1.0
MGM,2000-02-07 00:00:00+00:00,42.56,44.13,42.38,44.13,158700,8.4568526072,8.7688182696,8.4210858433,8.7688182696,634800,0.0,1.0
MGM,2000-02-08 00:00:00+00:00,42.81,43.75,42.75,42.88,170500,8.5263990924,8.713617386,8.5144489886,8.5403408802,682000,0.1,1.0
MGM,2000-02-09 00:00:00+00:00,42.38,43.25,42.25,43.06,110600,8.4407566815,8.6140331873,8.4148647899,8.5761911918,442400,0.0,1.0
MGM,2000-02-10 00:00:00+00:00,42.63,42.69,42.0,42.56,47300,8.4905487809,8.5024988847,8.3650726905,8.4766069931,189200,0.0,1.0
MGM,2000-02-11 00:00:00+00:00,42.19,43.0,42.19,42.69,81800,8.402914686,8.5642410879,8.402914686,8.5024988847,327200,0.0,1.0
MGM,2000-02-14 00:00:00+00:00,42.13,42.88,42.0,42.38,88900,8.3909645822,8.5403408802,8.3650726905,8.4407566815,355600,0.0,1.0
MGM,2000-02-15 00:00:00+00:00,42.19,42.44,41.5,42.13,325800,8.402914686,8.4527067854,8.2654884918,8.3909645822,1303200,0.0,1.0
MGM,2000-02-16 00:00:00+00:00,42.0,42.44,41.75,42.0,187100,8.3650726905,8.4527067854,8.3152805912,8.3650726905,748400,0.0,1.0
MGM,2000-02-17 00:00:00+00:00,43.25,43.69,41.88,41.88,118500,8.6140331873,8.7016672821,8.3411724829,8.3411724829,474000,0.0,1.0
MGM,2000-02-18 00:00:00+00:00,42.19,43.25,41.81,43.25,393100,8.402914686,8.6140331873,8.327230695,8.6140331873,1572400,0.0,1.0
MGM,2000-02-22 00:00:00+00:00,40.38,42.13,40.13,42.13,133900,8.0424198868,8.3909645822,7.9926277874,8.3909645822,535600,0.0,1.0
MGM,2000-02-23 00:00:00+00:00,41.81,42.06,38.5,39.13,858700,8.327230695,8.3770227944,7.6679832997,7.79345939,3434800,0.0,1.0
MGM,2000-02-24 00:00:00+00:00,41.44,42.13,38.75,42.06,745900,8.253538388,8.3909645822,7.717775399,8.3770227944,2983600,0.0,1.0
MGM,2000-02-25 00:00:00+00:00,39.19,41.19,39.0,41.19,453600,7.8054094939,8.2037462886,7.7675674984,8.2037462886,1814400,0.0,1.0
MGM,2000-02-28 00:00:00+00:00,20.19,20.5,19.31,19.81,183000,8.0424198868,8.1659042931,7.6918835073,7.8910519047,366000,0.0,2.0
MGM,2000-02-29 00:00:00+00:00,19.88,20.5,19.56,20.19,283500,7.9189354804,8.1659042931,7.791467706,8.0424198868,567000,0.0,1.0
MGM,2000-03-01 00:00:00+00:00,19.0,19.81,18.63,19.75,472300,7.568399101,7.8910519047,7.4210144869,7.8671516971,944600,0.0,1.0
MGM,2000-03-02 00:00:00+00:00,19.0,19.19,18.44,18.5,580500,7.568399101,7.644083092,7.3453304959,7.3692307036,1161000,0.0,1.0
MGM,2000-03-03 00:00:00+00:00,19.0,19.63,18.75,19.5,189700,7.568399101,7.8193512817,7.4688149023,7.7675674984,379400,0.0,1.0
MGM,2000-03-06 00:00:00+00:00,19.5,20.69,19.25,20.5,808300,7.7675674984,8.2415882842,7.6679832997,8.1659042931,1616600,0.0,1.0
MGM,2000-03-07 00:00:00+00:00,19.63,19.75,19.0,19.75,866000,7.8193512817,7.8671516971,7.568399101,7.8671516971,1732000,0.0,1.0
MGM,2000-03-08 00:00:00+00:00,19.25,19.75,18.81,19.75,449500,7.6679832997,7.8671516971,7.49271511,7.8671516971,899000,0.0,1.0
MGM,2000-03-09 00:00:00+00:00,20.13,20.25,19.0,19.25,701200,8.0185196791,8.0663200944,7.568399101,7.6679832997,1402400,0.0,1.0
MGM,2000-03-10 00:00:00+00:00,20.19,20.38,19.69,20.0,471500,8.0424198868,8.1181038778,7.8432514894,7.9667358957,943000,0.0,1.0
MGM,2000-03-13 00:00:00+00:00,19.5,20.06,19.25,20.06,464300,7.7675674984,7.9906361034,7.6679832997,7.9906361034,928600,0.0,1.0
MGM,2000-03-14 00:00:00+00:00,19.0,19.5,18.88,19.44,448800,7.568399101,7.7675674984,7.5205986856,7.7436672907,897600,0.0,1.0
MGM,2000-03-15 00:00:00+00:00,20.19,20.38,19.13,19.25,879900,8.0424198868,8.1181038778,7.6201828843,7.6679832997,1759800,0.0,1.0
MGM,2000-03-16 00:00:00+00:00,22.5,22.5,20.13,20.38,901100,8.9625778827,8.9625778827,8.0185196791,8.1181038778,1802200,0.0,1.0
MGM,2000-03-17 00:00:00+00:00,21.56,22.63,21.31,22.25,787700,8.5881412956,9.014361666,8.4885570969,8.862993684,1575400,0.0,1.0
MGM,2000-03-20 00:00:00+00:00,22.5,22.63,20.81,21.63,538700,8.9625778827,9.014361666,8.2893886995,8.6160248713,1077400,0.0,1.0
MGM,2000-03-21 00:00:00+00:00,22.31,22.63,22.06,22.63,305000,8.8868938917,9.014361666,8.787309693,9.014361666,610000,0.0,1.0
MGM,2000-03-22 00:00:00+00:00,22.31,22.69,21.63,22.38,311200,8.8868938917,9.0382618737,8.6160248713,8.9147774673,622400,0.0,1.0
MGM,2000-03-23 00:00:00+00:00,21.0,22.06,21.0,22.0,444000,8.3650726905,8.787309693,8.3650726905,8.7634094853,888000,0.0,1.0
MGM,2000-03-24 00:00:00+00:00,21.0,21.12,20.75,21.12,385100,8.3650726905,8.4128731059,8.2654884918,8.4128731059,770200,0.0,1.0
MGM,2000-03-27 00:00:00+00:00,20.5,21.0,20.25,21.0,932500,8.1659042931,8.3650726905,8.0663200944,8.3650726905,1865000,0.0,1.0
MGM,2000-03-28 00:00:00+00:00,21.94,22.13,20.0,20.25,1641200,8.7395092776,8.8151932686,7.9667358957,8.0663200944,3282400,0.0,1.0
MGM,2000-03-29 00:00:00+00:00,23.19,24.13,22.81,24.0,1973200,9.2374302711,9.6118668582,9.0860622891,9.5600830749,3946400,0.0,1.0
MGM,2000-03-30 00:00:00+00:00,22.94,23.0,22.06,22.88,845800,9.1378460724,9.1617462801,8.787309693,9.1139458647,1691600,0.0,1.0
