symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
MHK,2000-01-03 00:00:00+00:00,24.56,26.0,23.88,26.0,159500,24.56,26.0,23.88,26.0,159500,0.0,1.0
MHK,2000-01-04 00:00:00+00:00,24.0,24.88,23.88,24.81,160600,24.0,24.88,23.88,24.81,160600,0.0,1.0
MHK,2000-01-05 00:00:00+00:00,24.44,24.5,23.63,24.06,80400,24.44,24.5,23.63,24.06,80400,0.0,1.0
MHK,2000-01-06 00:00:00+00:00,24.31,24.75,24.0,24.44,105300,24.31,24.75,24.0,24.44,105300,0.0,1.0
MHK,2000-01-07 00:00:00+00:00,24.63,24.63,24.0,24.19,53700,24.63,24.63,24.0,24.19,53700,0.0,1.0
MHK,2000-01-10 00:00:00+00:00,24.81,24.88,24.19,24.81,60000,24.81,24.88,24.19,24.81,60000,0.0,1.0
MHK,2000-01-11 00:00:00+00:00,24.38,25.25,24.38,25.0,99100,24.38,25.25,24.38,25.0,99100,0.0,1.0
MHK,2000-01-12 00:00:00+00:00,23.5,24.63,23.44,24.63,105600,23.5,24.63,23.44,24.63,105600,0.0,1.0
MHK,2000-01-13 00:00:00+00:00,24.38,24.38,23.81,23.81,236100,24.38,24.38,23.81,23.81,236100,0.0,1.0
MHK,2000-01-14 00:00:00+00:00,25.0,25.44,24.31,24.31,387100,25.0,25.44,24.31,24.31,387100,0.0,1.0
MHK,2000-01-18 00:00:00+00:00,24.75,24.94,24.75,24.88,96300,24.75,24.94,24.75,24.88,96300,0.0,1.0
MHK,2000-01-19 00:00:00+00:00,24.88,25.0,24.75,24.75,146400,24.88,25.0,24.75,24.75,146400,0.0,1.0
MHK,2000-01-20 00:00:00+00:00,23.56,24.94,23.5,24.88,132000,23.56,24.94,23.5,24.88,132000,0.0,1.0
MHK,2000-01-21 00:00:00+00:00,23.69,23.81,23.63,23.69,105400,23.69,23.81,23.63,23.69,105400,0.0,1.0
MHK,2000-01-24 00:00:00+00:00,23.56,23.94,23.56,23.69,57500,23.56,23.94,23.56,23.69,57500,0.0,1.0
MHK,2000-01-25 00:00:00+00:00,22.25,23.63,22.13,23.63,243800,22.25,23.63,22.13,23.63,243800,0.0,1.0
MHK,2000-01-26 00:00:00+00:00,22.31,22.69,21.19,22.0,290600,22.31,22.69,21.19,22.0,290600,0.0,1.0
MHK,2000-01-27 00:00:00+00:00,22.69,22.94,22.31,22.38,215900,22.69,22.94,22.31,22.38,215900,0.0,1.0
MHK,2000-01-28 00:00:00+00:00,23.06,23.38,22.69,22.75,213200,23.06,23.38,22.69,22.75,213200,0.0,1.0
MHK,2000-01-31 00:00:00+00:00,23.44,23.75,22.88,22.88,320600,23.44,23.75,22.88,22.88,320600,0.0,1.0
MHK,2000-02-01 00:00:00+00:00,23.56,23.69,23.44,23.44,371300,23.56,23.69,23.44,23.44,371300,0.0,1.0
MHK,2000-02-02 00:00:00+00:00,23.38,23.69,22.81,23.56,191200,23.38,23.69,22.81,23.56,191200,0.0,1.0
MHK,2000-02-03 00:00:00+00:00,23.25,24.06,23.06,23.56,211000,23.25,24.06,23.06,23.56,211000,0.0,1.0
MHK,2000-02-04 00:00:00+00:00,23.31,23.56,23.19,23.19,68600,23.31,23.56,23.19,23.19,68600,0.0,1.0
MHK,2000-02-07 00:00:00+00:00,22.81,23.5,22.75,23.38,33500,22.81,23.5,22.75,23.38,33500,0.0,1.0
MHK,2000-02-08 00:00:00+00:00,22.63,22.88,22.25,22.88,106000,22.63,22.88,22.25,22.88,106000,0.0,1.0
MHK,2000-02-09 00:00:00+00:00,21.75,22.63,21.31,22.5,169600,21.75,22.63,21.31,22.5,169600,0.0,1.0
MHK,2000-02-10 00:00:00+00:00,22.19,22.19,21.75,21.81,200700,22.19,22.19,21.75,21.81,200700,0.0,1.0
MHK,2000-02-11 00:00:00+00:00,21.81,22.06,21.56,22.06,171200,21.81,22.06,21.56,22.06,171200,0.0,1.0
MHK,2000-02-14 00:00:00+00:00,22.38,22.75,21.81,21.81,368300,22.38,22.75,21.81,21.81,368300,0.0,1.0
