symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
MKC,2000-01-03 00:00:00+00:00,27.94,30.0,27.37,30.0,208200,4.3994136167,4.7237798318,4.3096617999,4.7237798318,832800,0.0,1.0
MKC,2000-01-04 00:00:00+00:00,28.31,28.37,27.56,27.87,64900,4.457673568,4.4671211276,4.3395790722,4.3883914638,259600,0.0,1.0
MKC,2000-01-05 00:00:00+00:00,28.56,28.69,27.81,28.06,114800,4.4970383999,4.5175081125,4.3789439041,4.418308736,459200,0.0,1.0
MKC,2000-01-06 00:00:00+00:00,28.19,28.44,27.31,28.31,75400,4.4387784486,4.4781432806,4.3002142402,4.457673568,301600,0.0,1.0
MKC,2000-01-07 00:00:00+00:00,28.06,28.31,27.87,28.06,40400,4.418308736,4.457673568,4.3883914638,4.418308736,161600,0.0,1.0
MKC,2000-01-10 00:00:00+00:00,26.81,27.81,26.75,27.81,114100,4.2214845764,4.3789439041,4.2120370167,4.3789439041,456400,0.0,1.0
MKC,2000-01-11 00:00:00+00:00,26.62,27.37,26.56,26.87,162100,4.1915673041,4.3096617999,4.1821197444,4.230932136,648400,0.0,1.0
MKC,2000-01-12 00:00:00+00:00,26.62,26.75,25.12,26.37,206600,4.1915673041,4.2120370167,3.9553783125,4.1522024722,826400,0.0,1.0
MKC,2000-01-13 00:00:00+00:00,27.25,28.37,26.87,26.87,259900,4.2907666806,4.4671211276,4.230932136,4.230932136,1039600,0.0,1.0
MKC,2000-01-14 00:00:00+00:00,27.5,28.12,27.37,27.37,248800,4.3301315125,4.4277562957,4.3096617999,4.3096617999,995200,0.0,1.0
MKC,2000-01-18 00:00:00+00:00,26.0,27.62,26.0,27.5,255100,4.0939425209,4.3490266318,4.0939425209,4.3301315125,1020400,0.0,1.0
MKC,2000-01-19 00:00:00+00:00,25.44,26.19,24.75,26.0,240100,4.0057652974,4.1238597932,3.8971183612,4.0939425209,960400,0.0,1.0
MKC,2000-01-20 00:00:00+00:00,25.12,25.44,25.0,25.37,110900,3.9553783125,4.0057652974,3.9364831932,3.9947431444,443600,0.0,1.0
MKC,2000-01-21 00:00:00+00:00,25.0,25.44,24.56,25.37,133700,3.9364831932,4.0057652974,3.867201089,3.9947431444,534800,0.0,1.0
MKC,2000-01-24 00:00:00+00:00,24.12,25.06,23.81,24.87,209700,3.7979189848,3.9459307528,3.7491065932,3.9160134806,838800,0.0,1.0
MKC,2000-01-25 00:00:00+00:00,24.06,24.62,23.75,24.25,204100,3.7884714251,3.8766486486,3.7396590335,3.8183886974,816400,0.0,1.0
MKC,2000-01-26 00:00:00+00:00,24.62,25.87,24.25,24.25,411800,3.8766486486,4.0734728083,3.8183886974,3.8183886974,1647200,0.0,1.0
MKC,2000-01-27 00:00:00+00:00,25.37,26.25,25.19,25.37,194800,3.9947431444,4.1333073528,3.9664004654,3.9947431444,779200,0.0,1.0
MKC,2000-01-28 00:00:00+00:00,25.87,26.0,24.75,25.25,184500,4.0734728083,4.0939425209,3.8971183612,3.9758480251,738000,0.0,1.0
MKC,2000-01-31 00:00:00+00:00,26.44,26.69,25.75,25.75,119900,4.1632246251,4.202589457,4.054577689,4.054577689,479600,0.0,1.0
MKC,2000-02-01 00:00:00+00:00,26.19,26.5,25.44,26.5,106600,4.1238597932,4.1726721848,4.0057652974,4.1726721848,426400,0.0,1.0
MKC,2000-02-02 00:00:00+00:00,24.75,26.06,24.31,26.0,156700,3.8971183612,4.1033900806,3.827836257,4.0939425209,626800,0.0,1.0
MKC,2000-02-03 00:00:00+00:00,26.0,26.25,25.12,25.25,272600,4.0939425209,4.1333073528,3.9553783125,3.9758480251,1090400,0.0,1.0
