symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
MKTX,2004-11-05 00:00:00+00:00,17.49,17.61,12.75,12.75,8150300,14.6789829737,14.7796964075,10.7008023393,10.7008023393,8150300,0.0,1.0
MKTX,2004-11-08 00:00:00+00:00,18.7,18.88,16.5,17.13,1113400,15.6945100977,15.8455802483,13.848097145,14.3768426724,1113400,0.0,1.0
MKTX,2004-11-09 00:00:00+00:00,18.57,19.6,17.32,18.74,521600,15.5854038777,16.449860851,14.5363056092,15.7280812423,521600,0.0,1.0
MKTX,2004-11-10 00:00:00+00:00,20.15,21.24,18.02,18.35,709500,16.9114640892,17.8262777794,15.1238006396,15.4007625825,709500,0.0,1.0
MKTX,2004-11-11 00:00:00+00:00,21.0,24.409,20.37,20.7,1757100,17.6248509118,20.4859517098,17.0961053845,17.3730673274,1757100,0.0,1.0
MKTX,2004-11-12 00:00:00+00:00,21.4,22.5,21.0,22.149,580900,17.9605623578,18.8837688341,17.6248509118,18.5891820403,580900,0.0,1.0
MKTX,2004-11-15 00:00:00+00:00,21.61,23.1,20.59,21.651,638900,18.1368108669,19.387336003,17.2807466797,18.1712212901,638900,0.0,1.0
MKTX,2004-11-16 00:00:00+00:00,22.2,22.47,20.95,22.19,457500,18.6319852496,18.8585904756,17.5828869811,18.6235924635,457500,0.0,1.0
MKTX,2004-11-17 00:00:00+00:00,22.0,23.25,21.8,21.8,442500,18.4641295267,19.5132277952,18.2962738037,18.2962738037,442500,0.0,1.0
MKTX,2004-11-18 00:00:00+00:00,20.84,21.99,20.51,21.81,273900,17.4905663334,18.4557367405,17.2136043905,18.3046665898,273900,0.0,1.0
MKTX,2004-11-19 00:00:00+00:00,21.5,21.75,19.49,20.8,597300,18.0444902192,18.2543098729,16.3575402034,17.4569951888,597300,0.0,1.0
MKTX,2004-11-22 00:00:00+00:00,22.22,22.99,21.08,21.13,290400,18.6487708219,19.2950153554,17.691993201,17.7339571317,290400,0.0,1.0
MKTX,2004-11-23 00:00:00+00:00,21.19,22.85,20.65,22.85,436800,17.7843138486,19.1775163493,17.3311033966,19.1775163493,436800,0.0,1.0
MKTX,2004-11-24 00:00:00+00:00,21.05,21.56,20.25,21.5,182600,17.6668148426,18.0948469361,16.9953919507,18.0444902192,182600,0.0,1.0
MKTX,2004-11-26 00:00:00+00:00,20.999,21.25,20.9,21.15,61100,17.6240116332,17.8346705655,17.5409230503,17.750742704,61100,0.0,1.0
MKTX,2004-11-29 00:00:00+00:00,20.23,21.75,19.71,21.7,317800,16.9786063784,18.2543098729,16.5421814987,18.2123459422,317800,0.0,1.0
MKTX,2004-11-30 00:00:00+00:00,19.6,20.76,19.51,20.425,282900,16.449860851,17.4234240443,16.3743257757,17.1422657083,282900,0.0,1.0
MKTX,2004-12-01 00:00:00+00:00,20.04,20.1,19.25,19.89,317000,16.8191434416,16.8695001585,16.1561133358,16.6932516493,317000,0.0,1.0
MKTX,2004-12-02 00:00:00+00:00,21.64,22.47,20.0,20.0,486600,18.1619892253,18.8585904756,16.785572297,16.785572297,486600,0.0,1.0
MKTX,2004-12-03 00:00:00+00:00,21.44,22.87,21.08,21.65,222000,17.9941335023,19.1943019216,17.691993201,18.1703820115,222000,0.0,1.0
MKTX,2004-12-06 00:00:00+00:00,20.5,22.07,20.44,21.66,147000,17.2052116044,18.5228790297,17.1548548875,18.1787747976,147000,0.0,1.0
MKTX,2004-12-07 00:00:00+00:00,19.44,21.0,18.54,20.99,414200,16.3155762727,17.6248509118,15.5602255193,17.6164581257,414200,0.0,1.0
MKTX,2004-12-08 00:00:00+00:00,19.4,19.68,18.7,19.4,82500,16.2820051281,16.5170031402,15.6945100977,16.2820051281,82500,0.0,1.0
MKTX,2004-12-09 00:00:00+00:00,20.0,20.4,18.85,19.45,142900,16.785572297,17.1212837429,15.8204018899,16.3239690588,142900,0.0,1.0
MKTX,2004-12-10 00:00:00+00:00,20.41,20.84,20.05,20.2,209100,17.1296765291,17.4905663334,16.8275362277,16.9534280199,209100,0.0,1.0
MKTX,2004-12-13 00:00:00+00:00,19.4,20.37,19.25,20.16,66500,16.2820051281,17.0961053845,16.1561133358,16.9198568753,66500,0.0,1.0
MKTX,2004-12-14 00:00:00+00:00,18.29,19.9,17.95,19.4,319600,15.3504058656,16.7016444355,15.0650511365,16.2820051281,319600,0.0,1.0
MKTX,2004-12-15 00:00:00+00:00,17.21,18.38,17.05,18.25,511400,14.4439849615,15.4259409409,14.3097003832,15.316834721,511400,0.0,1.0
MKTX,2004-12-16 00:00:00+00:00,16.09,17.25,15.67,17.03,339100,13.5039929129,14.4775561061,13.1514958947,14.2929148109,339100,0.0,1.0
MKTX,2004-12-17 00:00:00+00:00,15.93,16.96,15.72,16.24,485700,13.3697083345,14.2341653078,13.1934598254,13.6298847051,485700,0.0,1.0
MKTX,2004-12-20 00:00:00+00:00,16.12,16.85,15.85,16.25,134400,13.5291712714,14.1418446602,13.3025660453,13.6382774913,134400,0.0,1.0
MKTX,2004-12-21 00:00:00+00:00,16.97,17.46,16.05,16.05,123500,14.242558094,14.6538046153,13.4704217683,13.4704217683,123500,0.0,1.0
MKTX,2004-12-22 00:00:00+00:00,16.941,17.15,16.75,17.15,50100,14.2182190141,14.3936282446,14.0579167987,14.3936282446,50100,0.0,1.0
MKTX,2004-12-23 00:00:00+00:00,17.19,17.32,16.86,16.99,106800,14.4271993892,14.5363056092,14.1502374463,14.2593436663,106800,0.0,1.0
MKTX,2004-12-27 00:00:00+00:00,16.98,17.31,16.32,17.19,58400,14.2509508801,14.527912823,13.6970269943,14.4271993892,58400,0.0,1.0
MKTX,2004-12-28 00:00:00+00:00,16.91,17.05,16.5,17.05,48200,14.1922013771,14.3097003832,13.848097145,14.3097003832,48200,0.0,1.0
MKTX,2004-12-29 00:00:00+00:00,16.76,17.2,16.55,16.75,86500,14.0663095849,14.4355921754,13.8900610757,14.0579167987,86500,0.0,1.0
MKTX,2004-12-30 00:00:00+00:00,17.18,17.18,16.81,16.94,27600,14.4188066031,14.4188066031,14.1082735156,14.2173797355,27600,0.0,1.0
MKTX,2004-12-31 00:00:00+00:00,17.01,17.13,16.71,17.13,47500,14.2761292386,14.3768426724,14.0243456541,14.3768426724,47500,0.0,1.0
MKTX,2005-01-03 00:00:00+00:00,15.951,17.15,15.939,16.75,87400,13.3873331854,14.3936282446,13.3772618421,14.0579167987,87400,0.0,1.0
