symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
MMC,2000-01-03 00:00:00+00:00,94.56,94.63,93.25,94.5,1083200,27.5145969719,27.5349652226,27.1334197084,27.4971384712,2166400,0.0,1.0
MMC,2000-01-04 00:00:00+00:00,90.31,95.44,88.75,94.0,2138600,26.2779531782,27.7706549809,25.8240321622,27.3516509661,4277200,0.0,1.0
MMC,2000-01-05 00:00:00+00:00,87.69,90.88,86.13,90.31,1868800,25.5155986513,26.443808934,25.0616776352,26.2779531782,3737600,0.0,1.0
MMC,2000-01-06 00:00:00+00:00,92.44,92.75,86.5,88.0,918200,27.0286687047,27.1193100645,25.2918632946,25.7304505194,1836400,0.45,1.0
MMC,2000-01-07 00:00:00+00:00,95.38,95.75,91.38,92.38,797200,27.8882996652,27.996484514,26.7187337325,27.0111252157,1594400,0.0,1.0
MMC,2000-01-10 00:00:00+00:00,95.75,96.69,93.63,95.63,1335000,27.996484514,28.2713325082,27.3766145697,27.961397536,2670000,0.0,1.0
MMC,2000-01-11 00:00:00+00:00,96.63,96.94,95.19,95.25,826600,28.2537890192,28.344430379,27.8327452834,27.8502887724,1653200,0.0,1.0
MMC,2000-01-12 00:00:00+00:00,95.81,97.38,94.5,97.0,1404500,28.014028003,28.4730826316,27.63099516,28.361973868,2809000,0.0,1.0
MMC,2000-01-13 00:00:00+00:00,97.5,97.88,95.75,96.0,1376000,28.5081696096,28.6192783732,27.996484514,28.0695823848,2752000,0.0,1.0
MMC,2000-01-14 00:00:00+00:00,103.9,104.8,98.0,98.0,1391800,30.3794751019,30.6426274367,28.6543653512,28.6543653512,2783600,0.0,1.0
MMC,2000-01-18 00:00:00+00:00,102.1,103.6,100.4,103.6,814700,29.8531704322,30.2917576569,29.3561049108,30.2917576569,1629400,0.0,1.0
MMC,2000-01-19 00:00:00+00:00,102.9,104.4,101.8,101.8,1471700,30.0870836187,30.5256708435,29.7654529872,29.7654529872,2943400,0.0,1.0
MMC,2000-01-20 00:00:00+00:00,101.1,103.6,99.25,103.1,1249500,29.560778949,30.2917576569,29.0198547051,30.1455619153,2499000,0.0,1.0
MMC,2000-01-21 00:00:00+00:00,101.5,103.0,100.1,103.0,1048300,29.6777355423,30.116322767,29.2683874658,30.116322767,2096600,0.0,1.0
MMC,2000-01-24 00:00:00+00:00,102.3,103.2,101.8,102.3,754900,29.9116487288,30.1748010637,29.7654529872,29.9116487288,1509800,0.0,1.0
MMC,2000-01-25 00:00:00+00:00,100.9,102.3,100.1,102.1,900100,29.5023006524,29.9116487288,29.2683874658,29.8531704322,1800200,0.0,1.0
MMC,2000-01-26 00:00:00+00:00,100.8,102.0,99.63,101.0,820700,29.473061504,29.8239312839,29.1309634687,29.5315398007,1641400,0.0,1.0
MMC,2000-01-27 00:00:00+00:00,100.8,101.9,97.19,101.5,1280800,29.473061504,29.7946921355,28.4175282498,29.6777355423,2561600,0.0,1.0
MMC,2000-01-28 00:00:00+00:00,96.0,97.13,94.63,96.0,1649200,28.0695823848,28.3999847608,27.6690060529,28.0695823848,3298400,0.0,1.0
MMC,2000-01-31 00:00:00+00:00,94.0,94.81,89.5,94.75,1401400,27.4847994185,27.7216365198,26.1690377442,27.7040930308,2802800,0.0,1.0
