symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
MOS,2000-01-03 00:00:00+00:00,16.75,17.06,16.5,17.0,816800,13.2914516887,13.5374427349,13.0930718127,13.4898315647,816800,0.0,1.0
MOS,2000-01-04 00:00:00+00:00,16.38,16.62,16.19,16.38,484600,12.9978494723,13.1882941532,12.8470807666,12.9978494723,484600,0.0,1.0
MOS,2000-01-05 00:00:00+00:00,17.0,17.19,16.31,16.38,703600,13.4898315647,13.6406002704,12.942303107,12.9978494723,703600,0.0,1.0
MOS,2000-01-06 00:00:00+00:00,17.25,17.81,17.0,17.25,871300,13.6882114406,14.1325823627,13.4898315647,13.6882114406,871300,0.0,1.0
MOS,2000-01-07 00:00:00+00:00,17.5,17.94,17.38,17.5,890200,13.8865913166,14.2357398982,13.7913689761,13.8865913166,890200,0.0,1.0
MOS,2000-01-10 00:00:00+00:00,18.62,18.81,17.75,17.75,900900,14.7753331608,14.9261018665,14.0849711925,14.0849711925,900900,0.0,1.0
MOS,2000-01-11 00:00:00+00:00,18.19,18.75,18.19,18.5,367900,14.4341197742,14.8784906963,14.4341197742,14.6801108204,367900,0.0,1.0
MOS,2000-01-12 00:00:00+00:00,18.0,18.38,17.94,18.12,318600,14.2833510685,14.5848884799,14.2357398982,14.3785734089,318600,0.0,1.0
MOS,2000-01-13 00:00:00+00:00,18.75,19.38,18.5,19.38,1169700,14.8784906963,15.3784079837,14.6801108204,15.3784079837,1169700,0.0,1.0
MOS,2000-01-14 00:00:00+00:00,18.12,18.75,18.06,18.69,692900,14.3785734089,14.8784906963,14.3309622387,14.8308795261,692900,0.0,1.0
MOS,2000-01-18 00:00:00+00:00,18.38,18.69,18.12,18.12,578200,14.5848884799,14.8308795261,14.3785734089,14.3785734089,578200,0.0,1.0
MOS,2000-01-19 00:00:00+00:00,17.81,18.62,17.69,18.44,465300,14.1325823627,14.7753331608,14.0373600223,14.6324996501,465300,0.0,1.0
