symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
MPC,2011-06-23 00:00:00+00:00,39.0,39.0,36.5,38.0,2548771,13.7455801467,13.7455801467,12.8644532142,13.3931293737,5097542,0.0,1.0
MPC,2011-06-24 00:00:00+00:00,37.25,39.15,36.84,38.75,837700,13.1287912939,13.7984477626,12.984286477,13.6574674534,1675400,0.0,1.0
MPC,2011-06-27 00:00:00+00:00,37.65,37.95,36.59,36.69,447600,13.2697716031,13.375506835,12.8961737837,12.931418861,895200,0.0,1.0
MPC,2011-06-28 00:00:00+00:00,38.7,39.99,37.7,38.34,2075900,13.6398449148,14.0945064119,13.2873941418,13.5129626365,4151800,0.0,1.0
MPC,2011-06-29 00:00:00+00:00,40.07,40.97,38.7,39.0,1847600,14.1227024738,14.4399081695,13.6398449148,13.7455801467,3695200,0.0,1.0
MPC,2011-06-30 00:00:00+00:00,41.4,42.0,40.175,40.67,1512800,14.5914620018,14.8029324656,14.1597098049,14.3341729376,3025600,0.0,1.0
MPC,2011-07-01 00:00:00+00:00,42.2,47.43,41.0,41.2,4167100,14.8734226202,16.716740163,14.4504816926,14.5209718472,8334200,0.0,1.0
MPC,2011-07-05 00:00:00+00:00,42.21,43.0,41.65,42.21,5911500,14.876947128,15.1553832386,14.6795746951,14.876947128,11823000,0.0,1.0
MPC,2011-07-06 00:00:00+00:00,41.89,42.25,41.01,41.6,5491500,14.7641628806,14.8910451589,14.4540062004,14.6619521564,10983000,0.0,1.0
MPC,2011-07-07 00:00:00+00:00,41.78,43.26,41.705,42.19,8353800,14.7253932956,15.2470204396,14.6989594876,14.8698981125,16707600,0.0,1.0
MPC,2011-07-08 00:00:00+00:00,41.41,42.6,40.52,40.8,8208500,14.5949865096,15.0144029294,14.2813053216,14.379991538,16417000,0.0,1.0
MPC,2011-07-11 00:00:00+00:00,40.1,40.79,39.51,40.79,4747600,14.1332759969,14.3764670303,13.9253300409,14.3764670303,9495200,0.0,1.0
MPC,2011-07-12 00:00:00+00:00,40.48,40.99,39.44,39.86,4005600,14.2672072907,14.4469571849,13.9006584868,14.0486878114,8011200,0.0,1.0
MPC,2011-07-13 00:00:00+00:00,39.96,41.24,39.24,40.52,5821400,14.0839328887,14.5350698782,13.8301683322,14.2813053216,11642800,0.0,1.0
MPC,2011-07-14 00:00:00+00:00,38.64,40.02,38.21,39.97,5764200,13.6186978684,14.1050799351,13.467144036,14.0874573965,11528400,0.0,1.0
MPC,2011-07-15 00:00:00+00:00,39.16,39.47,38.1,39.0,4969200,13.8019722703,13.91123201,13.428374451,13.7455801467,9938400,0.0,1.0
MPC,2011-07-18 00:00:00+00:00,39.12,39.59,37.75,38.73,4155800,13.7878742394,13.9535261027,13.3050166804,13.650418438,8311600,0.0,1.0
MPC,2011-07-19 00:00:00+00:00,39.74,39.94,39.13,39.26,3211500,14.0063937187,14.0768838733,13.7913987471,13.8372173476,6423000,0.0,1.0
MPC,2011-07-20 00:00:00+00:00,39.53,39.94,39.4,39.79,2724500,13.9323790563,14.0768838733,13.8865604559,14.0240162573,5449000,0.0,1.0
MPC,2011-07-21 00:00:00+00:00,40.1,40.24,39.11,39.53,3624600,14.1332759969,14.1826191052,13.7843497317,13.9323790563,7249200,0.0,1.0
MPC,2011-07-22 00:00:00+00:00,40.57,40.82,39.91,40.28,3322800,14.2989278603,14.3870405535,14.0663103501,14.1967171361,6645600,0.0,1.0
MPC,2011-07-25 00:00:00+00:00,41.37,42.12,40.65,41.25,4449300,14.5808884786,14.8452265584,14.3271239221,14.5385943859,8898600,0.0,1.0
MPC,2011-07-26 00:00:00+00:00,43.05,43.72,41.27,41.39,5662100,15.1730057773,15.4091477952,14.5456434013,14.5879374941,11324200,0.0,1.0
MPC,2011-07-27 00:00:00+00:00,42.06,43.3,41.97,43.02,3499200,14.824079512,15.2611184705,14.7923589424,15.1624322541,6998400,0.0,1.0
MPC,2011-07-28 00:00:00+00:00,42.78,42.94,42.19,42.43,3327300,15.0778440686,15.1342361922,14.8698981125,14.954486298,6654600,0.0,1.0
MPC,2011-07-29 00:00:00+00:00,43.79,44.61,41.974,42.35,5354800,15.4338193493,15.7228289831,14.7937687455,14.9262902362,10709600,0.0,1.0
MPC,2011-08-01 00:00:00+00:00,44.97,45.38,43.99,45.04,5759200,15.8497112614,15.9942160783,15.5043095039,15.8743828155,11518400,0.0,1.0
MPC,2011-08-02 00:00:00+00:00,42.33,44.9,42.25,44.53,5497800,14.9192412207,15.8250397073,14.8910451589,15.6946329213,10995600,0.0,1.0
MPC,2011-08-03 00:00:00+00:00,41.43,45.4,39.02,43.28,6706900,14.602035525,16.0012650938,13.7526291621,15.2540694551,13413800,0.0,1.0
MPC,2011-08-04 00:00:00+00:00,38.42,40.71,37.23,40.71,7688900,13.5411586983,14.3482709685,13.1217422785,14.3482709685,15377800,0.0,1.0
MPC,2011-08-05 00:00:00+00:00,37.31,39.22,33.44,38.91,6174300,13.1499383403,13.8231193167,11.7859538488,13.7138595771,12348600,0.0,1.0
MPC,2011-08-08 00:00:00+00:00,32.33,36.0,29.48,35.24,8271500,11.3947334908,12.6882278277,10.3902487878,12.4203652402,16543000,0.0,1.0
MPC,2011-08-09 00:00:00+00:00,36.1,36.41,32.42,33.07,6027100,12.723472905,12.8327326446,11.4264540604,11.6555470628,12054200,0.0,1.0
MPC,2011-08-10 00:00:00+00:00,35.12,36.84,34.12,35.55,4841300,12.3780711475,12.984286477,12.0256203745,12.5296249798,9682600,0.0,1.0
MPC,2011-08-11 00:00:00+00:00,37.34,38.6,35.43,35.9,4378200,13.1605118635,13.6045998375,12.4873308871,12.6529827504,8756400,0.0,1.0
MPC,2011-08-12 00:00:00+00:00,37.41,39.12,36.905,37.59,2953400,13.1851834176,13.7878742394,13.0071957772,13.2486245567,5906800,0.0,1.0
MPC,2011-08-15 00:00:00+00:00,39.1,39.65,37.89,37.89,2682700,13.8513153786,14.0461548532,13.4226685344,13.4226685344,5365400,0.2,1.0
MPC,2011-08-16 00:00:00+00:00,38.86,39.44,38.12,38.36,3266200,13.7662945169,13.9717615992,13.5041468601,13.5891677218,6532400,0.0,1.0
MPC,2011-08-17 00:00:00+00:00,39.1,39.96,38.81,39.63,2813800,13.8513153786,14.1559734662,13.7485818374,14.0390697814,5627600,0.0,1.0
MPC,2011-08-18 00:00:00+00:00,36.61,38.5085,35.41,38.11,3750700,12.9692239388,13.6417743799,12.5441196306,13.5006043242,7501400,0.0,1.0
MPC,2011-08-19 00:00:00+00:00,34.99,36.67,34.64,35.78,4939300,12.3953331227,12.9904791543,12.2713443661,12.6751934589,9878600,0.0,1.0
MPC,2011-08-22 00:00:00+00:00,32.57,36.0,32.35,35.82,5387000,11.5380394343,12.7531292488,11.4601036444,12.6893636026,10774000,0.0,1.0
MPC,2011-08-23 00:00:00+00:00,34.25,34.7,32.05,32.63,5180000,12.1331854659,12.2925995815,11.3538275673,11.5592946497,10360000,0.0,1.0
MPC,2011-08-24 00:00:00+00:00,35.83,36.03,33.71,34.4,3361700,12.6929061385,12.7637568565,11.9418885271,12.1863235044,6723400,0.0,1.0
MPC,2011-08-25 00:00:00+00:00,34.38,36.895,33.9164,36.19,3188000,12.1792384326,13.0701862121,12.0150064682,12.8204374309,6376000,0.0,1.0
MPC,2011-08-26 00:00:00+00:00,34.87,36.76,34.07,34.4,2940200,12.3528226918,13.0223619774,12.0694198196,12.1863235044,5880400,0.0,1.0
MPC,2011-08-29 00:00:00+00:00,36.0,36.356,35.04,35.27,2087500,12.7531292488,12.8792435269,12.4130458022,12.4945241279,4175000,0.0,1.0
MPC,2011-08-30 00:00:00+00:00,36.03,36.38,34.75,35.89,2192600,12.7637568565,12.8877456131,12.310312261,12.7141613539,4385200,0.0,1.0
MPC,2011-08-31 00:00:00+00:00,37.06,37.45,36.51,36.51,2865500,13.1286380545,13.2667969547,12.9337985798,12.9337985798,5731000,0.0,1.0
MPC,2011-09-01 00:00:00+00:00,37.01,38.22,36.91,37.43,2257700,13.1109253749,13.5395722191,13.0755000159,13.2597118828,4515400,0.0,1.0
MPC,2011-09-02 00:00:00+00:00,35.42,36.99,35.12,35.83,1797100,12.5476621665,13.1038403031,12.4413860894,12.6929061385,3594200,0.0,1.0
MPC,2011-09-06 00:00:00+00:00,35.0,35.4,33.29,34.23,2861700,12.3988756586,12.5405770947,11.7931020192,12.1261003941,5723400,0.0,1.0
MPC,2011-09-07 00:00:00+00:00,36.29,36.93,35.25,35.58,2606100,12.85586279,13.0825850877,12.4874390561,12.6043427409,5212200,0.0,1.0
MPC,2011-09-08 00:00:00+00:00,37.73,38.15,35.57,36.16,2043300,13.3659879599,13.5147744678,12.600800205,12.8098098232,4086600,0.0,1.0
MPC,2011-09-09 00:00:00+00:00,36.35,37.78,35.93,36.62,2944500,12.8771180054,13.3837006394,12.7283314975,12.9727664747,5889000,0.0,1.0
MPC,2011-09-12 00:00:00+00:00,36.66,36.88,34.89,36.12,1959600,12.9869366184,13.0648724082,12.3599077636,12.7956396796,3919200,0.0,1.0
MPC,2011-09-13 00:00:00+00:00,35.34,36.6299,34.44,36.4,3573500,12.5193218792,12.9762735853,12.200493648,12.8948306849,7147000,0.0,1.0
MPC,2011-09-14 00:00:00+00:00,35.03,35.31,34.46,35.24,3820300,12.4095032663,12.5086942715,12.2075787198,12.4838965202,7640600,0.0,1.0
MPC,2011-09-15 00:00:00+00:00,35.42,36.96,35.23,35.88,3040700,12.5476621665,13.0932126954,12.4803539843,12.710618818,6081400,0.0,1.0
MPC,2011-09-16 00:00:00+00:00,35.1,35.67,34.86,35.53,3597700,12.4343010176,12.636225564,12.3492801559,12.5866300614,7195400,0.0,1.0
MPC,2011-09-19 00:00:00+00:00,33.55,34.56,33.1,34.18,2548100,11.8852079527,12.2430040788,11.7257938371,12.1083877146,5096200,0.0,1.0
MPC,2011-09-20 00:00:00+00:00,33.69,34.23,33.5,33.57,1929600,11.9348034553,12.1261003941,11.8674952732,11.8922930245,3859200,0.0,1.0
MPC,2011-09-21 00:00:00+00:00,32.4,34.46,32.34,33.35,2006500,11.4778163239,12.2075787198,11.4565611085,11.8143572347,4013000,0.0,1.0
MPC,2011-09-22 00:00:00+00:00,29.47,31.4,28.84,31.16,5536800,10.4398533045,11.1235627337,10.2166735426,11.038541872,11073600,0.0,1.0
MPC,2011-09-23 00:00:00+00:00,29.53,30.32,29.06,29.18,3384000,10.4611085199,10.7409688562,10.2946093325,10.3371197633,6768000,0.0,1.0
