symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
MSI,2000-01-03 00:00:00+00:00,149.0,153.63,146.25,151.25,7982567,226.337550419,233.3707239656,222.160179522,229.7553993347,3421100,0.0,1.0
MSI,2000-01-04 00:00:00+00:00,137.88,145.75,137.0,143.5,9655800,209.4457815555,221.4006575407,208.1090228685,217.982808625,4138200,0.0,1.0
MSI,2000-01-05 00:00:00+00:00,134.25,137.38,130.75,137.0,10930733,203.9316519715,208.6862595742,198.6149981026,208.1090228685,4684599,0.0,1.0
MSI,2000-01-06 00:00:00+00:00,119.0,134.0,118.0,133.5,11145867,180.7662315427,203.5518909808,179.2471875801,202.7923689996,4776800,0.0,1.0
MSI,2000-01-07 00:00:00+00:00,128.81,129.13,121.94,123.0,15293133,195.6680528152,196.1541468832,185.2322207926,186.8424073929,6554199,0.0,1.0
MSI,2000-01-10 00:00:00+00:00,139.75,143.63,131.38,132.38,11980733,212.2863937655,218.1802843401,199.571995799,201.0910397615,5134599,0.0,1.0
MSI,2000-01-11 00:00:00+00:00,132.75,140.88,132.44,135.13,8109733,201.6530860277,214.0029134431,201.1821823993,205.2684106585,3475599,0.0,1.0
MSI,2000-01-12 00:00:00+00:00,133.81,138.94,132.75,134.88,8121167,203.2632726279,211.0559681558,201.6530860277,204.8886496679,3480500,0.0,1.0
MSI,2000-01-13 00:00:00+00:00,138.56,140.5,134.25,136.38,5951400,210.47873145,213.4256767374,203.9316519715,207.1672156117,2550600,0.0,1.0
MSI,2000-01-14 00:00:00+00:00,151.0,154.13,144.0,144.0,12251400,229.3756383441,234.1302459468,218.7423306063,218.7423306063,5250600,0.0,1.0
MSI,2000-01-18 00:00:00+00:00,144.0,147.31,142.63,143.5,16059167,218.7423306063,223.7703661223,216.6612403776,217.982808625,6882500,0.0,1.0
MSI,2000-01-19 00:00:00+00:00,140.75,145.44,140.0,143.75,8098067,213.805437728,220.9297539123,212.6661547561,218.3625696156,3470600,0.0,1.0
MSI,2000-01-20 00:00:00+00:00,141.0,145.5,140.38,141.63,8869233,214.1851987186,221.0208965501,213.2433914619,215.142196415,3801099,0.0,1.0
MSI,2000-01-21 00:00:00+00:00,144.38,147.69,143.38,147.25,7137667,219.319567312,224.3476028281,217.8005233495,223.6792234845,3059000,0.0,1.0
MSI,2000-01-24 00:00:00+00:00,139.25,147.44,139.25,146.5,6176800,211.5268717842,223.9678418374,211.5268717842,222.5399405126,2647200,0.0,1.0
MSI,2000-01-25 00:00:00+00:00,142.13,142.31,137.31,140.38,7215600,215.9017183963,216.1751463096,208.5799264969,213.2433914619,3092400,0.0,1.0
MSI,2000-01-26 00:00:00+00:00,139.5,146.0,136.25,141.88,7768833,211.9066327748,221.7804185314,206.9697398966,215.5219574057,3329499,0.0,1.0
MSI,2000-01-27 00:00:00+00:00,136.0,140.63,135.75,140.0,8293367,206.5899789059,213.6231524525,206.2102179153,212.6661547561,3554300,0.0,1.0
MSI,2000-01-28 00:00:00+00:00,128.25,140.5,125.0,138.5,11014967,194.8173881962,213.4256767374,189.8804953179,210.3875888123,4720700,0.0,1.0
MSI,2000-01-31 00:00:00+00:00,136.0,136.75,126.31,128.5,9912467,206.5899789059,207.7292618778,191.8704429089,195.1971491868,4248200,0.0,1.0
MSI,2000-02-01 00:00:00+00:00,136.88,139.5,133.19,137.75,8103667,207.926737593,211.9066327748,202.3214653712,209.2483058404,3473000,0.0,1.0
