symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
MTCH,2015-11-19 00:00:00+00:00,14.74,14.89,12.63,13.5,26921614,14.0106580901,14.1532360218,12.0050618506,12.8320138545,26921614,0.0,1.0
MTCH,2015-11-20 00:00:00+00:00,15.2,16.17,14.37,15.28,7389560,14.4478970807,15.3699010391,13.6589658585,14.5239386442,7389560,0.0,1.0
MTCH,2015-11-23 00:00:00+00:00,14.37,15.98,14.06,15.96,3233534,13.6589658585,15.1893023256,13.3643047996,15.1702919347,3233534,0.0,1.0
MTCH,2015-11-24 00:00:00+00:00,14.22,15.1,13.62,14.29,2253886,13.5163879268,14.3528451262,12.9460761999,13.5829242949,2253886,0.0,1.0
MTCH,2015-11-25 00:00:00+00:00,14.41,14.64,14.05,14.05,1109916,13.6969866403,13.9156061356,13.3547996042,13.3547996042,1109916,0.0,1.0
MTCH,2015-11-27 00:00:00+00:00,14.62,14.8,14.32,14.6,507185,13.8965957447,14.0676892627,13.6114398812,13.8775853538,507185,0.0,1.0
MTCH,2015-11-30 00:00:00+00:00,14.48,14.9305,14.0,14.93,1492227,13.7635230084,14.1917320633,13.3072736269,14.1912568036,1492227,0.0,1.0
MTCH,2015-12-01 00:00:00+00:00,14.23,14.53,13.9,14.53,915357,13.5258931222,13.8110489857,13.2122216724,13.8110489857,915357,0.0,1.0
MTCH,2015-12-02 00:00:00+00:00,14.1,14.1999,14.0,14.02,461838,13.4023255814,13.4972824839,13.3072736269,13.3262840178,461838,0.0,1.0
MTCH,2015-12-03 00:00:00+00:00,13.05,14.12,13.0,13.99,1674764,12.4042800594,13.4213359723,12.3567540821,13.2977684315,1674764,0.0,1.0
MTCH,2015-12-04 00:00:00+00:00,13.11,13.26,12.82,13.05,1414753,12.4613112321,12.6038891638,12.1856605641,12.4042800594,1414753,0.0,1.0
MTCH,2015-12-07 00:00:00+00:00,13.25,13.48,13.0,13.39,663556,12.5943839683,12.8130034636,12.3567540821,12.7274567046,663556,0.0,1.0
MTCH,2015-12-08 00:00:00+00:00,13.38,13.4,13.0,13.0,629984,12.7179515092,12.7369619,12.3567540821,12.3567540821,629984,0.0,1.0
MTCH,2015-12-09 00:00:00+00:00,13.55,13.84,13.14,13.3,715622,12.8795398318,13.1551904998,12.4898268184,12.6419099456,715622,0.0,1.0
MTCH,2015-12-10 00:00:00+00:00,13.92,14.0,13.45,13.93,1247018,13.2312320633,13.3072736269,12.7844878773,13.2407372588,1247018,0.0,1.0
MTCH,2015-12-11 00:00:00+00:00,13.84,13.99,13.53,13.65,1020404,13.1551904998,13.2977684315,12.8605294409,12.9745917862,1020404,0.0,1.0
MTCH,2015-12-14 00:00:00+00:00,13.63,13.87,13.38,13.52,1582890,12.9555813953,13.1837060861,12.7179515092,12.8510242454,1582890,0.0,1.0
MTCH,2015-12-15 00:00:00+00:00,14.08,14.5,13.57,13.76,1208575,13.3833151905,13.7825333993,12.8985502227,13.0791489362,1208575,0.0,1.0
MTCH,2015-12-16 00:00:00+00:00,14.68,14.74,14.205,14.5,1351642,13.9536269174,14.0106580901,13.5021301336,13.7825333993,1351642,0.0,1.0
MTCH,2015-12-17 00:00:00+00:00,14.28,14.95,14.23,14.83,737646,13.5734190995,14.2102671945,13.5258931222,14.0962048491,737646,0.0,1.0
MTCH,2015-12-18 00:00:00+00:00,14.33,14.58,13.96,14.28,3261785,13.6209450767,13.8585749629,13.2692528451,13.5734190995,3261785,0.0,1.0
MTCH,2015-12-21 00:00:00+00:00,13.9,14.4499,13.48,14.42,851868,13.2122216724,13.7349123701,12.8130034636,13.7064918357,851868,0.0,1.0
