symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
MTD,2000-01-03 00:00:00+00:00,35.38,38.06,35.38,38.0,51400,35.38,38.06,35.38,38.0,51400,0.0,1.0
MTD,2000-01-04 00:00:00+00:00,34.62,35.38,34.19,35.38,106100,34.62,35.38,34.19,35.38,106100,0.0,1.0
MTD,2000-01-05 00:00:00+00:00,33.88,34.88,33.81,34.88,162100,33.88,34.88,33.81,34.88,162100,0.0,1.0
MTD,2000-01-06 00:00:00+00:00,34.62,34.88,33.5,33.94,245000,34.62,34.88,33.5,33.94,245000,0.0,1.0
MTD,2000-01-07 00:00:00+00:00,35.62,35.75,34.56,34.56,215200,35.62,35.75,34.56,34.56,215200,0.0,1.0
MTD,2000-01-10 00:00:00+00:00,37.25,37.25,35.81,35.81,78900,37.25,37.25,35.81,35.81,78900,0.0,1.0
MTD,2000-01-11 00:00:00+00:00,36.06,37.12,35.88,37.12,90500,36.06,37.12,35.88,37.12,90500,0.0,1.0
MTD,2000-01-12 00:00:00+00:00,35.88,36.06,35.75,36.06,30000,35.88,36.06,35.75,36.06,30000,0.0,1.0
MTD,2000-01-13 00:00:00+00:00,35.88,36.0,35.62,35.94,80400,35.88,36.0,35.62,35.94,80400,0.0,1.0
MTD,2000-01-14 00:00:00+00:00,35.5,36.0,35.19,35.94,47100,35.5,36.0,35.19,35.94,47100,0.0,1.0
MTD,2000-01-18 00:00:00+00:00,35.12,35.38,34.88,35.38,87500,35.12,35.38,34.88,35.38,87500,0.0,1.0
MTD,2000-01-19 00:00:00+00:00,35.31,35.44,35.0,35.0,117400,35.31,35.44,35.0,35.0,117400,0.0,1.0
MTD,2000-01-20 00:00:00+00:00,34.88,35.88,34.62,35.44,84400,34.88,35.88,34.62,35.44,84400,0.0,1.0
MTD,2000-01-21 00:00:00+00:00,34.88,35.0,34.62,34.62,55000,34.88,35.0,34.62,34.62,55000,0.0,1.0
MTD,2000-01-24 00:00:00+00:00,34.62,35.44,34.62,35.0,74000,34.62,35.44,34.62,35.0,74000,0.0,1.0
MTD,2000-01-25 00:00:00+00:00,34.19,34.69,33.75,34.56,70800,34.19,34.69,33.75,34.56,70800,0.0,1.0
MTD,2000-01-26 00:00:00+00:00,33.94,34.38,33.94,34.19,29900,33.94,34.38,33.94,34.19,29900,0.0,1.0
MTD,2000-01-27 00:00:00+00:00,33.19,34.06,33.0,33.94,49200,33.19,34.06,33.0,33.94,49200,0.0,1.0
MTD,2000-01-28 00:00:00+00:00,32.31,33.0,31.81,33.0,76800,32.31,33.0,31.81,33.0,76800,0.0,1.0
MTD,2000-01-31 00:00:00+00:00,31.88,32.62,31.81,32.44,101600,31.88,32.62,31.81,32.44,101600,0.0,1.0
MTD,2000-02-01 00:00:00+00:00,32.0,32.94,31.88,32.12,170900,32.0,32.94,31.88,32.12,170900,0.0,1.0
MTD,2000-02-02 00:00:00+00:00,32.38,32.69,32.12,32.12,81000,32.38,32.69,32.12,32.12,81000,0.0,1.0
MTD,2000-02-03 00:00:00+00:00,35.0,35.38,32.25,32.38,255500,35.0,35.38,32.25,32.38,255500,0.0,1.0
MTD,2000-02-04 00:00:00+00:00,37.88,37.88,35.5,35.5,454200,37.88,37.88,35.5,35.5,454200,0.0,1.0
MTD,2000-02-07 00:00:00+00:00,38.0,39.69,37.69,39.5,370500,38.0,39.69,37.69,39.5,370500,0.0,1.0
MTD,2000-02-08 00:00:00+00:00,37.38,38.0,36.88,38.0,224100,37.38,38.0,36.88,38.0,224100,0.0,1.0
MTD,2000-02-09 00:00:00+00:00,37.06,38.0,37.0,37.25,236700,37.06,38.0,37.0,37.25,236700,0.0,1.0
MTD,2000-02-10 00:00:00+00:00,37.38,37.75,36.94,37.25,62200,37.38,37.75,36.94,37.25,62200,0.0,1.0
MTD,2000-02-11 00:00:00+00:00,37.31,38.0,37.25,37.62,68100,37.31,38.0,37.25,37.62,68100,0.0,1.0
MTD,2000-02-14 00:00:00+00:00,37.88,37.94,37.25,37.38,54400,37.88,37.94,37.25,37.38,54400,0.0,1.0
MTD,2000-02-15 00:00:00+00:00,38.19,38.44,37.94,37.94,87900,38.19,38.44,37.94,37.94,87900,0.0,1.0
MTD,2000-02-16 00:00:00+00:00,38.38,38.69,38.0,38.25,44700,38.38,38.69,38.0,38.25,44700,0.0,1.0
MTD,2000-02-17 00:00:00+00:00,37.94,38.62,37.06,38.5,83100,37.94,38.62,37.06,38.5,83100,0.0,1.0
MTD,2000-02-18 00:00:00+00:00,36.5,37.69,36.5,37.69,54800,36.5,37.69,36.5,37.69,54800,0.0,1.0
MTD,2000-02-22 00:00:00+00:00,36.25,36.56,35.75,36.56,80400,36.25,36.56,35.75,36.56,80400,0.0,1.0
MTD,2000-02-23 00:00:00+00:00,36.94,37.0,36.12,36.38,108000,36.94,37.0,36.12,36.38,108000,0.0,1.0
MTD,2000-02-24 00:00:00+00:00,36.81,36.94,36.5,36.94,67600,36.81,36.94,36.5,36.94,67600,0.0,1.0
MTD,2000-02-25 00:00:00+00:00,37.0,37.12,36.75,36.81,141900,37.0,37.12,36.75,36.81,141900,0.0,1.0
MTD,2000-02-28 00:00:00+00:00,38.69,39.38,36.88,37.0,134800,38.69,39.38,36.88,37.0,134800,0.0,1.0
MTD,2000-02-29 00:00:00+00:00,38.62,39.0,38.44,38.62,85700,38.62,39.0,38.44,38.62,85700,0.0,1.0
MTD,2000-03-01 00:00:00+00:00,38.44,38.62,38.0,38.0,91600,38.44,38.62,38.0,38.0,91600,0.0,1.0
MTD,2000-03-02 00:00:00+00:00,37.31,38.44,37.06,38.44,46600,37.31,38.44,37.06,38.44,46600,0.0,1.0
MTD,2000-03-03 00:00:00+00:00,37.31,37.5,36.88,37.25,75200,37.31,37.5,36.88,37.25,75200,0.0,1.0
MTD,2000-03-06 00:00:00+00:00,36.88,37.25,36.75,37.25,69400,36.88,37.25,36.75,37.25,69400,0.0,1.0
MTD,2000-03-07 00:00:00+00:00,38.5,39.25,37.0,37.0,182700,38.5,39.25,37.0,37.0,182700,0.0,1.0
MTD,2000-03-08 00:00:00+00:00,37.5,38.75,37.31,38.75,205800,37.5,38.75,37.31,38.75,205800,0.0,1.0
MTD,2000-03-09 00:00:00+00:00,37.0,37.5,36.94,37.5,156100,37.0,37.5,36.94,37.5,156100,0.0,1.0
MTD,2000-03-10 00:00:00+00:00,37.5,38.0,36.88,37.0,178800,37.5,38.0,36.88,37.0,178800,0.0,1.0
MTD,2000-03-13 00:00:00+00:00,38.19,38.19,36.81,37.38,50200,38.19,38.19,36.81,37.38,50200,0.0,1.0
MTD,2000-03-14 00:00:00+00:00,38.44,40.12,38.0,38.0,176700,38.44,40.12,38.0,38.0,176700,0.0,1.0
MTD,2000-03-15 00:00:00+00:00,39.25,39.94,36.62,38.44,139300,39.25,39.94,36.62,38.44,139300,0.0,1.0
MTD,2000-03-16 00:00:00+00:00,42.62,43.31,39.0,39.31,373800,42.62,43.31,39.0,39.31,373800,0.0,1.0
MTD,2000-03-17 00:00:00+00:00,42.44,42.88,41.69,42.19,121500,42.44,42.88,41.69,42.19,121500,0.0,1.0
MTD,2000-03-20 00:00:00+00:00,42.88,43.69,42.62,42.69,138100,42.88,43.69,42.62,42.69,138100,0.0,1.0
MTD,2000-03-21 00:00:00+00:00,42.94,42.94,41.5,42.25,73300,42.94,42.94,41.5,42.25,73300,0.0,1.0
MTD,2000-03-22 00:00:00+00:00,44.5,44.5,43.06,43.06,229900,44.5,44.5,43.06,43.06,229900,0.0,1.0
MTD,2000-03-23 00:00:00+00:00,44.06,44.5,43.31,44.5,71100,44.06,44.5,43.31,44.5,71100,0.0,1.0
