symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
MU,2000-01-03 00:00:00+00:00,75.94,78.13,75.69,77.38,3282300,37.5817384168,38.6655415131,37.4580166022,38.2943760692,6564600,0.0,1.0
MU,2000-01-04 00:00:00+00:00,73.0,75.81,72.88,74.75,3610400,36.1267698766,37.5174030732,36.0673834055,36.9928225791,7220800,0.0,1.0
MU,2000-01-05 00:00:00+00:00,71.75,73.19,70.06,72.13,3381900,35.5081608033,36.2207984557,34.6718013363,35.6962179616,6763800,0.0,1.0
MU,2000-01-06 00:00:00+00:00,74.0,75.31,71.75,72.75,3169200,36.6216571352,37.2699594439,35.5081608033,36.0030480619,6338400,0.0,1.0
MU,2000-01-07 00:00:00+00:00,70.5,73.75,68.0,73.75,4733600,34.8895517301,36.4979353205,33.6523335837,36.4979353205,9467200,0.0,1.0
MU,2000-01-10 00:00:00+00:00,74.38,75.5,71.06,72.25,3288600,36.8097142934,37.363988023,35.1666885949,35.7556044326,6577200,0.0,1.0
MU,2000-01-11 00:00:00+00:00,72.31,76.75,71.75,74.25,2811500,35.7852976681,37.9825970963,35.5081608033,36.7453789498,5623000,0.0,1.0
MU,2000-01-12 00:00:00+00:00,74.0,76.31,71.13,73.25,4655700,36.6216571352,37.7648467025,35.201330703,36.2504916912,9311400,0.0,1.0
MU,2000-01-13 00:00:00+00:00,77.88,77.88,73.75,74.88,4118500,38.5418196985,38.5418196985,36.4979353205,37.0571579227,8237000,0.0,1.0
MU,2000-01-14 00:00:00+00:00,73.25,78.38,72.5,77.13,6109400,36.2504916912,38.7892633277,35.8793262473,38.1706542545,12218800,0.0,1.0
MU,2000-01-18 00:00:00+00:00,73.56,74.5,72.06,73.44,4646500,36.4039067414,36.8691007644,35.6615758535,36.3445202703,9293000,0.0,1.0
MU,2000-01-19 00:00:00+00:00,72.13,74.38,71.5,73.5,5326600,35.6962179616,36.8097142934,35.3844389887,36.3742135059,10653200,0.0,1.0
MU,2000-01-20 00:00:00+00:00,69.75,72.88,69.5,72.38,6000900,34.5183862862,36.0673834055,34.3946644715,35.8199397762,12001800,0.0,1.0
MU,2000-01-21 00:00:00+00:00,67.13,71.5,65.13,71.5,7735100,33.2217816687,35.3844389887,32.2320071515,35.3844389887,15470200,0.0,1.0
MU,2000-01-24 00:00:00+00:00,69.5,71.0,67.31,67.31,5974500,34.3946644715,35.1369953594,33.3108613752,33.3108613752,11949000,0.0,1.0
MU,2000-01-25 00:00:00+00:00,65.88,69.75,64.5,68.94,8512700,32.6031725955,34.5183862862,31.9202281786,34.1175276067,17025400,0.0,1.0
MU,2000-01-26 00:00:00+00:00,63.56,67.75,63.0,65.94,6568600,31.4550341555,33.528611769,31.1778972907,32.632865831,13137200,0.0,1.0
MU,2000-01-27 00:00:00+00:00,64.75,65.75,63.56,63.81,3895400,32.0439499933,32.5388372518,31.4550341555,31.5787559702,7790800,0.0,1.0
