symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
NDAQ,2002-07-01 00:00:00+00:00,15.0,15.0,15.0,15.0,1300,4.1638902543,4.1638902543,4.1638902543,4.1638902543,3900,0.0,1.0
NDAQ,2002-07-02 00:00:00+00:00,15.13,16.5,15.0,15.5,7000,4.1999773032,4.5802792797,4.1638902543,4.3026865961,21000,0.0,1.0
NDAQ,2002-07-03 00:00:00+00:00,15.0,16.0,14.0,14.0,10200,4.1638902543,4.4414829379,3.8862975707,3.8862975707,30600,0.0,1.0
NDAQ,2002-07-05 00:00:00+00:00,15.0,15.0,15.0,15.0,500,4.1638902543,4.1638902543,4.1638902543,4.1638902543,1500,0.0,1.0
NDAQ,2002-07-08 00:00:00+00:00,14.0,14.0,14.0,14.0,300,3.8862975707,3.8862975707,3.8862975707,3.8862975707,900,0.0,1.0
NDAQ,2002-07-09 00:00:00+00:00,15.5,15.5,14.0,14.0,2300,4.3026865961,4.3026865961,3.8862975707,3.8862975707,6900,0.0,1.0
NDAQ,2002-07-10 00:00:00+00:00,15.5,15.5,13.75,13.75,500,4.3026865961,4.3026865961,3.8168993998,3.8168993998,1500,0.0,1.0
NDAQ,2002-07-11 00:00:00+00:00,15.5,15.5,15.5,15.5,0,4.3026865961,4.3026865961,4.3026865961,4.3026865961,0,0.0,1.0
NDAQ,2002-07-12 00:00:00+00:00,15.0,15.0,15.0,15.0,100,4.1638902543,4.1638902543,4.1638902543,4.1638902543,300,0.0,1.0
NDAQ,2002-07-15 00:00:00+00:00,12.75,14.75,12.5,14.75,42700,3.5393067161,4.0944920834,3.4699085452,4.0944920834,128100,0.0,1.0
NDAQ,2002-07-16 00:00:00+00:00,12.5,12.75,12.5,12.75,5900,3.4699085452,3.5393067161,3.4699085452,3.5393067161,17700,0.0,1.0
NDAQ,2002-07-17 00:00:00+00:00,12.5,12.5,12.25,12.5,2400,3.4699085452,3.4699085452,3.4005103743,3.4699085452,7200,0.0,1.0
NDAQ,2002-07-18 00:00:00+00:00,11.75,12.3,11.75,12.3,1400,3.2617140325,3.4143900085,3.2617140325,3.4143900085,4200,0.0,1.0
NDAQ,2002-07-19 00:00:00+00:00,10.5,11.6,10.05,11.6,10700,2.914723178,3.22007513,2.7898064704,3.22007513,32100,0.0,1.0
NDAQ,2002-07-22 00:00:00+00:00,10.2,10.5,10.0,10.5,4600,2.8314453729,2.914723178,2.7759268362,2.914723178,13800,0.0,1.0
NDAQ,2002-07-23 00:00:00+00:00,10.2,10.2,10.2,10.2,100,2.8314453729,2.8314453729,2.8314453729,2.8314453729,300,0.0,1.0
NDAQ,2002-07-24 00:00:00+00:00,10.5,10.5,10.2,10.2,2200,2.914723178,2.914723178,2.8314453729,2.8314453729,6600,0.0,1.0
NDAQ,2002-07-25 00:00:00+00:00,10.15,10.5,10.15,10.15,1300,2.8175657387,2.914723178,2.8175657387,2.8175657387,3900,0.0,1.0
NDAQ,2002-07-26 00:00:00+00:00,10.15,10.15,10.15,10.15,0,2.8175657387,2.8175657387,2.8175657387,2.8175657387,0,0.0,1.0
