symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
NDSN,2000-01-03 00:00:00+00:00,49.13,49.97,48.5,49.97,38200,8.9248712298,9.0774641838,8.8104265142,9.0774641838,152800,0.0,1.0
NDSN,2000-01-04 00:00:00+00:00,48.0,49.75,48.0,49.72,21600,8.7195973749,9.0374993625,8.7195973749,9.0320496142,86400,0.0,1.0
NDSN,2000-01-05 00:00:00+00:00,48.33,49.5,47.69,48.0,6700,8.7795446069,8.9920847929,8.6632833085,8.7195973749,26800,0.0,1.0
NDSN,2000-01-06 00:00:00+00:00,47.66,48.31,47.63,48.31,16700,8.6578335602,8.7759114413,8.6523838118,8.7759114413,66800,0.0,1.0
NDSN,2000-01-07 00:00:00+00:00,47.81,48.31,47.0,47.75,22000,8.685082302,8.7759114413,8.5379390963,8.6741828053,88000,0.0,1.0
NDSN,2000-01-10 00:00:00+00:00,47.13,47.88,46.88,46.88,20300,8.5615546725,8.6977983815,8.5161401028,8.5161401028,81200,0.0,1.0
NDSN,2000-01-11 00:00:00+00:00,48.19,48.5,47.5,47.5,7500,8.7541124479,8.8104265142,8.6287682356,8.6287682356,30000,0.0,1.0
NDSN,2000-01-12 00:00:00+00:00,48.44,48.75,47.25,47.75,8700,8.7995270175,8.8558410839,8.5833536659,8.6741828053,34800,0.0,1.0
NDSN,2000-01-13 00:00:00+00:00,48.38,49.48,48.0,49.0,42800,8.7886275208,8.9884516273,8.7195973749,8.9012556536,171200,0.0,1.0
NDSN,2000-01-14 00:00:00+00:00,48.13,49.23,47.25,49.23,25600,8.7432129511,8.9430370576,8.5833536659,8.9430370576,102400,0.0,1.0
NDSN,2000-01-18 00:00:00+00:00,46.69,47.31,46.69,47.31,16100,8.4816250299,8.5942531627,8.4816250299,8.5942531627,64400,0.0,1.0
NDSN,2000-01-19 00:00:00+00:00,48.0,48.0,46.69,46.69,17800,8.7195973749,8.7195973749,8.4816250299,8.4816250299,71200,0.0,1.0
NDSN,2000-01-20 00:00:00+00:00,47.5,47.75,46.25,47.13,24400,8.6287682356,8.6741828053,8.4016953873,8.5615546725,97600,0.0,1.0
NDSN,2000-01-21 00:00:00+00:00,46.25,47.16,45.5,47.16,41800,8.4016953873,8.5670044209,8.2654516783,8.5670044209,167200,0.0,1.0
NDSN,2000-01-24 00:00:00+00:00,45.63,46.25,45.31,45.56,28100,8.2890672545,8.4016953873,8.2309366054,8.276351175,112400,0.0,1.0
NDSN,2000-01-25 00:00:00+00:00,43.63,46.25,43.25,45.31,22200,7.9257506972,8.4016953873,7.8567205514,8.2309366054,88800,0.0,1.0
NDSN,2000-01-26 00:00:00+00:00,42.0,46.0,41.25,46.0,46200,7.6296477031,8.3562808176,7.4934039941,8.3562808176,184800,0.0,1.0
NDSN,2000-01-27 00:00:00+00:00,43.0,43.5,42.75,43.06,28300,7.8113059817,7.902135121,7.765891412,7.8222054784,113200,0.0,1.0
NDSN,2000-01-28 00:00:00+00:00,42.56,44.25,42.5,43.25,25800,7.7313763391,8.03837883,7.7204768424,7.8567205514,103200,0.0,1.0
NDSN,2000-01-31 00:00:00+00:00,43.0,43.75,42.25,42.25,34400,7.8113059817,7.9475496907,7.6750622727,7.6750622727,137600,0.0,1.0
NDSN,2000-02-01 00:00:00+00:00,42.5,43.38,42.5,43.13,15900,7.7204768424,7.8803361276,7.7204768424,7.8349215579,63600,0.0,1.0
NDSN,2000-02-02 00:00:00+00:00,41.0,44.0,41.0,44.0,66200,7.4479894244,7.9929642603,7.4479894244,7.9929642603,264800,0.0,1.0
NDSN,2000-02-03 00:00:00+00:00,40.81,42.13,40.75,41.88,29500,7.4134743515,7.6532632793,7.4025748547,7.6078487096,118000,0.0,1.0
NDSN,2000-02-04 00:00:00+00:00,41.38,41.38,40.13,40.13,23300,7.5170195703,7.5170195703,7.289946722,7.289946722,93200,0.0,1.0
NDSN,2000-02-07 00:00:00+00:00,42.25,42.5,41.0,41.0,19000,7.6750622727,7.7204768424,7.4479894244,7.4479894244,76000,0.0,1.0
NDSN,2000-02-08 00:00:00+00:00,40.0,42.5,39.38,42.0,25600,7.2663311458,7.7204768424,7.153703013,7.6296477031,102400,0.0,1.0
NDSN,2000-02-09 00:00:00+00:00,41.0,42.13,39.69,39.69,15900,7.4479894244,7.6532632793,7.2100170794,7.2100170794,63600,0.0,1.0
NDSN,2000-02-10 00:00:00+00:00,41.02,42.13,41.0,41.56,29000,7.45162259,7.6532632793,7.4479894244,7.5497180604,116000,0.0,1.0
NDSN,2000-02-11 00:00:00+00:00,41.0,42.5,40.94,41.0,23400,7.4479894244,7.7204768424,7.4370899277,7.4479894244,93600,0.0,1.0
NDSN,2000-02-14 00:00:00+00:00,38.88,42.5,38.88,42.5,32900,7.0628738737,7.7204768424,7.0628738737,7.7204768424,131600,0.0,1.0
NDSN,2000-02-15 00:00:00+00:00,38.31,40.19,38.25,39.0,28600,6.9593286549,7.3008462187,6.9484291581,7.0846728671,114400,0.0,1.0
NDSN,2000-02-16 00:00:00+00:00,37.38,39.5,37.38,39.5,54500,6.7903864557,7.1755020064,6.7903864557,7.1755020064,218000,0.0,1.0
NDSN,2000-02-17 00:00:00+00:00,38.25,38.25,37.06,37.06,43400,6.9484291581,6.9484291581,6.7322558066,6.7322558066,173600,0.0,1.0
NDSN,2000-02-18 00:00:00+00:00,37.0,39.25,36.81,39.25,50200,6.7213563098,7.1300874368,6.6868412369,7.1300874368,200800,0.0,1.0
NDSN,2000-02-22 00:00:00+00:00,36.81,37.0,36.27,37.0,76600,6.6868412369,6.7213563098,6.5887457664,6.7213563098,306400,0.0,1.0
NDSN,2000-02-23 00:00:00+00:00,36.69,36.75,36.44,36.69,32200,6.6650422435,6.6759417402,6.6196276738,6.6650422435,128800,0.0,1.0
NDSN,2000-02-24 00:00:00+00:00,36.56,37.0,36.38,36.5,42400,6.6414266672,6.7213563098,6.6087281771,6.6305271705,169600,0.0,1.0
NDSN,2000-02-25 00:00:00+00:00,36.66,36.88,36.19,36.19,61300,6.6595924951,6.6995573164,6.5742131041,6.5742131041,245200,0.0,1.0
NDSN,2000-02-28 00:00:00+00:00,36.19,37.25,36.13,36.63,41400,6.5742131041,6.7667708795,6.5633136074,6.6541427467,165600,0.0,1.0
NDSN,2000-02-29 00:00:00+00:00,38.75,39.06,36.38,36.72,67500,7.0392582975,7.0955723638,6.6087281771,6.6704919918,270000,0.0,1.0
NDSN,2000-03-01 00:00:00+00:00,40.38,40.5,38.13,38.13,65300,7.3825924441,7.4045317976,6.9712295665,6.9712295665,261200,0.26,1.0
NDSN,2000-03-02 00:00:00+00:00,38.63,40.31,38.5,40.31,48800,7.0626435393,7.3697944879,7.0388759063,7.3697944879,195200,0.0,1.0
NDSN,2000-03-03 00:00:00+00:00,40.31,40.75,37.81,37.81,35900,7.3697944879,7.450238784,6.9127246239,6.9127246239,143600,0.0,1.0
NDSN,2000-03-06 00:00:00+00:00,39.5,40.13,39.25,39.25,46300,7.221703852,7.3368854577,7.1759968655,7.1759968655,185200,0.0,1.0
NDSN,2000-03-07 00:00:00+00:00,39.81,40.0,39.5,39.5,40000,7.2783805151,7.3131178248,7.221703852,7.221703852,160000,0.0,1.0
NDSN,2000-03-08 00:00:00+00:00,42.19,42.38,39.5,39.5,26400,7.7135110257,7.7482483353,7.221703852,7.221703852,105600,0.0,1.0
NDSN,2000-03-09 00:00:00+00:00,44.31,44.75,41.38,41.38,55800,8.1011062704,8.1815505665,7.5654203897,7.5654203897,223200,0.0,1.0
NDSN,2000-03-10 00:00:00+00:00,44.48,44.75,44.31,44.63,80000,8.1321870211,8.1815505665,8.1011062704,8.159611213,320000,0.0,1.0
NDSN,2000-03-13 00:00:00+00:00,43.44,44.13,43.0,43.63,44300,7.9420459577,8.0681972402,7.8616016616,7.9767832674,177200,0.0,1.0
NDSN,2000-03-14 00:00:00+00:00,40.5,43.38,40.5,43.0,56900,7.4045317976,7.931076281,7.4045317976,7.8616016616,227600,0.0,1.0
NDSN,2000-03-15 00:00:00+00:00,42.5,42.5,39.5,41.06,80900,7.7701876888,7.7701876888,7.221703852,7.5069154471,323600,0.0,1.0
NDSN,2000-03-16 00:00:00+00:00,42.13,43.0,41.06,41.5,63500,7.7025413489,7.8616016616,7.5069154471,7.5873597432,254000,0.0,1.0
