symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
NI,2000-01-03 00:00:00+00:00,17.62,17.88,17.38,17.81,413300,2.570170746,2.6080960805,2.5351627449,2.5978854135,1084456,0.0,1.0
NI,2000-01-04 00:00:00+00:00,17.81,18.0,17.44,17.5,343900,2.5978854135,2.6256000811,2.5439147452,2.5526667455,902357,0.0,1.0
NI,2000-01-05 00:00:00+00:00,18.63,18.75,17.88,18.0,426800,2.7174960839,2.7350000844,2.6080960805,2.6256000811,1119878,0.0,1.0
NI,2000-01-06 00:00:00+00:00,18.44,18.56,18.0,18.5,188300,2.6897814164,2.7072854169,2.6256000811,2.6985334167,494079,0.0,1.0
NI,2000-01-07 00:00:00+00:00,18.38,18.75,18.19,18.38,245100,2.6810294161,2.7350000844,2.6533147486,2.6810294161,643117,0.0,1.0
NI,2000-01-10 00:00:00+00:00,18.81,18.88,18.56,18.56,335400,2.7437520847,2.7539627517,2.7072854169,2.7072854169,880054,0.0,1.0
NI,2000-01-11 00:00:00+00:00,18.25,18.75,18.13,18.69,405500,2.6620667489,2.7350000844,2.6445627483,2.7262480842,1063989,0.0,1.0
NI,2000-01-12 00:00:00+00:00,18.56,18.56,18.0,18.13,197700,2.7072854169,2.7072854169,2.6256000811,2.6445627483,518744,0.0,1.0
NI,2000-01-13 00:00:00+00:00,18.38,18.5,18.0,18.38,172700,2.6810294161,2.6985334167,2.6256000811,2.6810294161,453146,0.0,1.0
NI,2000-01-14 00:00:00+00:00,18.06,18.44,18.0,18.38,166800,2.6343520813,2.6897814164,2.6256000811,2.6810294161,437665,0.0,1.0
NI,2000-01-18 00:00:00+00:00,17.5,17.88,17.5,17.81,356400,2.5526667455,2.6080960805,2.5526667455,2.5978854135,935156,0.0,1.0
NI,2000-01-19 00:00:00+00:00,18.0,18.06,17.38,17.44,203200,2.6256000811,2.6343520813,2.5351627449,2.5439147452,533175,0.0,1.0
NI,2000-01-20 00:00:00+00:00,18.5,18.5,17.75,17.94,312600,2.6985334167,2.6985334167,2.5891334133,2.6168480808,820230,0.0,1.0
NI,2000-01-21 00:00:00+00:00,19.94,19.94,18.19,18.25,653800,2.9085814231,2.9085814231,2.6533147486,2.6620667489,1715503,0.0,1.0
NI,2000-01-24 00:00:00+00:00,21.31,21.69,20.0,20.0,924900,3.1084187626,3.1638480977,2.9173334234,2.9173334234,2426841,0.0,1.0
NI,2000-01-25 00:00:00+00:00,19.75,21.63,19.63,21.31,625200,2.8808667556,3.1550960974,2.8633627551,3.1084187626,1640460,0.0,1.0
NI,2000-01-26 00:00:00+00:00,19.38,19.81,19.19,19.75,746500,2.8268960873,2.8896187559,2.7991814198,2.8808667556,1958738,0.0,1.0
NI,2000-01-27 00:00:00+00:00,19.13,19.44,18.81,19.31,757200,2.8298134207,2.8756703031,2.782477284,2.8564399976,1986814,0.27,1.0
NI,2000-01-28 00:00:00+00:00,18.38,19.38,18.19,19.06,1800500,2.7188693504,2.8667947775,2.6907635192,2.8194586408,4724325,0.0,1.0
NI,2000-01-31 00:00:00+00:00,18.38,18.56,18.31,18.38,545700,2.7188693504,2.7454959273,2.7085145705,2.7188693504,1431860,0.0,1.0
NI,2000-02-01 00:00:00+00:00,18.81,18.81,18.38,18.56,944800,2.782477284,2.782477284,2.7188693504,2.7454959273,2479057,0.0,1.0
NI,2000-02-02 00:00:00+00:00,18.56,19.06,18.5,18.81,184100,2.7454959273,2.8194586408,2.7366204016,2.782477284,483059,0.0,1.0
NI,2000-02-03 00:00:00+00:00,19.0,19.94,18.63,18.63,323600,2.8105831152,2.9496330167,2.7558507072,2.7558507072,849092,0.0,1.0
NI,2000-02-04 00:00:00+00:00,18.81,19.5,18.63,19.25,316700,2.782477284,2.8845458287,2.7558507072,2.847564472,830987,0.0,1.0
NI,2000-02-07 00:00:00+00:00,18.0,19.0,17.94,19.0,149900,2.6626576881,2.8105831152,2.6537821624,2.8105831152,393322,0.0,1.0
NI,2000-02-08 00:00:00+00:00,17.81,18.38,17.75,18.19,230900,2.6345518569,2.7188693504,2.6256763313,2.6907635192,605857,0.0,1.0
NI,2000-02-09 00:00:00+00:00,17.81,18.5,17.81,18.0,167800,2.6345518569,2.7366204016,2.6345518569,2.6626576881,440289,0.0,1.0
NI,2000-02-10 00:00:00+00:00,17.56,18.19,17.38,17.63,178300,2.5975705001,2.6907635192,2.5709439233,2.60792528,467840,0.0,1.0
NI,2000-02-11 00:00:00+00:00,17.44,17.69,17.38,17.69,169800,2.5798194489,2.6168008057,2.5709439233,2.6168008057,445537,0.0,1.0
NI,2000-02-14 00:00:00+00:00,17.44,17.94,17.31,17.44,150600,2.5798194489,2.6537821624,2.5605891434,2.5798194489,395158,0.0,1.0
NI,2000-02-15 00:00:00+00:00,17.56,17.81,17.44,17.69,213800,2.5975705001,2.6345518569,2.5798194489,2.6168008057,560989,0.0,1.0
NI,2000-02-16 00:00:00+00:00,17.5,17.63,17.38,17.44,125100,2.5886949745,2.60792528,2.5709439233,2.5798194489,328249,0.0,1.0
NI,2000-02-17 00:00:00+00:00,17.06,17.44,16.81,17.31,294000,2.5236077866,2.5798194489,2.4866264298,2.5605891434,771425,0.0,1.0
NI,2000-02-18 00:00:00+00:00,16.75,17.31,16.69,17.31,659700,2.4777509042,2.5605891434,2.4688753786,2.5605891434,1730984,0.0,1.0
NI,2000-02-22 00:00:00+00:00,16.75,17.13,16.5,17.13,358300,2.4777509042,2.5339625665,2.4407695474,2.5339625665,940142,0.0,1.0
NI,2000-02-23 00:00:00+00:00,16.44,16.81,16.31,16.81,239300,2.4318940218,2.4866264298,2.4126637162,2.4866264298,627898,0.0,1.0
NI,2000-02-24 00:00:00+00:00,16.06,16.5,15.69,16.5,321800,2.3756823595,2.4407695474,2.3209499514,2.4407695474,844369,0.0,1.0
NI,2000-02-25 00:00:00+00:00,15.56,16.0,15.5,15.94,157400,2.3017196459,2.3668068338,2.2928441203,2.3579313082,413001,0.0,1.0
NI,2000-02-28 00:00:00+00:00,13.0,14.56,12.75,14.5,2851500,1.9230305525,2.1537942188,1.8860491957,2.1449186932,7482040,0.0,1.0
NI,2000-02-29 00:00:00+00:00,12.94,13.88,12.75,13.63,1312700,1.9141550269,2.0532049284,1.8860491957,2.0162235716,3444388,0.0,1.0
NI,2000-03-01 00:00:00+00:00,12.88,13.06,12.81,13.0,525700,1.9052795012,1.9319060781,1.8949247213,1.9230305525,1379382,0.0,1.0
NI,2000-03-02 00:00:00+00:00,13.0,13.13,12.81,13.13,715000,1.9230305525,1.942260858,1.8949247213,1.942260858,1876085,0.0,1.0
NI,2000-03-03 00:00:00+00:00,13.31,13.5,12.94,13.0,3100000,1.9688874349,1.9969932661,1.9141550269,1.9230305525,8134078,0.0,1.0
NI,2000-03-06 00:00:00+00:00,13.38,14.06,13.31,14.0,1125300,1.9792422148,2.0798315052,1.9688874349,2.0709559796,2952670,0.0,1.0
NI,2000-03-07 00:00:00+00:00,13.69,13.69,13.38,13.38,873000,2.0250990972,2.0250990972,1.9792422148,1.9792422148,2290661,0.0,1.0
NI,2000-03-08 00:00:00+00:00,14.0,14.25,13.88,14.0,693700,2.0709559796,2.1079373364,2.0532049284,2.0709559796,1820196,0.0,1.0
NI,2000-03-09 00:00:00+00:00,14.38,14.44,14.0,14.13,1113900,2.1271676419,2.1360431675,2.0709559796,2.0901862851,2922758,0.0,1.0
NI,2000-03-10 00:00:00+00:00,14.69,14.75,14.38,14.44,1570900,2.1730245243,2.1819000499,2.1271676419,2.1360431675,4121878,0.0,1.0
NI,2000-03-13 00:00:00+00:00,14.75,14.81,14.5,14.56,769300,2.1819000499,2.1907755756,2.1449186932,2.1537942188,2018563,0.0,1.0
NI,2000-03-14 00:00:00+00:00,14.94,15.5,14.69,14.75,1170100,2.2100058811,2.2928441203,2.1730245243,2.1819000499,3070221,0.0,1.0
NI,2000-03-15 00:00:00+00:00,15.75,16.0,15.0,15.0,653000,2.3298254771,2.3668068338,2.2188814067,2.2188814067,1713404,0.0,1.0
NI,2000-03-16 00:00:00+00:00,16.19,16.63,15.63,15.63,619200,2.394912665,2.4599998529,2.3120744258,2.3120744258,1624716,0.0,1.0
NI,2000-03-17 00:00:00+00:00,16.0,16.25,15.75,15.88,470900,2.3668068338,2.4037881906,2.3298254771,2.3490557826,1235592,0.0,1.0
NI,2000-03-20 00:00:00+00:00,15.94,16.25,15.75,16.19,337000,2.3579313082,2.4037881906,2.3298254771,2.394912665,884253,0.0,1.0
NI,2000-03-21 00:00:00+00:00,15.88,16.25,15.88,16.19,314900,2.3490557826,2.4037881906,2.3490557826,2.394912665,826264,0.0,1.0
NI,2000-03-22 00:00:00+00:00,15.81,15.94,15.63,15.75,293900,2.3387010027,2.3579313082,2.3120744258,2.3298254771,771163,0.0,1.0
NI,2000-03-23 00:00:00+00:00,15.75,16.25,15.63,15.75,562800,2.3298254771,2.4037881906,2.3120744258,2.3298254771,1476728,0.0,1.0
NI,2000-03-24 00:00:00+00:00,16.0,16.12,15.62,15.62,289200,2.3668068338,2.3845578851,2.3105951715,2.3105951715,758830,0.0,1.0
NI,2000-03-27 00:00:00+00:00,16.0,16.25,16.0,16.13,199800,2.3668068338,2.4037881906,2.3668068338,2.3860371394,524254,0.0,1.0
NI,2000-03-28 00:00:00+00:00,15.75,16.06,15.69,16.0,262800,2.3298254771,2.3756823595,2.3209499514,2.3668068338,689559,0.0,1.0
NI,2000-03-29 00:00:00+00:00,16.31,16.44,15.69,15.69,801600,2.4126637162,2.4318940218,2.3209499514,2.3209499514,2103315,0.0,1.0
NI,2000-03-30 00:00:00+00:00,16.5,16.75,16.38,16.44,257100,2.4407695474,2.4777509042,2.4230184961,2.4318940218,674603,0.0,1.0
NI,2000-03-31 00:00:00+00:00,16.88,16.88,16.44,16.5,417600,2.4969812097,2.4969812097,2.4318940218,2.4407695474,1095739,0.0,1.0
NI,2000-04-03 00:00:00+00:00,16.44,17.0,16.19,17.0,662100,2.4318940218,2.514732261,2.394912665,2.514732261,1737281,0.0,1.0
NI,2000-04-04 00:00:00+00:00,16.44,17.19,16.25,16.25,473300,2.4318940218,2.5428380921,2.4037881906,2.4037881906,1241890,0.0,1.0
NI,2000-04-05 00:00:00+00:00,17.0,17.38,16.38,16.38,897100,2.514732261,2.5709439233,2.4230184961,2.4230184961,2353897,0.0,1.0
NI,2000-04-06 00:00:00+00:00,16.94,17.19,16.88,17.13,996600,2.5058567353,2.5428380921,2.4969812097,2.5339625665,2614975,0.0,1.0
NI,2000-04-07 00:00:00+00:00,16.69,16.94,16.5,16.94,879400,2.4688753786,2.5058567353,2.4407695474,2.5058567353,2307454,0.0,1.0
NI,2000-04-10 00:00:00+00:00,16.63,16.69,16.44,16.69,736300,2.4599998529,2.4688753786,2.4318940218,2.4688753786,1931974,0.0,1.0
NI,2000-04-11 00:00:00+00:00,16.69,16.94,16.5,16.63,232800,2.4688753786,2.5058567353,2.4407695474,2.4599998529,610843,0.0,1.0
NI,2000-04-12 00:00:00+00:00,17.25,17.38,16.69,16.75,1012700,2.5517136177,2.5709439233,2.4688753786,2.4777509042,2657219,0.0,1.0
NI,2000-04-13 00:00:00+00:00,17.44,17.44,17.13,17.25,471900,2.5798194489,2.5798194489,2.5339625665,2.5517136177,1238216,0.0,1.0
NI,2000-04-14 00:00:00+00:00,17.38,17.69,17.19,17.31,542900,2.5709439233,2.6168008057,2.5428380921,2.5605891434,1424513,0.0,1.0
NI,2000-04-17 00:00:00+00:00,17.44,17.44,16.88,17.25,298400,2.5798194489,2.5798194489,2.4969812097,2.5517136177,782970,0.0,1.0
NI,2000-04-18 00:00:00+00:00,17.38,17.63,17.25,17.31,563700,2.5709439233,2.60792528,2.5517136177,2.5605891434,1479090,0.0,1.0
NI,2000-04-19 00:00:00+00:00,17.0,17.31,16.75,17.31,345100,2.514732261,2.5605891434,2.4777509042,2.5605891434,905506,0.0,1.0
NI,2000-04-20 00:00:00+00:00,17.19,17.31,16.88,17.0,262800,2.5428380921,2.5605891434,2.4969812097,2.514732261,689559,0.0,1.0
NI,2000-04-24 00:00:00+00:00,17.69,17.75,17.13,17.19,348900,2.6168008057,2.6256763313,2.5339625665,2.5428380921,915477,0.0,1.0
NI,2000-04-25 00:00:00+00:00,18.19,18.19,17.53,17.69,430200,2.6907635192,2.6907635192,2.5931327373,2.6168008057,1128800,0.0,1.0
NI,2000-04-26 00:00:00+00:00,18.75,18.81,17.88,18.0,1158000,2.8135416237,2.8225449569,2.6829932924,2.7009999588,3038472,0.27,1.0
NI,2000-04-27 00:00:00+00:00,18.75,19.06,18.63,18.75,610700,2.8135416237,2.8600588452,2.7955349573,2.8135416237,1602413,0.0,1.0
