symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
NOW,2012-06-29 00:00:00+00:00,24.6,24.75,22.83,23.75,10922400,24.6,24.75,22.83,23.75,10922400,0.0,1.0
NOW,2012-07-02 00:00:00+00:00,24.77,25.2,24.1,24.75,656700,24.77,25.2,24.1,24.75,656700,0.0,1.0
NOW,2012-07-03 00:00:00+00:00,25.31,25.32,24.6,24.85,401100,25.31,25.32,24.6,24.85,401100,0.0,1.0
NOW,2012-07-05 00:00:00+00:00,25.96,26.26,25.14,25.5,541000,25.96,26.26,25.14,25.5,541000,0.0,1.0
NOW,2012-07-06 00:00:00+00:00,25.84,26.12,25.1,25.75,355100,25.84,26.12,25.1,25.75,355100,0.0,1.0
NOW,2012-07-09 00:00:00+00:00,25.27,26.3,25.18,25.96,152400,25.27,26.3,25.18,25.96,152400,0.0,1.0
NOW,2012-07-10 00:00:00+00:00,25.05,25.694,25.05,25.22,304000,25.05,25.694,25.05,25.22,304000,0.0,1.0
NOW,2012-07-11 00:00:00+00:00,23.736,25.35,23.49,25.02,296500,23.736,25.35,23.49,25.02,296500,0.0,1.0
NOW,2012-07-12 00:00:00+00:00,24.08,24.47,22.62,23.3,325500,24.08,24.47,22.62,23.3,325500,0.0,1.0
NOW,2012-07-13 00:00:00+00:00,24.18,24.92,23.98,24.69,89100,24.18,24.92,23.98,24.69,89100,0.0,1.0
NOW,2012-07-16 00:00:00+00:00,24.38,24.56,23.8,24.08,118100,24.38,24.56,23.8,24.08,118100,0.0,1.0
NOW,2012-07-17 00:00:00+00:00,24.27,24.48,23.93,24.48,227500,24.27,24.48,23.93,24.48,227500,0.0,1.0
NOW,2012-07-18 00:00:00+00:00,24.23,24.69,24.0,24.43,103800,24.23,24.69,24.0,24.43,103800,0.0,1.0
NOW,2012-07-19 00:00:00+00:00,24.0,24.67,23.9,24.67,254500,24.0,24.67,23.9,24.67,254500,0.0,1.0
NOW,2012-07-20 00:00:00+00:00,25.23,25.23,23.9,24.04,260900,25.23,25.23,23.9,24.04,260900,0.0,1.0
NOW,2012-07-23 00:00:00+00:00,24.35,25.01,23.91,25.01,603400,24.35,25.01,23.91,25.01,603400,0.0,1.0
NOW,2012-07-24 00:00:00+00:00,24.84,25.96,24.6,24.83,291500,24.84,25.96,24.6,24.83,291500,0.0,1.0
NOW,2012-07-25 00:00:00+00:00,24.93,25.47,24.84,25.06,110800,24.93,25.47,24.84,25.06,110800,0.0,1.0
NOW,2012-07-26 00:00:00+00:00,24.42,25.3499,24.0,24.93,158000,24.42,25.3499,24.0,24.93,158000,0.0,1.0
NOW,2012-07-27 00:00:00+00:00,25.33,25.44,24.3203,24.48,100100,25.33,25.44,24.3203,24.48,100100,0.0,1.0
NOW,2012-07-30 00:00:00+00:00,25.39,25.45,25.05,25.25,84300,25.39,25.45,25.05,25.25,84300,0.0,1.0
NOW,2012-07-31 00:00:00+00:00,27.0,27.56,25.41,25.44,284000,27.0,27.56,25.41,25.44,284000,0.0,1.0
NOW,2012-08-01 00:00:00+00:00,27.71,27.9797,26.76,27.32,111900,27.71,27.9797,26.76,27.32,111900,0.0,1.0
NOW,2012-08-02 00:00:00+00:00,29.08,29.3,27.0,27.5,556900,29.08,29.3,27.0,27.5,556900,0.0,1.0
NOW,2012-08-03 00:00:00+00:00,28.67,31.43,28.58,29.43,431000,28.67,31.43,28.58,29.43,431000,0.0,1.0
NOW,2012-08-06 00:00:00+00:00,28.02,29.16,27.23,29.0,583800,28.02,29.16,27.23,29.0,583800,0.0,1.0
NOW,2012-08-07 00:00:00+00:00,28.0,28.75,27.79,28.3,198000,28.0,28.75,27.79,28.3,198000,0.0,1.0
NOW,2012-08-08 00:00:00+00:00,27.57,27.91,27.01,27.91,296700,27.57,27.91,27.01,27.91,296700,0.0,1.0
NOW,2012-08-09 00:00:00+00:00,29.51,30.02,27.3,27.48,135500,29.51,30.02,27.3,27.48,135500,0.0,1.0
NOW,2012-08-10 00:00:00+00:00,31.65,32.0,29.37,29.37,220000,31.65,32.0,29.37,29.37,220000,0.0,1.0
NOW,2012-08-13 00:00:00+00:00,32.43,32.55,31.72,32.03,214900,32.43,32.55,31.72,32.03,214900,0.0,1.0
NOW,2012-08-14 00:00:00+00:00,32.28,33.96,32.2,32.65,552400,32.28,33.96,32.2,32.65,552400,0.0,1.0
NOW,2012-08-15 00:00:00+00:00,29.68,32.11,29.47,32.11,467800,29.68,32.11,29.47,32.11,467800,0.0,1.0
NOW,2012-08-16 00:00:00+00:00,29.75,30.57,29.6,30.06,300500,29.75,30.57,29.6,30.06,300500,0.0,1.0
NOW,2012-08-17 00:00:00+00:00,29.6,30.04,29.44,30.0,389300,29.6,30.04,29.44,30.0,389300,0.0,1.0
NOW,2012-08-20 00:00:00+00:00,29.89,29.95,29.55,29.55,277700,29.89,29.95,29.55,29.55,277700,0.0,1.0
NOW,2012-08-21 00:00:00+00:00,30.26,30.61,29.95,30.19,196700,30.26,30.61,29.95,30.19,196700,0.0,1.0
NOW,2012-08-22 00:00:00+00:00,29.85,30.5199,29.828,30.27,617800,29.85,30.5199,29.828,30.27,617800,0.0,1.0
NOW,2012-08-23 00:00:00+00:00,29.03,30.67,28.81,29.93,292200,29.03,30.67,28.81,29.93,292200,0.0,1.0
NOW,2012-08-24 00:00:00+00:00,29.7,29.94,28.79,28.79,145600,29.7,29.94,28.79,28.79,145600,0.0,1.0
NOW,2012-08-27 00:00:00+00:00,29.27,31.31,29.13,29.7,260000,29.27,31.31,29.13,29.7,260000,0.0,1.0
NOW,2012-08-28 00:00:00+00:00,29.32,29.7,29.0503,29.27,152500,29.32,29.7,29.0503,29.27,152500,0.0,1.0
NOW,2012-08-29 00:00:00+00:00,29.49,29.79,29.25,29.39,116600,29.49,29.79,29.25,29.39,116600,0.0,1.0
NOW,2012-08-30 00:00:00+00:00,29.78,31.0,29.03,29.24,186500,29.78,31.0,29.03,29.24,186500,0.0,1.0
NOW,2012-08-31 00:00:00+00:00,31.1,31.5,29.92,30.24,286000,31.1,31.5,29.92,30.24,286000,0.0,1.0
NOW,2012-09-04 00:00:00+00:00,33.67,33.84,31.1084,31.11,332800,33.67,33.84,31.1084,31.11,332800,0.0,1.0
NOW,2012-09-05 00:00:00+00:00,34.19,34.33,33.01,33.66,331700,34.19,34.33,33.01,33.66,331700,0.0,1.0
NOW,2012-09-06 00:00:00+00:00,36.06,36.08,34.11,34.2,396200,36.06,36.08,34.11,34.2,396200,0.0,1.0
NOW,2012-09-07 00:00:00+00:00,36.55,37.31,35.62,36.5,411000,36.55,37.31,35.62,36.5,411000,0.0,1.0
NOW,2012-09-10 00:00:00+00:00,34.39,37.0,34.24,37.0,457300,34.39,37.0,34.24,37.0,457300,0.0,1.0
NOW,2012-09-11 00:00:00+00:00,33.01,35.17,32.84,34.8,288500,33.01,35.17,32.84,34.8,288500,0.0,1.0
NOW,2012-09-12 00:00:00+00:00,35.05,35.4366,33.26,33.54,350500,35.05,35.4366,33.26,33.54,350500,0.0,1.0
NOW,2012-09-13 00:00:00+00:00,37.51,38.32,34.71,35.13,460400,37.51,38.32,34.71,35.13,460400,0.0,1.0
NOW,2012-09-14 00:00:00+00:00,39.06,39.33,37.715,37.88,724100,39.06,39.33,37.715,37.88,724100,0.0,1.0
NOW,2012-09-17 00:00:00+00:00,38.19,39.77,38.03,39.0,812300,38.19,39.77,38.03,39.0,812300,0.0,1.0
NOW,2012-09-18 00:00:00+00:00,36.8,38.65,36.38,38.65,678000,36.8,38.65,36.38,38.65,678000,0.0,1.0
NOW,2012-09-19 00:00:00+00:00,38.65,38.73,36.84,36.88,406300,38.65,38.73,36.84,36.88,406300,0.0,1.0
NOW,2012-09-20 00:00:00+00:00,38.0,38.63,37.18,38.5,739400,38.0,38.63,37.18,38.5,739400,0.0,1.0
NOW,2012-09-21 00:00:00+00:00,39.63,39.83,38.1,38.48,353400,39.63,39.83,38.1,38.48,353400,0.0,1.0
NOW,2012-09-24 00:00:00+00:00,40.37,40.7,38.58,39.9,378700,40.37,40.7,38.58,39.9,378700,0.0,1.0
NOW,2012-09-25 00:00:00+00:00,39.99,41.77,39.61,40.9,605400,39.99,41.77,39.61,40.9,605400,0.0,1.0
NOW,2012-09-26 00:00:00+00:00,38.08,39.85,36.77,39.85,853900,38.08,39.85,36.77,39.85,853900,0.0,1.0
NOW,2012-09-27 00:00:00+00:00,40.04,40.33,38.4,38.4,478800,40.04,40.33,38.4,38.4,478800,0.0,1.0
NOW,2012-09-28 00:00:00+00:00,38.68,39.99,36.16,39.99,1582500,38.68,39.99,36.16,39.99,1582500,0.0,1.0
NOW,2012-10-01 00:00:00+00:00,36.48,38.143,34.62,37.98,903900,36.48,38.143,34.62,37.98,903900,0.0,1.0
NOW,2012-10-02 00:00:00+00:00,36.5,36.75,35.59,36.07,586700,36.5,36.75,35.59,36.07,586700,0.0,1.0
NOW,2012-10-03 00:00:00+00:00,37.03,37.68,36.52,36.53,283100,37.03,37.68,36.52,36.53,283100,0.0,1.0
NOW,2012-10-04 00:00:00+00:00,37.15,37.1966,36.7,36.7,145700,37.15,37.1966,36.7,36.7,145700,0.0,1.0
NOW,2012-10-05 00:00:00+00:00,37.0,37.45,36.5,37.2,449500,37.0,37.45,36.5,37.2,449500,0.0,1.0
NOW,2012-10-08 00:00:00+00:00,36.53,36.66,35.97,36.6,251400,36.53,36.66,35.97,36.6,251400,0.0,1.0
NOW,2012-10-09 00:00:00+00:00,36.0,36.8,35.78,36.61,505300,36.0,36.8,35.78,36.61,505300,0.0,1.0
NOW,2012-10-10 00:00:00+00:00,34.78,36.06,34.62,36.06,446000,34.78,36.06,34.62,36.06,446000,0.0,1.0
NOW,2012-10-11 00:00:00+00:00,34.5,35.29,34.36,35.01,267300,34.5,35.29,34.36,35.01,267300,0.0,1.0
NOW,2012-10-12 00:00:00+00:00,33.32,34.83,32.89,34.83,597700,33.32,34.83,32.89,34.83,597700,0.0,1.0
NOW,2012-10-15 00:00:00+00:00,34.51,34.91,32.8,32.88,754800,34.51,34.91,32.8,32.88,754800,0.0,1.0
NOW,2012-10-16 00:00:00+00:00,34.31,34.64,33.7,34.64,503300,34.31,34.64,33.7,34.64,503300,0.0,1.0
NOW,2012-10-17 00:00:00+00:00,34.77,35.46,34.02,34.33,684500,34.77,35.46,34.02,34.33,684500,0.0,1.0
NOW,2012-10-18 00:00:00+00:00,34.79,34.88,34.5,34.77,261500,34.79,34.88,34.5,34.77,261500,0.0,1.0
NOW,2012-10-19 00:00:00+00:00,34.35,35.48,33.9,34.8,534600,34.35,35.48,33.9,34.8,534600,0.0,1.0
NOW,2012-10-22 00:00:00+00:00,33.44,34.5,32.54,34.45,721200,33.44,34.5,32.54,34.45,721200,0.0,1.0
NOW,2012-10-23 00:00:00+00:00,34.56,34.86,32.61,33.32,440100,34.56,34.86,32.61,33.32,440100,0.0,1.0
NOW,2012-10-24 00:00:00+00:00,35.65,35.77,34.04,34.56,604600,35.65,35.77,34.04,34.56,604600,0.0,1.0
NOW,2012-10-25 00:00:00+00:00,31.39,37.59,30.711,35.65,1953900,31.39,37.59,30.711,35.65,1953900,0.0,1.0
NOW,2012-10-26 00:00:00+00:00,31.89,32.98,31.39,31.68,601700,31.89,32.98,31.39,31.68,601700,0.0,1.0
NOW,2012-10-31 00:00:00+00:00,30.65,32.74,30.12,32.11,568900,30.65,32.74,30.12,32.11,568900,0.0,1.0
NOW,2012-11-01 00:00:00+00:00,31.04,31.64,29.551,31.33,788600,31.04,31.64,29.551,31.33,788600,0.0,1.0
NOW,2012-11-02 00:00:00+00:00,32.14,32.73,30.612,31.23,450200,32.14,32.73,30.612,31.23,450200,0.0,1.0
NOW,2012-11-05 00:00:00+00:00,32.28,32.58,31.1625,32.15,345100,32.28,32.58,31.1625,32.15,345100,0.0,1.0
NOW,2012-11-06 00:00:00+00:00,32.95,33.53,32.18,32.41,462300,32.95,33.53,32.18,32.41,462300,0.0,1.0
NOW,2012-11-07 00:00:00+00:00,31.25,32.73,31.0,32.53,532700,31.25,32.73,31.0,32.53,532700,0.0,1.0
NOW,2012-11-08 00:00:00+00:00,30.9,31.59,30.68,30.87,288000,30.9,31.59,30.68,30.87,288000,0.0,1.0
NOW,2012-11-09 00:00:00+00:00,30.07,31.55,29.714,30.91,410200,30.07,31.55,29.714,30.91,410200,0.0,1.0
NOW,2012-11-12 00:00:00+00:00,29.66,30.992,29.52,30.0,537300,29.66,30.992,29.52,30.0,537300,0.0,1.0
NOW,2012-11-13 00:00:00+00:00,29.48,30.49,28.383,30.49,551000,29.48,30.49,28.383,30.49,551000,0.0,1.0
NOW,2012-11-14 00:00:00+00:00,28.71,30.6,28.15,30.39,502900,28.71,30.6,28.15,30.39,502900,0.0,1.0
NOW,2012-11-15 00:00:00+00:00,31.79,31.98,28.28,28.34,7050800,31.79,31.98,28.28,28.34,7050800,0.0,1.0
NOW,2012-11-16 00:00:00+00:00,30.35,34.5,29.45,33.43,1798600,30.35,34.5,29.45,33.43,1798600,0.0,1.0
NOW,2012-11-19 00:00:00+00:00,31.06,31.44,28.82,30.52,1238600,31.06,31.44,28.82,30.52,1238600,0.0,1.0
