symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
NSC,2000-01-03 00:00:00+00:00,20.13,20.38,19.88,20.25,694200,12.2133941337,12.3650756306,12.0617126367,12.2862012522,694200,0.0,1.0
NSC,2000-01-04 00:00:00+00:00,20.25,20.38,19.88,20.13,859600,12.2862012522,12.3650756306,12.0617126367,12.2133941337,859600,0.0,1.0
NSC,2000-01-05 00:00:00+00:00,19.88,20.38,19.81,20.38,969300,12.0617126367,12.3650756306,12.0192418176,12.3650756306,969300,0.0,1.0
NSC,2000-01-06 00:00:00+00:00,21.31,21.56,19.69,20.19,1390700,12.9293307992,13.0810122962,11.9464346991,12.249797693,1390700,0.0,1.0
NSC,2000-01-07 00:00:00+00:00,20.69,21.38,20.5,21.25,730800,12.5531606868,12.9718016184,12.4378827492,12.89292724,730800,0.0,1.0
NSC,2000-01-10 00:00:00+00:00,21.31,21.31,20.38,20.81,700400,12.9293307992,12.9293307992,12.3650756306,12.6259678054,700400,0.0,1.0
NSC,2000-01-11 00:00:00+00:00,21.38,21.69,21.13,21.13,749700,12.9718016184,13.1598866746,12.8201201215,12.8201201215,749700,0.0,1.0
NSC,2000-01-12 00:00:00+00:00,21.19,21.81,20.94,21.63,666400,12.8565236807,13.2326937931,12.7048421838,13.1234831153,666400,0.0,1.0
NSC,2000-01-13 00:00:00+00:00,21.75,22.75,21.31,21.44,1058900,13.1962902339,13.8030162216,12.9293307992,13.0082051777,1058900,0.0,1.0
NSC,2000-01-14 00:00:00+00:00,21.44,21.88,21.25,21.75,871300,13.0082051777,13.2751646123,12.89292724,13.1962902339,871300,0.0,1.0
NSC,2000-01-18 00:00:00+00:00,20.38,21.0,20.13,21.0,1251300,12.3650756306,12.741245743,12.2133941337,12.741245743,1251300,0.0,1.0
NSC,2000-01-19 00:00:00+00:00,20.06,20.44,20.0,20.25,1144700,12.1709233145,12.4014791899,12.1345197553,12.2862012522,1144700,0.0,1.0
NSC,2000-01-20 00:00:00+00:00,19.75,20.25,19.19,20.06,2308200,11.9828382583,12.2862012522,11.6430717052,12.1709233145,2308200,0.0,1.0
NSC,2000-01-21 00:00:00+00:00,19.69,20.0,19.44,20.0,728400,11.9464346991,12.1345197553,11.7947532021,12.1345197553,728400,0.0,1.0
NSC,2000-01-24 00:00:00+00:00,18.94,19.94,18.94,19.94,743800,11.4913902082,12.098116196,11.4913902082,12.098116196,743800,0.0,1.0
NSC,2000-01-25 00:00:00+00:00,18.81,19.81,18.31,19.0,848000,11.4125158298,12.0192418176,11.109152836,11.5277937675,848000,0.0,1.0
NSC,2000-01-26 00:00:00+00:00,17.75,18.75,17.31,18.44,1686100,10.7693862828,11.3761122706,10.5024268482,11.1880272144,1686100,0.0,1.0
NSC,2000-01-27 00:00:00+00:00,17.5,18.44,17.31,18.13,1854000,10.6177047859,11.1880272144,10.5024268482,10.9999421582,1854000,0.0,1.0
NSC,2000-01-28 00:00:00+00:00,17.25,17.69,17.06,17.25,1595000,10.4660232889,10.7329827235,10.3507453513,10.4660232889,1595000,0.0,1.0
NSC,2000-01-31 00:00:00+00:00,17.0,17.31,16.56,17.25,1309500,10.314341792,10.5024268482,10.0473823574,10.4660232889,1309500,0.0,1.0
NSC,2000-02-01 00:00:00+00:00,16.75,17.25,16.75,16.75,1023700,10.162660295,10.4660232889,10.162660295,10.162660295,1023700,0.0,1.0
NSC,2000-02-02 00:00:00+00:00,16.31,16.75,16.25,16.56,1065900,10.017046058,10.2872790602,9.9801961031,10.1705875365,1065900,0.2,1.0
NSC,2000-02-03 00:00:00+00:00,16.06,16.5,16.0,16.38,1025200,9.8635045795,10.1337375817,9.8266546246,10.060037672,1025200,0.0,1.0
NSC,2000-02-04 00:00:00+00:00,15.75,16.06,15.63,16.06,1264800,9.6731131461,9.8635045795,9.5994132364,9.8635045795,1264800,0.0,1.0
NSC,2000-02-07 00:00:00+00:00,16.25,16.44,15.75,16.0,1249800,9.9801961031,10.0968876268,9.6731131461,9.8266546246,1249800,0.0,1.0
NSC,2000-02-08 00:00:00+00:00,15.38,16.25,15.31,16.0,1128600,9.4458717579,9.9801961031,9.4028801439,9.8266546246,1128600,0.0,1.0
NSC,2000-02-09 00:00:00+00:00,15.31,15.94,15.31,15.88,1693300,9.4028801439,9.7898046698,9.4028801439,9.7529547149,1693300,0.0,1.0
NSC,2000-02-10 00:00:00+00:00,15.0,15.75,15.0,15.5,1809900,9.2124887106,9.6731131461,9.2124887106,9.5195716676,1809900,0.0,1.0
NSC,2000-02-11 00:00:00+00:00,14.63,15.31,14.56,15.31,986200,8.9852473224,9.4028801439,8.9422557084,9.4028801439,986200,0.0,1.0
NSC,2000-02-14 00:00:00+00:00,15.13,15.63,14.81,15.0,2381300,9.2923302794,9.5994132364,9.0957971869,9.2124887106,2381300,0.0,1.0
NSC,2000-02-15 00:00:00+00:00,15.19,15.5,15.0,15.13,1072600,9.3291802343,9.5195716676,9.2124887106,9.2923302794,1072600,0.0,1.0
NSC,2000-02-16 00:00:00+00:00,15.25,15.38,14.69,15.25,1664900,9.3660301891,9.4458717579,9.0220972772,9.3660301891,1664900,0.0,1.0
NSC,2000-02-17 00:00:00+00:00,14.81,15.19,14.69,14.81,1176800,9.0957971869,9.3291802343,9.0220972772,9.0957971869,1176800,0.0,1.0
NSC,2000-02-18 00:00:00+00:00,14.81,15.12,14.81,14.94,1047000,9.0957971869,9.2861886203,9.0957971869,9.1756387557,1047000,0.0,1.0
NSC,2000-02-22 00:00:00+00:00,15.13,15.31,14.69,14.69,1024400,9.2923302794,9.4028801439,9.0220972772,9.0220972772,1024400,0.0,1.0
NSC,2000-02-23 00:00:00+00:00,14.75,15.0,14.69,14.88,1218800,9.0589472321,9.2124887106,9.0220972772,9.1387888009,1218800,0.0,1.0
NSC,2000-02-24 00:00:00+00:00,13.75,14.75,13.69,14.75,2180200,8.444781318,9.0589472321,8.4079313632,9.0589472321,2180200,0.0,1.0
NSC,2000-02-25 00:00:00+00:00,13.75,14.06,13.69,13.75,1923700,8.444781318,8.6351727514,8.4079313632,8.444781318,1923700,0.0,1.0
NSC,2000-02-28 00:00:00+00:00,13.94,14.13,13.56,14.06,2864500,8.5614728417,8.6781643654,8.3280897944,8.6351727514,2864500,0.0,1.0
NSC,2000-02-29 00:00:00+00:00,13.56,14.13,13.44,13.94,2224400,8.3280897944,8.6781643654,8.2543898847,8.5614728417,2224400,0.0,1.0
NSC,2000-03-01 00:00:00+00:00,13.88,14.19,13.44,13.63,1533600,8.5246228869,8.7150143202,8.2543898847,8.3710814084,1533600,0.0,1.0
NSC,2000-03-02 00:00:00+00:00,13.44,13.94,13.13,13.94,1834500,8.2543898847,8.5614728417,8.0639984513,8.5614728417,1834500,0.0,1.0
NSC,2000-03-03 00:00:00+00:00,13.94,14.13,13.38,13.44,1200500,8.5614728417,8.6781643654,8.2175399298,8.2543898847,1200500,0.0,1.0
NSC,2000-03-06 00:00:00+00:00,13.38,13.75,13.06,13.75,1080500,8.2175399298,8.444781318,8.0210068374,8.444781318,1080500,0.0,1.0
NSC,2000-03-07 00:00:00+00:00,12.94,13.5,12.69,13.38,1652600,7.9473069277,8.2912398395,7.7937654492,8.2175399298,1652600,0.0,1.0
NSC,2000-03-08 00:00:00+00:00,12.94,13.31,12.88,13.0,1023800,7.9473069277,8.1745483159,7.9104569728,7.9841568825,1023800,0.0,1.0
NSC,2000-03-09 00:00:00+00:00,13.19,13.25,12.75,13.0,1030600,8.1008484062,8.137698361,7.830615404,7.9841568825,1030600,0.0,1.0
NSC,2000-03-10 00:00:00+00:00,13.19,13.19,12.81,12.94,1382200,8.1008484062,8.1008484062,7.8674653588,7.9473069277,1382200,0.0,1.0
NSC,2000-03-13 00:00:00+00:00,12.94,13.13,12.69,12.88,1201400,7.9473069277,8.0639984513,7.7937654492,7.9104569728,1201400,0.0,1.0
NSC,2000-03-14 00:00:00+00:00,12.75,12.88,12.69,12.88,1871700,7.830615404,7.9104569728,7.7937654492,7.9104569728,1871700,0.0,1.0
NSC,2000-03-15 00:00:00+00:00,13.63,13.69,12.75,12.88,1619900,8.3710814084,8.4079313632,7.830615404,7.9104569728,1619900,0.0,1.0
NSC,2000-03-16 00:00:00+00:00,15.13,15.13,13.81,13.88,2207900,9.2923302794,9.2923302794,8.4816312729,8.5246228869,2207900,0.0,1.0
NSC,2000-03-17 00:00:00+00:00,15.88,15.94,15.0,15.13,2308700,9.7529547149,9.7898046698,9.2124887106,9.2923302794,2308700,0.0,1.0
NSC,2000-03-20 00:00:00+00:00,15.0,16.0,14.69,15.94,1052800,9.2124887106,9.8266546246,9.0220972772,9.7898046698,1052800,0.0,1.0
NSC,2000-03-21 00:00:00+00:00,15.0,15.06,14.38,14.69,755100,9.2124887106,9.2493386654,8.8317058439,9.0220972772,755100,0.0,1.0
NSC,2000-03-22 00:00:00+00:00,14.94,15.19,14.56,15.0,875200,9.1756387557,9.3291802343,8.9422557084,9.2124887106,875200,0.0,1.0
NSC,2000-03-23 00:00:00+00:00,14.38,14.94,14.31,14.75,792000,8.8317058439,9.1756387557,8.7887142299,9.0589472321,792000,0.0,1.0
NSC,2000-03-24 00:00:00+00:00,14.25,14.69,13.94,14.25,955000,8.7518642751,9.0220972772,8.5614728417,8.7518642751,955000,0.0,1.0
NSC,2000-03-27 00:00:00+00:00,15.0,15.0,14.25,14.5,1018400,9.2124887106,9.2124887106,8.7518642751,8.9054057536,1018400,0.0,1.0
NSC,2000-03-28 00:00:00+00:00,13.88,14.94,13.81,14.69,958300,8.5246228869,9.1756387557,8.4816312729,9.0220972772,958300,0.0,1.0
NSC,2000-03-29 00:00:00+00:00,14.0,14.44,13.88,14.0,726200,8.5983227966,8.8685557987,8.5246228869,8.5983227966,726200,0.0,1.0
NSC,2000-03-30 00:00:00+00:00,14.13,14.38,13.88,14.0,914800,8.6781643654,8.8317058439,8.5246228869,8.5983227966,914800,0.0,1.0
NSC,2000-03-31 00:00:00+00:00,14.25,14.63,13.81,14.06,1318100,8.7518642751,8.9852473224,8.4816312729,8.6351727514,1318100,0.0,1.0
NSC,2000-04-03 00:00:00+00:00,14.38,14.75,14.19,14.38,1347800,8.8317058439,9.0589472321,8.7150143202,8.8317058439,1347800,0.0,1.0
NSC,2000-04-04 00:00:00+00:00,14.81,15.13,14.5,14.5,1387000,9.0957971869,9.2923302794,8.9054057536,8.9054057536,1387000,0.0,1.0
NSC,2000-04-05 00:00:00+00:00,15.94,16.13,15.0,15.0,1770300,9.7898046698,9.9064961935,9.2124887106,9.2124887106,1770300,0.0,1.0
NSC,2000-04-06 00:00:00+00:00,15.88,16.63,15.88,16.0,1329300,9.7529547149,10.2135791505,9.7529547149,9.8266546246,1329300,0.0,1.0
NSC,2000-04-07 00:00:00+00:00,16.38,16.5,15.56,15.94,1865200,10.060037672,10.1337375817,9.5564216225,9.7898046698,1865200,0.0,1.0
NSC,2000-04-10 00:00:00+00:00,16.31,16.44,16.19,16.31,908100,10.017046058,10.0968876268,9.9433461483,10.017046058,908100,0.0,1.0
NSC,2000-04-11 00:00:00+00:00,17.63,18.0,16.31,16.31,1667100,10.8277450645,11.0549864527,10.017046058,10.017046058,1667100,0.0,1.0
NSC,2000-04-12 00:00:00+00:00,18.26,19.19,17.63,18.0,1431300,11.2146695904,11.7858438904,10.8277450645,11.0549864527,1431300,0.0,1.0
NSC,2000-04-13 00:00:00+00:00,17.44,17.75,16.75,17.75,719600,10.7110535408,10.9014449742,10.2872790602,10.9014449742,719600,0.0,1.0
NSC,2000-04-14 00:00:00+00:00,17.06,17.25,16.31,16.94,983700,10.4776704935,10.5943620172,10.017046058,10.4039705838,983700,0.0,1.0
NSC,2000-04-17 00:00:00+00:00,16.88,17.25,16.63,17.0,912400,10.367120629,10.5943620172,10.2135791505,10.4408205387,912400,0.0,1.0
NSC,2000-04-18 00:00:00+00:00,17.25,17.5,16.31,16.81,884500,10.5943620172,10.7479034957,10.017046058,10.324129015,884500,0.0,1.0
NSC,2000-04-19 00:00:00+00:00,17.5,17.88,16.94,17.25,772300,10.7479034957,10.981286543,10.4039705838,10.5943620172,772300,0.0,1.0
NSC,2000-04-20 00:00:00+00:00,17.13,17.56,16.63,17.56,739700,10.5206621075,10.7847534505,10.2135791505,10.7847534505,739700,0.0,1.0
NSC,2000-04-24 00:00:00+00:00,17.44,17.63,17.0,17.13,711000,10.7110535408,10.8277450645,10.4408205387,10.5206621075,711000,0.0,1.0
NSC,2000-04-25 00:00:00+00:00,18.44,18.63,17.72,17.81,725500,11.3252194549,11.4419109786,10.8830199968,10.938294929,725500,0.0,1.0
NSC,2000-04-26 00:00:00+00:00,18.13,18.88,17.88,18.63,592900,11.1348280215,11.5954524571,10.981286543,11.4419109786,592900,0.0,1.0
NSC,2000-04-27 00:00:00+00:00,17.69,18.13,17.44,17.88,857100,10.8645950194,11.1348280215,10.7110535408,10.981286543,857100,0.0,1.0
NSC,2000-04-28 00:00:00+00:00,17.63,17.75,16.63,17.5,840500,10.8277450645,10.9014449742,10.2135791505,10.7479034957,840500,0.0,1.0
NSC,2000-05-01 00:00:00+00:00,17.63,18.0,17.31,17.88,841700,10.8277450645,11.0549864527,10.631211972,10.981286543,841700,0.0,1.0
NSC,2000-05-02 00:00:00+00:00,17.38,17.5,17.0,17.5,781100,10.674203586,10.7479034957,10.4408205387,10.7479034957,781100,0.0,1.0
NSC,2000-05-03 00:00:00+00:00,16.88,17.5,16.88,17.06,786100,10.4899538118,10.8752483238,10.4899538118,10.6018135088,786100,0.2,1.0
NSC,2000-05-04 00:00:00+00:00,16.31,16.81,16.25,16.75,634900,10.1357314378,10.4464528185,10.0984448721,10.4091662528,634900,0.0,1.0
NSC,2000-05-05 00:00:00+00:00,17.25,17.56,16.31,16.31,1003500,10.7198876335,10.9125348895,10.1357314378,10.1357314378,1003500,0.0,1.0
NSC,2000-05-08 00:00:00+00:00,17.94,18.06,17.25,17.25,587500,11.1486831388,11.2232562702,10.7198876335,10.7198876335,587500,0.0,1.0
NSC,2000-05-09 00:00:00+00:00,18.81,19.0,18.19,18.19,1114100,11.6893383412,11.8074124659,11.3040438292,11.3040438292,1114100,0.0,1.0
NSC,2000-05-10 00:00:00+00:00,18.63,18.88,18.38,18.81,1242600,11.5774786442,11.7328393345,11.4221179538,11.6893383412,1242600,0.0,1.0
NSC,2000-05-11 00:00:00+00:00,19.0,19.25,18.63,18.63,1309400,11.8074124659,11.9627731562,11.5774786442,11.5774786442,1309400,0.0,1.0
NSC,2000-05-12 00:00:00+00:00,19.31,19.56,19.0,19.06,939200,12.0000597219,12.1554204122,11.8074124659,11.8446990316,939200,0.0,1.0
NSC,2000-05-15 00:00:00+00:00,19.0,19.44,18.94,19.31,612100,11.8074124659,12.0808472809,11.7701259002,12.0000597219,612100,0.0,1.0
NSC,2000-05-16 00:00:00+00:00,19.69,19.69,19.0,19.06,576500,12.2362079712,12.2362079712,11.8074124659,11.8446990316,576500,0.0,1.0
NSC,2000-05-17 00:00:00+00:00,19.25,19.69,19.06,19.5,346400,11.9627731562,12.2362079712,11.8446990316,12.1181338466,346400,0.0,1.0
NSC,2000-05-18 00:00:00+00:00,19.31,19.56,19.06,19.13,721300,12.0000597219,12.1554204122,11.8446990316,11.8882000249,721300,0.0,1.0
NSC,2000-05-19 00:00:00+00:00,18.75,19.19,18.69,19.0,722300,11.6520517755,11.9254865905,11.6147652099,11.8074124659,722300,0.0,1.0
NSC,2000-05-22 00:00:00+00:00,18.56,18.94,18.19,18.88,687800,11.5339776509,11.7701259002,11.3040438292,11.7328393345,687800,0.0,1.0
NSC,2000-05-23 00:00:00+00:00,18.38,18.63,18.13,18.38,513300,11.4221179538,11.5774786442,11.2667572635,11.4221179538,513300,0.0,1.0
NSC,2000-05-24 00:00:00+00:00,18.44,18.63,18.0,18.63,739000,11.4594045195,11.5774786442,11.1859697045,11.5774786442,739000,0.0,1.0
NSC,2000-05-25 00:00:00+00:00,17.5,18.69,17.5,18.38,502200,10.8752483238,11.6147652099,10.8752483238,11.4221179538,502200,0.0,1.0
NSC,2000-05-26 00:00:00+00:00,17.25,17.94,16.88,17.5,887400,10.7198876335,11.1486831388,10.4899538118,10.8752483238,887400,0.0,1.0
NSC,2000-05-30 00:00:00+00:00,17.63,17.81,17.31,17.31,1239100,10.9560358828,11.0678955799,10.7571741992,10.7571741992,1239100,0.0,1.0
NSC,2000-05-31 00:00:00+00:00,17.75,17.88,17.63,17.63,996100,11.0306090142,11.1113965732,10.9560358828,10.9560358828,996100,0.0,1.0
NSC,2000-06-01 00:00:00+00:00,18.69,19.0,17.94,18.0,907800,11.6147652099,11.8074124659,11.1486831388,11.1859697045,907800,0.0,1.0
NSC,2000-06-02 00:00:00+00:00,19.56,19.69,18.81,19.0,892300,12.1554204122,12.2362079712,11.6893383412,11.8074124659,892300,0.0,1.0
NSC,2000-06-05 00:00:00+00:00,18.75,19.56,18.63,19.31,499700,11.6520517755,12.1554204122,11.5774786442,12.0000597219,499700,0.0,1.0
NSC,2000-06-06 00:00:00+00:00,17.88,18.69,17.56,18.06,579800,11.1113965732,11.6147652099,10.9125348895,11.2232562702,579800,0.0,1.0
NSC,2000-06-07 00:00:00+00:00,17.81,18.38,17.75,17.88,381700,11.0678955799,11.4221179538,11.0306090142,11.1113965732,381700,0.0,1.0
NSC,2000-06-08 00:00:00+00:00,17.44,18.0,17.19,18.0,434500,10.8379617582,11.1859697045,10.6826010678,11.1859697045,434500,0.0,1.0
NSC,2000-06-09 00:00:00+00:00,17.94,18.0,17.44,17.88,430400,11.1486831388,11.1859697045,10.8379617582,11.1113965732,430400,0.0,1.0
NSC,2000-06-12 00:00:00+00:00,18.06,18.5,17.81,18.19,458700,11.2232562702,11.4966910852,11.0678955799,11.3040438292,458700,0.0,1.0
NSC,2000-06-13 00:00:00+00:00,17.88,18.44,17.75,18.44,522000,11.1113965732,11.4594045195,11.0306090142,11.4594045195,522000,0.0,1.0
NSC,2000-06-14 00:00:00+00:00,17.19,17.88,17.06,17.63,483600,10.6826010678,11.1113965732,10.6018135088,10.9560358828,483600,0.0,1.0
NSC,2000-06-15 00:00:00+00:00,16.69,17.31,16.5,17.13,808300,10.3718796871,10.7571741992,10.2538055625,10.6453145021,808300,0.0,1.0
NSC,2000-06-16 00:00:00+00:00,16.4,16.88,16.38,16.63,932900,10.1916612863,10.4899538118,10.1792324311,10.3345931215,932900,0.0,1.0
NSC,2000-06-19 00:00:00+00:00,16.13,16.69,15.94,16.38,896500,10.0238717408,10.3718796871,9.9057976161,10.1792324311,896500,0.0,1.0
NSC,2000-06-20 00:00:00+00:00,15.5,16.06,15.38,16.0,1106000,9.6323628011,9.9803707475,9.5577896697,9.9430841818,1106000,0.0,1.0
NSC,2000-06-21 00:00:00+00:00,15.69,16.0,15.56,16.0,729400,9.7504369258,9.9430841818,9.6696493668,9.9430841818,729400,0.0,1.0
NSC,2000-06-22 00:00:00+00:00,15.06,15.69,14.94,15.31,1284700,9.3589279861,9.7504369258,9.2843548548,9.5142886765,1284700,0.0,1.0
NSC,2000-06-23 00:00:00+00:00,15.19,15.69,15.06,15.13,950000,9.4397155451,9.7504369258,9.3589279861,9.4024289794,950000,0.0,1.0
NSC,2000-06-26 00:00:00+00:00,15.63,15.75,15.31,15.31,812600,9.7131503601,9.7877234915,9.5142886765,9.5142886765,812600,0.0,1.0
NSC,2000-06-27 00:00:00+00:00,15.56,15.88,15.38,15.75,510600,9.6696493668,9.8685110504,9.5577896697,9.7877234915,510600,0.0,1.0
NSC,2000-06-28 00:00:00+00:00,15.95,16.25,15.75,15.88,1119800,9.9120120437,10.0984448721,9.7877234915,9.8685110504,1119800,0.0,1.0
NSC,2000-06-29 00:00:00+00:00,15.75,16.0,15.56,15.94,706500,9.7877234915,9.9430841818,9.6696493668,9.9057976161,706500,0.0,1.0
NSC,2000-06-30 00:00:00+00:00,14.88,15.81,14.75,15.69,1557600,9.2470682891,9.8250100571,9.1662807301,9.7504369258,1557600,0.0,1.0
NSC,2000-07-03 00:00:00+00:00,15.63,15.75,15.13,15.19,506500,9.7131503601,9.7877234915,9.4024289794,9.4397155451,506500,0.0,1.0
NSC,2000-07-05 00:00:00+00:00,15.69,16.19,15.5,15.5,719800,9.7504369258,10.0611583065,9.6323628011,9.6323628011,719800,0.0,1.0
NSC,2000-07-06 00:00:00+00:00,16.25,16.44,15.81,16.25,1037900,10.0984448721,10.2165189968,9.8250100571,10.0984448721,1037900,0.0,1.0
NSC,2000-07-07 00:00:00+00:00,16.44,16.69,16.38,16.5,907800,10.2165189968,10.3718796871,10.1792324311,10.2538055625,907800,0.0,1.0
NSC,2000-07-10 00:00:00+00:00,16.38,16.75,16.38,16.5,487300,10.1792324311,10.4091662528,10.1792324311,10.2538055625,487300,0.0,1.0
NSC,2000-07-11 00:00:00+00:00,16.5,16.56,16.13,16.38,725000,10.2538055625,10.2910921282,10.0238717408,10.1792324311,725000,0.0,1.0
NSC,2000-07-12 00:00:00+00:00,16.44,16.69,16.31,16.5,495500,10.2165189968,10.3718796871,10.1357314378,10.2538055625,495500,0.0,1.0
NSC,2000-07-13 00:00:00+00:00,16.31,16.56,16.0,16.38,583000,10.1357314378,10.2910921282,9.9430841818,10.1792324311,583000,0.0,1.0
NSC,2000-07-14 00:00:00+00:00,16.5,16.88,16.25,16.44,947100,10.2538055625,10.4899538118,10.0984448721,10.2165189968,947100,0.0,1.0
NSC,2000-07-17 00:00:00+00:00,16.88,17.19,16.75,16.94,673600,10.4899538118,10.6826010678,10.4091662528,10.5272403775,673600,0.0,1.0
NSC,2000-07-18 00:00:00+00:00,16.31,16.81,16.25,16.81,411700,10.1357314378,10.4464528185,10.0984448721,10.4464528185,411700,0.0,1.0
NSC,2000-07-19 00:00:00+00:00,15.88,16.81,15.63,16.25,803400,9.8685110504,10.4464528185,9.7131503601,10.0984448721,803400,0.0,1.0
NSC,2000-07-20 00:00:00+00:00,16.0,16.44,15.88,15.88,688500,9.9430841818,10.2165189968,9.8685110504,9.8685110504,688500,0.0,1.0
NSC,2000-07-21 00:00:00+00:00,15.63,16.31,15.63,16.25,433100,9.7131503601,10.1357314378,9.7131503601,10.0984448721,433100,0.0,1.0
NSC,2000-07-24 00:00:00+00:00,15.5,15.81,15.44,15.81,620400,9.6323628011,9.8250100571,9.5950762354,9.8250100571,620400,0.0,1.0
NSC,2000-07-25 00:00:00+00:00,15.63,15.81,15.5,15.63,842000,9.7131503601,9.8250100571,9.6323628011,9.7131503601,842000,0.0,1.0
NSC,2000-07-26 00:00:00+00:00,17.56,18.06,16.5,16.75,3410600,10.9125348895,11.2232562702,10.2538055625,10.4091662528,3410600,0.0,1.0
NSC,2000-07-27 00:00:00+00:00,18.69,18.94,17.81,17.94,1711400,11.6147652099,11.7701259002,11.0678955799,11.1486831388,1711400,0.0,1.0
NSC,2000-07-28 00:00:00+00:00,18.75,18.94,18.69,18.75,1353500,11.6520517755,11.7701259002,11.6147652099,11.6520517755,1353500,0.0,1.0
NSC,2000-07-31 00:00:00+00:00,18.68,19.25,18.63,18.94,1572400,11.6085507822,11.9627731562,11.5774786442,11.7701259002,1572400,0.0,1.0
NSC,2000-08-01 00:00:00+00:00,18.81,19.0,18.69,18.81,1116800,11.6893383412,11.8074124659,11.6147652099,11.6893383412,1116800,0.0,1.0
NSC,2000-08-02 00:00:00+00:00,19.06,19.13,18.63,18.63,1435100,11.9689875838,12.0129450409,11.698963205,11.698963205,1435100,0.2,1.0
NSC,2000-08-03 00:00:00+00:00,19.19,19.69,19.0,19.06,1242400,12.0506228612,12.364604697,11.9313097635,11.9689875838,1242400,0.0,1.0
NSC,2000-08-04 00:00:00+00:00,19.31,19.44,18.88,19.31,1161900,12.1259785018,12.2076137791,11.8559541229,12.1259785018,1161900,0.0,1.0
NSC,2000-08-07 00:00:00+00:00,19.38,19.44,19.19,19.25,1254000,12.1699359588,12.2076137791,12.0506228612,12.0883006815,1254000,0.0,1.0
NSC,2000-08-08 00:00:00+00:00,19.75,19.75,19.13,19.38,1184200,12.4022825174,12.4022825174,12.0129450409,12.1699359588,1184200,0.0,1.0
NSC,2000-08-09 00:00:00+00:00,18.63,19.13,18.44,18.94,952100,11.698963205,12.0129450409,11.5796501073,11.8936319432,952100,0.0,1.0
NSC,2000-08-10 00:00:00+00:00,18.56,18.81,18.5,18.5,852300,11.655005748,11.8119966659,11.6173279276,11.6173279276,852300,0.0,1.0
NSC,2000-08-11 00:00:00+00:00,19.0,19.06,18.19,18.25,1431900,11.9313097635,11.9689875838,11.4226591894,11.4603370097,1431900,0.0,1.0
NSC,2000-08-14 00:00:00+00:00,18.63,18.75,18.31,18.69,605200,11.698963205,11.7743188456,11.49801483,11.7366410253,605200,0.0,1.0
