symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
NTAP,2000-01-03 00:00:00+00:00,85.0,90.13,84.75,89.88,2713000,33.4947500402,35.5162567191,33.3962360695,35.4177427484,5426000,0.0,1.0
NTAP,2000-01-04 00:00:00+00:00,74.25,84.88,74.0,82.38,2255700,29.2586492999,33.4474633343,29.1601353292,32.4623236272,4511400,0.0,1.0
NTAP,2000-01-05 00:00:00+00:00,80.13,84.5,70.0,80.38,3316900,31.5756978909,33.2977220988,27.5839117978,31.6742118616,6633800,0.0,1.0
NTAP,2000-01-06 00:00:00+00:00,70.06,77.81,70.0,77.0,2794800,27.6075551508,30.6614882427,27.5839117978,30.3423029776,5589600,0.0,1.0
NTAP,2000-01-07 00:00:00+00:00,85.0,85.0,67.75,69.0,4255200,33.4947500402,33.4947500402,26.6972860615,27.189855915,8510400,0.0,1.0
NTAP,2000-01-10 00:00:00+00:00,88.63,91.81,86.5,88.56,3174300,34.9251728949,36.1782706023,34.0858338645,34.8975889831,6348600,0.0,1.0
NTAP,2000-01-11 00:00:00+00:00,82.5,93.63,81.75,91.0,2365400,32.5096103332,36.895452309,32.2140684211,35.8590853372,4730800,0.0,1.0
NTAP,2000-01-12 00:00:00+00:00,87.13,88.75,78.63,82.0,2178400,34.3340890707,34.9724596008,30.9846140666,32.3125823918,4356800,0.0,1.0
NTAP,2000-01-13 00:00:00+00:00,85.72,90.0,83.25,88.0,2572000,33.7784702759,35.4650294544,32.8051522453,34.6769176887,5144000,0.0,1.0
NTAP,2000-01-14 00:00:00+00:00,93.69,95.25,87.0,88.0,3003800,36.919095662,37.5338228392,34.2828618059,34.6769176887,6007600,0.0,1.0
NTAP,2000-01-18 00:00:00+00:00,118.1,120.0,97.0,98.13,3788300,46.5379997618,47.2867059392,38.2234206342,38.6687037818,7576600,0.0,1.0
NTAP,2000-01-19 00:00:00+00:00,108.5,117.0,106.0,113.6,2953800,42.7550632867,46.1045382907,41.7699235796,44.7647482891,5907600,0.0,1.0
NTAP,2000-01-20 00:00:00+00:00,115.0,115.3,111.3,114.6,2118300,45.316426525,45.4346432899,43.8584197586,45.1588041719,4236600,0.0,1.0
NTAP,2000-01-21 00:00:00+00:00,117.1,121.5,110.0,115.8,2456700,46.143943879,47.8777897634,43.3461471109,45.6316712313,4913400,0.0,1.0
NTAP,2000-01-24 00:00:00+00:00,102.0,119.9,100.6,119.9,3202400,40.1937000483,47.2473003509,39.6420218123,47.2473003509,6404800,0.0,1.0
NTAP,2000-01-25 00:00:00+00:00,107.2,111.0,99.0,103.8,2970800,42.242790639,43.7402029937,39.0115323998,40.9030006374,5941600,0.0,1.0
NTAP,2000-01-26 00:00:00+00:00,108.4,115.1,106.6,108.3,2951300,42.7156576984,45.3558321133,42.0063571093,42.6762521101,5902600,0.0,1.0
NTAP,2000-01-27 00:00:00+00:00,102.9,111.5,99.13,110.6,3104700,40.5483503428,43.9372309351,39.0627596646,43.5825806406,6209400,0.0,1.0
NTAP,2000-01-28 00:00:00+00:00,99.19,107.0,98.0,101.3,1832500,39.0864030175,42.1639794624,38.617476517,39.9178609303,3665000,0.0,1.0
NTAP,2000-01-31 00:00:00+00:00,100.4,105.0,90.63,100.9,2897800,39.5632106358,41.3758676968,35.7132846606,39.7602385772,5795600,0.0,1.0
NTAP,2000-02-01 00:00:00+00:00,107.8,108.6,100.3,104.1,1863500,42.4792241687,42.7944688749,39.5238050475,41.0212174022,3727000,0.0,1.0
NTAP,2000-02-02 00:00:00+00:00,113.2,115.1,106.0,109.1,2489800,44.6071259359,45.3558321133,41.7699235796,42.9914968164,4979600,0.0,1.0
NTAP,2000-02-03 00:00:00+00:00,114.6,115.0,106.0,115.0,2374000,45.1588041719,45.316426525,41.7699235796,45.316426525,4748000,0.0,1.0
NTAP,2000-02-04 00:00:00+00:00,127.9,133.9,115.5,116.1,3972700,50.3997474135,52.7640827104,45.5134544664,45.7498879961,7945400,0.0,1.0
NTAP,2000-02-07 00:00:00+00:00,125.4,131.8,121.0,131.4,2567400,49.4146077064,51.9365653565,47.680761822,51.7789430034,5134800,0.0,1.0
NTAP,2000-02-08 00:00:00+00:00,132.0,132.5,123.1,128.1,2984700,52.0153765331,52.2124044745,48.5082791759,50.4785585901,5969400,0.0,1.0
NTAP,2000-02-09 00:00:00+00:00,128.7,134.3,126.0,133.6,1858100,50.7149921198,52.9217050636,49.6510412361,52.6458659456,3716200,0.0,1.0
NTAP,2000-02-10 00:00:00+00:00,139.3,139.9,125.9,130.1,1943700,54.8919844777,55.1284180074,49.6116356478,51.2666703557,3887400,0.0,1.0
NTAP,2000-02-11 00:00:00+00:00,154.9,159.1,142.5,145.4,2871900,61.0392562498,62.6942909577,56.1529633028,57.295725363,5743800,0.0,1.0
NTAP,2000-02-14 00:00:00+00:00,148.3,160.3,143.1,159.9,3560900,58.4384874231,63.1671580171,56.3893968325,63.0095356639,7121800,0.0,1.0
NTAP,2000-02-15 00:00:00+00:00,151.6,153.0,141.5,149.8,2445600,59.7388718365,60.2905500724,55.7589074199,59.0295712474,4891200,0.0,1.0
NTAP,2000-02-16 00:00:00+00:00,175.4,176.2,157.1,161.4,5189900,69.1174018477,69.432646554,61.906179192,63.6006194882,10379800,0.0,1.0
NTAP,2000-02-17 00:00:00+00:00,174.4,179.9,166.1,178.5,3700200,68.7233459649,70.8906533205,65.4526821375,70.3389750845,7400400,0.0,1.0
NTAP,2000-02-18 00:00:00+00:00,167.3,174.3,167.0,172.0,1898000,65.9255491968,68.6839403766,65.807332432,67.7776118461,3796000,0.0,1.0
NTAP,2000-02-22 00:00:00+00:00,168.6,171.4,163.1,169.9,1955000,66.4378218445,67.5411783164,64.270514489,66.9500944922,3910000,0.0,1.0
NTAP,2000-02-23 00:00:00+00:00,178.8,187.8,164.8,166.4,2953100,70.4571918494,74.0036947948,64.9404094898,65.5708989023,5906200,0.0,1.0
NTAP,2000-02-24 00:00:00+00:00,200.0,201.9,176.3,181.6,2981300,78.8111765653,79.5598827426,69.4720521423,71.5605483213,5962600,0.0,1.0
NTAP,2000-02-25 00:00:00+00:00,192.9,207.9,190.5,202.5,2165300,76.0133797972,81.9242180396,75.0676456784,79.7963162723,4330600,0.0,1.0
NTAP,2000-02-28 00:00:00+00:00,184.0,196.3,181.5,193.0,2990400,72.5062824401,77.3531697988,71.521142733,76.0527853855,5980800,0.0,1.0
NTAP,2000-02-29 00:00:00+00:00,188.8,192.1,181.8,184.9,2259200,74.3977506776,75.6981350909,71.6393594978,72.8609327346,4518400,0.0,1.0
NTAP,2000-03-01 00:00:00+00:00,190.1,197.5,186.8,189.3,2088700,74.9100233253,77.8260368582,73.609638912,74.594778619,4177400,0.0,1.0
NTAP,2000-03-02 00:00:00+00:00,189.3,196.8,188.0,192.5,1522300,74.594778619,77.5501977402,74.0825059714,75.8557574441,3044600,0.0,1.0
NTAP,2000-03-03 00:00:00+00:00,199.9,204.0,187.0,194.3,2080000,78.771770977,80.3874000966,73.6884500885,76.5650580332,4160000,0.0,1.0
NTAP,2000-03-06 00:00:00+00:00,212.1,222.0,202.0,204.6,2409000,83.5792527475,87.4804059875,79.5992883309,80.6238336263,4818000,0.0,1.0
NTAP,2000-03-07 00:00:00+00:00,212.6,230.0,212.0,222.8,2899200,83.7762806889,90.6328530501,83.5398471592,87.7956506937,5798400,0.0,1.0
NTAP,2000-03-08 00:00:00+00:00,218.3,223.0,211.9,219.9,2073500,86.022399221,87.8744618703,83.5004415709,86.6528886335,4147000,0.0,1.0
NTAP,2000-03-09 00:00:00+00:00,240.4,241.0,218.1,220.0,2637700,94.7310342315,94.9674677612,85.9435880444,86.6922942218,5275400,0.0,1.0
NTAP,2000-03-10 00:00:00+00:00,236.9,248.0,228.9,247.0,2274700,93.3518386416,97.7258589409,90.199391579,97.3318030581,4549400,0.0,1.0
NTAP,2000-03-13 00:00:00+00:00,228.1,235.8,220.9,225.9,1768000,89.8841468727,92.9183771705,87.0469445163,89.0172239305,3536000,0.0,1.0
NTAP,2000-03-14 00:00:00+00:00,197.1,232.0,193.0,232.0,4268500,77.6684145051,91.4209648157,76.0527853855,91.4209648157,8537000,0.0,1.0
NTAP,2000-03-15 00:00:00+00:00,173.1,203.3,163.5,196.0,8228500,68.2110733172,80.1115609786,64.4281368421,77.234953034,16457000,0.0,1.0
NTAP,2000-03-16 00:00:00+00:00,182.6,194.5,162.0,181.3,6406100,71.9546042041,76.6438692097,63.8370530179,71.4423315564,12812200,0.0,1.0
NTAP,2000-03-17 00:00:00+00:00,200.8,202.0,186.1,186.2,4235900,79.1264212715,79.5992883309,73.333799794,73.3732053823,8471800,0.0,1.0
NTAP,2000-03-20 00:00:00+00:00,183.1,208.0,175.6,207.5,4138400,72.1516321455,81.9636236279,69.1962130243,81.7665956865,8276800,0.0,1.0
NTAP,2000-03-21 00:00:00+00:00,184.9,192.0,165.0,183.1,3846600,72.8609327346,75.6587295027,65.0192206663,72.1516321455,7693200,0.0,1.0
NTAP,2000-03-22 00:00:00+00:00,206.1,206.5,184.5,191.1,3122300,81.2149174505,81.3725398036,72.7033103815,75.3040792081,6244600,0.0,1.0
NTAP,2000-03-23 00:00:00+00:00,105.4,108.3,96.38,102.9,2376250,83.0669800998,85.3525042202,75.9582119736,81.0967006857,2376250,0.0,2.0
NTAP,2000-03-24 00:00:00+00:00,100.0,110.25,95.0,109.0,5609900,78.8111765653,86.8893221632,74.870617737,85.9041824561,5609900,0.0,1.0
NTAP,2000-03-27 00:00:00+00:00,97.25,104.4,96.25,103.9,4162600,76.6438692097,82.2788683341,75.8557574441,81.8848124513,4162600,0.0,1.0
NTAP,2000-03-28 00:00:00+00:00,95.56,101.0,95.0,96.94,2830200,75.3119603258,79.5992883309,74.870617737,76.3995545624,2830200,0.0,1.0
NTAP,2000-03-29 00:00:00+00:00,91.81,97.75,87.63,95.0,5372800,72.3565412046,77.0379250926,69.0622340241,74.870617737,5372800,0.0,1.0
NTAP,2000-03-30 00:00:00+00:00,79.13,92.0,70.63,84.06,9562300,62.3632840161,72.5062824401,55.6643340081,66.2486750208,9562300,0.0,1.0
NTAP,2000-03-31 00:00:00+00:00,82.75,86.0,66.0,84.08,10610900,65.2162486078,67.7776118461,52.0153765331,66.2644372561,10610900,0.0,1.0
NTAP,2000-04-03 00:00:00+00:00,67.88,83.0,66.63,78.13,6697300,53.4970266525,65.4132765492,52.5118869454,61.5751722504,6697300,0.0,1.0
NTAP,2000-04-04 00:00:00+00:00,67.0,74.0,45.13,70.19,13378500,52.8034882987,58.3202706583,35.5674839839,55.3175648312,13378500,0.0,1.0
NTAP,2000-04-05 00:00:00+00:00,69.56,76.0,60.0,60.5,7914100,54.8210544188,59.8964941896,47.2867059392,47.680761822,7914100,0.0,1.0
NTAP,2000-04-06 00:00:00+00:00,73.0,77.5,71.06,74.25,5876000,57.5321588926,61.0786618381,56.0032220673,58.5172985997,5876000,0.0,1.0
NTAP,2000-04-07 00:00:00+00:00,79.94,80.25,75.0,77.5,4390800,63.0016545463,63.2459691936,59.108382424,61.0786618381,4390800,0.0,1.0
NTAP,2000-04-10 00:00:00+00:00,67.63,81.94,65.0,81.0,7576600,53.2999987111,64.5778780776,51.2272647674,63.8370530179,7576600,0.0,1.0
NTAP,2000-04-11 00:00:00+00:00,63.63,68.25,60.25,63.0,7673800,50.1475516485,53.7886280058,47.4837338806,49.6510412361,7673800,0.0,1.0
NTAP,2000-04-12 00:00:00+00:00,56.69,65.5,56.5,61.63,6222500,44.6780559949,51.6213206503,44.5283147594,48.5713281172,6222500,0.0,1.0
NTAP,2000-04-13 00:00:00+00:00,56.94,64.0,53.88,59.25,7676200,44.8750839363,50.4391530018,42.4634619334,46.6956221149,7676200,0.0,1.0
NTAP,2000-04-14 00:00:00+00:00,50.38,58.63,46.13,51.63,8492900,39.7050707536,46.2069928202,36.3555957496,40.6902104606,8492900,0.0,1.0
NTAP,2000-04-17 00:00:00+00:00,51.94,54.0,41.13,41.25,10422600,40.934525108,42.5580353452,32.4150369213,32.5096103332,10422600,0.0,1.0
NTAP,2000-04-18 00:00:00+00:00,60.25,60.5,53.31,54.38,6306200,47.4837338806,47.680761822,42.0142382269,42.8575178162,6306200,0.0,1.0
NTAP,2000-04-19 00:00:00+00:00,60.56,65.5,60.0,65.13,6143900,47.7280485279,51.6213206503,47.2867059392,51.329719297,6143900,0.0,1.0
NTAP,2000-04-20 00:00:00+00:00,56.88,63.88,55.0,61.23,3545700,44.8277972303,50.3445795899,43.3461471109,48.2560834109,3545700,0.0,1.0
NTAP,2000-04-24 00:00:00+00:00,50.63,55.5,43.55,51.5,6043900,39.902098695,43.7402029937,34.3222673942,40.5877559311,6043900,0.0,1.0
NTAP,2000-04-25 00:00:00+00:00,68.75,69.0,56.0,57.06,8666900,54.1826838886,54.37971183,44.1342588766,44.9696573481,8666900,0.0,1.0
NTAP,2000-04-26 00:00:00+00:00,61.13,68.5,61.0,67.75,5431700,48.1772722344,53.9856559472,48.0748177048,53.394572123,5431700,0.0,1.0
NTAP,2000-04-27 00:00:00+00:00,67.56,68.5,54.5,56.0,6571700,53.2448308875,53.9856559472,42.9520912281,44.1342588766,6571700,0.0,1.0
NTAP,2000-04-28 00:00:00+00:00,73.94,74.69,68.98,70.25,5356700,58.2729839524,58.8640677766,54.3639495947,55.3648515371,5356700,0.0,1.0
NTAP,2000-05-01 00:00:00+00:00,71.0,77.0,70.03,76.5,5946500,55.9559353613,60.6846059553,55.1914669487,60.2905500724,5946500,0.0,1.0
NTAP,2000-05-02 00:00:00+00:00,65.25,72.0,64.88,68.25,4917600,51.4242927088,56.744047127,51.1326913555,53.7886280058,4917600,0.0,1.0
NTAP,2000-05-03 00:00:00+00:00,66.75,68.0,61.5,62.25,5227100,52.6064603573,53.5916000644,48.4688735876,49.0599574119,5227100,0.0,1.0
NTAP,2000-05-04 00:00:00+00:00,67.88,71.5,64.63,67.88,2905000,53.4970266525,56.3499912442,50.9356634141,53.4970266525,2905000,0.0,1.0
NTAP,2000-05-05 00:00:00+00:00,69.88,71.69,64.38,65.0,3104000,55.0732501838,56.4997324796,50.7386354727,51.2272647674,3104000,0.0,1.0
NTAP,2000-05-08 00:00:00+00:00,63.19,68.19,62.75,65.69,3195200,49.8007824716,53.7413412999,49.4540132947,51.7710618857,3195200,0.0,1.0
NTAP,2000-05-09 00:00:00+00:00,63.44,67.0,61.5,65.13,4420400,49.997810413,52.8034882987,48.4688735876,51.329719297,4420400,0.0,1.0
NTAP,2000-05-10 00:00:00+00:00,58.0,66.31,57.75,64.0,5999700,45.7104824079,52.2596911804,45.5134544664,50.4391530018,5999700,0.0,1.0
NTAP,2000-05-11 00:00:00+00:00,57.94,62.63,55.5,61.48,5518200,45.6631957019,49.3594398828,43.7402029937,48.4531113523,5518200,0.0,1.0
NTAP,2000-05-12 00:00:00+00:00,58.19,62.5,57.25,60.0,5602800,45.8602236433,49.2569853533,45.1193985836,47.2867059392,5602800,0.0,1.0
NTAP,2000-05-15 00:00:00+00:00,66.13,66.5,58.75,58.89,4590300,52.1178310626,52.4094324159,46.3015662321,46.4119018793,4590300,0.0,1.0
NTAP,2000-05-16 00:00:00+00:00,72.75,73.75,66.5,69.75,7304200,57.3351309512,58.1232427169,52.4094324159,54.9707956543,7304200,0.0,1.0
NTAP,2000-05-17 00:00:00+00:00,68.75,72.63,68.38,69.0,6022500,54.1826838886,57.2405575394,53.8910825353,54.37971183,6022500,0.0,1.0
NTAP,2000-05-18 00:00:00+00:00,69.0,71.5,66.72,70.13,5123500,54.37971183,56.3499912442,52.5828170043,55.2702781252,5123500,0.0,1.0
NTAP,2000-05-19 00:00:00+00:00,65.13,71.0,65.0,65.88,6746200,51.329719297,55.9559353613,51.2272647674,51.9208031212,6746200,0.0,1.0
NTAP,2000-05-22 00:00:00+00:00,65.06,65.5,56.0,63.88,6609300,51.2745514734,51.6213206503,44.1342588766,50.3445795899,6609300,0.0,1.0
NTAP,2000-05-23 00:00:00+00:00,58.0,67.0,58.0,64.0,3829800,45.7104824079,52.8034882987,45.7104824079,50.4391530018,3829800,0.0,1.0
NTAP,2000-05-24 00:00:00+00:00,65.06,66.0,48.75,58.06,10265700,51.2745514734,52.0153765331,38.4204485756,45.7577691138,10265700,0.0,1.0
NTAP,2000-05-25 00:00:00+00:00,61.38,69.5,58.0,62.56,7562600,48.3743001758,54.7737677129,45.7104824079,49.3042720592,7562600,0.0,1.0
NTAP,2000-05-26 00:00:00+00:00,58.31,63.0,56.06,61.25,4520200,45.9547970552,49.6510412361,44.1815455825,48.2718456462,4520200,0.0,1.0
NTAP,2000-05-30 00:00:00+00:00,66.81,67.25,59.5,60.31,5705600,52.6537470633,53.0005162401,46.8926500563,47.5310205865,5705600,0.0,1.0
NTAP,2000-05-31 00:00:00+00:00,63.94,70.31,63.13,65.25,4728200,50.3918662958,55.412138243,49.7534957657,51.4242927088,4728200,0.0,1.0
NTAP,2000-06-01 00:00:00+00:00,69.69,70.0,67.38,67.38,5295700,54.9235089483,55.1678235957,53.1029707697,53.1029707697,5295700,0.0,1.0
NTAP,2000-06-02 00:00:00+00:00,74.44,76.75,71.0,73.0,7426000,58.6670398352,60.4875780138,55.9559353613,57.5321588926,7426000,0.0,1.0
NTAP,2000-06-05 00:00:00+00:00,76.61,78.44,71.38,71.38,4582400,60.3772423667,61.8194868978,56.2554178323,56.2554178323,4582400,0.0,1.0
NTAP,2000-06-06 00:00:00+00:00,73.88,79.38,73.75,77.75,3397100,58.2256972464,62.5603119575,58.1232427169,61.2756897795,3397100,0.0,1.0
