symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
NTRS,2000-01-03 00:00:00+00:00,50.47,52.75,49.5,52.56,710100,31.6466623787,33.0763114816,31.0384344709,32.9571740564,710100,0.0,1.0
NTRS,2000-01-04 00:00:00+00:00,47.19,49.63,46.75,49.63,1276900,29.5899741956,31.1199495513,29.3140770003,31.1199495513,1276900,0.0,1.0
NTRS,2000-01-05 00:00:00+00:00,48.61,49.19,46.81,47.5,929200,30.4803696895,30.844052356,29.3516993451,29.7843563105,929200,0.0,1.0
NTRS,2000-01-06 00:00:00+00:00,49.25,49.63,47.81,48.19,515900,30.8816747009,31.1199495513,29.9787384253,30.2170132758,515900,0.0,1.0
NTRS,2000-01-07 00:00:00+00:00,49.88,49.88,48.5,49.14,612500,31.2767093214,31.2767093214,30.4113953907,30.812700402,612500,0.0,1.0
NTRS,2000-01-10 00:00:00+00:00,48.63,50.0,48.19,49.94,528000,30.4929104711,31.351954011,30.2170132758,31.3143316662,528000,0.0,1.0
NTRS,2000-01-11 00:00:00+00:00,47.75,48.44,46.88,48.38,873100,29.9411160805,30.3737730459,29.3955920807,30.3361507011,873100,0.0,1.0
NTRS,2000-01-12 00:00:00+00:00,49.94,50.19,47.63,47.75,787200,31.3143316662,31.4710914363,29.8658713909,29.9411160805,787200,0.0,1.0
NTRS,2000-01-13 00:00:00+00:00,54.81,55.13,51.13,52.0,2193600,34.3680119869,34.5686644926,32.0605081717,32.6060321715,2193600,0.0,1.0
NTRS,2000-01-14 00:00:00+00:00,54.88,55.5,53.88,55.5,995100,34.4119047225,34.8006689522,33.7848656423,34.8006689522,995100,0.0,1.0
NTRS,2000-01-18 00:00:00+00:00,55.56,55.63,52.75,54.44,1015400,34.838291297,34.8821840327,33.0763114816,34.1360075272,1015400,0.0,1.0
NTRS,2000-01-19 00:00:00+00:00,57.19,59.94,55.63,55.69,2081500,35.8603649978,37.5847224684,34.8821840327,34.9198063775,2081500,0.0,1.0
NTRS,2000-01-20 00:00:00+00:00,53.94,57.25,53.75,57.19,467800,33.8224879871,35.8979873426,33.7033505618,35.8603649978,467800,0.0,1.0
NTRS,2000-01-21 00:00:00+00:00,55.06,56.63,53.56,55.0,903600,34.5247717569,35.5092231129,33.5842131366,34.4871494121,903600,0.0,1.0
