symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
NUE,2000-01-03 00:00:00+00:00,54.31,54.81,53.56,54.81,1141600,7.1663850675,7.2323617299,7.067420074,7.2323617299,4566400,0.0,1.0
NUE,2000-01-04 00:00:00+00:00,53.75,54.94,53.38,54.25,778200,7.0924912057,7.2495156621,7.0436684755,7.158467868,3112800,0.0,1.0
NUE,2000-01-05 00:00:00+00:00,55.0,55.5,53.63,53.63,1420000,7.2574328616,7.323409524,7.0766568067,7.0766568067,5680000,0.0,1.0
NUE,2000-01-06 00:00:00+00:00,55.75,56.25,55.0,55.13,934800,7.3563978552,7.4223745175,7.2574328616,7.2745867938,3739200,0.0,1.0
NUE,2000-01-07 00:00:00+00:00,55.94,56.44,54.81,55.63,515600,7.3814689869,7.4474456493,7.2323617299,7.3405634562,2062400,0.0,1.0
NUE,2000-01-10 00:00:00+00:00,53.94,55.94,53.19,55.94,699600,7.1175623374,7.3814689869,7.0185973438,7.3814689869,2798400,0.0,1.0
NUE,2000-01-11 00:00:00+00:00,55.06,55.19,54.13,54.38,814400,7.2653500611,7.2825039933,7.1426334691,7.1756218003,3257600,0.0,1.0
NUE,2000-01-12 00:00:00+00:00,53.19,55.06,53.13,55.06,544200,7.0185973438,7.2653500611,7.0106801443,7.2653500611,2176800,0.0,1.0
NUE,2000-01-13 00:00:00+00:00,55.0,55.75,53.5,53.5,530800,7.2574328616,7.3563978552,7.0595028745,7.0595028745,2123200,0.0,1.0
NUE,2000-01-14 00:00:00+00:00,54.81,55.5,54.25,55.0,722600,7.2323617299,7.323409524,7.158467868,7.2574328616,2890400,0.0,1.0
NUE,2000-01-18 00:00:00+00:00,53.75,55.0,53.0,55.0,978600,7.0924912057,7.2574328616,6.9935262121,7.2574328616,3914400,0.0,1.0
NUE,2000-01-19 00:00:00+00:00,55.25,55.44,53.81,53.88,1231400,7.2904211928,7.3154923245,7.1004084051,7.1096451379,4925600,0.0,1.0
NUE,2000-01-20 00:00:00+00:00,52.38,55.19,52.19,55.13,896000,6.9117151507,7.2825039933,6.886644019,7.2745867938,3584000,0.0,1.0
NUE,2000-01-21 00:00:00+00:00,51.06,52.63,50.25,52.63,817400,6.7375367621,6.9447034819,6.630654569,6.9447034819,3269600,0.0,1.0
NUE,2000-01-24 00:00:00+00:00,49.31,51.56,49.19,51.31,563400,6.5066184437,6.8035134244,6.4907840448,6.7705250933,2253600,0.0,1.0
NUE,2000-01-25 00:00:00+00:00,48.94,50.38,48.06,50.0,539800,6.4577957136,6.6478085012,6.3416767878,6.5976662378,2159200,0.0,1.0
NUE,2000-01-26 00:00:00+00:00,48.69,49.88,47.0,48.75,1173200,6.4248073824,6.5818318388,6.2018062636,6.4327245819,4692800,0.0,1.0
NUE,2000-01-27 00:00:00+00:00,50.56,51.0,48.69,48.75,1294800,6.6715600997,6.7296195626,6.4248073824,6.4327245819,5179200,0.0,1.0
NUE,2000-01-28 00:00:00+00:00,50.69,51.94,49.94,50.44,1124000,6.6887140319,6.8536556878,6.5897490383,6.6557257007,4496000,0.0,1.0
NUE,2000-01-31 00:00:00+00:00,49.75,49.88,48.88,49.88,855600,6.5646779066,6.5818318388,6.4498785141,6.5818318388,3422400,0.0,1.0
NUE,2000-02-01 00:00:00+00:00,49.88,51.13,49.56,49.88,581000,6.5818318388,6.7467734948,6.5396067749,6.5818318388,2324000,0.0,1.0
NUE,2000-02-02 00:00:00+00:00,49.56,50.25,49.56,50.0,745600,6.5396067749,6.630654569,6.5396067749,6.5976662378,2982400,0.0,1.0
NUE,2000-02-03 00:00:00+00:00,49.88,49.94,48.81,49.75,587400,6.5818318388,6.5897490383,6.4406417814,6.5646779066,2349600,0.0,1.0
NUE,2000-02-04 00:00:00+00:00,48.75,49.75,48.63,48.75,512400,6.4327245819,6.5646779066,6.4168901829,6.4327245819,2049600,0.0,1.0
NUE,2000-02-07 00:00:00+00:00,48.0,48.0,46.0,47.5,1470200,6.3337595883,6.3337595883,6.0698529388,6.2677829259,5880800,0.0,1.0
NUE,2000-02-08 00:00:00+00:00,46.31,48.88,46.31,48.25,591600,6.1107584695,6.4498785141,6.1107584695,6.3667479195,2366400,0.0,1.0
NUE,2000-02-09 00:00:00+00:00,47.44,48.38,47.31,48.0,1736200,6.2598657264,6.3839018517,6.2427117942,6.3337595883,6944800,0.0,1.0
NUE,2000-02-10 00:00:00+00:00,45.25,47.44,45.0,47.44,1528200,5.9708879452,6.2598657264,5.937899614,6.2598657264,6112800,0.0,1.0
NUE,2000-02-11 00:00:00+00:00,47.13,47.88,46.06,46.13,1081600,6.2189601958,6.3179251893,6.0777701383,6.087006871,4326400,0.0,1.0
NUE,2000-02-14 00:00:00+00:00,47.63,47.88,47.13,47.38,1602400,6.2849368581,6.3179251893,6.2189601958,6.251948527,6409600,0.0,1.0
