symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
NVDA,2000-01-03 00:00:00+00:00,46.81,47.63,45.25,47.25,626900,0.8951305106,0.9108110708,0.8652992012,0.9035444697,30091184,0.0,1.0
NVDA,2000-01-04 00:00:00+00:00,45.56,46.13,43.25,46.0,626000,0.8712272178,0.8821271193,0.8270539326,0.8796411769,30047984,0.0,1.0
NVDA,2000-01-05 00:00:00+00:00,44.19,45.0,43.75,44.25,392400,0.8450292088,0.8605185426,0.8366152498,0.8461765669,18835190,0.0,1.0
NVDA,2000-01-06 00:00:00+00:00,41.19,44.06,39.5,44.06,251000,0.787661306,0.8425432664,0.7553440541,0.8425432664,12047993,0.0,1.0
NVDA,2000-01-07 00:00:00+00:00,41.88,42.31,40.38,41.0,148300,0.8008559236,0.8090786564,0.7721719722,0.7840280055,7118396,0.0,1.0
NVDA,2000-01-10 00:00:00+00:00,43.25,45.0,41.25,42.0,499700,0.8270539326,0.8605185426,0.7888086641,0.8031506398,23985588,0.0,1.0
NVDA,2000-01-11 00:00:00+00:00,41.5,43.5,41.5,43.0,308600,0.7935893226,0.8318345912,0.7935893226,0.822273274,14812792,0.0,1.0
NVDA,2000-01-12 00:00:00+00:00,40.44,41.56,39.88,41.5,257400,0.7733193303,0.7947366807,0.7626106551,0.7935893226,12355193,0.0,1.0
NVDA,2000-01-13 00:00:00+00:00,42.13,42.5,39.88,40.38,275400,0.8056365822,0.8127119569,0.7626106551,0.7721719722,13219193,0.0,1.0
NVDA,2000-01-14 00:00:00+00:00,43.94,45.69,42.63,42.75,1259500,0.8402485503,0.8737131603,0.8151978994,0.8174926155,60455969,0.0,1.0
NVDA,2000-01-18 00:00:00+00:00,45.81,46.0,42.5,44.5,545100,0.8760078764,0.8796411769,0.8127119569,0.8509572255,26164786,0.0,1.0
NVDA,2000-01-19 00:00:00+00:00,45.38,46.0,45.0,46.0,343100,0.8677851436,0.8796411769,0.8605185426,0.8796411769,16468791,0.0,1.0
NVDA,2000-01-20 00:00:00+00:00,45.25,48.25,44.88,45.75,374100,0.8652992012,0.922667104,0.8582238265,0.8748605183,17956791,0.0,1.0
NVDA,2000-01-21 00:00:00+00:00,44.75,45.31,43.63,45.13,1133900,0.855737884,0.8664465592,0.8343205336,0.8630044851,54427172,0.0,1.0
NVDA,2000-01-24 00:00:00+00:00,42.75,46.19,42.5,46.19,535300,0.8174926155,0.8832744774,0.8127119569,0.8832744774,25694387,0.0,1.0
NVDA,2000-01-25 00:00:00+00:00,42.38,43.38,41.0,42.94,494000,0.8104172408,0.8295398751,0.7840280055,0.821125916,23711988,0.0,1.0
NVDA,2000-01-26 00:00:00+00:00,40.63,43.5,39.88,42.38,484300,0.7769526308,0.8318345912,0.7626106551,0.8104172408,23246388,0.0,1.0
NVDA,2000-01-27 00:00:00+00:00,38.5,40.94,37.0,40.94,954600,0.7362214198,0.7828806474,0.7075374684,0.7828806474,45820777,0.0,1.0
NVDA,2000-01-28 00:00:00+00:00,37.38,38.25,35.88,38.0,405100,0.7148040694,0.7314407612,0.686120118,0.7266601026,19444790,0.0,1.0
NVDA,2000-01-31 00:00:00+00:00,37.06,38.38,35.0,37.56,380000,0.7086848264,0.7339267037,0.6692921998,0.7182461436,18239990,0.0,1.0
NVDA,2000-02-01 00:00:00+00:00,37.94,38.25,35.75,37.13,193700,0.7255127446,0.7314407612,0.6836341755,0.7100234108,9297595,0.0,1.0
NVDA,2000-02-02 00:00:00+00:00,39.0,39.75,37.94,38.13,310500,0.7457827369,0.7601247126,0.7255127446,0.7291460451,14903992,0.0,1.0
NVDA,2000-02-03 00:00:00+00:00,39.63,41.06,39.38,40.25,225500,0.7578299965,0.7851753635,0.7530493379,0.7696860298,10823994,0.0,1.0
NVDA,2000-02-04 00:00:00+00:00,40.56,40.88,39.75,40.88,257700,0.7756140464,0.7817332894,0.7601247126,0.7817332894,12369593,0.0,1.0
