symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
NVR,2000-01-03 00:00:00+00:00,47.75,47.75,47.75,47.75,36700,47.75,47.75,47.75,47.75,36700,0.0,1.0
NVR,2000-01-04 00:00:00+00:00,46.0,46.38,46.0,46.38,34100,46.0,46.38,46.0,46.38,34100,0.0,1.0
NVR,2000-01-05 00:00:00+00:00,46.06,46.13,45.75,46.0,16500,46.06,46.13,45.75,46.0,16500,0.0,1.0
NVR,2000-01-06 00:00:00+00:00,45.88,45.88,45.5,45.63,12700,45.88,45.88,45.5,45.63,12700,0.0,1.0
NVR,2000-01-07 00:00:00+00:00,46.75,46.75,45.5,45.5,73400,46.75,46.75,45.5,45.5,73400,0.0,1.0
NVR,2000-01-10 00:00:00+00:00,47.38,47.5,47.0,47.13,20900,47.38,47.5,47.0,47.13,20900,0.0,1.0
NVR,2000-01-11 00:00:00+00:00,47.5,47.5,47.0,47.25,11900,47.5,47.5,47.0,47.25,11900,0.0,1.0
NVR,2000-01-12 00:00:00+00:00,47.81,48.0,47.0,47.38,21500,47.81,48.0,47.0,47.38,21500,0.0,1.0
NVR,2000-01-13 00:00:00+00:00,48.88,49.0,47.75,47.75,17300,48.88,49.0,47.75,47.75,17300,0.0,1.0
NVR,2000-01-14 00:00:00+00:00,48.81,49.13,48.75,49.13,7500,48.81,49.13,48.75,49.13,7500,0.0,1.0
NVR,2000-01-18 00:00:00+00:00,47.75,48.63,47.5,48.63,27400,47.75,48.63,47.5,48.63,27400,0.0,1.0
NVR,2000-01-19 00:00:00+00:00,47.75,47.75,47.5,47.63,9400,47.75,47.75,47.5,47.63,9400,0.0,1.0
NVR,2000-01-20 00:00:00+00:00,48.25,48.5,47.75,47.75,13100,48.25,48.5,47.75,47.75,13100,0.0,1.0
NVR,2000-01-21 00:00:00+00:00,48.56,49.0,47.88,48.75,32800,48.56,49.0,47.88,48.75,32800,0.0,1.0
NVR,2000-01-24 00:00:00+00:00,48.75,49.0,48.5,48.75,31900,48.75,49.0,48.5,48.75,31900,0.0,1.0
NVR,2000-01-25 00:00:00+00:00,49.25,49.25,48.56,48.75,45000,49.25,49.25,48.56,48.75,45000,0.0,1.0
NVR,2000-01-26 00:00:00+00:00,48.63,49.13,48.63,49.0,11300,48.63,49.13,48.63,49.0,11300,0.0,1.0
NVR,2000-01-27 00:00:00+00:00,47.13,48.5,47.13,48.5,25700,47.13,48.5,47.13,48.5,25700,0.0,1.0
NVR,2000-01-28 00:00:00+00:00,46.38,47.25,46.38,47.13,11600,46.38,47.25,46.38,47.13,11600,0.0,1.0
NVR,2000-01-31 00:00:00+00:00,45.25,46.38,45.25,46.38,14400,45.25,46.38,45.25,46.38,14400,0.0,1.0
NVR,2000-02-01 00:00:00+00:00,44.88,45.0,43.75,45.0,27500,44.88,45.0,43.75,45.0,27500,0.0,1.0
NVR,2000-02-02 00:00:00+00:00,44.63,45.13,44.63,45.13,7500,44.63,45.13,44.63,45.13,7500,0.0,1.0
NVR,2000-02-03 00:00:00+00:00,44.38,44.81,44.38,44.5,17100,44.38,44.81,44.38,44.5,17100,0.0,1.0
NVR,2000-02-04 00:00:00+00:00,45.31,45.38,44.13,44.13,13600,45.31,45.38,44.13,44.13,13600,0.0,1.0
NVR,2000-02-07 00:00:00+00:00,45.88,46.13,45.31,45.31,16600,45.88,46.13,45.31,45.31,16600,0.0,1.0
NVR,2000-02-08 00:00:00+00:00,45.88,46.75,45.63,45.63,25600,45.88,46.75,45.63,45.63,25600,0.0,1.0
NVR,2000-02-09 00:00:00+00:00,44.19,45.5,43.81,45.5,29000,44.19,45.5,43.81,45.5,29000,0.0,1.0
NVR,2000-02-10 00:00:00+00:00,42.25,44.25,42.25,44.13,104000,42.25,44.25,42.25,44.13,104000,0.0,1.0
NVR,2000-02-11 00:00:00+00:00,42.5,42.5,42.0,42.25,17800,42.5,42.5,42.0,42.25,17800,0.0,1.0
NVR,2000-02-14 00:00:00+00:00,42.75,43.0,42.25,42.38,11500,42.75,43.0,42.25,42.38,11500,0.0,1.0
NVR,2000-02-15 00:00:00+00:00,43.38,43.44,42.75,42.75,32800,43.38,43.44,42.75,42.75,32800,0.0,1.0
NVR,2000-02-16 00:00:00+00:00,43.81,43.88,43.25,43.63,5200,43.81,43.88,43.25,43.63,5200,0.0,1.0
NVR,2000-02-17 00:00:00+00:00,44.13,44.25,43.69,43.75,8200,44.13,44.25,43.69,43.75,8200,0.0,1.0
NVR,2000-02-18 00:00:00+00:00,43.19,44.38,43.19,44.0,29200,43.19,44.38,43.19,44.0,29200,0.0,1.0
NVR,2000-02-22 00:00:00+00:00,42.88,43.25,42.5,43.0,18900,42.88,43.25,42.5,43.0,18900,0.0,1.0
NVR,2000-02-23 00:00:00+00:00,43.5,43.5,42.25,42.75,48100,43.5,43.5,42.25,42.75,48100,0.0,1.0
NVR,2000-02-24 00:00:00+00:00,44.63,44.63,43.38,43.5,65400,44.63,44.63,43.38,43.5,65400,0.0,1.0
NVR,2000-02-25 00:00:00+00:00,44.13,44.5,44.13,44.38,19400,44.13,44.5,44.13,44.38,19400,0.0,1.0
NVR,2000-02-28 00:00:00+00:00,44.13,44.5,43.19,44.0,27200,44.13,44.5,43.19,44.0,27200,0.0,1.0
NVR,2000-02-29 00:00:00+00:00,44.13,44.75,44.13,44.25,37500,44.13,44.75,44.13,44.25,37500,0.0,1.0
NVR,2000-03-01 00:00:00+00:00,44.38,44.75,44.13,44.13,49000,44.38,44.75,44.13,44.13,49000,0.0,1.0
NVR,2000-03-02 00:00:00+00:00,44.5,44.5,44.0,44.31,63500,44.5,44.5,44.0,44.31,63500,0.0,1.0
